회사명,시간,기간,기간 후
피에스엠씨,2012-03-19,2011-09-19,2012-02-19
JH코오스,2012-04-13,2011-10-13,2012-03-13
큐리어스,2012-05-17,2011-11-17,2012-04-17
엔터미디어,2012-06-20,2011-12-20,2012-05-20
엔케이바이오,2012-07-23,2012-01-23,2012-06-23
금강제강,2012-08-01,2012-02-01,2012-07-01
오리엔탈정공,2012-08-13,2012-02-13,2012-07-13
티에스넥스젠,2012-08-14,2012-02-14,2012-07-14
GT&T,2012-08-14,2012-02-14,2012-07-14
이디디컴퍼니,2012-08-29,2012-02-29,2012-07-29
디지텍시스템,2012-08-31,2012-02-29,2012-07-31
SSCP,2012-09-18,2012-03-18,2012-08-18
메디콕스,2012-09-20,2012-03-20,2012-08-20
엘컴텍,2012-10-18,2012-04-18,2012-09-18
아큐텍,2012-11-27,2012-05-27,2012-10-27
네이처셀,2012-12-13,2012-06-13,2012-11-13
삼우이엠씨,2012-12-17,2012-06-17,2012-11-17
아큐텍,2013-01-10,2012-07-10,2012-12-10
엠텍비젼,2013-01-30,2012-07-30,2012-12-30
마이스코,2013-03-15,2012-09-15,2013-02-15
아이에이,2013-03-19,2012-09-19,2013-02-19
아라온테크,2013-03-21,2012-09-21,2013-02-21
렉스엘이앤지,2013-03-21,2012-09-21,2013-02-21
디에스,2013-03-21,2012-09-21,2013-02-21
위다스,2013-03-21,2012-09-21,2013-02-21
케이피엠테크,2013-03-25,2012-09-25,2013-02-25
에스비엠,2013-03-27,2012-09-27,2013-02-27
모린스,2013-03-28,2012-09-28,2013-02-28
와이즈파워,2013-04-01,2012-10-01,2013-03-01
네이처셀,2013-04-25,2012-10-25,2013-03-25
디에스티,2013-05-29,2012-11-29,2013-04-29
태산엘시디,2013-08-28,2013-02-28,2013-07-28
한진피앤씨,2013-09-23,2013-03-23,2013-08-23
삼표시멘트,2013-10-01,2013-04-01,2013-09-01
디지텍시스템,2014-02-18,2013-08-18,2014-01-18
나노트로닉스,2014-02-26,2013-08-26,2014-01-26
뉴아세아,2014-03-03,2013-09-03,2014-02-03
대성엘텍,2014-03-19,2013-09-19,2014-02-19
유니드코리아,2014-03-19,2013-09-19,2014-02-19
피앤텔,2014-03-20,2013-09-20,2014-02-20
유니슨,2014-03-20,2013-09-20,2014-02-20
광무,2014-03-20,2013-09-20,2014-02-20
에버테크노,2014-03-21,2013-09-21,2014-02-21
오성첨단소재,2014-03-21,2013-09-21,2014-02-21
와이즈파워,2014-03-21,2013-09-21,2014-02-21
CU전자,2014-03-28,2013-09-28,2014-02-28
영진코퍼레이션,2014-10-30,2014-04-30,2014-09-30
