시간,회사명,기간,기간 후
2018-03-31,케이씨티,2017-09-30,2018-02-28
2018-03-31,비디아이,2017-09-30,2018-02-28
2018-03-31,클라우드에어,2017-09-30,2018-02-28
2018-03-31,동국알앤에스,2017-09-30,2018-02-28
2018-03-31,맥스로텍,2017-09-30,2018-02-28
2018-03-31,뉴로스,2017-09-30,2018-02-28
2018-03-31,영풍정밀,2017-09-30,2018-02-28
2018-03-31,윈팩,2017-09-30,2018-02-28
2018-03-31,테고사이언스,2017-09-30,2018-02-28
2018-03-31,아우딘퓨쳐스,2017-09-30,2018-02-28
2018-03-31,씨유메디칼시스템,2017-09-30,2018-02-28
2018-03-31,아스타,2017-09-30,2018-02-28
2018-03-31,티제이미디어,2017-09-30,2018-02-28
2018-03-31,미래생명자원,2017-09-30,2018-02-28
2018-03-31,알에프에이치아이씨,2017-09-30,2018-02-28
2018-03-31,엑시콘,2017-09-30,2018-02-28
2018-03-31,로보로보,2017-09-30,2018-02-28
2018-03-31,마이크로프랜드,2017-09-30,2018-02-28
2018-03-31,오킨스전자,2017-09-30,2018-02-28
2018-03-31,플래스크,2017-09-30,2018-02-28
2018-03-31,에스엠코어,2017-09-30,2018-02-28
2018-03-31,펩트론,2017-09-30,2018-02-28
2018-03-31,서울제약,2017-09-30,2018-02-28
2018-03-31,코위버,2017-09-30,2018-02-28
2018-03-31,고려제약,2017-09-30,2018-02-28
2018-03-31,크린앤사이언스,2017-09-30,2018-02-28
2018-03-31,에쎈테크,2017-09-30,2018-02-28
2018-03-31,비엠티,2017-09-30,2018-02-28
2018-03-31,국일신동,2017-09-30,2018-02-28
2018-03-31,이브이첨단소재,2017-09-30,2018-02-28
2018-03-31,에이텍티앤,2017-09-30,2018-02-28
2018-03-31,다믈멀티미디어,2017-09-30,2018-02-28
2018-03-31,큐에스아이,2017-09-30,2018-02-28
2018-03-31,동방선기,2017-09-30,2018-02-28
2018-03-31,휴메딕스,2017-09-30,2018-02-28
2018-03-31,나노엔텍,2017-09-30,2018-02-28
2018-03-31,이녹스,2017-09-30,2018-02-28
2018-03-31,조아제약,2017-09-30,2018-02-28
2018-03-31,씨아이에스,2017-09-30,2018-02-28
2018-03-31,오이솔루션,2017-09-30,2018-02-28
2018-03-31,휴림로봇,2017-09-30,2018-02-28
2018-03-31,야스,2017-09-30,2018-02-28
2018-03-31,바디텍메드,2017-09-30,2018-02-28
2018-03-31,대창솔루션,2017-09-30,2018-02-28
2018-03-31,국일제지,2017-09-30,2018-02-28
2018-03-31,디스플레이테크,2017-09-30,2018-02-28
2018-03-31,와토스코리아,2017-09-30,2018-02-28
2018-03-31,파루,2017-09-30,2018-02-28
2018-03-31,자안바이오,2017-09-30,2018-02-28
2018-03-31,케이맥,2017-09-30,2018-02-28
2018-03-31,에스티오,2017-09-30,2018-02-28
2018-03-31,유니온커뮤니티,2017-09-30,2018-02-28
2018-03-31,휴비츠,2017-09-30,2018-02-28
2018-03-31,케이엠,2017-09-30,2018-02-28
2018-03-31,로보스타,2017-09-30,2018-02-28
2018-03-31,포스코엠텍,2017-09-30,2018-02-28
2018-03-31,제이브이엠,2017-09-30,2018-02-28
2018-03-31,형지아이앤씨,2017-09-30,2018-02-28
2018-03-31,파세코,2017-09-30,2018-02-28
2018-03-31,제이씨케미칼,2017-09-30,2018-02-28
2018-03-31,이지,2017-09-30,2018-02-28
2018-03-31,고영테크놀러지,2017-09-30,2018-02-28
2018-03-31,나라엠앤디,2017-09-30,2018-02-28
2018-03-31,동국에스엔씨,2017-09-30,2018-02-28
2018-03-31,동원개발,2017-09-30,2018-02-28
2018-03-31,에스디생명공학,2017-09-30,2018-02-28
2018-03-31,에스에프에이,2017-09-30,2018-02-28
2018-03-31,아이센스,2017-09-30,2018-02-28
2018-03-31,원일특강,2017-09-30,2018-02-28
2018-03-31,레이언스,2017-09-30,2018-02-28
2018-03-31,이엔에프테크놀로지,2017-09-30,2018-02-28
2018-03-31,동진쎄미켐,2017-09-30,2018-02-28
2018-03-31,디에이테크놀로지,2017-09-30,2018-02-28
2018-03-31,티에스이,2017-09-30,2018-02-28
2018-03-31,엘오티베큠,2017-09-30,2018-02-28
2018-03-31,미코,2017-09-30,2018-02-28
2018-03-31,아즈텍더블유비이,2017-09-30,2018-02-28
2018-03-31,캠시스,2017-09-30,2018-02-28
2018-03-31,피에이치에이,2017-09-30,2018-02-28
2018-03-31,기산텔레콤,2017-09-30,2018-02-28
2018-03-31,씨앤지하이테크,2017-09-30,2018-02-28
2018-03-31,신화콘텍,2017-09-30,2018-02-28
2018-03-31,아가방앤컴퍼니,2017-09-30,2018-02-28
2018-03-31,링네트,2017-09-30,2018-02-28
2018-03-31,나이스평가정보,2017-09-30,2018-02-28
2018-03-31,손오공,2017-09-30,2018-02-28
2018-03-31,제이콘텐트리,2017-09-30,2018-02-28
2018-03-31,씨제이프레시웨이,2017-09-30,2018-02-28
2018-03-31,옴니시스템,2017-09-30,2018-02-28
2018-03-31,유라테크,2017-09-30,2018-02-28
2018-03-31,현대에이치티,2017-09-30,2018-02-28
2018-03-31,서울반도체,2017-09-30,2018-02-28
2018-03-31,엠에스오토텍,2017-09-30,2018-02-28
2018-03-31,에이스침대,2017-09-30,2018-02-28
2018-03-31,루멘스,2017-09-30,2018-02-28
2018-03-31,동구바이오제약,2017-09-30,2018-02-28
2018-03-31,케이씨씨건설,2017-09-30,2018-02-28
2018-03-31,제이엠아이,2017-09-30,2018-02-28
2018-03-31,한일사료,2017-09-30,2018-02-28
2018-03-31,동국제약,2017-09-30,2018-02-28
2018-03-31,에스텍,2017-09-30,2018-02-28
2018-03-31,네패스,2017-09-30,2018-02-28
