회사명,시간,기간,기간 후
글로벌텍스프리,2020-03-31,2019-09-30,2020-02-29
오스테오닉,2020-03-31,2019-09-30,2020-02-29
동운아나텍,2020-03-31,2019-09-30,2020-02-29
바이오솔루션,2020-03-31,2019-09-30,2020-02-29
제일바이오,2020-03-31,2019-09-30,2020-02-29
아이쓰리시스템,2020-03-31,2019-09-30,2020-02-29
유에스티,2020-03-31,2019-09-30,2020-02-29
팬젠,2020-03-31,2019-09-30,2020-02-29
하이즈항공,2020-03-31,2019-09-30,2020-02-29
엔바이오니아,2020-03-31,2019-09-30,2020-02-29
녹십자셀,2020-03-31,2019-09-30,2020-02-29
에이비엘바이오,2020-03-31,2019-09-30,2020-02-29
엠투엔,2020-03-31,2019-09-30,2020-02-29
인콘,2020-03-31,2019-09-30,2020-02-29
디알젬,2020-03-31,2019-09-30,2020-02-29
피앤씨테크,2020-03-31,2019-09-30,2020-02-29
흥국에프엔비,2020-03-31,2019-09-30,2020-02-29
삼일기업공사,2020-03-31,2019-09-30,2020-02-29
이랜시스,2020-03-31,2019-09-30,2020-02-29
알로이스,2020-03-31,2019-09-30,2020-02-29
덕산네오룩스,2020-03-31,2019-09-30,2020-02-29
우주일렉트로닉스,2020-03-31,2019-09-30,2020-02-29
휴온스,2020-03-31,2019-09-30,2020-02-29
에스디생명공학,2020-03-31,2019-09-30,2020-02-29
금강철강,2020-03-31,2019-09-30,2020-02-29
원익홀딩스,2020-03-31,2019-09-30,2020-02-29
희림종합건축사사무소,2020-03-31,2019-09-30,2020-02-29
피제이전자,2020-03-31,2019-09-30,2020-02-29
옵투스제약,2020-03-31,2019-09-30,2020-02-29
세진티에스,2020-03-31,2019-09-30,2020-02-29
이노와이어리스,2020-03-31,2019-09-30,2020-02-29
앤디포스,2020-03-31,2019-09-30,2020-02-29
포메탈,2020-03-31,2019-09-30,2020-02-29
나노,2020-03-31,2019-09-30,2020-02-29
에너토크,2020-03-31,2019-09-30,2020-02-29
덕산테코피아,2020-03-31,2019-09-30,2020-02-29
이지,2020-03-31,2019-09-30,2020-02-29
다믈멀티미디어,2020-03-31,2019-09-30,2020-02-29
에쎈테크,2020-03-31,2019-09-30,2020-02-29
이엘피,2020-03-31,2019-09-30,2020-02-29
제이엠티,2020-03-31,2019-09-30,2020-02-29
수산아이앤티,2020-03-31,2019-09-30,2020-02-29
디와이디,2020-03-31,2019-09-30,2020-02-29
이스트소프트,2020-03-31,2019-09-30,2020-02-29
에이치엘비테라퓨틱스,2020-03-31,2019-09-30,2020-02-29
케이엔엔,2020-03-31,2019-09-30,2020-02-29
플리토,2020-03-31,2019-09-30,2020-02-29
지란지교시큐리티,2020-03-31,2019-09-30,2020-02-29
제넥신,2020-03-31,2019-09-30,2020-02-29
사람인에이치알,2020-03-31,2019-09-30,2020-02-29
참좋은여행,2020-03-31,2019-09-30,2020-02-29
매커스,2020-03-31,2019-09-30,2020-02-29
삼화네트웍스,2020-03-31,2019-09-30,2020-02-29
와이비엠넷,2020-03-31,2019-09-30,2020-02-29
바이오톡스텍,2020-03-31,2019-09-30,2020-02-29
현대이지웰,2020-03-31,2019-09-30,2020-02-29
위메이드플레이,2020-03-31,2019-09-30,2020-02-29
디지틀조선일보,2020-03-31,2019-09-30,2020-02-29
이글루코퍼레이션,2020-03-31,2019-09-30,2020-02-29
모비스,2020-03-31,2019-09-30,2020-02-29
한국정보인증,2020-03-31,2019-09-30,2020-02-29
램테크놀러지,2020-03-31,2019-09-30,2020-02-29
서남,2020-03-31,2019-09-30,2020-02-29
위지트,2020-03-31,2019-09-30,2020-02-29
에스피시스템스,2020-03-31,2019-09-30,2020-02-29
멕아이씨에스,2020-03-31,2019-09-30,2020-02-29
뉴인텍,2020-03-31,2019-09-30,2020-02-29
한국비엔씨,2020-03-31,2019-09-30,2020-02-29
티로보틱스,2020-03-31,2019-09-30,2020-02-29
한네트,2020-03-31,2019-09-30,2020-02-29
에스지에이클라우드서비스,2020-03-31,2019-09-30,2020-02-29
라온시큐어,2020-03-31,2019-09-30,2020-02-29
헥토파이낸셜,2020-03-31,2019-09-30,2020-02-29
초록뱀컴퍼니,2020-03-31,2019-09-30,2020-02-29
메드팩토,2020-03-31,2019-09-30,2020-02-29
큐로홀딩스,2020-03-31,2019-09-30,2020-02-29
씨제이바이오사이언스,2020-03-31,2019-09-30,2020-02-29
팬엔터테인먼트,2020-03-31,2019-09-30,2020-02-29
코아시아,2020-03-31,2019-09-30,2020-02-29
원익피앤이,2020-03-31,2019-09-30,2020-02-29
