종목명,신문사,시간,제목,본문
성융광전투자,서울경제,2011.11.01. 오후 2:21,한국항공우주. 성융광전투자 등 종목분석,"매주 월요일부터 금요일, 장 마감 후 시청자의 포트폴리오를 책임지는 서울경제TV 생방송 ‘센(SEN) 투자플러스’는 매일 두명씩의 국내대표 증시전문가들이 출연해 최상의 투자전략을 제시한다.

1일에는 B&S인베스트먼트의 김형근 대표와 서울경제TV의 정양환 전문가가 출연해 새롭게 발굴한 투자 종목 소개는 물론, 다양한 종목에 대한 A/S도 진행한다.

특히, 실시간 전화와 문자를 통해 시청자들의 궁금증을 들어주는 생방송 ‘센(SEN) 투자플러스’는 1일 오후 5시부터 전화 연결을 통해 한국항공우주와 성융광전투자 등에 대한 종목 상담을 해 준다.

또 60초 스피드 종목 상담에서는 호남석유․ 오스템임플란트․ 하이닉스․ LG화학․ 삼성중공업․ 대덕전자 에 대한 상담이 예정돼 있다.

그 외에도 시청자들의 관심 종목에 대한 궁금증을 오후 5시 25분과 5시 40분부터 약 10분 동안 ‘60초 스피드 실시간 종목상담’을 통해 풀어준다. SEN plus 전문가 방송에서도 최고의 전문가들을 통해 실시간 종목 상담 및 종목을 추천 받을 수 있다.

종목상담 무료문자 전화번호는 013-3366-0110. 서울경제TV는 케이블과 인터넷(www.sentv.co.kr)을 통해 시청이 가능하다. /서울경제TV

한국아이닷컴 인기기사
ㆍ""전세계 이대로 가다간…"" 초강력 경고
ㆍ""딴 휴대폰은…"" 아이폰 시리의 배꼽잡는 답변
ㆍ밤만 되면 길가는 여성에 딱 붙어서…
ㆍ너무 커버린 안철수가 딴마음 품을까봐…
ㆍ'설화수' 아성 위협할 한방화장품 뜬다


[ⓒ 인터넷한국일보(www.hankooki.com), 무단 전재 및 재배포 금지]"
성융광전투자,아시아경제,2011.11.15. 오후 6:23,"성융광전투자, 외국계 투자사가 지분 6.54% 매각","[아시아경제 천우진 기자] 성융광전투자는 영국령 버진아일랜드에 거점을 둔 GIGA WEALTH INTERNATIONAL LIMITED에서 투자자금회수를 위해 주식 462만6900주(6.54%)를 팔아 지분율이 기존 8.15%에서 1.61%로 낮아졌다고 15일 공시했다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[아시아경제 SNS] 부자되는 뉴스~ 친구와 공유하세요!

천우진 기자 endorphin00@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""박원순은 '빨갱이' 뒷목 때린 그녀 결국…""

▶ ""재벌가 며느리 될 최정윤 사는 집 가격이…""

▶ ""군대 대신 '감옥' 갔는데 이게 웬 날벼락?""

▶ 대박 난 '꼬꼬면' 바라보던 농심의 '대반격'

▶ ""은퇴하고 떠난 강호동 의원님으로 복귀?"""
성융광전투자,파이낸셜뉴스,2011.12.02. 오전 9:25,"성융광전투자, 중국 최대 원전기업과 파트너십 체결","성융광전투자유한공사는 중국 국영 에너지기업 ‘광동원전그룹’의 자회사인 ‘중광핵태양광개발유한공사’(이하 중광)와 양해각서(MOU)를 통한 파트너십을 맺고 중국 내수시장에서 본격적인 매출을 시작한다고 2일 밝혔다.

‘광동원전그룹’은 중국 최대의 원전기업으로 정부의 신재생에너지 시장 확대 정책에 발맞춰 태양광발전기업인 ‘중광’을 자회사로 두고 태양광발전소의 개발, 건설 및 운영 등의 사업을 영위하고 있다.

올해 말까지 중국 내에 총 220MW 규모의 태양광발전소 완공을 추진하고 있으며 내년에는 800MW 규모의 태양광발전소 건설을 계획하는 등 공격적인 태양광 시장 확대에 앞장서고 있다.

특히 100MW 규모의 발전소를 장강삼각주 지역에 건설할 예정이며 이와 관련 ‘중광’이 성융광전투자와 합작을 맺고 사업을 진행하는 것이 이번 MOU의 골자다.

MOU에 따르면 합작으로 건설하는 태양광발전소는 ‘중광’이 발전소 설계, 건설, 운영 등을 책임지며 성융광전은 건설에 필요한 태양광모듈 및 주요 설비, 그리고 인력을 제공하게 된다.

특히 완공되는 발전소는 100% ‘중광’의 자회사로 편입되며 성융광전은 고정자산투자 리스크 없이 모듈 및 기타 서비스를 매출하게 된다, 여기에 건설될 발전소는 성융광전투자의 태양광모듈 사용을 전제로 중국 정부의 태양광발전 관련 지원을 받는다. MOU 유효기간은 향후 10년으로 정해졌다.

양측은 MOU에 해당하는 최초 프로젝트로 성융광전투자가 위치하고 있는 강소성 장가항시에 태양광발전소를 건설하기로 합의했으며 발전규모는 20MW, 착공시기는 2012년 상반기 내로 정해졌다.

성융광전투자 국내 관계자는 “세계 최대의 시장인 유럽이 재정위기로 몸살을 앓으면서 태양광 시장의 구원투수로 나서 향후 급격한 성장이 기대되는 중국 내수시장에 성융광전투자가 본격적으로 진입하는 신호탄이며 매우 의미있는 합작이 될 것”이라고 기대감을 나타냈다.


/fnkhy@fnnews.com 김호연기자

■ 오늘의 핫뉴스
▶ 오스트리아에 실습 가능한 ‘섹스 국제학교’ 개교
▶ 무선인터넷 전자파, “정자 DNA까지 손상시켜”
▶ 공인인증서 인터넷 재발급 못받는다
▶ 30대 유부녀의 ‘이중생활’..첩보영화 뺨치네
▶ ‘야한 옷차림’이 성범죄를 유발한다고?


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
성융광전투자,아시아경제,2011.12.02. 오전 9:52,"성융광전투자, 中 국영 에너지기업과 태양광발전 MOU","[아시아경제 송화정 기자]성융광전투자유한공사가 중국 국영 에너지기업 광동원전그룹의 자회사인 중광핵태양광개발유한공사(이하 중광)와 양해각서(MOU)를 통한 파트너십을 맺고 중국 내수시장에서 본격적인 판매를 시작한다고 2일 밝혔다.

중국 국영 에너지기업 광동원전그룹은 중국의 유일, 최대의 원전기업이다 중국 정부의 신재생에너지 시장 확대 정책에 발맞춰 태양광발전기업인 중광을 자회사로 두고 태양광발전소의 개발, 건설 및 운영 등의 사업을 영위하고 있다. 광동원전그룹은 중광을 통해 올해 말까지 중국 내에 총 220MW 규모의 태양광발전소 완공을 추진하고 있으며 2012년에는 800MW 규모의 태양광발전소 건설을 계획하는 등 공격적인 태양광 시장 확대에 앞장서고 있다.

100MW 규모의 발전소를 장강삼각주 지역에 건설할 예정으로 이와 관련해 중광이 성융광전투자와 합작을 맺고 사업을 진행하는 것이 이번 MOU의 골자다.

MOU에 따르면 합작으로 건설하는 태양광발전소는 중광이 발전소 설계, 건설, 운영 등을 책임지며 성융광전은 건설에 필요한 태양광모듈 및 주요 설비, 그리고 인력을 제공하게 된다. 특히 완공되는 발전소는 100% 중광핵태양광의 자회사로 편입돼 성융광전은 고정자산투자 리스크 없이 모듈 및 기타 서비스의 판매하게 된다는 점, 그리고 성융광전투자의 태양광모듈 사용을 전제로 중국 정부의 태양광발전 관련 지원 대상이 된다는 점이다. 이번 MOU의 유효기간은 향후 10년으로 정해졌다.

양사는 MOU에 해당하는 최초 프로젝트로 성융광전투자가 위치하고 있는 강소성 장가항시에 태양광발전소를 건설하기로 합의했으며 발전규모는 20MW, 착공시기는 2012년 상반기 내로 정해졌다.

성융광전투자의 국내 관계자는 ""향후 급격한 성장이 기대되는 중국 내수시장에 성융광전투자가 본격적으로 진입하는 신호탄이며 매우 의미있는 합작이 될 것""이라며 기대감을 내비쳤다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[아시아경제 SNS] 부자되는 뉴스~ 친구와 공유하세요!

송화정 기자 yeekin77@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""좀 비싼 '꼬꼬면' 진짜 없어서 못팔더니…""

▶ '나가사끼 짬뽕' 초대박 났다더니 ""이럴수가""

▶ ""1등 신랑감? 키 177.5cm정도에 연봉은…""

▶ ""현빈때문에…"" 노스페이스=교복 무너지나

▶ ""미국서 '의문사' 정윤희 아들 부검결과가…"""
성융광전투자,헤럴드POP,2011.12.02. 오전 10:41,"<생생코스닥>성융광전투자, 中 국영 에너지기업과 태양광발전 MOU 체결","성융광전투자유한공사(900150)는 중국 국영 에너지기업 ‘광동원전그룹’의 자회사인 ‘중광핵태양광개발유한공사’(이하 중광)와 MOU를 통한 파트너십을 맺고 중국 내수시장에서 본격적인 매출을 시작한다고 2일 밝혔다.

광동원전그룹은 중국 유일의 원전기업이다. 중국 정부의 신재생에너지 시장 확대 정책에 발맞춰 태양광발전기업인 중광을 자회사로 두고 태양광발전소 개발, 건설 및 운영 등의 사업을 영위하고 있다.

광동원전그룹은 중광을 통해 올해 말까지 중국 내에 총 220MW 규모의 태양광발전소 완공을 추진하고 있으며, 2012년에는 800MW 규모의 태양광발전소 건설을 계획하고 있다.

특히 100MW 규모의 발전소를 장강삼각주 지역에 건설할 예정이며, 이와 관련 중광이 성융광전투자와 합작을 맺고 사업을 진행한다는 것이 이번 MOU의 골자다. 해당 MOU의 유효기간은 10년이다.

합작으로 건설하는 태양광발전소는 중광이 발전소 설계, 건설, 운영 등을 책임지며 성융광전투자는 건설에 필요한 태양광모듈 및 주요 설비, 인력을 제공하게 된다.

양사는 MOU에 해당하는 최초 프로젝트로 성융광전투자가 위치하고 있는 강소성 장가항시에 태양광발전소를 건설하기로 합의했다. 발전규모는 20MW, 착공시기는 2012년 상반기 내이다.

성융광전투자 관계자는 “세계 최대의 시장인 유럽이 재정위기로 몸살을 앓으면서 태양광 시장의 구원투수로 나선 중국의 내수시장에 성융광전투자가 본격적으로 진입하는 신호탄이다. 매우 의미있는 합작이 될 것”이라고 말했다.

신수정 기자/ssj@heraldm.com
 




▶ 연비 리터당 61km 가는 차 시판 개시
▶ '나가수' 자우림 이을 다음 가수는?
▶ 바람난 女의 최후..몸에 '똥 문신' 새겨져
▶ 투잡맨들이 가장 많이 하는 일은?
▶ 내게 맞는 대출 상품 한눈에 확인!

- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
성융광전투자,아시아경제,2011.12.07. 오후 5:16,"[공시Plus]성융광전투자, 성장 위해 최대주주 사재출연","[아시아경제 송화정 기자]성융광전투자유한공사는 7일 이사회 결정을 통해 최대주주인 이규성 회장으로부터 자금을 차입한다는 내용을 공시했다.

이 회장이 성융광전투자에 대여하는 금액은 1200만 달러(약 135억원)이며 전액 무이자 대여로 진행된다.

성융광전투자는 지난 주 중국 국영 에너지기업 광동원전그룹의 자회사 중광핵태양광개발유한공사(이하 중광)와 합작사업에 대한 양해각서(MOU)를 체결했다. 이번 차입자금은 중광과의 태양광 발전사업 부족자금 보충분과 기타 운전자금으로 사용될 계획이다.

성융광전투자 IR관계자는 ""회사의 성장을 위해 사재를 털어 회사에 무이자로 대여하는 것은 쉬운 결정이 아니다. 최대주주와 경영자로서 책임경영을 실천하는 것으로 이해할 수 있다""면서 ""또한 자금 유입으로 회사의 경영 안정성이 확대되고 예정돼 있는 사업에 투자됨으로써 향후 실적에 플러스로 작용할 수 있을 것으로 기대한다""고 설명했다.

이 회장은 ""유래없는 태양광 산업 불황기에 성융광전투자도 어려운 시기를 겪고 있다. 이러한 상황에서 턴어라운드해 성장을 지속하기 위해 자금이 필요했고 결과적으로 개인지분 일부를 처분, 회사에 대여하기로 결심했다. 이후 추가적인 지분 매도는 없을 것""이라고 말했다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[아시아경제 SNS] 부자되는 뉴스~ 친구와 공유하세요!

송화정 기자 yeekin77@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ '꼬꼬면' 얼마나 잘 팔리길래 이경규에게…

▶ '피부미인' 소리 듣던 고현정 결국에는…

▶ '나가사끼 짬뽕' 초대박 났다더니 ""이럴수가""

▶ 수학도 사전이 있다? 동영상 사전 ‘스카이로’

▶ ""현빈때문에…"" 노스페이스=교복 무너지나"
성융광전투자,파이낸셜뉴스,2011.12.07. 오후 5:44,성융광전투자 이규성 회장 사재 출연...회사에 무이자 대여,"성융광전투자유한공사는 이사회 결정을 통해 최대주주인 이규성 회장으로부터 자금을 차입한다고 7일 공시를 통해 밝혔다.

이 회장이 성융광전투자에 대여하는 금액은 1200만달러(약 135억원)로 전액 무이자 대여다.

차입자금은 지난 주 합작사업 양해각서(MOU)를 체결한 중국 국영에너지 기업 광동원전기업 자회사 중광핵과의 태양광 발전사업 부족 자금 보충과 기타 운전자금으로 사용될 계획이다.

성융광전투자 IR 관계자는 “회사의 성장을 위해 사재를 털어 회사에 무이자로 대여하는 것은 쉬운 결정이 아니다”라며 “최대주주와 경영자로써 책임경영을 실천하는 것으로 이해할 수 있다”고 설명했다.

이어 그는 “자금 유입으로 회사의 경영 안정성이 확대되고 예정돼 있는 사업에 투자됨으로써 향후 실적에 플러스로 작용할 수 있을 것으로 기대한다”고 덧붙였다.

성융광전투자 이규성 회장은 “유래없는 태양광 산업 불황기에 어려운 시기를 겪고 있다”며 “턴어라운드를 통한 성장 지속을 위해 자금이 필요했고 결과적으로 개인지분 일부를 처분, 회사에 대여하기로 결심했다”고 배경을 설명했다.

단. 이후 추가적인 지분 매도는 없을 것으로 강조했다.



/fnkhy@fnnews.com 김호연기자

■ 오늘의 핫뉴스
▶ 세입자 이사할 때 ‘이 돈’ 꼭 돌려받아요!
▶ 용감한 중년여성, 지하철 막장남에 질타 ‘찬사’
▶ 경차의 통쾌한 복수…“대형차, 주차 똑바로 해”
▶ 한국여성 기망한 외국인 임원, 윤리경영에 ‘철퇴’
▶ 쓰레기통에서 발견된게 뭐길래..미국 경악


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
성융광전투자,이데일리,2011.12.07. 오후 6:08,"성융광전투자, 이규성 회장 사재 135억원 출연","[이데일리 임성영 기자] 성융광전투자(900150)는 이사회 결정으로 최대주주인 이규성 회장으로부터 자금을 차입한다고 7일 밝혔다.

이규성 회장은 대여자금 마련을 위해 보유주식 823만2807주(12.82%)를 장내 매도해 지분율이 기존 33.41%에서 20.59%로 감소했다.

이규성 회장이 성융광전투자에 대여하는 금액은 1200만 달러(우리돈 135억원)규모이며 전액 무이자 대여로 진행될 예정이다.

이규성 성융광전투자 회장은 ""태양광 산업 불황기로 성융광전투자도 어려운 시기를 겪고 있다""며 ""성장을 지속하기 위해 자금이 필요했고 결과적으로 개인지분을 일부 처분해 회사에 대여키로 했다""고 밝혔다.

이어 ""이후 추가적인 지분 매도는 없을 것""이라고 덧붙였다.

한편, 이번 차입자금은 중국국영에너지 기업인 광동원전기업 자회사 중광핵화의 태양광 발전사업 부족자금 보충분과 기타 운영자금으로 사용될 계획이다.



▶ 당신의 생활 속 Anytime Anywhere 이데일리 모바일 http://m.edaily.co.kr
▶ 경제중심 종합일간지 `이데일리신문` 구독신청 02-3772-9488
▶ 독자와 소통하는 이데일리 SNS 서비스 트위터 / 페이스북
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재&재배포 금지＞
＜스마트 경제방송채널 - 이데일리TV＞"
성융광전투자,세계일보,2011.12.08. 오전 9:19,"[특징주] 성융광전투자, 자금 차입에 상승","[세계파이낸스]성융광전투자가 최대주주인 이규성 회장으로부터 자금을 차입한다는 소식에 급등세를 보이고 있다.

8일 오전 9시12분 현재 성융광전투자는 전 거래일 대비 13.53% 치솟은 1720원에 거래되고 있다.

성융광전투자는 전일 공시를 통해 ""대여자금 마련을 위해 이사회 결정으로 최대주주인 이규성 회장의 보유 주식 823만2807주(12.82%)를 장내매도 했다""고 밝혔다. 이에 이규성 회장의 지분율은 기존 33.41%에서 20.59%로 감소했다.

이규성 회장이 성융광전투자에 대여하는 금액은 1200만 달러(우리돈 135억원)규모이며 전액 무이자 대여로 진행될 예정이다.

이영은 세계파이낸스 기자 eun614@segyefn.com
[Segye.com 인기뉴스]
◆ '재학생 절반이나' 성폭력 당했는데… 교사들 '모른척'
◆ 현직 판사 ""SNS심의? 내 트윗도 심의해봐…""
◆ ""클릭 잘못해서 입대했다"" 절박한 글, 알고보니…
◆ 도심 아침에 '묻지마 살인' 행인들은 지켜만 봐
◆ '100분 토론' 신촌냉면집의 진실, 거짓말 논란
[ⓒ 세계파이낸스 & Segye.com, 무단 전재 및 재배포 금지]
세계일보 [지면보기] [스마트캠페인] [트위터/페이스북/미투데이]
<세계닷컴은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>"
성융광전투자,한국경제,2011.12.08. 오전 9:22,"[특징주]성융광전투자, 강세…이규성 회장 사재출연","성융광전투자가 최대주주인 이규성 회장의 사재 출연 소식에 강세다.

8일 오전 9시 19분 현재 성융광전투자는 전날 대비 185원(12.21%) 뛴 1700원에 거래되고 있다. 장 초반 가격제한폭까지 치솟기도 했다.

성융광전투자는 전날 최대주주인 이규성 회장으로부터 자금을 차입한다고 밝혔다.

금융감독원에 따르면 이 회장은 보유주식 823만2807주(지분 12.82%)를 장내 매도, 지분율이 기존 33.41%에서 20.59%로 줄어들었다. 이 회장이 성융광전투자에 대여하는 금액은 약 135억원으로 태양광 발전사업 자금 등으로 사용될 예정이다.

한경닷컴 김효진 기자 jinhk@hankyung.com

▶[주식투자] 증권방송 밥 T V에서 수억원 뜯어낸 전업주부 화제만발!

▶[한경이벤트] 투자계획서 읽고 추천하면 24K 미니골드바를 드립니다

▶ 서태지와 아이들 '숨겨놓은 아내 있었다' 비밀결혼

▶ [포토] 전지현, '아찔한 S라인으로 우아하게~'

▶ 곽현화 7kg 감량, 갸름 턱선+명품 비키니 몸매 '물오른 미모'

▶ [포토] 이민정, '종아리 근육 건강미 물씬'

▶ 고현정 vs 김혜수, 같은 옷 다른 느낌 '시크한 레이디 룩'

<성공을 부르는 습관>

ⓒ 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
