종목명,신문사,시간,제목,본문
피에스엠씨,연합뉴스,2011.10.15. 오전 7:33,"부산 피에스엠씨, 정리해고 둘러싸고 노사마찰","(부산=연합뉴스) 김상현 기자 = 부산의 전자부품 제조업체인 피에스엠씨(옛 풍산마이크로텍)에서도 정리해고를 둘러싼 노사마찰이 일고 있다.

15일 민주노동당 부산시당과 지역 노동계 등에 따르면 부산 해운대구 반여동에 위치한 피에스엠씨는 지난 8월 정리해고를 철회한다는 노사간 합의를 번복하고 지난 6일 전체 임직원의 30%에 해당하는 77명에 대한 정리해고계획서를 부산고용노동청에 제출했다.

피에스엠씨는 올해 초 27억원의 자금으로 풍산마이크로텍을 인수하면서 고용 및 근로조건 단체협약을 모두 승계하고 퇴직금 일괄 중간정산과 노동조합 경영참가 등을 약속했다.

그러나 경영난이 계속되자 지난 4월 유상증자를 위해 임금과 상여금을 삭감해야 한다고 주장하면서 노조에 정리해고를 통보했고 노조와 4개월여에 걸친 협상 끝에 지난 8월 정리해고를 철회하기로 하는 노사합의서를 작성하기에 이르렀다.

이후 회사는 ""회사가 지난 6년간 연속 적자를 기록하면서 경영사정이 악화돼 정리해고가 불가피하다""며 다시 정리해고를 추진하고 나섰다.

이에 대해 노조는 ""회사가 초기 인수자금 외 더 이상의 투자는 하지 않은 채 임금삭감과 정리해고로 추가 자금을 마련하려고 한다""며 ""일부에서는 경영진이 정리해고로 회사 재무구조를 개선한 뒤 지분을 되팔려 한다는 추측까지 나오고 있다""고 반발했다.

노조는 지난 12일 부산고용노동청 앞에서 사측의 정리해고 방침 철회를 촉구하는 집회를 열기도 했다.

민노당 부산시당도 최근 성명을 내고 피에스엠씨 경영진에 대해 경영정상화를 위해 정리해고를 남발할 것이 아니라 성실한 노사 협의에 나서야 할 것이라고 촉구했다.

민노당 부산시당 김동윤 대변인은 ""피에스엠씨는 노사합의를 뒤집고 정리해고만 강행할 것이 아니라 경영난 해소를 위한 자구안 마련 등을 위해 노조와의 적극적인 협상에 나서야 한다""고 주장했다.

joseph@yna.co.kr

<연합뉴스 모바일앱 다운받기> <포토 매거진>

<저작권자(c)연합뉴스. 무단전재-재배포금지.>"
피에스엠씨,연합뉴스,2011.11.03. 오전 8:56,부산 피에스엠씨 직원 30% 정리해고..노조 반발,"(부산=연합뉴스) 김선호 기자 = 부산의 전자부품 제조업체인 피에스엠씨(옛 풍산마이크로텍)에서도 정리해고를 둘러싼 노사마찰이 일고 있다.

15일 부산 노동계 등에 따르면 부산 해운대구 반여동에 위치한 피에스엠씨는 오는 7일 전체 임직원 260명 가운데 30%인 77명을 정리해고할 예정이다.

피에스엠씨 측은 정리해고 이유에 대해 6년째 연 50억원의 적자가 발생하고 있어 인력 감축이 불가피하다고 밝혔다.

그러나 노조는 이에 대해 사측이 정리해고를 하지않겠다고 한 지난 8월의 노사합의를 깨려 한다며 반발하고 있다.

피에스엠씨는 올해 초 27억원의 자금으로 풍산마이크로텍을 인수하면서 고용과 근로조건 단체협약을 모두 승계하고 퇴직금 일괄 중간정산과 노동조합 경영참가 등을 약속했다.

그러나 경영난이 계속되자 지난 4월 유상증자를 위해 임금과 상여금을 삭감해야 한다고 주장하면서 노조에 정리해고를 통보했고 노조와 4개월여에 걸친 협상 끝에 지난 8월 정리해고를 철회하기로 하는 노사합의서를 작성한 바 있다.

wink@yna.co.kr

<연합뉴스 모바일앱 다운받기> <포토 매거진>

<저작권자(c)연합뉴스. 무단전재-재배포금지.>"
피에스엠씨,연합뉴스,2011.11.03. 오전 10:43,부산 피에스엠씨 정리해고 예고..노조 반발(종합),"(부산=연합뉴스) 김선호 기자 = 부산의 전자부품 제조업체인 피에스엠씨(옛 풍산마이크로텍)에서도 정리해고를 둘러싼 노사마찰이 일고 있다.

3일 부산 노동계 등에 따르면 부산 해운대구 반여동에 위치한 피에스엠씨는 오는 7일 전체 임직원 260명 가운데 30%인 77명을 정리해고할 예정이다.

피에스엠씨 측은 정리해고 이유에 대해 6년째 연 50억원의 적자가 발생하고 있어 인력 감축이 불가피하다고 밝혔다.

그러나 노조는 이에 대해 사측이 정리해고를 하지 않겠다고 한 지난 8월의 노사합의를 깨려 한다며 반발하고 있다.

노조는 지난달 27일 부산시청 광장에서 집회를 열고 회사 정상화와 정리해고 철회를 촉구하며 서면까지 가두행진을 벌인 데 이어 2일 오후부터 전면파업에 돌입하는 등 회사의 정리해고 방침에 맞서고 있다.

노조 관계자는 ""풍산그룹이 회사를 매각한 뒤 정확한 인수자를 알 수 없는 상황에서 회사의 새주인은 투자 없이 노동자들의 임금삭감으로 적자를 만회하고 유상증자가 필요하다는 이유로 정리해고를 단행하는 것은 받아들일 수 없다""며 ""회사 매각 배후에는 투기자본이 있다는 의혹을 지울 수 없다""고 주장했다.

피에스엠씨는 올해 초 27억원의 자금으로 풍산마이크로텍을 인수하면서 고용과 근로조건 단체협약을 모두 승계하고 퇴직금 일괄 중간정산과 노동조합 경영참가 등을 약속했다.

그러나 경영난이 계속되자 지난 4월 유상증자를 위해 임금과 상여금을 삭감해야 한다고 주장하면서 노조에 정리해고를 통보했고 노조와 4개월여에 걸친 협상 끝에 지난 8월 정리해고를 철회하기로 하는 노사합의서를 작성한 바 있다.

wink@yna.co.kr

<연합뉴스 모바일앱 다운받기> <포토 매거진>

<저작권자(c)연합뉴스. 무단전재-재배포금지.>"
피에스엠씨,세계일보,2011.11.03. 오후 3:21,부산 피에스엠씨 정리해고 77명 예고…노조 반발,"[세계일보]
전자부품 제조업체인 피에스엠씨(옛 풍산마이크로텍)에서 정리해고를 둘러싼 노사 마찰이 일고 있다.

3일 부산 노동계 등에 따르면 부산 해운대구 반여동에 위치한 피에스엠씨는 오는 7일 전체 임직원 260명 가운데 30%인 77명을 정리해고할 예정이다.

피에스엠씨 측은 정리해고 이유에 대해 6년째 연 50억원의 적자가 발생하고 있어 인력 감축이 불가피하다고 밝혔다.

그러나 노조는 이에 대해 사측이 정리해고를 하지 않겠다고 한 지난 8월의 노사합의를 깨려 한다며 반발하고 있다.

노조는 지난달 27일 부산시청 광장에서 집회를 열고 회사 정상화와 정리해고 철회를 촉구하며 서면까지 가두행진을 벌인 데 이어 2일 오후부터 전면파업에 돌입하는 등 회사의 정리해고 방침에 맞서고 있다.

노조 관계자는 “풍산그룹이 회사를 매각한 뒤 정확한 인수자를 알 수 없는 상황에서 회사의 새 주인은 투자 없이 노동자들의 임금삭감으로 적자를 만회하고 유상증자가 필요하다는 이유로 정리해고를 단행하는 것은 받아들일 수 없고, 회사 매각 배후에는 투기자본이 있다는 의혹을 지울 수 없다”고 주장했다.

피에스엠씨는 올해 초 27억원의 자금으로 풍산마이크로텍을 인수하면서 고용과 근로조건 단체협약을 모두 승계하고 퇴직금 일괄 중간정산과 노동조합 경영참가 등을 약속했다.

그러나 경영난이 계속되자 지난 4월 유상증자를 위해 임금과 상여금을 삭감해야 한다고 주장하면서 노조에 정리해고를 통보했고 노조와 4개월여에 걸친 협상 끝에 지난 8월 정리해고를 철회하기로 하는 노사합의서를 작성한 바 있다.

부산=전상후 기자 sanghu60@segye.com
[Segye.com 인기뉴스]
◆ 김을동 ""난 정말 장군의 손녀""… 도올에 '분통'
◆ ""학교 가는 길에 낯뜨거운 성매매 전단지가…""
◆ 에너지음료 과다복용 ""손 덜덜…심장 쿵쿵""
◆ ""용문신 무섭지?""…10대 가출女 성폭행
◆ 한국 방문 日여대생, 호텔서 남성과 나간 뒤…

[ⓒ 세계일보 & Segye.com, 무단 전재 및 재배포 금지]
세계일보 [지면보기] [스마트캠페인] [트위터/페이스북/미투데이]
<세계닷컴은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>"
피에스엠씨,연합뉴스,2011.11.07. 오전 10:02,"부산 피에스엠씨 노조 ""정리해고 철회해야""","(부산=연합뉴스) 김선호 기자 = 부산의 전자부품 제조업체인 피에스엠씨(옛 풍산마이크로텍) 노조가 7일 오전 부산시청 광장에서 기자회견을 열어 사측의 정리해고 단행을 규탄했다.

노조는 ""사측은 회사경영이 어렵다면서도 임원 연봉 인상과 유상증자를 하는 대신 직원 58명을 정리해고하는 이중적인 행태를 보이고 있다""며 ""정리해고된 직원 상당수가 노조 간부인데 노조파괴를 겨냥한 정리해고가 분명하다""고 지적했다.

노조는 또한 ""근로기준법에 따르면 정리해고 통지를 최소한 30일 전에 해야 하지만 사측은 지난 5일 해고통지서를 보낸 뒤 이틀만에 정리해고를 단행해 관련 법률을 어겼다""며 ""정리해고를 받아들일 수 없다""고 주장했다.

노조는 186명의 조합원이 지난 2일부터 정리해고에 맞서 전면파업을 벌이고 있다.

피에스엠씨는 올해 초 27억원의 자금으로 풍산마이크로텍을 인수하면서 고용과 근로조건 단체협약을 모두 승계하고 퇴직금 일괄 중간정산과 노동조합 경영참가 등을 약속했다.

그러나 지난 4월 유상증자를 위해 임금과 상여금을 삭감해야 한다고 주장하면서 노조에 정리해고를 통보했고 노조와 4개월여에 걸친 협상 끝에 지난 8월 정리해고를 철회하기로 하는 노사합의서를 작성한 바 있다.

wink@yna.co.kr

<연합뉴스 모바일앱 다운받기> <포토 매거진>

<저작권자(c)연합뉴스. 무단전재-재배포금지.>"
피에스엠씨,오마이뉴스,2011.11.07. 오후 2:55,부산 피에스엠씨 대규모 정리해고... 노조 파괴용?,"[오마이뉴스 윤성효 기자](주)피에스엠씨(PSMC, 옛 풍산마이크로텍)가 대규모 정리해고를 해 노동조합이 반발하고 있다. 회사는 생산직 58명에게 지난 7일, 해고 통지서를 보냈다. 전국금속노동조합 부산양산지부 풍산마이크로텍지회는 파업을 벌이면서 '부당 정리해고 철회'를 촉구하고 나섰다.
부산광역시 해운대구 반여동에 있는 피에스엠씨는 전자부품(리드프레임)을 생산하는 업체다. 전체 직원은 260여 명이다. 풍산그룹 소속이었는데 지난해 12월 (주)하이디스에 매각됐다.
회사는 지난 9월 노조 지회에 ""11월 7일 총원 30%를 정리해고 하겠다""고 공문을 보냈다. 이어 회사는 10월 6일 부산지방고용노동청에 ""77명을 해고하겠다""고 신고했으며, 희망퇴직 신청을 받은 뒤 이날 정리해고 통보(58명)를 한 것이다.
▲ (주)피에스엠씨(PSMC, 옛 풍산마이크로텍)가 대규모 정리해고를 단행한 가운데, 전국금속노동조합 부산양산지부 풍산마이크로텍지회는 파업을 벌이면서 ‘부당 정리해고 철회’를 촉구하고 나섰다.
ⓒ 유장현
노-사는 순환휴직 등을 놓고 교섭을 벌이다 지난 8월 말에 결렬됐다. 노조 지회는 부분파업과 집회에 이어 지난 2일부터 전면파업을 벌이고 있다.
노조 지회는 7일 부산시청 앞 광장에서 기자회견을 열고 ""경영진들은 회사가 어렵다면서도 작년보다 23%임금을 인상해 받아가고, 10억 원에 이르는 유상증자를 하고도 어찌 노동자 58명을 해고하느냐. 참으로 놀라운 일""이라며 """"한진중공업 사태와 똑같은 양상이 벌어지고 있다""고 밝혔다.
정리해고자 안에는 노조 지회장과 부지회장, 사무장 등 노조 임원 4명 가운데 3명이 포함돼 있다. 또 노조 지회 집행위원 간부 5명 가운데 4명, 대의원 15명 가운데 10명이 포함됐다. 노조 간부 25명 중 17명이 해고자에 들어가 있는 셈이다.
노조 지회는 ""초창기 노조 조합원 23명 가운데 20명이 정리해고자에 포함됐다. 명백히 노조파괴를 겨냥한 불법 정리해고""라고 밝혔다.
노조 지회는 ""불법적이고 부당한 정리해고에 맞서 끝까지 투쟁할 것""이라며 ""회사를 비밀리에 매각하여 수십 년 동안 풍산그룹을 키워온 노동자들을 죽음으로 몰고 가는 것에 대한 책임과 대책을 요구하는 투쟁을 적극적으로 벌여나갈 것""이라고 밝혔다.
또 노조 지회는 ""일자리창출과 기업유치에 말만 앞세우고, 진작 부산을 키우고, 부산경제를 지켜온 노동자들의 해고를 수수방관하며 부산제조업체의 유지발전과 고용안정을 외면하는 허남식 부산시장도 책임질 것""을 촉구했다.



[최근 주요기사]
☞ ""박정희 쏜 김재규최후진술에 담긴 경고""
☞ '기립박수' MB 미국 연설, 미국 용역업체 작품?
☞ 박원순 ""정부는 한미 FTA 일방처리 말라""
☞ 20년 '애인'과 이별, 수명 102일 연장됐다
☞ 폭음에 빠진 의자왕, 16년 3월에 무슨 일이?


오마이뉴스 아이폰 앱 출시! 지금 다운받으세요."
피에스엠씨,머니투데이,2011.11.14. 오후 4:23,"피에스엠씨, 3Q 영업손 13억원...전년比 '적자전환'","[머니투데이 김건우 기자]피에스엠씨는 3분기 영업손실이 13억 983만원으로 전년동기대비 적자전환했고, 매출액은 같은기간 15.5% 감소한 179억 8175만원이라고 14일 공시했다.
[나도 부자가 될 수 있을까? 긴급 추천 스마트정보!]

[머니투데이 핫뉴스]
☞ '뉴 제네시스 쿠페' 출시…2620만~3745만원
☞ ""반나절만에 깨진 두바이 황홀경""…아직 어두움이..
☞ ""당신 해고야"" 당장 잘라야 할 3가지 유형의 직원
☞ ‘망고폰’ 상륙…윈도우폰7 벤처기업 ‘대박’ 난다
☞ 美초교, 전 포르노배우 샤샤그레이 일일교사 논란

김건우기자 jai@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
피에스엠씨,이데일리,2012.01.31. 오후 5:47,"피에스엠씨, 주가급등 관련 조회공시","[이데일리 정재웅 기자] 한국거래소 코스닥시장본부는 31일 피에스엠씨(024850)에 대해 최근의 현저한 시황변동(주가급등)에 영향을 미칠 만한 구체적인 사유에 관한 조회공시를 요구했다. 답변시한은 오는 2월1일 오후까지다.

정재웅 (esperanz@edaily.co.kr)


▶ 당신의 생활 속 Anytime Anywhere 이데일리 모바일 http://m.edaily.co.kr
▶ 경제중심 종합일간지 `이데일리신문` 구독신청 02-3772-9488
▶ 독자와 소통하는 이데일리 SNS 서비스 트위터 / 페이스북
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재&재배포 금지＞
＜스마트 경제방송채널 - 이데일리TV＞"
피에스엠씨,머니투데이,2012.01.31. 오후 5:47,[조회공시]피에스엠씨 주가급등 사유,"[머니투데이 권화순 기자]코스닥시장본부는 피에스엠씨에 최근 주가급등 사유를 묻는 조회공시를 31일 요구했다.
답변시한은 1일 오후까지다.
[나도 부자가 될 수 있을까? 긴급 추천 스마트정보!]
[내손안의 스마트한 경제정보 머니투데이 모바일]
[관련 키워드] 피에스엠씨

[머니투데이 핫뉴스]
☞ 이미연, 빚 싫다(?)…60억 빌딩사면서 대출 '0원'
☞ 의대출신'완득이 엄마' 이자스민, 한국남편 잃고…
☞ 박지만 1600억 거부 만든 'EG' 뜯어보니…
☞ 배우 김정은, 빚내고 산 청담동 빌딩 '수억 손해'
☞ 서울대생 2240만원 환급? '기성회비'가 뭐길래…

권화순기자 hstree@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
피에스엠씨,머니투데이,2012.02.01. 오후 4:48,"피에스엠씨 ""주가급등 사유 없다""","[머니투데이 엄성원 기자]피에스엠씨는 1일 조회공시 답변을 통해 현저한 시황변동(주가 급등)과 관련, 별도 공시할 중요 정보가 없다고 밝혔다.
피에스엠씨는 오히려 2008~2010사업연도에 연속 영업손실이 발생한 데 이어 2011사업연도 3분기 말까지 영업손실이 발생했다며 2011사업연도 영업손실 발생이 확정될 경우, 코스닥 시장 규정에 따라 관리종목으로 지정될 수 있다고 전했다.

[나도 부자가 될 수 있을까? 긴급 추천 스마트정보!]
[내손안의 스마트한 경제정보 머니투데이 모바일]
[관련 키워드] 피에스엠씨

[머니투데이 핫뉴스]
☞ 이미연, 빚 싫다(?)…60억 빌딩사면서 대출 '0원'
☞ '장롱폰' 이렇게 파세요… ""최고 30만원""
☞ 김희애의 주차장 재테크…시세차익만 '60억'
☞ ""3시면 장사끝?"" 그 빵집, 분점 안내는 이유
☞ 집 샀다고? '부부 공동명의' 해야하는 이유

엄성원기자 airmaster@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
