종목명,신문사,시간,제목,본문
썬코어,머니투데이,2016.09.30. 오후 6:17,"썬코어 ""중국 합작법인 설립 완료""","[머니투데이 김주현 기자] 썬코어는 30일 '제3자배정 유상증자 추진설'에 대한 조회공시 답변으로 ""중국 사이버넛 인베스트먼트 그룹으로부터 지난해 12월29일 투자의향서를 수령했다""며 ""내용은 5000만 달러 유상증자 의향이었지만, 이후 합작법인을 설립해 각각 2500만 달러씩 투자하는 것으로 내용이 변경됐다""고 밝혔다.

아울러 ""현재 사이버넛 인베스트먼트 그룹과 중국 내 합작법인 설립을 완료했고, 추후 세부적인 투자 내용을 확정할 예정""이라고 덧붙였다.


[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

김주현 기자 naro@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
썬코어,한국경제,2016.10.04. 오전 9:08,"[특징주]썬코어, 강세…""중국 내 합작법인 설립 완료""","[ 채선희 기자 ] 썬코어가 중국 내 합작법인 설립을 완료했다는 소식에 강세다.

4일 오전 9시4분 현재 썬코어는 전날보다 130원(3.37%) 오른 3985원에 거래중이다. 지난 28일 이후 3거래일만에 반등하는 모습이다.

썬코어는 지난 30일 '제3자배정 유상증자 추진설'에 대한 조회공시 답변으로 ""중국 사이버넛 인베스트먼트 그룹으로부터 지난해 12월29일 투자의향서를 수령했다""며 ""내용은 5000만 달러 유상증자 의향이었지만 이후 합작법인을 설립해 각각 2500만 달러씩 투자하는 것으로 내용이 변경됐다""고 밝혔다.

이어 ""현재 사이버넛 인베스트먼트 그룹과 중국 내 합작법인 설립을 완료했고 추후 세부적인 투자 내용을 확정할 예정""이라고 덧붙였다.

채선희 한경닷컴 기자 csun00@hankyung.com


[한경닷컴 바로가기] [스내커] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
썬코어,서울경제,2016.10.04. 오전 9:59,"썬코어, 中 합작법인 설립 완료 소식에 상승세","코스닥 상장사 썬코어(051170)가 중국 내 합작법인 설립 완료 소식에 상승세를 보이고 있다.

4일 오전 9시 57분 현재 썬코어는 전 거래일 대비 3.50% 오른 3,990원에 거래되고 있다.

썬코어는 지난달 30일 ‘제3자배정 유상증자 추진설’에 대한 조회공시 답변으로 “중국 사이버넛 인베스트먼트 그룹으로부터 지난해 12월29일 투자의향서를 수령했다”며 “내용은 5,000만 달러 유상증자 의향이었지만 이후 합작법인을 설립해 각각 2,500만 달러씩 투자하는 것으로 내용이 변경됐다”고 밝혔다.

이어 회사 측은 “현재 사이버넛 인베스트먼트 그룹과 중국 내 합작법인 설립을 완료했고 추후 세부적인 투자 내용을 확정할 예정”이라고 덧붙였다.

/박민주기자 parkmj@sedaily.com


[서울경제 바로가기] [인기포토로 보는 오늘]
서울경제와 친해지는 가장 확실한 방법 [페이스북]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
썬코어,한국경제,2016.10.10. 오후 1:49,"썬코어·썬텍 ""칼리드 사우디 왕자 이달 방한""","[ 한민수 기자 ] 썬코어와 썬텍은 사우디아라비아의 칼리드 빈 알 왈리드 왕자가 양사의 초청으로 3박4일 일정으로 방한한다고 10일 밝혔다.

칼리드 왕자는 중동 최대 부호이자 킹덤홀딩컴퍼니의 회장인 알 왈리드 왕자의 외아들이다. 아사프 재무부 장관의 사위이기도 하다. 칼리드 왕자는 KBW 인베스트먼츠의 회장이며, 킹덤홀딩컴퍼니 이사회의 부의장도 맡고 있다.

이번 방한 기간 중 칼리드 왕자는 썬코어와 썬텍을 방문해 최규선 회장과 면담을 진행한다. 면담 결과는 기자 간담회를 통해 발표할 예정이다.

칼리드 왕자는 또 제주도를 방문해, 제주도에서 진행 중인 투자 방안을 최종 점검할 계획이다.

썬코어 관계자는 ""이번 방한 기간 중 구체적인 투자 방안 및 썬코어와 썬텍의 사우디아라비아 진출에 대한 가시적인 발표가 있을 것""이라고 말했다.

한민수 한경닷컴 기자 hms@hankyung.com


[한경닷컴 바로가기] [스내커] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
썬코어,아시아경제,2016.10.10. 오후 2:04,"썬코어·썬텍, “칼리드 사우디 왕자 10월 중 방한”","[아시아경제 권성회 기자] 썬코어와 썬텍은 사우디아라비아의 칼리드 빈 알 왈리드 왕자가 썬코어와 썬텍의 초청을 받아 3박4일 일정으로 방한한다고 10일 밝혔다.

칼리드 왕자는 중동 최대 부호이자 킹덤홀딩컴퍼니(Kingdom Holding Company)의 회장인 알 왈리드 왕자의 외아들이며, 이브라힘 알아사프 사우디 재무부 장관의 사위이기도 하다. 칼리드 왕자는 KBW 인베스트먼트(KBW Investments)의 회장을 역임하고 있으며, 킹덤홀딩컴퍼니 이사회의 부의장을 맡고 있다.

이번 방한 기간 중 칼리드 왕자는 썬코어와 썬텍을 방문하여 최규선 회장과 면담을 진행하며, 면담 결과는 기자 간담회를 통해 발표할 예정이다.

또한 칼리드 왕자는 제주도를 방문하여 제주도에서 진행 중인 투자 방안을 최종 점검할 계획이다.

썬코어, 썬텍 관계자는 “칼리드 왕자의 썬코어와 썬텍 방문은 그 의미가 크다”며 “이번 방한 기간 중 구체적인 투자 방안 및 썬코어와 썬텍의 사우디아라비아 진출에 대한 가시적인 발표가 있을 것”이라고 밝혔다.




권성회 기자 street@asiae.co.kr

▶ 최강의 재미 [아시아경제 카드뉴스]
▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
썬코어,머니투데이,2016.10.10. 오후 2:36,"[더벨]썬코어 ""사우디 칼리드 왕자, 이달 중 방한""","[더벨 박제언 기자] [최규선 회장과 사우디 '제다 프로젝트' 논의 계획]
더벨|이 기사는 10월10일(14:34) 자본시장 미디어 '머니투데이 thebell'에 출고된 기사입니다.


코스닥 상장사 썬코어와 썬텍은 사우디아라비아의 칼리드 빈 알 왈리드 왕자(이하 칼리드 왕자)가 이달 중 방한하기로 했다고 10일 밝혔다. 이번 칼리드 왕자의 방한은 썬코어와 썬텍의 초청으로 이뤄진다.

방한 기간 동안 칼리드 왕자는 최규선 썬코어 회장과 사우디의 대규모 건설 공사인 '제다 프로젝트'와 관련한 사안들을 논의할 것으로 보인다. 또한 제주도를 방문해 제주도에서 진행하고 있는 투자 방안을 최종 점검할 계획이다.

제다 프로젝트는 200층 높이의 제다 킹덤타워와 그 주변에 신도시를 건설하는 공사를 일컫는다. 주변 신도시만 하더라도 두바이의 3배 규모로 책정됐다. 킹덤타워와 킹덤시티의 1~2단계 공사 규모만 한화로 약 27조 원에 달하는 것으로 발표됐다. 완공까지는 한화로 100조 원 이상의 자금이 투입될 것으로 전망되고 있다.

칼리드 왕자는 중동 최대 부호이자 킹덤홀딩컴퍼니(Kingdom Holding Company)의 회장인 알 왈리드 왕자의 외아들이다. 사우디의 아사프 현 재무부 장관의 사위이기도 하다. 칼리드 왕자는 투자회사인 KBW 인베스트먼트의 회장을 역임하고 있고 알 왈리드 왕자가 회장으로 있는 킹덤홀딩컴퍼니(Kingdom Holding Company) 이사회의 부의장을 맡고 있다.

썬코어 관계자는 ""칼리드 왕자의 이번 방한 기간 중 구체적인 투자 방안 및 썬코어와 썬텍의 사우디아라비아 진출에 대한 가시적인 발표가 있을 것""이라고 전했다.

[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

박제언 기자

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
썬코어,뉴스1,2016.10.10. 오후 2:55,"썬코어?썬텍 ""사우디 칼리드 빈 알 왈리드 왕자 10월중 방한""","칼리드 빈 알 왈리드 왕자(오른쪽 두번째)와 최규선 썬텍·썬코어 회장(오른쪽 첫번째). © News1

(서울=뉴스1) 강현창 기자 = 사우디아라비아의 칼리드 빈 알 왈리드 왕자가 썬코어와 썬텍의 초청으로 한국을 찾아 제주도 투자방안을 논의한다.

썬코어와 썬텍은 사우디아라비아의 칼리드 빈 알 왈리드 왕자가 자사의 요청에 따라 3박4일 일정으로 방한한다고 10일 밝혔다.

칼리드 왕자는 미화 20억달러(한화 약 2조원) 규모의 자본금을 가진 KBW인베스트먼츠(KBW Investments)의 회장이다. 또 중동 최대 부호이자 킹덤홀딩컴퍼니(Kingdom Holding Company)의 회장인 알 왈리드 왕자의 외아들이며 현 아사프 재무부 장관의 사위다.

이번 방한 기간 중 칼리드 왕자는 썬코어와 썬텍을 방문하여 최규선 회장과 면담을 진행하고, 제주도를 방문하여 제주도에서 진행 중인 투자 방안을 최종 점검할 계획이다.

썬코어·썬텍 관계자는 ""칼리드 왕자의 썬코어와 썬텍 방문은 그 의미가 크다""며 ""이번 방한 기간 중 구체적인 투자 방안 및 썬코어와 썬텍의 사우디아라비아 진출에 대한 가시적인 발표가 있을 것""이라고 말했다.

khc@

▶ 매일 업데이트 최신 만화 100% 무료

[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
썬코어,머니투데이,2016.10.14. 오전 10:45,"썬코어·썬텍 ""칼리드 왕자 17일 방한..투자 점검""","[머니투데이 김건우 기자]
썬코어와 썬텍은 사우디아라비아의 칼리드 빈 알 왈리드 왕자가 17일부터 4박5일간 서울과 제주도를 방문한다고 14일 밝혔다.

칼리드 왕자는 중동 최대 부호이자 미국 시티그룹의 최대주주이며 애플, 디즈니, 트위터 등의 개인 최대주주로 등재돼 있는 알 왈리드 왕자의 외아들이다. 그는 킹덤홀딩컴퍼니(Kingdom Holding Company) 이사회의 부의장이다.

칼리드 왕자는 이번 방한 기간 중 썬코어, 썬텍 본사 사무실을 방문하여 최규선 회장과 면담을 진행하고, 면담 내용을 기자간담회를 통해 밝힐 예정이다.

또 칼리드 왕자는 오는 20일 제주도를 방문하여 현지에서 추진되고 있는 투자 방안을 최종 점검하고 21일 출국할 예정이다.

썬코어와 썬텍 관계자는 ""칼리드 왕자의 세부 일정은 추후 알려드리겠다""고 말했다.

[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

김건우 기자 jai@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
썬코어,아시아경제,2016.10.14. 오전 10:47,썬코어·썬텍 “사우디 칼리드 왕자 17일 방한”,"[아시아경제 권성회 기자] 썬코어와 썬텍은 칼리드 빈 알 왈리드 사우디아라비아 왕자가 이들의 초청으로 오는 17일부터 4박5일간 서울과 제주도를 방문한다고 14일 밝혔다.

칼리드 왕자는 중동 최대 부호이자 미국 시티그룹의 최대주주이며 애플, 디즈니, 트위터 등의 개인 최대주주로 등재돼 있는 알 왈리드 왕자의 외아들로서 KBW 인베스트먼츠(KBW Investments)의 회장이다. 또한 알 왈리드 왕자가 회장으로 있는 킹덤홀딩컴퍼니(Kingdom Holding Company) 이사회의 부의장이기도 하다.

칼리드 왕자는 이번 방한 기간 중 썬코어와 썬텍 본사 사무실을 방문해 최규선 회장과 면담을 진행한다. 면담 내용은 기자간담회를 통해 밝힐 예정이다.

또한 칼리드 왕자는 오는 20일 제주도를 방문해 제주도에서 추진되고 있는 투자 방안을 최종 점검하고 21일 출국할 예정이다.

썬코어와 썬텍 관계자는 이외 세부 일정은 추후 알리겠다고 말했다.




권성회 기자 street@asiae.co.kr

▶ 최강의 재미 [아시아경제 카드뉴스]
▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
썬코어,헤럴드경제,2016.10.14. 오전 11:32,"썬코어ㆍ썬텍, 17일 사우디 칼리드 왕자 초청","[헤럴드경제=양영경 기자] 썬코어ㆍ썬텍은 칼리드 빈 알 왈리드 사우디아라비아 왕자가 양사의 초청으로 오는 17일부터 4박5일간 서울과 제주도 등을 방문한다고 14일 밝혔다.

칼리드 왕자는 중동 최대 부호이자 미국 시티그룹의 최대주주다. 애플, 디즈니, 트위터 등의 개인 최대주주인 알 왈리드 왕자의 외아들로서 KBW인베스트먼트(KBW Investments) 회장이자 킹덤홀딩컴퍼니(Kingdom Holding Company) 이사회 부의장이다.

칼리드 왕자는 오는 20일 제주도를 방문해 제주도에서 추진되고 있는 투자 방안을 최종 점검할 예정이다.

아울러 최규선 썬코어 회장과 사우디의 대규모 건설 공사인 ‘제다 프로젝트’와 관련된 사안들을 논의할 것으로 보인다.

제다 프로젝트는 200층 높이의 제다 킹덤타워와 그 주변에 신도시를 건설하는 공사다. 킹덤타워와 킹덤시티의 1~2단계 공사 규모만 약 27조원에 달하는 것으로 발표됐다. 완공까지는 100조원 이상의 자금이 투입될 것으로 전망되고 있다.

선코어 측은 “칼리드 왕자는 방한 기간 중 썬코어와 썬텍 본사 사무실을 방문해 최 회장과 면담을 진행할 예정”이라며 “그 내용은 기자간담회 등을 통해 밝힐 예정”이라고 설명했다.

ana@heraldcorp.com



▶ [무료운세] 오늘 당신의 하루는 몇 도 일까요?



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
