종목명,신문사,시간,제목,본문
위노바,파이낸셜뉴스,2017.02.14. 오전 10:03,[fnRASSI]위노바(039790) 5.67% 상승,"위노바(039790)는 현재 주가가 전일 대비 5.67% 상승한 690원 선에서 거래가 이루어지고 있다.

외국인 보유량 증가, 기관 변화 없음 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 873,694주 매수하였고 마찬가지로 기관은 0주 매수하였다. 전날 외국인은 1,005,645주 매수했지만 기관은 순매수량이 0으로 보유비율 그대로 유지했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



퀀트 재무분석, 종합점수 28점으로 상승
지표
항목
값
종합점수
성장성
매출액증가율
-0.15
6.2
자기자본증가율
0.29
안정성
부채비율
33.66
7.01
유동비율
185.75
이익안정성
4.72
수익성
ROA
2.52
3
ROE
3.37
영업이익율
-4.77


위노바의 퀀트 재무 점수는 16.21점으로 3개월 이전 15.14점보다 올랐다. 지난 분기에 비해 성장성 점수가 상승했다. 이는 자기자본 증가율이 증가하였기 때문이다. 안정성 종합 점수는 부채비율 증가, 유동비율 감소로 하락했다. 수익성 측면에서 볼때 ROA가 하락하여 이전보다 낮은 점수를 받았다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
위노바,파이낸셜뉴스,2017.02.14. 오후 3:08,[fnRASSI]위노바(039790) 현재 27.72% ↑,"위노바(039790)는 현재 주가가 전일 대비 27.72% 상승한 834원 선에서 거래가 이루어지고 있다.

주요 매매주체는 개인투자자
최근 한달간 주체별 거래비중을 살펴보면 개인 비중이 97.88%로 가장 높았고, 외국인이 1.96%로 그 뒤를 이었다. 기관은 0.14%를 나타냈다. 그리고 최근 5일간 거래비중은 개인이 96.34%, 외국인이 3.65%를 기록한 것으로 나타났다.

퀀트 재무분석, 종합점수 28점으로 상승
지표
항목
값
종합점수
성장성
매출액증가율
-0.15
6.2
자기자본증가율
0.29
안정성
부채비율
33.66
7.01
유동비율
185.75
이익안정성
4.72
수익성
ROA
2.52
3
ROE
3.37
영업이익율
-4.77


위노바의 퀀트 재무 점수는 16.21점으로 3개월 이전 15.14점보다 올랐다. 지난 분기에 비해 성장성 점수가 상승했다. 이는 자기자본 증가율이 증가하였기 때문이다. 안정성 종합 점수는 부채비율 증가, 유동비율 감소로 하락했다. 수익성 측면에서 볼때 ROA가 하락하여 이전보다 낮은 점수를 받았다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
위노바,파이낸셜뉴스,2017.02.15. 오후 1:05,[fnRASSI]위노바(039790) 7.67% 상승,"위노바(039790)는 현재 주가가 전일 대비 7.67% 상승한 913원 선에서 거래가 이루어지고 있다.

주가등락폭 크고, 상장주식수 대비 거래량도 상당히 높아
최근 한달간 위노바의 매매회전율을 분석한 결과 6일에 1번 꼴로 주식의 주인이 바뀐 것으로 나타났다. 이는 비정상적으로 높은 회전율을 보인 것으로 투자에 각별한 주의가 요망된다. 또한 평균적으로 장중 주가변동률이 15.74%에 달할 정도로 등락이 심하기 때문에 다시한번 주의가 필요하다.

외국인 보유량 증가, 기관 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 2,027,740주 매수하였고 반면 기관은 19,825주 매도하였다. 전날 외국인 949,653주 매수, 기관19,825주 매도하며 보유 비율이 변동했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
위노바,머니투데이,2017.02.16. 오후 4:13,"위노바, 지난해 영업손실 26.7억원.. 적자전환","[머니투데이 안재용 기자] 위노바는 지난해 연결 기준으로 26억7938만원의 영업손실을 기록했다고 16일 공시했다. 매출액은 203억6285만원으로 12.84% 증가했다.

[▶이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][▶하태핫태! '치어리더'][▶내 삶을 바꾸는 정치뉴스 'the 300'][▶트렌드 리더의 스타일 지침서 '스타일M'][▶빵빵한 차 & 레이싱걸]

안재용 기자 poong@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
위노바,파이낸셜뉴스,2017.02.21. 오전 9:10,[fnRASSI]위노바(039790) 전일대비 5.88% 상승,"위노바(039790)는 현재 주가가 전일 대비 5.88% 상승한 936원 선에서 거래가 이루어지고 있다.

외국인 보유량 증가, 기관 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 128,968주 매수하였고 반면 기관은 0주 매도하였다. 전날 외국인은 1,143,380주 매수했지만 기관은 순매수량이 0으로 보유비율 그대로 유지했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



외국인/기관 순매수, 개인은 순매도(한달누적)
전일 외국인이 950,783주를 순매수했다. 4주간을 기준으로 보면 외국인이 초반에 동종목을 순매수한 이후에 기세를 이어가며 2,008,663주를 순매수했고, 기관도 초반에 동종목을 순매수한 이후에 최근에는 순매수량이 줄어들고 있음에도 불구하고 181주를 순매수했다. 반면 개인들은 매도쪽으로 방향을 잡으면서 2,008,844주를 순매도한 것으로 나타났다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
위노바,파이낸셜뉴스,2017.02.22. 오전 10:23,[fnRASSI]위노바 전일대비 6.26% 상승,"현재 위노바(039790)는 전일대비 6.26% 상승하여 967원 선에서 거래가 이루어지고 있다.


지표
항목
값
종합점수
성장성
매출액증가율
0
8.04
자기자본증가율
0.29
안정성
부채비율
33.66
7.01
유동비율
185.75
이익안정성
4.72
수익성
ROA
-4
1.26
ROE
-5.35
영업이익율
-13.22


위노바의 퀀트 재무 점수는 16.31점으로 지난 분기에 비해 성장성 점수가 상승했다. 이는 매출액 증가율이 증가하였기 때문이다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 하락하여 이전보다 낮은 점수를 받았다.



외국인/기관 순매수, 개인은 순매도(한달누적)
전일 외국인이 950,783주를 순매수했다. 4주간을 기준으로 보면 외국인이 순매수량을 늘리며 2,007,181주를 순매수했고, 기관도 매수 우위를 유지하면서 181주를 순매수했다. 반면 개인들은 매도 관점으로 접근하면서 2,007,362주를 순매도한 것으로 나타났다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
위노바,연합뉴스,2017.03.02. 오후 6:59,위노바 불성실공시법인 지정…하루 거래정지,"(서울=연합뉴스) 고상민 기자 = 한국거래소 코스닥시장본부는 위노바가 최종 불성실공시법인으로 지정되고 벌점이 5점을 넘겨 4일 장 개시전 시간외매매까지 거래가 정지된다고 2일 공시했다.

gorious@yna.co.kr

대박난 흥부가 즐겨찾는 #흥(클릭!)"
위노바,아시아경제,2017.03.02. 오후 7:17,위노바 불성실공시법인 지정…하루 거래정지,"[아시아경제 장인서 기자] 한국거래소 코스닥시장본부는 위노바가 종 불성실공시법인으로 지정되고 벌점이 5점을 넘겨 4일 장 개시전 시간외매매까지 거래가 정지된다고 2일 공시했다.



장인서 기자 en1302@asiae.co.kr

▶ 세상의 모든 재미 [티잼]
▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
위노바,서울경제,2017.03.10. 오후 3:08,"위노바 ""문재인 테마주 아냐""","[서울경제] 위노바(039790)가 “당사는 문재인 전 더불어민주당 대표와 아무런 연관이 없다”고 10일 공시를 통해 밝혔다.

회사 측은 “당사의 본사는 경기도 평택에 위치해 있으며 사업도 특정 지역과 무관하게 수익성을 기준으로 진행하고 있다”고 덧붙였다.

/유주희기자 ginger@sedaily.com


[서울경제 바로가기]
빨라진 '대선시계'... 이미 시작된 19대 대선 [바로가기]
서울경제와 친해지는 가장 확실한 방법 [페이스북]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
위노바,한국경제,2017.03.10. 오후 3:09,"위노바 ""'문재인 테마'와 아무런 연관성 없다""","위노바는 10일 풍문에 대한 해명 공시를 통해 ""'문재인 테마주' 게시글과 관련해 문재인 전 더불어민주당 대표와 아무런 연관성이 없다""고 밝혔다.

정현영 한경닷컴 기자 jhy@hankyung.com



[한경닷컴 바로가기] [스내커] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
