종목명,신문사,시간,제목,본문
썬텍,파이낸셜뉴스,2017.02.28. 오전 11:05,[fnRASSI]썬텍 전일대비 5.75% 상승,"현재 썬텍(122800)은 전일대비 5.75% 상승하여 2,665원 선에서 거래가 이루어지고 있다.

주가등락폭 크고, 상장주식수 대비 거래량도 상당히 높아
최근 한달간 썬텍의 매매회전율을 분석한 결과 5일에 1번 꼴로 주식의 주인이 바뀐 것으로 나타났다. 이는 비정상적으로 높은 회전율을 보인 것으로 투자에 각별한 주의가 요망된다. 또한 평균적으로 장중 주가변동률이 12.27%에 달할 정도로 등락이 심하기 때문에 다시한번 주의가 필요하다.

외국인 보유량 감소, 기관 변화 없음 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 59,840주 매도하였고 반면 기관은 0주 매수하였다. 전날 외국인은 4,013주 매수했지만 기관은 순매수량이 0으로 보유비율 그대로 유지했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
썬텍,머니투데이,2017.03.02. 오후 5:58,"썬텍, 지난해 영업이익 11억…전년比 50%↓","[머니투데이 하세린 기자] 썬텍은 지난해 연결기준 영업이익이 11억1189만원으로 전년 대비 50% 감소했다고 2일 공시했다.

같은 기간 매출은 250억5456만원으로 0.9% 증가했다. 당기순이익은 2억6067만원으로 84.4% 급감했다.


[▶이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][▶하태핫해! '치어리더'][▶내 삶을 바꾸는 정치뉴스 'the 300'][▶트렌드 리더의 스타일 지침서 '스타일M'][▶빵빵한 차 & 레이싱걸]

하세린 기자 iwrite@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
썬텍,아시아경제,2017.03.02. 오후 7:59,"썬텍, 지난해 영업익 11억…전년比 50%↓","[아시아경제 장인서 기자] 썬텍은 지난해 연결기준 영업이익이 11억1189만원으로 전년 대비 50% 감소했다고 2일 공시했다.

같은 기간 매출은 250억5456만원으로 0.9% 증가했다. 당기순이익은 2억6067만원으로 84.4% 급감했다.



장인서 기자 en1302@asiae.co.kr

▶ 세상의 모든 재미 [티잼]
▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
썬텍,아시아경제,2017.03.03. 오전 7:22,"썬텍, 두나 외 1인이 주주명부 열람 등사 가처분 신청","[아시아경제 박선미 기자]썬텍은 (주)두나 외 1인이 법원에 주주명부 열람 등사 가처분 신청을 했다고 3일 공시했다. 회사측은 ""법률대리인을 선임해 적극 대응할 예정""이라고 밝혔다.




박선미 기자 psm82@asiae.co.kr

▶ 세상의 모든 재미 [티잼]
▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
썬텍,이데일리,2017.03.03. 오전 8:01,"썬텍, 주주명부 열람·등사 가처분 신청 제기 받아","[이데일리 이명철 기자] 썬텍(122800)은 주식회사 두나 외 1인이 서울남부지방법원에 회사를 상대로 주주명부 열람 등사 가처분신청을 제기했다고 3일 공시했다. 회사 실질주주가 보관된 별지목록 기재주주명부를 열람등사(사진 촬영, 이동식컴퓨터저장 매체 복사 포함)토록 허용해달라는 요구다. 회사는 법률대리인을 선임해 적극 대응할 예정이다.

이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
썬텍,파이낸셜뉴스,2017.03.14. 오전 9:36,"썬코어·썬텍, “전기차 및 사우디 신사업 프로젝트 추진 차질없다.”","썬코어?썬텍은 14일 양사가 추진 중인 신수종 사업이 차질 없이 진행되고 있다고 밝혔다.

썬코어와 지난 해 11월 양사는 대표이사인 최규선 회장의 갑작스러운 경영공백 이후 비상경영체제로 운영하였으며, 지난 주에는 세계 1위의 전기차 제조업체인 BYD의 전기버스인 eBUS-12의 론칭행사를 순조롭게 마쳤다.

회사는 양사 임원들이 3월1일부터 4일까지 사우디아라비아로 출장을 가서 칼리드 빈 알 왈리드 왕자(이하 ‘칼리드 왕자’라 함)와 회의를 갖고 현재 추진 중에 있는 요르단의 전기 시내버스 및 태양광 발전소 도입에 관하여 가격을 포함한 최종 계약내용을 조율하였으며, 3월 중 왕자가 다시 방한하여 이를 최종 점검하기로 하였다라고 전했다.

최규선 회장의 최대 후원자인 중동의 사우디 칼리드 왕자의 변함없는 경영컨설팅을 지원하기 위하여 지난해 12월 15일에는 양사의 주요 임원을 요르단 암만으로 초청하여 암만시 시장 (Akel Biltaji)를 비롯한 요르단 행정부 경제부 장관 (Yusuf Mansur), Royal Hashemite Court (Hashemite 왕실): 경제총괄 Muhannad Shehadeh 와 업무 회의를 주선한바 있다.

썬코어, 썬텍 양사는 근시일내에 중동시장의 신사업 진출을 가시화할 것이며, 특히 썬코어의 자회사인 도담시스템스가 사우디아라비아의 국방사업에 진출하는 것에 관해 3월 중 구체적 계약내용을 협의하고 있다고 밝혔다.

kjw@fnnews.com 강재웅 기자

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
썬텍,이데일리,2017.03.14. 오전 10:19,"썬코어·썬텍 “두나, 회계장부 열람·등사 가처분 신청…신수종사업 차질 없어”","- “두나, 검찰수사 및 민사소송 진행 중”

[이데일리 윤필호 기자] 썬코어(051170)와 썬텍(122800)은 “양사가 추진 중인 신수종 사업이 차질 없이 진행되고 있다”고 14일 밝혔다.

이날 양사는 최대주주인 두나와 에이블리가 회사의 회계장부 등 열람 및 등사 가처분 신청을 한 것과 관련, “이번 사건으로 주주 및 투자자분들이 흔들리지 않으셨으면 한다”며 이같이 말했다.

아울러 “근시일내에 중동시장의 신사업 진출을 가시화할 것”이라며 “썬코어의 자회사인 도담시스템스가 사우디아라비아의 국방사업에 진출하는 것에 관해 3월 중 구체적 계약내용을 협의하고 있다”고 언급했다.

윤필호 (nothing@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
썬텍,머니투데이,2017.03.16. 오후 4:12,"썬텍, 31일 정기주주총회 소집","[머니투데이 이재원 기자] 썬텍은 오는 31일 오전 10시 경기도 화성시 팔탄면 푸른들판로 892-37 (주)썬테크놀로지스 3층 대강당에서 정기 주주총회를 소집한다고 16일 공시했다. 안건은 재무제표 승인의 건, 이사 보수한도 승인의 건 등이다.


[▶깊이있는 투자정보 'TOM칼럼'][▶트렌드 리더의 스타일 지침서 '스타일M'][▶빵빵한 차&레이싱걸]

이재원 기자 jaygoo@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
썬텍,머니투데이,2017.03.23. 오후 3:47,"썬텍, 감사보고서 제출 지연","[머니투데이 강기준 기자] 썬텍은 당사 자료제출 지연으로 감사보고서 제출이 지연되고 있다고 23일 공시했다.

외부감사에 관한 법률 시행령에 따르면 외부감사인은 감사보고서를 정기총회 일주일 전 회사에 제출해야 한다. 썬텍은 오는 31일 제15기 정기주총을 앞두고 있어 23일까지 감사보고서를 제출해야 했다.


[▶깊이있는 투자정보 'TOM칼럼'][▶트렌드 리더의 스타일 지침서 '스타일M'][▶빵빵한 차&레이싱걸]

강기준 기자 standard@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
썬텍,아시아경제,2017.03.23. 오후 4:12,"썬텍, 감사보고서 제출 지연","[아시아경제 박선미 기자]썬텍은 감사보고서 제출이 지연되고 있다고 23일 공시했다.




박선미 기자 psm82@asiae.co.kr

▶ 세상의 모든 재미 [티잼]
▶ 카드뉴스 ▶ 오늘의 운세

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
