종목명,신문사,시간,제목,본문
에스에프씨,파이낸셜뉴스,2017.05.18. 오전 10:46,[fnRASSI]에스에프씨(112240) 8.26% 상승,"에스에프씨(112240)는 현재 주가가 전일 대비 8.26% 상승한 3,670원 선에서 거래가 이루어지고 있다.

퀀트 재무분석, 종합점수 14점으로 상승
지표
항목
값
종합점수
성장성
매출액증가율
-0.18
2.73
자기자본증가율
-0.02
안정성
부채비율
25.42
8.89
유동비율
486.38
이익안정성
7.78
수익성
ROA
-0.46
2.4
ROE
-0.58
영업이익율
-0.53


에스에프씨의 퀀트 재무 점수는 14.02점으로 3개월 이전 13.2점보다 올랐다. 지난 분기에 비해 성장성 점수가 상승했다. 이는 매출액 증가율과 자기자본 증가율이 증가하였기 때문이다. 실적 안정성이 악화되어 안정성 종합 점수는 하락했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 개선되어 이전보다 좋은 점수를 받았다.



기관/개인 순매수, 외국인은 순매도(한달누적)
전일 외국인이 8,604주를 순매도했다. 4주간을 기준으로 보면 기관이 매수 우위를 유지하며 1주를 순매수했고, 개인들도 초반에 동종목을 순매수한 이후에 기세를 이어가며 70,757주를 순매수했다. 반면 그 동안 외국인은 매도 관점으로 접근하면서 70,758주를 순매도했다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에스에프씨,머니투데이,2017.05.25. 오후 5:07,"에스에프씨, 150억원 규모 전환사채권 발행 결정","[머니투데이 강기준 기자] 에스에프씨는 운영자금 조달을 위해 150억원 규모의 무기명식 이권부 무보증 사모 전환사채를 발행키로 결정했다고 25일 공시했다. 전환가액은 주당 4011원이며 전환청구기간은 2018년 5월26일부터 2020년 4월26일까지다.


[▶깊이있는 투자정보 'TOM칼럼'][▶트렌드 리더의 스타일 지침서 '스타일M'][▶빵빵한 차&레이싱걸]

강기준 기자 standard@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에스에프씨,이데일리,2017.05.25. 오후 5:16,"에스에프씨, 150억원 전환사채 발행","[이데일리 최정희 기자] 에스에프씨(112240)는 150억원 규모의 전환사채를 세종상호저축은행, 내포빌리지개발을 상대로 발행키로 했다고 25일 공시했다. 사채 만기일은 2020년 5월 26일이며 표면이자율은 4.0%, 만기이자율은 5.0%다.

최정희 (jhid0201@edaily.co.kr)

▶심쿵유발 스타 화보 [핫포토]
▶이데일리 [페이스북] | [포스트]
▶한 눈에 보는 이슈 트렌드 [카드뉴스]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에스에프씨,머니투데이,2017.05.29. 오후 4:19,"에스에프씨, 150억 규모 CB 발행","[머니투데이 이재원 기자] 에스에프씨는 150억원 규모의 제3회 무기명식 이권부 무보증 사모전환사채 발행을 결정했다고 29일 공시했다.


[▶깊이있는 투자정보 'TOM칼럼'][▶트렌드 리더의 스타일 지침서 '스타일M'][▶빵빵한 차&레이싱걸]

이재원 기자 jaygoo@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에스에프씨,전자신문,2017.05.30. 오전 9:16,[ET투자뉴스]에스에프씨_상승행진 멈추면서 오늘은 약세 현재 -6.13%,"30일 오전 9시 13분 현재 에스에프씨는 285원(6.13%) 내린 4,365원을 기록하며 11일만에 하락으로 반전하는 모습이다. 따라서 에스에프씨 주가에 영향을 미칠만한 여러 항목들을 제시해 보았다.

[주가/수급동향]
전일 외국인이 79,410주를 순매도했다. 최근 한달간 에스에프씨의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 3.51%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 7.08%를 나타내고 있다.
그리고 최근 5일간 거래비중은 개인이 91.81%, 외국인이 8.18%를 기록한 것으로 나타났다.

[차트신호]
최근 주가변동폭을 기준으로 한 현재 주가는 강세패턴은 유지되고 있고,거래량 지표로 볼 때는 단기적 과열권 진입으로 인해 경계신호가 나오고 있다.투자심리적 관점에서 보면 상승흐름을 보이면서 투심도 개선되고 있고
이동평균선들의 배열도를 분석을 해보면 단기, 중기, 장기 이동평균선이 정배열을 이루는 전형적인 상승국면에 있다.

[업종내 종목흐름]
이 시각 현재 관련종목들은 혼조세를 보이고 있고 화학업종은 전일과 같은 pt를 유지하고 있다.
와이엠티 37,700원
▲550(+1.48%) 코프라 12,150원
▲50(+0.41%)
보령메디앙스 12,600원
▼50(-0.40%) 정산애강 2,545원
▼10(-0.39%)

[재무특징]
영업이익률 현재 -4.89%로 업종평균 하회. PBR은 1.76임.

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
에스에프씨,이데일리,2017.05.31. 오후 4:45,"에스에프씨, 제이에스산업 지분 100% 인수","[이데일리 박수익 기자]에스에프씨(112240)는 31일 비철금속제조업체 제이에스산업 지분 100%(56만주)를 10억원에 인수한다고 공시했다. 취득예정일은 6월 9일이다. 회사 측은 “회사의 미래성장 동력 확보를 위한 생산시설 확충 차원”이라고 밝혔다.

박수익 (park22@edaily.co.kr)

▶심쿵유발 스타 화보 [핫포토]
▶이데일리 [페이스북] | [포스트]
▶한 눈에 보는 이슈 트렌드 [카드뉴스]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에스에프씨,조선비즈,2017.05.31. 오후 4:57,"에스에프씨, 제이에스산업 지분 100% 인수","에스에프씨(112240)는 비철금속제조업체 제이에스산업의 지분 100%(56만주)를 10억원에 인수한다고 31일 공시했다. 회사 측은 “미래성장 동력을 확보하기 위해 생산시설을 확충했다”고 설명했다.

[전준범 기자 bbeom@chosunbiz.com]



chosunbiz.com"
에스에프씨,연합뉴스,2017.05.31. 오후 4:58,"에스에프씨, 제이에스산업 지분 100% 취득","(서울=연합뉴스) 권수현 기자 = 코스닥 상장사 에스에프씨는 비철금속제조·소매업체인 제이에스산업의 지분 100%를 10억원에 인수하기로 했다고 31일 공시했다.

회사 측은 ""회사 미래 성장동력 확보를 위해 생산시설을 확충하고자 이같이 결정했다""고 설명했다.

inishmore@yna.co.kr

최신 유행 트렌드 총집결 #흥(클릭!)"
에스에프씨,매일경제,2017.05.31. 오후 5:44,[코스닥 공시] 비에이치 / 이디 / 에스에프씨 등,"◇비에이치=유통물량 확대에 따른 거래 활성화 위해 47억5700만원 규모 자사주 처분 결정.

◇이디=사업다각화 위해 운반하역 기계 제조사 수성 주식 43만주 66억원에 취득 결정.

◇에스에프씨=비철금속 제조 및 소매업체 제이에스산업주식회사 주식 56만주 10억원에 취득.

◇행남생활건강=운영자금 마련 위해 10억원 규모 사모전환사채 발행 결정. 만기이자율은 3.0%.

◇더블유게임즈=미국 종속회사 더블유다이아몬드가 5842억원 규모 주주배정 유상증자 결정.

◇쏠리드=SK텔레콤과 152억원 규모 2차 중계기 공급 계약 체결. 최근 매출액 대비 5.2% 규모.



[매일경제 공식 페이스북] [오늘의 인기뉴스] [매경 프리미엄]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
에스에프씨,이데일리,2017.06.01. 오전 10:05,"에스에프씨, 신재생에너지 사업 확장…신성장동력 확보","- 폐기물 가공연료 업체 제이에스산업 인수

[이데일리 박형수 기자] 태양광모듈 백시트 생산업체 에스에프씨(112240)가 제이에스산업을 인수하며 신재생에너지 사업을 시작한다.

에스에프씨는 미래성장 동력을 확보하려고 제이에스산업 지분 100%(56만주)를 인수한다고 1일 밝혔다.

제이에스산업은 비철금속에서 발생한 폐기물을 가공한 연료 개발업체다. 하수슬러지를 연료로 개발하는 엔티아이이엔시도 자회사로 두고 있다. 강성진 대표이사가 제이에스산업과 엔티아이이엔시를 경영하고 있다.

슬러지 건조 연료화는 하수처리 과정에서 생기는 침전물을 탄화연료로 생산하는 기술이다. 하수슬러지는 함수율을 10%로 낮추고 가연성 재료를 섞으면 화력이나 열병합 발전소의 석탄, 액화천연가스(LNG)등의 대체 원료로 사용할 수 있다.

강성진 제이에스산업 대표는 “경쟁사 슬러지 건조 공정과 달리 엔티아이이엔시는 고온 열풍을 사용하지 않는다”며 “플레이트 회전에 의한 마찰열을 이용하기 때문에 배기가스 배출이 적고 친환경적인 기술을 보유하고 있다”고 설명했다.

이어 “국내 1위 태양광모듈 백시트 업체 에스에프씨와 함께 친환경에너지사업 분야에서 시너지를 창출할 것으로 기대한다”고 말했다.

에스에프씨 관계자는 “최근 신재생에너지에 대한 관심이 높아지고 있다”며 “정부와 지자체의 하수슬러지 연료화 사업에 대한 지원정책이 강화되고 있다”고 강조했다.

그는 “해당 사업분야 전망이 밝을 것으로 예상하고 인수했다”며 “새로운 성장동력을 확보했다”고 소개했다.

박형수 (parkhs@edaily.co.kr)

▶심쿵유발 스타 화보 [핫포토]
▶이데일리 [페이스북] | [포스트]
▶한 눈에 보는 이슈 트렌드 [카드뉴스]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
