종목명,신문사,시간,제목,본문
에스마크,이데일리,2017.07.25. 오후 4:51,"에스마크, 20억 규모 전환사채 발행","[이데일리 박형수 기자] 에스마크(030270)는 운영자금을 조달하려고 20억원 규모의 전환사채를 발행한다고 25일 공시했다. 버쳐스 홀딩스가 전량 인수한다. 내년 7월25일부터 주당 1668원에 보통주로 전환할 수 있다.

박형수 (parkhs@edaily.co.kr)

▶심쿵유발 스타 화보 [핫포토]
▶이데일리 [페이스북] | [카카오 친구 맺기~♥]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에스마크,파이낸셜뉴스,2017.08.23. 오전 10:24,"[fnRASSI]에스마크, 거래량 확대되며 4거래일 연속 하락","에스마크(030270)의 당일 거래량이 최근 5거래일 거래량의 최고치를 넘어서며 투자자들의 관심을 받고 있다. 그리고 현재 전 거래일보다 2.19% 감소하여 4일 연속 하락흐름을 보이고 있다.

외국인, 기관 모두 보유량 증가 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 336,624주 순매수하였고 마찬가지로 기관은 0주 순매수하였다. 전날 외국인은 102,277주 순매수했지만 기관은 순매수량이 0으로 보유비율 그대로 유지했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



외국인/기관 순매수, 개인은 순매도(한달누적)
전일 외국인이 76,794주를 순매수했다. 4주간을 기준으로 보면 외국인이 초반에 동종목을 순매수한 이후에 기세를 이어가며 745,054주를 순매수했고, 기관도 방향성있는 매매를 하면서 2,741주를 순매수했다. 반면 개인들은 매도쪽으로 방향을 잡으면서 747,795주를 순매도한 것으로 나타났다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에스마크,한국경제TV,2017.08.29. 오전 8:43,[국고처 박문환] 종목상담 - 에스마크(030270),"[한국경제TV 류장현 PD]
[국고처 박문환] 종목상담 - 에스마크(030270)

8월 26일 방송된 `국민주식고충처리반`에 출연한 박문환 파트너가 에스마크(030270)에 대한 시세와 전망을 이야기하고 있다.

▶대한민국 대표 증권방송 `국민주식고충처리반` 매주 토 오전 7시

스마트폰 앱 `주식창`에 시청자 의견 남겨주세요.

류장현 PD jhryu@wowtv.co.kr



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
에스마크,아시아경제,2017.08.30. 오전 7:24,"에스마크, 지비보스톤창업투자가 100억원에 경영권 양수","[아시아경제 임철영 기자]에스마크는 30일 지배주주 유피아이인터내셔널이 지비보스톤창업투자에 경영권을 100억원에 양도키로 했다고 공시했다. 아울러 에스마크는 지비보스톤창업투자를 대상으로 50억원 규모 제3자배정 유상증자를 결정했다.

임철영 기자 cylim@asiae.co.kr

▶ 뉴스가 재밌다! 세상의 모든 재미 [티잼]
▶ 많이 본 기사
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에스마크,머니투데이,2017.08.30. 오전 7:36,"에스마크, 지배주주가 지비보스톤창업투자에 경영권 양도","[머니투데이 배영윤 기자] 에스마크는 지배주주인 유피아이인터내셔널이 지비보스톤창업투자에 경영권을 양도하는 계약을 체결했다고 30일 공시했다. 계약일자는 지난 29일이며 계약금액은 100억원이다.

TOM칼럼-깊이있는 투자정보▶
무료 만화 즐기고~ 선물타자!▶ 빵빵한 차&레이싱걸▶

배영윤 기자 young25@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에스마크,머니투데이,2017.08.30. 오전 7:42,"에스마크, 50억원 규모 제3자배정 유증 결정","[머니투데이 배영윤 기자] 에스마크는 50억원 규모 제3자배정 유상증자를 결정했다고 30일 공시했다.

TOM칼럼-깊이있는 투자정보▶
무료 만화 즐기고~ 선물타자!▶ 빵빵한 차&레이싱걸▶

배영윤 기자 young25@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에스마크,한국경제,2017.08.30. 오전 7:52,"에스마크, 지비보스톤창업투자가 경영권 양수","에스마크는 지배주주인 유피아이인터내셔널이 지비보스톤창업투자와 100억원에 경영권을 양도하는 계약을 체결했다고 30일 공시했다.

에스마크는 이날 또 운영자금 50억원을 조달하기 위해 지비보스톤창업투자를 대상으로 신주 508만6470주를 발행하는 제3자배정증자 방식의 유상증자를 결정했다고 공시했다.

신주발행가액은 983원이고, 기준주가에 대한 할인율은 10%다.

김근희 한경닷컴 기자 tkfcka7@hankyung.com



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
에스마크,머니투데이,2017.08.30. 오전 8:01,"에스마크, 경영권 및 최대주주 변경 예정","[머니투데이 추정남 기자] 에스마크가 GB보스톤창업투자의 지원을 받아 현재 진행중인 코딩사업 개발에 박차를 가한다.

에스마크는 운영자금 마련을 위해 50억 원 규모의 제3자 배정 방식 유상증자를 결정했다고 30일 공시했다. 신주 발행가액은 보통주 1주당 983원이며 배정 대상자는 GB보스톤창업투자다. GB보스톤창업투자의 취득 주식수는 508만6470주(5.31%)로 증자 후 에스마크 최대주주가 된다.

에스마크 관계자는 ""GB보스톤창업투자는 기존 에스마크 경영권을 가지고 있는 UPI인터내셔널 유상증자에도 참여함으로써 경영권을 안정적으로 취득해 에스마크의 미래 사업 개발을 지원할 계획""이라며 ""업계에서는 GB보스톤창업투자가 에스마크의 디지털 코딩사업 성장성과 확장성에 매력을 느낀 가운데, 향후 디지워크기술과 아노토기술의 시너지 극대화를 위한 추가 투자 등을 고려하고 이를 통한 사업확장에 나설 것으로 관측한다""고 설명했다.

이어 ""과거에는 섬유 원자재를 생산하는 데 그쳤다면, GB보스톤창업투자의 든든한 지원에 힘 입어 코딩사업 외에 아노토가 기술을 보유하고 있는 디지털펜 유통사업을 할 계획""이라며 ""이번 유상증자로 확충한 자본이 시너지를 낼 것""이라고 덧붙였다.

TOM칼럼-깊이있는 투자정보▶
무료 만화 즐기고~ 선물타자!▶ 빵빵한 차&레이싱걸▶

추정남 기자 smj1129@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에스마크,연합뉴스,2017.08.30. 오전 8:09,에스마크 100억원에 경영권 양도…50억 유상증자,"(서울=연합뉴스) 전명훈 기자 = 코스닥 상장 방적업체 에스마크는 지배주주인 유피아이인터내셔널이 경영권을 '지비보스톤창업투자'에 양도했다고 30일 공시했다. 경영권 양수도 대금은 100억원이다.

에스마크는 또 운영자금 50억원 마련을 위해 지비보스톤창업투자를 대상으로 하는 제3자배정 유상증자를 결정했다고 별도로 공시했다. 신주 발행가액은 1주당 983원이다.

id@yna.co.kr

최신 유행 트렌드 총집결(클릭!)"
에스마크,헤럴드경제,2017.08.30. 오전 8:27,"[생생코스닥]에스마크, 지비보스톤창업투자 경영권 양수ㆍ50억 규모 제3자배정 유상증자","[헤럴드경제=증권팀] 에스마크는 지배주주 유피아이인터내셔널이 지비보스톤창업투자와 경영권 변경에 관한 계약을 체결했다고 30일 공시했다.

양수도대금은 100억원이다.

에스마크는 또, 운영자금 조달을 위해 지비보스톤창투를 대상으로 50억원 규모의 제3자배정 유상증자를 결정했다고공시했다.

보통주 508만6470주가 신주 발행되며 신주 발행가액은 983원이다.

회사측은 “경영권과 최대주주 변경을 수반하는 제3자배정 유상증자”라고 밝혔다.

park@heraldcorp.com

▶영감이란 불꽃에 타오르게할 스토리(INSPIRE)

▶앞서가는 젊은 경제신문 친구맺기 ▶오늘의 운세 날씨



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
