종목명,신문사,시간,제목,본문
디지텍시스템,이데일리,2012.03.13. 오전 7:30,[표]디지텍시스템 등 코스닥 자사주 신청내역(13일),"[이데일리 증권부]



증권부 (stock@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
디지텍시스템,이데일리,2012.03.14. 오전 7:38,[표]디지텍시스템 등 코스닥 자사주 신청내역(14일),"[이데일리 증권부]



증권부 (stock@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
디지텍시스템,이데일리,2012.03.14. 오후 6:03,"디지텍시스템스, 작년 영업익 67억원..67%↓","[이데일리 임성영 기자] 디지텍시스템(091690)스는 지난해 영업이익이 67억2800만원으로 전년대비 67.2% 감소했다고 14일 공시했다. 매출액은 1378억7500만원으로 1.1% 늘었고, 당기순이익 44억6200만원으로 75.4% 감소했다.

임성영 (rosa8341@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
디지텍시스템,이데일리,2012.03.15. 오전 7:32,[표]디지텍시스템 등 코스닥 자사주 신청내역(15일),"[이데일리 증권부]



증권부 (stock@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
디지텍시스템,이데일리,2012.03.20. 오전 7:27,[표]디지텍시스템 등 코스닥 자사주 신청내역(20일),"[이데일리 증권부]



증권부 (stock@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
디지텍시스템,한국경제TV,2012.03.20. 오후 6:24,"디지텍시스템 ""고수익 사업에 집중""","<앵커> 지난해 부진한 실적을 기록한 디지텍시스템이 영업이익 확대를 위해 카지노기기 부품 분야에 집중하겠다고 밝혔습니다. 5년 후 이 분야에서 1천억 원 대 매출 목표를 제시했습니다. 김종성 기자입니다.

<기자> 디지텍시스템이 매출원을 다변화하고 고수익 사업에 집중해 기업 체질개선에 나서겠다고 밝혔습니다.

<인터뷰> 심연진 디지텍시스템 전무

""매출의 대부분을 차지하고 있는 대형고객사를 보유중. 하지만 매출은 많이 올라가고 있는 반면 시간이 갈수록 이익구조는 보합세 내지 마진이 풍부하게 보장되는 부분이 아니기 때문에""

지난해 매출은 소폭 늘었지만, 영업이익이 67% 가까이 줄었기 때문입니다.

<브릿지> 김종성 기자 (ankjs1@wowtv.co.kr)

""특히 디지텍시스템은 카지노 칩셋 등 차순위 사업에도 역량을 집중해 발목을 잡고 있는 영업이익을 개선하겠다는 방침입니다.""

카지노기기 부품 분야의 매출대비 영업이익률이 50% 수준이라는 점에서 큰 매력을 느끼고 있다는 설명입니다. 디지텍시스템은 기존 제품보다 크기는 절반으로 줄었지만 가격은 30% 이상 저렴한 제품으로 승부를 걸겠다고 강조했습니다.

현재 2천억 원대 규모로 추정되고 있는 카지노 기기 부품 시장에서 3M 사가 80% 이상을 장악하고 있는 것으로 알려졌습니다. 디지텍시스템은 2004년 처음 진출한 이후 지난해 100억 원 대의 매출을 올려 5% 대의 시장 점유율을 기록하고 있다고 전했습니다.

<인터뷰> 이진철 디지텍시스템 기술연구소 상무

""북미시장에서 마켓쉐어 50% 확보하고 있어. 기존의 모바일 시장에서 확보한 멀티터치 기술을 접목할 경우 향후 더 많은 마켓쉐어 확보가 가능할 것으로 예상""

전체 시장 점유율은 낮지만, 카지노기기 상위 5위 업체 공급량에서 경쟁사를 앞서고 있는 만큼 올해 매출 목표로 200억, 2015년에는 1천억 원을 제시했습니다. WOW-TV NEWS 김종성입니다.

김종성기자 ankjs1@wowtv.co.kr

▶ 엉덩이 수술 후 웃음이 안 멈춰 `의료사고?`

▶ 中 `열혈 선생님` 화제…쓰레받이 사용도 불사

▶ 버스 운전사 12명, 단체로 거액 복권 당첨 `677억원`

▶ 박시연 트레이닝복 자태도 섹시해…‘내추럴 본 섹시지존’

▶ 유승호 딥키스, 예상 외의 짙은 농도…누나팬들 ‘멘붕’"
디지텍시스템,한국경제TV,2012.03.20. 오후 9:50,"디지텍시스템 ""고수익 사업에 집중""","<앵커> 지난해 부진한 실적을 기록한 디지텍시스템이 영업이익 확대를 위해 카지노기기 부품 분야에 집중하겠다고 밝혔습니다. 5년 후 이 분야에서 1천억 원 대 매출 목표를 제시했습니다. 김종성 기자입니다.

<기자> 디지텍시스템이 매출원을 다변화하고 고수익 사업에 집중해 기업 체질개선에 나서겠다고 밝혔습니다.

<인터뷰> 심연진 디지텍시스템 전무

""매출의 대부분을 차지하고 있는 대형고객사를 보유중. 하지만 매출은 많이 올라가고 있는 반면 시간이 갈수록 이익구조는 보합세 내지 마진이 풍부하게 보장되는 부분이 아니기 때문에""

지난해 매출은 소폭 늘었지만, 영업이익이 67% 가까이 줄었기 때문입니다.

<브릿지> 김종성 기자 (ankjs1@wowtv.co.kr)

""특히 디지텍시스템은 카지노 칩셋 등 차순위 사업에도 역량을 집중해 발목을 잡고 있는 영업이익을 개선하겠다는 방침입니다.""

카지노기기 부품 분야의 매출대비 영업이익률이 50% 수준이라는 점에서 큰 매력을 느끼고 있다는 설명입니다. 디지텍시스템은 기존 제품보다 크기는 절반으로 줄었지만 가격은 30% 이상 저렴한 제품으로 승부를 걸겠다고 강조했습니다.

현재 2천억 원대 규모로 추정되고 있는 카지노 기기 부품 시장에서 3M 사가 80% 이상을 장악하고 있는 것으로 알려졌습니다. 디지텍시스템은 2004년 처음 진출한 이후 지난해 100억 원 대의 매출을 올려 5% 대의 시장 점유율을 기록하고 있다고 전했습니다.

<인터뷰> 이진철 디지텍시스템 기술연구소 상무

""북미시장에서 마켓쉐어 50% 확보하고 있어. 기존의 모바일 시장에서 확보한 멀티터치 기술을 접목할 경우 향후 더 많은 마켓쉐어 확보가 가능할 것으로 예상""

전체 시장 점유율은 낮지만, 카지노기기 상위 5위 업체 공급량에서 경쟁사를 앞서고 있는 만큼 올해 매출 목표로 200억, 2015년에는 1천억 원을 제시했습니다. WOW-TV NEWS 김종성입니다.


김종성기자 ankjs1@wowtv.co.kr

한국경제TV 핫뉴스
ㆍ엉덩이 수술 후 웃음이 안 멈춰 `의료사고?`
ㆍ中 `열혈 선생님` 화제…쓰레받이 사용도 불사
ㆍ버스 운전사 12명, 단체로 거액 복권 당첨 `677억원`
ㆍ박시연 트레이닝복 자태도 섹시해…‘내추럴 본 섹시지존’
ㆍ이효리 ""유앤아이"" 의상, 시간이 갈수록 야해져…



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
디지텍시스템,이데일리,2012.03.30. 오후 1:55,"디지텍시스템스, 정희군·배진수 대표이사 선임","[이데일리 김대웅 기자] 디지텍시스템(091690)스는 이환용 대표이사의 임기가 만료됨에 따라 정희군, 배진수 대표이사를 신규선임했다고 30일 공시했다.

정희군 대표는 진로 인사팀장을 거쳤고, 배진수 대표는 한독 설계담당부장을 지냈다.

김대웅 (daxiong@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
디지텍시스템,이데일리,2012.03.30. 오후 2:27,"디지텍시스템스, 이귀남·김익철 사외이사 신규선임","[이데일리 김대웅 기자] 디지텍시스템(091690)스는 이귀남, 김익철 사외이사를 신규선임했다고 30일 공시했다. 이귀남씨는 제61대 법무부장관을 지냈고, 김익철씨는 삼성전자 특허출원 그룹장을 역임했다.




김대웅 (daxiong@edaily.co.kr)
[관련기사]
▶ ☞디지텍시스템스, 정희군·배진수 대표이사 선임


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
디지텍시스템,머니투데이,2012.04.06. 오후 4:24,디지텍시스템 1Q 잠정 영업익 45.5억원..전년비 189% 늘어,"[머니투데이 우경희 기자]디지텍시스템스는 1분기 영업이익이 45억4600만원으로 전년 동기 대비 189% 늘어날 것으로 예상 된다고 6일 잠정 공시했다.
같은 기간 매출액은 547억5200만원으로 85% 늘어날 전망이며 당기순익은 36억3900만원으로 116% 늘어날 것으로 예상된다.
[핫이슈]2011 상장사 영업실적
[내손안의 스마트한 경제정보, 머니투데이 뉴스가판대]
[관련 키워드] 디지텍시스템

[머니투데이 핫뉴스]
☞ 결혼식끝낸 부부, 수백만원 화환 아까워서…
☞ '난폭택시' 블랙박스보니 잘못은 오히려…
☞ 신형 싼타페 세계 첫 공개 ""두 가지 모델""
☞ 문대성, 논문 용어 뜻 아냐는 질문에 '버럭'
☞ 김용옥 ""MB 탄핵해야… 박근혜엔 죄송""

우경희기자 cheerup@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
