종목명,신문사,시간,제목,본문
에임하이,머니투데이,2017.09.26. 오후 5:16,"코스닥시장본부 ""에임하이, 개선계획서 제출""","[머니투데이 조철희 기자]
한국거래소 코스닥시장본부는 26일 기타시장안내를 통해 에임하이글로벌이 개선계획서를 제출했다고 공시했다.

코스닥시장본부는 영업일 기준 20일 이내에 기업심사위원회의 심의를 거쳐 상장폐지 여부 또는 개선기간 부여 여부를 결정할 예정이라고 밝혔다.

거래소가 상장폐지 기준에 해당한다고 결정할 경우에는 7일 이내에 이의신청을 할 수 있으며 상장폐지 기준에 해당하지 않는다고 결정할 경우에는 주권매매거래정지 해제에 관한 사항을 안내할 예정이다. 개선기간을 부여하는 경우에는 개선기간 종료 후 상장폐지 여부를 결정할 예정이다.

옆사람이 지금 보는 기사들▶
무료만화 즐기고~선물타자!▶ 치어리더 vs 레이싱걸▶

조철희 기자 samsara@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에임하이,서울경제,2017.09.26. 오후 5:20,거래소 “에임하이글로벌 개선계획서 제출”,"[서울경제] 26일 한국거래소 코스닥시장본부는 에임하이(043580)에 대해 “지난 5일 상장적격성 실질심사 대상으로 결정된 (주)에임하이글로벌이 이날 개선계획서를 제출함에 따라, 거래소는 동 제출일로부터 20일 이내에 기업심사위원회의 심의를 거쳐 상장폐지 여부 또는 개선기간 부여 여부를 결정할 예정”이라고 공시했다. 이어 “거래소가 상장폐지 기준에 해당한다고 결정할 경우에는 동사는 7일 이내(영업일 기준)에 이의신청을 할 수 있으며, 상장폐지 기준에 해당하지 않는다고 결정할 경우에는 주권매매거래정지 해제에 관한 사항을 안내할 예정”이라며 “개선기간을 부여하는 경우에는 동 개선기간 종료 후 상장폐지 여부를 결정할 예정”이라고 덧붙였다.

/김연하기자 yeona@sedaily.com

[서울경제 바로가기]
1997년 이래 대한민국 최고의 과학자 DB [바로가기]
서울경제의 모든 연재물!... 서경Cube [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
에임하이,아시아경제,2017.09.26. 오후 5:33,"에임하이글로벌, 개선계획서 제출","한국거래소 코스닥시장본부는 에임하이글로벌이 개선계획서를 제출했다고 26일 공시했다.

코스닥시장본부는 ""20일(영업일 기준) 이내에 기업심사위원회의 심의를 거쳐 상장폐지 여부 또는 개선기간 부여 여부를 결정할 예정""이라고 밝혔다.

거래소가 상장폐지 기준에 해당한다고 결정할 경우에는 7일 이내에 이의신청을 할 수 있다. 상장폐지 기준에 해당하지 않는다고 결정할 경우에는 주권매매거래정지 해제에 관한 사항을 안내할 예정이다. 개선기간을 부여하는 경우에는 개선기간 종료 후 상장폐지 여부를 결정한다.

임온유 기자 ioy@asiae.co.kr

▶ 양낙규의 [군사이야기]
▶ #오늘의 특징주! ▶ #오늘의 많이 본 (클릭!)

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에임하이,아이뉴스24,2017.09.26. 오후 5:48,"코스닥시장본부 ""에임하이, 개선계획서 제출""","<아이뉴스24>

[아이뉴스24 문영수기자] 한국거래소 코스닥시장본부는 에임하이글로벌(대표 왕설)이 개선계획서를 제출했다고 26일 공시했다.

코스닥시장본부는 제출일로부터 20일 이내(11월 1일, 영업일 기준) 기업심사위원회 심의를 거쳐 상장폐지 여부 또는 개선기간 부여 여부를 결정할 예정이다.

거래소가 상장폐지 기준에 해당한다고 결정할 경우 에임하이글로벌은 7일 이내(영업일 기준)에 이의신청을 할 수 있다.



상장폐지 기준에 해당하지 않는다고 결정할 경우 주권매매거래정지 해제에 관한 사항을 안내할 예정이다. 개선기간을 부여하는 경우 해당 개선기간 종료 후 상장폐지 여부를 결정하게 된다.

한편 에임하이는 지난 8월 14일 반기보고서 공시에서 최근 분기 매출액이 3억원 미만임이 확인됐으며 이달 5일 상장적격성 실질심사 대상으로 결정된 바 있다.

/문영수기자 mj@inews24.com
▶프리미엄 뉴스서비스 아이뉴스24
▶연예스포츠 조이뉴스24, 생생한 라이브캐스트
[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
에임하이,이데일리,2017.10.26. 오후 5:38,"에임하이, 15억원 규모 스포라이브 지분 처분 결정","[이데일리 이후섭 기자] 에임하이(043580)는 재무구조 개선 및 현금 유동성 확보를 위해 보유중인 스포라이브 주식 60만주를 15억원에 처분하기로 결정했다고 26일 공시했다. 처분후 지분율은 7%다.

이후섭 (dlgntjq@edaily.co.kr)

▶이데일리 개편기념 이벤트 - 갤럭시 노트8 쏩니다
▶[페이스북] 보러가기~ ▶[카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에임하이,이데일리,2017.10.31. 오후 5:46,"거래소, 에임하이글로벌 개선기간 12개월 부여","[이데일리 최정희 기자] 한국거래소 코스닥시장본부는 에임하이(043580)글로벌에 대한 기업심사위원회 심의결과 12개월의 개선기간을 부여키로 했다고 31일 밝혔다.

최정희 (jhid0201@edaily.co.kr)

▶이데일리 개편기념 이벤트 - 갤럭시 노트8 쏩니다
▶[페이스북] 보러가기~ ▶[카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에임하이,머니투데이,2017.10.31. 오후 6:00,"에임하이글로벌, 12개월 개선기간 부여","[머니투데이 한은정 기자] 한국거래소는 에임하이글로벌에 대한 기업심사위원회 심의결과 12개월의 개선기간을 부여키로 했다고 31일 공시했다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

한은정 기자 rosehans@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에임하이,전자신문,2017.11.20. 오전 10:14,"[ET투자뉴스]에임하이, 17년3분기 실적 발표","11월 15일 에임하이(043580)의 2017년 3분기 연결 확정 실적이 발표됐다. 전년 같은 기간 대비해서 매출액은 30.69% 상승하여 11억원을 기록했다. 영업이익은 -10.7억원에서 -38.3억원으로 적자폭이 확대되었다고 발표했다. 당기순이익은 -34.6억원으로 -3.8억원에서 적자확대되었다.






이번분기 기준으로 추정되는 에임하이의 자기자본이익률(ROE)은 -18.2%로 나타났다. 전년 동기인 2016년 3분기 ROE는 -4.2%로 이번 분기에 14%p 하락했다. 한편 동종목의영업이익률은 -348.2%이다. 지난해 동기 영업이익률은 -126.6%로 이번 3분기에 221.6%p 하락했다.




주가가 1주당 순자산의 몇배인지 알려주는 주가순자산비율인 PBR은 1.64배이다.최근 1년 대비 이번 분기 PBR은 급락했다. 지난해 동기 PBR은 5.38배로 이번 3분기 PBR이 하락했다.






다음은 에임하이와 동일 업종 내 비교 그룹 종목의 각각 최근 실적의 전년 동기 대비 성장률이다. 에임하이의 매출액 증감율은 타 종목 대비 우수한 편이다. 그리고 주가의 하락율이 가장 큰 편으로 나타났다.





증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
에임하이,머니투데이,2017.11.29. 오후 3:26,"에임하이, 스페인 국민음료로 부활 신호탄 쏘나","[머니투데이 김건우 기자] ['카카오락' 국내 독점 유통...30일부터 롯데마트 전점 유통 ""내년 유통 확대""]


에임하이가 스페인 국민 카카오음료 '카카오랏'의 국내 유통을 확대해 본격적인 실적 턴어라운드에 나선다.

29일 에임하이 관계자는 ""오는 30일부터 롯데마트 전점에 카카오랏이 유통된다""며 ""내년 1분기 내에 카카오랏을 국내 3대 대형마트에 입점시킬 계획이다""고 말했다.

카카오랏은 스페인의 국민 음료로 세계 최초의 밀크쉐이크로 불리는 음료다. 서아프리카 농장에서 엄선된 무지방 코코아와 UHD 살균공법으로 다이어트와 건강향상에 도움을 준다.

에임하이는 지난 5월 식품유통기업 효주와 카카오랏의 국내 독점 유통계약을 체결한 뒤, 8월 이마트 트레이더스를 시작으로 유통 사업을 시작했다. 스페인 F&B기업 카카오랏 S.L(Grupo CACAOLAT, S.L)로부터 전량 수입한다.

에임하이는 이번 롯데마트 입점을 시작으로 카카오랏의 국내 유통을 확대한다는 방침이다. 국내 3대 대형 마트인 이마트, 롯데마트, 홈플러스 입점을 추진하고 있다.

이 관계자는 ""수입음료 시장이 커지면서 어린이부터 어른들에게 모두 인기가 있는 카카오랏에 대한 수요가 높다""며 ""지난 6개월간 카카오랏의 성공 가능성을 검증한 만큼 대형마트 입점 이후 편의점과 H&B 매장 등 입점도 추진하겠다""고 설명했다.
서울역 롯데마트의 카카오랏 판매대

에임하이는 카카오랏의 종류도 오리지날에서 0%, 모카, 노아르(닙스) 등으로 확대할 예정이다. 오리지날이 어린이들을 위해 카카오 본연의 맛에 집중했다면 0%는 여성을 위한 0% 무지방, 무설탕을 내세우고 모카는 향긋한 커피를 즐기는 성인을 위한 음료다. 노아르(닙스)는 스페인의 디저트 거장 오리올 발라게르와 함께 만든 건강 음료다.

증권업계는 카카오랏의 유통이 확대되면 에임하이의 실적 개선에도 긍정적 효과를 기대하고 있다.

에임하이는 지난 8월 분기매출 3억원 미만으로 상장적격성 실질심사에 해당된 뒤, 2018년 10월 31일까지 개선기간을 받았다. 에임하이의 음식료 및 캐릭터 사업부는 3분기 2억원의 매출을 올렸고 4분기부터 유통이 확대되면 매출이 증가할 전망이다.

에임하이는 카카오랏의 캐릭터인 페피(Pepi)의 라이선스 사업에도 나선다. 페피는 체육복을 입은 소년이 카카오 음료를 들고 있는 모습을 형상화했다. 기존 게임 및 캐릭터 사업부와 연계한 라이선스 사업으로 카카오랏의 브랜드 인지도 상승을 노린다고 회사 측은 설명했다

이 관계자는 ""카카오랏의 유통확대를 위해 인스타그램, 페이스북 등 SNS(소셜네트워크서비스) 마케팅을 시작했고, 론칭한 롯데마트에서 별대 매대를 통해 오프라인 마케팅도 실시할 예정""이라고 덧붙였다.

▶지금 옆사람이 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

김건우 기자 jai@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에임하이,전자신문,2017.11.30. 오후 4:56,"[ET투자뉴스]에임하이(043580) 수주ㆍ공급계약 - ""(주)아만테크과 ...""","에임하이(043580)는 삼성전자 생산용 지그 제작 납품 계약에 관한 기재정정단일판매공급계약체결을 30일에 공시했다. 해당공시의 주요내용은 다음과 같다.

-. 계약명 : 삼성전자 생산용 지그 제작 납품 계약
-. 계약상대방 : (주)아만테크
-. 판매 및 공급지역 : 국내
-. 계약금액 : 21.6억원
-. 회사의 최근매출액 : 44.4억원
-. 매출액 대비 비중(%) : 48.65%
-. 계약기간 : 2017년 4월3일 ~ 2018년 1월31일(계약기간 총 303일)
-. 계약(수주)일자 : 2017년 04월 3일

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
