종목명,신문사,시간,제목,본문
에프티이앤이,아시아경제,2017.10.11. 오전 10:55,"에프티이앤이, 유상증자 1차발행가액 2175원","[아시아경제 권성회 기자] 에프티이앤이는 유상증자 1차발행가액을 2175원으로 결정했다고 11일 공시했다.

에프티이앤이는 이번 유상증자를 통해 기명식 보통주 136만주를 발행한다.

권성회 기자 street@asiae.co.kr

▶ 양낙규의 [군사이야기]
▶ #오늘의 핫영상(클릭!) ▶ #오늘의 많이 본 (클릭!)

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에프티이앤이,아시아경제,2017.10.11. 오후 4:19,"에프티이앤이, 12일 유상증자 권리락","[아시아경제 권성회 기자] 한국거래소 코스닥시장본부는 에프티이앤이에 대해 유상증자에 따라 12일 권리락이 발생한다고 11일 공시했다.

권성회 기자 street@asiae.co.kr

▶ 양낙규의 [군사이야기]
▶ #오늘의 핫영상(클릭!) ▶ #오늘의 많이 본 (클릭!)

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에프티이앤이,머니투데이,2017.10.11. 오후 6:09,"에프티이앤이, 오는 12일 유증에 다른 권리락","[머니투데이 최동수 기자] 한국거래소 코스닥시장본부는 에프티이앤이에 대해 유상증자에따라 12일 권리락이 실시된다고 11일 공시했다

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

최동수 기자 firefly@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에프티이앤이,서울경제,2017.10.11. 오후 6:24,"에프티이앤이, 유증에 다른 권리락 실시","[서울경제] 한국거래소 코스닥시장본부는 에프티이앤이(065160) (3,230원 상승275 9.3%)에 대해 유상증자에따라 12일 권리락이 실시된다고 11일 공시했다.

/박성규기자 exculpate2@sedaily.com

[서울경제 바로가기]
1997년 이래 대한민국 최고의 과학자 DB [바로가기]
서울경제의 모든 연재물!... 서경Cube [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
에프티이앤이,뉴시스,2017.10.11. 오후 6:32,"에프티이앤이, 12일 유상증자 권리락","【서울=뉴시스】 김지은 기자 = 한국거래소 코스닥시장본부는 에프티이앤이에 대해 유상증자에 따라 12일 권리락이 발생한다고 11일 공시했다.

에프티이앤이는 이날 유상증자 1차발행가액을 2175원으로 결정했다.이 회사는 이번 유상증자를 통해 기명식 보통주 136만주를 발행한다.

kje1321@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
에프티이앤이,파이낸셜뉴스,2017.10.17. 오전 11:14,[fnRASSI]에프티이앤이 전일대비 9.02% 상승,"현재 에프티이앤이(065160)는 전일대비 9.02% 상승하여 2,660원 선에서 거래가 이루어지고 있다.

외국인 보유량 증가, 기관 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 216,534주 순매수하였고 반면 기관은 13,698주 순매도하였다. 전날 외국인 83,063주 순매수, 기관13,698주 순매도하며 보유 비율이 변동했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



거래참여는 개인투자자가 가장 활발
최근 한달간 주체별 거래비중을 살펴보면 개인이 전체 거래의 79.84%를 차지하며 가장 적극적인 모습을 보여줬고, 외국인은 12.41%를 나타냈으며 기관은 7.73%를 나타냈다. 그리고 최근 5일간 거래비중은 개인이 전체 거래량의 73.76%를 차지하며 가장 활발한 참여를 보였고, 외국인은 17.48%, 기관은 8.75%의 거래 참여율을 보였다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에프티이앤이,파이낸셜뉴스,2017.10.26. 오전 10:26,[fnRASSI]에프티이앤이(065160) 8.18% 상승,"에프티이앤이(065160)는 현재 주가가 전일 대비 8.18% 상승한 3,505원 선에서 거래가 이루어지고 있다.

기관투자자 연속 1일 순매도
최근 5일간 동종목의 외국인 투자자는 4,545주 순매도하였고 반면 기관은 23,696주 순매수하였다. 전날 두 주체 각각 38,273주, 23,696주 순매수하며 보유 비율을 늘렸다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.




지표
항목
값
종합점수
성장성
매출액증가율
-0.14
2.1
자기자본증가율
-0.15
안정성
부채비율
129.26
5.19
유동비율
94.19
이익안정성
6.11
수익성
ROA
-3.84
2.13
ROE
-8.81
영업이익율
0.47


에프티이앤이의 퀀트 재무 점수는 9.42점으로 지난 분기에 비해 성장성 점수가 하락했다. 이는 매출액 증가율과 자기자본 증가율이 감소하였기 때문이다. 안정성 종합 점수는 부채비율 증가, 유동비율 감소로 하락했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 개선되어 이전보다 좋은 점수를 받았다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에프티이앤이,머니투데이,2017.10.30. 오전 4:30,"에프티이앤이, 산업용 나노필터 국내시장 공급","[머니투데이 이민하 기자] [""석탄화력발전소 설비업체와 금속가공업체 운영경비 최대 75%까지 절감""]

박종철 에프티이앤이 대표이사
나노섬유 생산업체 에프티이앤이가 기존보다 40% 이상 미세먼지를 억제하는 산업용 나노섬유 집진필터 완제품을 올해 말부터 국내시장에 공급한다.

박종철 에프티이앤이 대표(사진)는 29일 “100억여원을 투자해 6월 완공한 산업용 필터공장에서 4개월 동안 나노 집진필터의 자체 성능시험을 마쳤다”며 “글로벌 업체에 공급해온 필터용 나노섬유소재를 적용한 완제품을 국내 민간 석탄화력발전소 설비업체와 금속가공업체 등에 판매할 계획”이라고 밝혔다. 앞서 동해화력발전소 등 국내 일부 석탄화력발전소에 시험제품 등을 공급해왔다.

에프티이앤이에 따르면 나노섬유를 이용한 산업용 집진필터는 기존 불소수지(e-PTFE) 필터보다 집진효과와 사용기간이 2배가량 개선됐다.

화력발전소용 필터시험 결과 나노필터는 안팎의 압력이 25.9~34.8㎜Aq로 유지된 반면 e-PTFE 제품은 90㎜Aq로 2배 이상 높았다.

미세먼지가 빠져나가면서 압력이 높아졌기 때문이라는 설명이다. 먼지배출농도 역시 나노필터(0.78㎎/㎥)가 기존 제품(1.88㎎/㎥)보다 42% 적었다. 나노필터의 배출농도를 연간 기준으로 환산한 연배출량은 65.7㎏이다. 기존 제품 배출량은 156.9㎏ 수준이다.

에프티이앤이 측은 글로벌 필터성능규제 시행과 미세먼지 영향으로 나노필터에 대한 수요가 점차 늘어날 것으로 보고 있다.

박 대표는 “나노필터는 성능뿐 아니라 사용기간도 72일 이상으로 기존 제품(42~52일)보다 길어 운영경비를 최대 75% 절감하는 게 가능하다”며 “내년부터 국제표준규격(ISO16890)이 적용된 집진필터의 정전기 사용 규제에 따라 나노필터 관련 수요가 크게 늘어날 것으로 기대한다”고 말했다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

이민하 기자 minhari@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에프티이앤이,파이낸셜뉴스,2017.11.06. 오후 3:05,[fnRASSI]에프티이앤이(065160) 현재 +9.42%,"에프티이앤이(065160)는 현재 주가가 전일 대비 9.42% 상승한 3,600원 선에서 거래가 이루어지고 있다.

외국인, 기관 모두 보유량 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 155,430주 순매도하였고 마찬가지로 기관은 5,151주 순매도하였다. 전날 두 주체 각각 4,479주, 5,151주 순매수하며 보유 비율을 늘렸다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.




지표
항목
값
종합점수
성장성
매출액증가율
-0.14
2.08
자기자본증가율
-0.15
안정성
부채비율
129.26
5.19
유동비율
94.19
이익안정성
6.11
수익성
ROA
-3.84
2.1
ROE
-8.81
영업이익율
0.47


에프티이앤이의 퀀트 재무 점수는 9.37점으로 지난 분기에 비해 성장성 점수가 하락했다. 이는 매출액 증가율과 자기자본 증가율이 감소하였기 때문이다. 안정성 종합 점수는 부채비율 증가, 유동비율 감소로 하락했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 개선되어 이전보다 좋은 점수를 받았다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에프티이앤이,한국경제,2017.11.13. 오후 7:15,"10년 적자 기업 에프티이앤이, 나이키·GE 납품 발판 흑자전환","나노섬유·필터 생산업체

[ 문혜정 기자 ]
나노섬유와 필터 전문기업인 에프티이앤이가 나이키·제너럴일렉트릭(GE) 납품 실적을 발판 삼아 3분기 흑자로 전환했다. 13일 에프티이앤이는 3분기 잠정 실적으로 매출 205억원, 영업이익 45억원을 거뒀다고 공시했다. 올해 누적 실적(1~3분기)도 매출 482억원, 영업이익 43억원으로 턴어라운드했다. 박종철 에프티이앤이 대표(사진)는 “올해 매출은 역대 최대 수준인 750억~800억원을 기대하고 있다”고 말했다.

나노사업체인 파인텍스가 태양광 에너지업체 이앤이시스템을 통해 2006년 우회상장한 에프티이앤이는 10년간 거의 적자 행진을 이어왔다. 그런데도 시가총액은 2000억원대다. 이 회사의 기술력과 성장 가능성에 대한 시장의 평가를 보여주는 대목이다. 모건스탠리와 GE캐피털 등 해외투자자 지분율이 16.7%다.

에프티이앤이는 자체 전기 방사 기술을 통해 머리카락 1000분의 1 굵기의 초극세섬유인 나노멤브레인을 생산한다. 초미세먼지가 2.5㎛(100만분의 1ｍ)인데 나노섬유의 공극 크기는 0.1㎛다. 에프티이앤이는 작년 말 기준으로 나노섬유 및 나노코팅 관련 원천·응용기술을 511건 보유하고 있다.

에프티이앤이는 나이키의 기능성 의류와 신발에 나노멤브레인을 공급하고 있다. 재질이 균일하고 방수·방풍 기능이 우수하면서도 불소 계열 고어텍스에 비해 통기성이 탁월한 게 특징이라고 회사 측은 밝혔다.

또 다른 주력 분야는 산업용 필터다. 국가별 미세먼지 정책이 강화되면서 석탄화력발전소와 제철·제강업체, 기계제조 생산시설 등에 들어가는 집진필터(백필터) 시장을 적극 공략하고 있다.

에프티이앤이가 한국동서발전과 동해바이오화력에서 나노섬유 필터를 통한 백필터 탈진성능과 집진효율을 시험한 결과, 사용 시간이 경과할수록 다른 제품에 비해 집진·탈진 성능과 전력비(운영비) 효율이 뛰어난 것으로 나타났다고 지난 9월 발표했다. GE, 캠필, 알스트롬 등 글로벌 산업용 필터 회사들과 거래하고 있으며 단순히 필터 소재를 제공하는 데서 벗어나 완제품 생산에도 나서고 있다.

이 밖에도 황사·방역 마스크 테크노웹과 미세먼지를 걸러주는 방진망 창호 등으로 기업·소비자 간 거래(B2C) 시장에도 진출했다. 연말에는 중국 우시에 설립한 현지 합작공장에서 자동차용 필터 생산을 시작할 예정이다. 박 대표는 “올해부터 본격 성장세에 접어든 만큼 내년에는 자동차용 필터, 공기청정기, 의료용품 등 나노섬유 적용 분야를 다각화해 나가겠다”고 말했다.

문혜정 기자 selenmoon@hankyung.com



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
에프티이앤이,전자신문,2017.11.14. 오전 10:20,"[ET투자뉴스]에프티이앤이, 17년3분기 실적 발표","11월 13일 에프티이앤이(065160)의 2017년 3분기 연결 확정 실적이 발표됐다. 전년 동기 대비해서 매출액은 85.32% 상승하여 206억원을 기록했다. 영업이익은 128.26% 증가하여 45.6억원을 달성했다. 당기순이익은 -9.1억원에서33.3억원으로 흑자전환되었다.






이번분기 기준으로 추정되는 에프티이앤이의 자기자본이익률(ROE)은 27.9%로 나타났다. 이는 최근 일년과 비교했을 때 급등한 수치이다. 전년 동기인 2016년 3분기 ROE는 -5.8%로 이번 분기에 33.7%p 상승했다. 한편 동종목의영업이익률은 22.1%이다. 최근 3분기 이상 꾸준히 상승하는 추세이다. 지난해 동기 영업이익률은 19.2%로 이번 3분기가 2.9%p 상승했다.




주가가 1주당 수익의 몇배가 되는지 나타내는 주가수익비율(PER)은 66.6배로 나타났다.주가가 1주당 순자산의 몇배인지 알려주는 주가순자산비율인 PBR은 4.45배이다. PBR은 최근 4분기 이상 연속으로 하락하고 있다. 지난해 동기 PBR은 7.14배로 이번 3분기 PBR이 하락했다.






다음은 에프티이앤이와 동일 업종 내 비교 그룹 종목의 각각 최근 실적의 전년 동기 대비 성장률이다. 에프티이앤이의 매출액 증감율은 타 종목 대비 가장 우수한 편이다. 그리고 주가의 하락율이 가장 큰 편으로 나타났다.





증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
에프티이앤이,머니투데이,2017.11.14. 오후 8:32,에프티이앤이 3분기 사상 최대 매출,"[머니투데이 인천=윤상구 기자] [전년 대비 130% 성장한 150억 원]

에프티이앤이의 올 3분기 나노 부문 매출이 필터 부문과 섬유 쪽의 탄탄한 수요에 힘입어 사상 최대를 기록했다.

에프티이앤이(대표 박종철)는 올해 3분기 나노사업부의 매출이 지난 분기 대비 16%, 전년 대비 130% 성장한 150억 원을 달성했다고 14일 밝혔다.

영업이익도 45억 원을 기록하면서 사상 최대 분기 이익을 냈다.

에프티이앤이는 올 상반기 나노 쪽의 견조한 성장세에도 불구하고 에너지 사업 부문의 지속적인 매출 하락과 적자 시현으로 전체적인 이익 수준은 손익분기점(BEP) 수준에 머물렀다. 하지만 이번 3분기 에너지 사업부문이 BEP에 도달하면서, 나노 쪽의 이익 기여가 고스란히 반영됐다는 것이 회사 측 설명이다.

에프티이앤이 관계자는 ""지난해 총매출은 440억 원에 불과했으나, 올해는 3분기 현재 누적 매출 480억 원을 돌파했다""면서 ""회사 사업부 전체가 골고루 성장하고 있는 만큼 사상 최대 매출과 영업이익을 예상한다""고 말했다.

이어 그는 ""글로벌 N사의 주문이 큰 폭으로 증가하고 필리핀의 신규 멤브라인 생산라인과 중국 JV 영업이 본격 가동을 시작했다""면서 ""화성 우정리 공장의 본격 가동 등 앞으로 지속적인 성장세를 예상한다""고 밝혔다.

▶지금 옆사람이 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

인천=윤상구 기자 valpoom@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에프티이앤이,아시아경제,2017.11.28. 오전 11:10,"에프티이앤이, 유상증자 발행가액 2755원 확정","[아시아경제 권성회 기자] 에프티이앤이는 유상증자 발행가액이 2755원으로 확정됐다고 28일 공시했다. 회사는 이번 유상증자를 통해 보통주 1360만주를 발행한다.

권성회 기자 street@asiae.co.kr

▶ #네이버 채널에서 아시아경제 구독하기(클릭)
▶ 양낙규의 '군사이야기' ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에프티이앤이,헤럴드경제,2017.11.28. 오후 2:07,"[생생코스닥]에프티이앤이, 유상증자 확정발행가액 2755원","[헤럴드경제=증권팀] 에프티이앤이는 유상증자 최종발행가액이 2755원으로 확정됐다고 28일 공시했다.

park@heraldcorp.com

▶ 생활용품 알뜰하게 사는 법 럭비(LUCK BE)

▶헤럴드경제 채널 설정하기 ▶카카오플러스 친구맺기



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
에프티이앤이,파이낸셜뉴스,2017.12.04. 오전 11:13,[fnRASSI]에프티이앤이(065160) 8.94% 상승,"현재 에프티이앤이(065160)는 전일대비 8.94% 상승하여 4,630원 선에서 거래가 이루어지고 있다.

상장주식수 대비 거래량은 1.03%로 적정수준
최근 한달간 에프티이앤이의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.03%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 3.64%를 나타내고 있다.

외국인투자자의 거래참여 활발, 거래비중 18.19%
최근 한달간 주체별 거래비중을 살펴보면 개인이 74.91%, 외국인이 18.19%, 기관은 6.89%를 기록했다. 그리고 최근 5일간 거래비중은 개인이 72.45%로 가장 높은 참여율을 보였고, 외국인이 21.43%를 보였으며 기관은 6.11%를 나타냈다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
