종목명,신문사,시간,제목,본문
SSCP,머니투데이,2012.03.22. 오전 9:14,"SSCP, 그래핀 적용 전자재료 상용화","[머니투데이 김도윤 기자][휴대폰·TV 등 전자기기 발열 문제 개선…""매출 5000억원 기대""]
'꿈의 신소재'라고 불리는 그래핀을 적용한 전자재료가 시장에 나왔다.
SSCP는 그래핀을 적용한 전자재료 상용화에 성공해 4건의 특허를 출원했고 이달부터 시판에 들어갔다고 22일 밝혔다.
그래핀은 탄소 원자가 벌집 모양의 단층 구조를 형성하고 있는 소재다. 전자의 이동성이 실리콘보다 100배 이상 높고 열전도율 또한 구리의 100배가 넘는다고 알려졌다.
SSCP는 지난해 말 그래핀 합성 및 나노분산 기술 개발을 완료하고 투명 방열재료, 열확산재료 등 응용제품 개발에 착수했다. 앞으로 TV, 태양전지, 코팅 필름, LED(발광다이오드) 조명 등 여러 분야에 활용할 수 있을 전망이다.
SSCP는 이날 공개한 그래핀을 활용한 방열 및 열확산 필름이 휴대폰, 컴퓨터, TV 등 전자기기의 발열 문제를 개선하는 데 역할을 할 수 있을 것으로 기대하고 있다. 다국적 특수 필름 전문기업과 독점 공급 계약 체결을 앞두고 있다.
오정현 SSCP 사장은 ""2차전지, LED 조명, 자동차, PC, OLED뿐만 아니라 에너지 소재 및 투명 전극 시장에도 진출하겠다""며 ""앞으로 관련 분야에서 5년간 5000억원 이상의 매출을 올리겠다""고 포부를 밝혔다.
최성율 카이스트 교수는 ""그래핀은 단기적으로 2차전지, 터치패널, OLED 등에 적용할 수 있지만 장기적으로 플렉시블 디스플레이, 인쇄전자는 물론 바이오 기술까지 적용 가능하다""고 말했다.
[주총현장] 주총 시즌 개막, 핫이슈는?
[내손안의 스마트한 경제정보 머니투데이 모바일]
[관련 키워드] SSCP|그래핀|오정현|전자재료

[머니투데이 핫뉴스]
☞ '휘발유 NO!' 리터당 1500원짜리 기름 나온다
☞ ""4040 전화 받으면 2만5천원 결제"" 괴담, 실체는?
☞ 싼타페, '최초 적용' 첨단옵션들 보니 ""와~""
☞ 대놓고 ""청약통장 500만원에 삽니다"", 어디?
☞ '불꽃머리' 총선후보 사연, ""죽으려다 삭발했는데...""

김도윤기자 justice@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
SSCP,매일경제,2012.03.22. 오전 10:24,"SSCP, 그래핀 적용 전자재료 상용화","향후 5년간 5000억원 매출 목표
전자재료 전문기업 SSCP(대표 오정현)가 그래핀을 적용한 전자재료 신제품 상용화에 성공했다.
22일 SSCP는 서울 조선호텔에서 기자간담회를 갖고 그래핀 소재를 채택해 스마트폰, 컴퓨터, TV 등 전자기기의 발열 문제를 획기적으로 개선할 수 있는 열 확산 필름 등 신제품을 공개했다.
이번에 개발한 '방열 및 열확산 재료'는 그래핀의 높은 열전도성을 이용해 전자제품에서 발생하는 열을 효과적으로 배출할 수 있도록 도와주는 재료다. 그래핀은 탄소 원자가 벌집 모양의 단층 구조를 형성하고 있는 소재로 강도가 높으며 열 전도성, 신축성, 빛의 투과성 등이 뛰어나다.
SSCP는 방열필름의 경우 다국적 특수 필름 전문업체와 독점 공급 계약 체결을 앞두고 3월부터 이 업체를 통해 시판에 들어 갔고 그래핀 합성과 응용제품 관련 특허 4건을 출원했다고 밝혔다. 현재 300MT(Metric Ton) 생산규모를 갖추고 있고 연말까지 500 MT 생산설비를 갖출 예정이다.
오정현 SSCP 대표는 ""2차전지, LED조명, 자동차 ECU, PC가전기기, OLED 등과 함께 에너지 소재와 투명 전극 시장에도 진출, 관련 분야에서 향후 5년간 5000억원 이상의 매출을 기대하고 있다""고 밝혔다.
[박준형 기자]

▶ [단독화보] 단아한 노현정 포착, 재벌가 며느리답게…

▶ `송승헌 레스토랑` 하루 매출 1000만원 비결이

▶ 롯데, 유먼 ‘장원준 공백 걱정마’

▶ 메시, 시즌 ‘80골 이상’도 가능

▶ [현장의재구성] 신세경 ""유리야, 볼륨 보단 복근이란다""

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
SSCP,머니투데이,2012.03.22. 오후 1:28,"오정현 SSCP 사장 ""뉴아이패드 발열 해결할 수 있다""","[머니투데이 김도윤 기자][그래핀 적용한 방열 재료 출시…3년 안에 매출 1조원 목표]
오정현 SSCP 사장이 최근 불거진 애플 뉴아이패드 발열 문제를 그래핀 방열 소재로 해결할 수 있다고 자신했다.
오 사장은 22일 서울웨스틴조선호텔에서 개최한 '그래핀 전자소재 출시 간담회'에서 이같이 밝혔다.
오 사장은 ""최근 뉴아이패드를 작동한 결과 온도가 아이패드2보다 약 7.2도 높게 나와 이슈가 됐다""며 ""최근 전자제품의 트렌드가 작은 제품에 가능하면 많은 기능을 넣으려고 하는 집적화인 만큼 발열 문제는 매우 중요하다""고 말했다.
오 사장은 ""목욕탕을 가면 39도 탕과 42도 탕이 온도가 확 다른 걸 알 수 있는데, 전자기기에서 1~3도 온도 차이가 나는 건 큰 문제라고 볼 수 있다""며 ""SSCP가 오늘 출시하는 그래핀을 적용한 전자소재를 활용할 경우 발열 문제를 해결할 수 있다""고 강조했다.
↑오정현 SSCP 사장이 22일 서울웨스틴조선호텔에서 개최한 '그래핀 전자소재 출시 간담회'에서 그래핀 방열 소재에 대해 설명하고 있다.
그래핀은 탄소 원자가 벌집 모양의 단층 구조를 형성하고 있는 소재다. 전자의 이동성이 실리콘보다 100배 이상 높고 열전도율 또한 구리의 100배가 넘는다고 알려져 있다. 열전도율이 높은 만큼 열을 막아내는 역할 등을 할 수 있다.
SSCP가 이날 출시한 그래핀 소재는 휴대폰, TV 등 전자제품뿐 아니라 LED 조명 등에서 나오는 열 온도를 낮출 수 있다는 게 회사 측의 설명이다. 일종의 방열 소재인 셈이다. SSCP는 자체적으로 10인치 크기의 알루미늄 케이스에서 실험을 해본 결과 발열 온도를 약 5도 낮출 수 있었다고 설명했다.
최적화를 하지 않은 상태에서 진행한 실험인만큼 실제 제품에 적용할 경우 이보다 온도를 더 낮출 수 있을 것으로 예상했다.
오 사장은 ""곧 애플에 SSCP의 그래핀 소재를 소개하는 연락을 할 생각이다""고 말했다. 오 사장은 그래핀 전자소재를 대량생산 할 수 있는 설비 구축을 마쳤고 이미 글로벌 방열 코팅 기업과 공급 계약을 체결한 만큼 오는 2015년에 연 매출 1조원을 달성하겠다고 포부를 밝혔다.
오 사장은 ""물론 그래핀은 앞으로 이차전지, 투명전극 등 여러 분야에 활용할 수 있겠지만 지금 당장 시장이 있고 고객이 있고 바로 매출을 올릴 수 있는 방열 분야에 먼저 적용하는 게 SSCP나 사회에 이로울 것으로 판단했다""며 설명했다.
SSCP에 따르면 전세계 방열 시장은 올해 7조원 이상의 규모를 기록할 것으로 전망된다. 지난 2010년부터 오는 2015년까지 연평균 약 13% 성장할 것으로 예상된다.
오 사장은 ""LED를 예로 들면 원가의 60% 이상을 방열 구조가 차지한다""며 ""LED는 들어오는 전기의 5%만 빛으로 내보내고 95%는 열로 내보낸다""고 말했다.
이어 ""방열 분야에서만 앞으로 5년간 5000억원의 매출을 올릴 수 있을 것으로 확신한다""며 ""이미 그래핀을 활용한 방열과 관련한 4건의 특허를 등록했고 약 50건도 특허 출원을 준비하고 있는 만큼 전세계 최고의 방열 전문 기업으로 성장하고 싶다""고 덧붙였다.
[주총현장] 주총 시즌 개막, 핫이슈는?
[내손안의 스마트한 경제정보 머니투데이 모바일]
[관련 키워드] SSCP|오정현|그래핀|방열|뉴아이패드

[머니투데이 핫뉴스]
☞ 회사앞 주운 USB, 무심코 PC에 꽂으니…앗!
☞ '휘발유 NO!' 리터당 1500원짜리 기름 나온다
☞ ""4040 전화 받으면 2만5천원 결제"" 괴담, 실체는?
☞ 싼타페, '최초 적용' 첨단옵션들 보니 ""와~""
☞ 대놓고 ""청약통장 500만원에 삽니다"", 어디?

김도윤기자 justice@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
SSCP,헤럴드POP,2012.03.22. 오후 2:31,"SSCP, 그래핀 소재를 이용한 상용화 신제품 공개","그래핀 소재를 이용한 각종 제품의 상용화가 진전을 이루고 있다.

오정현 SSCP 대표
코팅소재 전문기업 SSCP는 22일 서울 웨스틴조선호텔에서 열린 기자간담회를 통해 그래핀 파우더와 잉크 등을 이용한 TV, 태양전지 모듈, 코팅 필름, LED조명기기 등 상용화된 각종 제품을 선보였다.

SSCP는 그래핀의 높은 열전도성을 이용한 ‘방열 및 열확산 재료’를 개발했다. 특히 방열필름은 다국적 특수필름 전문업체와 독점 공급 계약 체결 이후 3월부터 시판에 들어갔다. 또한 그래핀 합성 및 응용제품 관련 특허를 4건 출원하기도 했다.

그래핀은 기존 실리콘에 비해 열 전도성, 신축성, 빛 투과성 등이 뛰어나 전자재료로서 각광받는 소재다. 육각형 벌집모양의 구조로 이뤄진 흑연의 일부를 얇게 한 겹 떼어낸 것이 그래핀이며 ‘꿈의 나노물질’이라고 불린다.

오정현 SSCP 대표는 “작년 말 그래핀 합성 및 나노 분산기술을 완료하고 이를 활용해 방열재료, 열 확산재료 등 응용제품 개발을 진행했다”며 “2차전지, LED조명, 자동차ECU, PC가전기기, OLED 등과 함께 에너지 소재 및 투명 전극 시장에도 진출, 관련 분야에서 향후 5년간 5000억원 이상의 매출을 기대하고 있다”고 밝혔다.

김화중 전기재료사업부 부장은 “현재 4~5개 업체와 상용화된 제품 계약을 완료했으며 현재 방열제품 이외에 개발된 제품이 많고 아직 시장엔 출시하지 않았다”고 밝혔다.

SSCP는 40여년간 축적한 코팅 및 전자재료 기술을 바탕으로 그래핀 상용화에 성공했다. 현재는 나노 분산기술을 적용한 메탈 페이스트를 양산중이며 추가 생산설비를 갖춰 그래핀 신소재 생산에 적용할 계획이다.



SSCP는 그래핀의 핵심기술인 고순도 그래핀 생산기술, 60%이상 그래핀 함량증대 기술, 나노사이즈 그래핀 배향기술을 모두 보유하고 있다. 이같은 기술 보유가 신제품 상용화를 앞당기고 향후 응용제품 개발에도 기여할 것으로 전망된다.



<문영규 기자 @morningfrost>

ygmoon@heraldm.com
[오늘의 인기기사]
◆ 남의 연인ㆍ아내 가로챈 10대 미녀스타는 누구?
◆ 김유정 노출의상 논란, ""14살인데 상의가?""
◆ ‘소시’ 윤아가 나이들면 이런 모습?
◆ 안상현 “손수조는 새누리당 꽃누리패”…‘100분토론’
◆ 신보라 “정범균의 진심을 모르겠다”
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
SSCP,전자신문,2012.03.22. 오후 4:33,"SSCP, 그래핀 전자재료 상용화...세계 최초 대규모 양산 체제 구축","뛰어난 전도 및 방열 특성, 고강도 등으로 꿈의 신소재로 불리는 그래핀을 이용한 전자재료를 우리 기업이 처음 상용화했다.

SSCP(대표 오정현)는 22일 서울 조선호텔에서 간담회를 열고 그래핀 파우더(분말), 페이스트(반죽), 방열필름개발에 성공, 양산을 시작한다고 밝혔다.

그래핀 기반 전자재료를 대량 생산하는 건 처음이다. 연간 300MT(1MT=1000kg, 페이스트 기준) 규모로 양산한다.

그래핀은 열전도성, 전기전도성, 강도 등이 뛰어난 물질이다. 열전도성은 다이아몬드의 2배, 전기전도성은 구리보다 100배 이상 높다. 얇은데도 강도가 좋아 `꿈의 신소재`로 불린다.

SSCP는 그래핀의 열전도 특성을 활용해 새 방열 소재를 만들었다. 이 소재는 TV, 조명, 태양전지 등에 적용돼 제품에서 발생하는 열을 효과적으로 배출하는 역할을 한다.

회사 측에 따르면 그래핀 전자재료를 적용하게 되면 기존 알루미늄 방열판 대비 5~10℃ 온도를 낮추는 효과가 있다.

오정현 SSCP 사장은 “40여년 동안 축적해 온 코팅 및 전자재료 기술을 바탕으로 국내 최초로 그래핀 상용화에 성공했다”며 “TV, 발광다이오드(LED), 태양전지 등 방열이 중요한 분야를 집중 공략해 사업화를 추진하겠다”고 말했다.

시장 수요 확대를 대비 생산 규모를 연말까지 500MT로 확대할 계획이다. SSCP는 다국적 특수 필름 전문 기업과 계약을 추진 중이며 향후 5년간 그래핀 제품으로 매출 5000억원 이상을 거둘 것으로 기대했다.

최성율 카이스트 교수는 “그래핀은 단기적으로 2차전지, 터치패널, OLED 등에 적용할 수 있지만 장기적으로 플렉시블 디스플레이, 인쇄전자는 물론이고 바이오 기술까지 적용 가능하다”고 말했다.

디스플레이 전극재료, PDP 필터, 전자제품 및 자동차용 코팅 사업을 해온 SSCP는 지난해 연결기준 1983억원의 매출과 47억원의 영업이익을 기록했다.

윤건일기자 benyun@etnews.com
[전자신문 인기 뉴스 Best 5]
▶ 갤탭을 슬레이트7처럼 쓰는 방법?
▶ ""아이패드 판매금지""...삼성이 웃는다
▶ 하이닉스, 3총괄 체제 개편
▶ 분당?일산 수도권 지하철 출퇴근족 앞으로...
▶ 외산 LTE폰 선수들, 메이저리그 시장은 한국!
[전자신문 앱 다운받기][전자신문 구독신청][광고문의]
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
SSCP,뉴시스,2012.03.22. 오후 5:19,"SSCP, 그래핀 적용 열확산 전자재료 상용화","【서울=뉴시스】백영미 기자 = 전자재료 전문 생산업체 SSCP㈜가 신소재인 그래핀을 적용해 만든 열확산 전자재료를 세계 최초로 상용화했다.

SSCP㈜는 22일 서울 소공동 웨스틴조선호텔에서 기자간담회를 열고 열전도성이 높은 그래핀을 적용해 만든 그래핀 파우더, 잉크, 방열 필름 등 신제품을 공개했다.

이러한 신제품은 스마트폰, 터치패널, PC, 롱텀에볼루션(LTE) 조명기기 등에 적용해 열을 효과적으로 배출할 수 있도록 도와준다.

그래핀 관련 핵심 기술은 크게 세 가지다. 흑연에서 화학, 기계적인 방법으로 고순도 그래핀을 생산하는 기술, 나노 분산을 통해 그래핀 함량을 60％ 이상으로 높이는 기술, 나노입자 크기인 그래핀을 한 방향으로 배열하는 배향기술 등이다.

그래핀 합성부터 응용제품 개발까지 가능한 것이 신제품 상용화를 앞당긴 요인이라고 회사 측은 설명했다.

그래핀은 탄소 원자가 육각형 벌집 형태로 결합해 있는 신소재다. 강도, 열 전도성, 신축성, 빛 투과성 등이 높다.

SSCP는 지난해 말 그래핀 합성과 나노 분산기술을 완료했으며 이를 활용해 열 확산재료 등 응용제품을 개발했다. 방열 필름의 경우 그래핀 합성 및 응용제품 관련 특허 4건을 출원했으며 이달에 다국적 특수 필름 전문업체를 통해 출시하기도 했다.

SSCP는 현재 나노 분산 기술을 적용한 실버 페이스트 공정 기술을 그래핀에 응용해 그래핀 파우더, 방열 필름 등을 만들고 있다. 연간 500 메트릭톤(MT,1MT=1000㎏)의 생산설비를 추가로 갖출 계획이다.

오정현 SSCP 대표는 ""에너지 소재와 투명 전극 시장에도 진출해 관련 분야에서 앞으로 5년간 5000억원 이상의 매출을 기대하고 있다""고 말했다.

최성율 KAIST 전기 및 전자공학과 교수는 ""그래핀은 단기적으로는 2차전지, 터치패널, OLED 등에 적용되지만 장기적으로는 플렉서블 디스플레이, 인쇄전자, 바이오 기술까지 적용이 가능하다""고 소개했다.

positive100@newsis.com

[뉴시스 이시간 핫 뉴스]
ㆍ 김희철·이정희, 모두 ´관악을´ 출마 강행
ㆍ [종합]재계의 반격‥""대기업 때리기 중단하라""
ㆍ 카카오톡, 메신저 피싱 당했다…보안 뚫렸나?
ㆍ [일문일답]김종인 ""박근혜, 쇄신의 강도는 굉장히 약했다""
ㆍ 대구 여중생 또 여강사 폭행…겉도는 폭력 근절책


★ 손 안에서 보는 세상, 모바일 뉴시스

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
SSCP,디지털타임스,2012.03.22. 오후 7:48,"SSCP, 그래핀 방열소재 개발","""아이패드 발열 문제도 해결 가능"" 눈길

전자재료 전문기업 SSCP가 그래핀을 적용한 소재 상용화에 성공했다. 회사는 그래핀을 활용하면 최근 제기된 아이패드 발열 문제도 해결할 수 있다고 밝혔다.

오정현 SSCP 사장은 22일 서울 소공동 웨스틴조선호텔에서 개최한 기자간담회에서 그래핀을 채택해 방열소재를 개발했다면서 이를 활용해 다양한 전자기기의 발열문제를 획기적으로 해결할 수 있을 것이라고 말했다.

그래핀은 탄소 원자가 벌집 모양의 단층 구조를 형성하고 있는 소재로 강도가 높으면서도 열 전도성, 신축성, 빛의 투과성 등이 뛰어나 `꿈의 신소재'로 불리는 차세대 전자재료다. 구리에 비해 100배 이상 전기가 잘 통하고 실리콘보다 100배 이상 전자의 이동성이 좋다는 장점이 있어 기존 소재의 한계를 뛰어넘을 수 있는 차세대 신소재로 다양한 응용분야에서 신 시장을 창출할 수 있을 것으로 기대되고 있다.

이번에 개발된 방열소재도 그래핀의 높은 열전도성을 이용해 전자제품에서 발생하는 열을 효과적으로 배출할 수 있도록 했다고 회사측은 설명했다. SSCP는 상용화를 통해 방열필름과 함께 파우더와 잉크 등 3종의 신제품을 선보이면서 이들 그래핀 소재를 이용해 스마트폰ㆍTVㆍPC 등 전자기기뿐만 아니라 2차전지와 LED조명등에서의 발열을 낮출 수 있다고 설명했다.

오 사장은 ""최근 전자기기의 크기는 가능한 줄이면서도 최대한 많은 기능을 넣으려고 하면서 집적화가 하나의 트렌드로 자리잡게 됐으며 이에 따라 발열문제가 매우 중요해졌다""면서 ""전자기기에서 발생하는 열에 의해 나타나는 1도 이상 온도 차는 사용자에 바로 감지할 수 있는 수준으로 심각한 문제가 될 수 있다""고 말했다. 그는 이어 ""최근 출시된 애플의 뉴아이패드에서 기존 제품보다 약 7.3도 높게 나타나는 발열문제가 발생했는데 우리가 개발한 제품을 소개해 볼 계획""이라면서 ""온도를 어느 정도 낮출 수 있을지 확신할 순 없지만 분명 효과는 있을 것""이라고 말했다.

SSCP는 그래핀 전자소재의 양산을 위한 설비 구축을 완료한 상태로 향후 5년간 5000억원 이상의 매출을 기대하고 있다고 설명했다. 또 그래핀 합성 및 응용제픔 관련 특허를 4건 출원했으며 특히 방열필름의 경우, 다국적 특수 필름 전문업체와 독점 공급 계약 체결을 앞두고 이 달부터 시판에 들어간 상태다.

오 사장은 ""그래핀은 2차전지와 투명전극 등 활용할 수 있는 범위가 무궁무진하다""면서 ""지속적인 신제품 연구개발(R&D)을 통해 그래핀 소재 선도기업으로 도약해 나갈 계획""이라고 말했다.

이홍석기자 redstone@

< Copyrights ⓒ 디지털타임스 & dt.co.kr, 무단 전재 및 재배포 금지 >

이홍석

redstone@"
SSCP,뉴시스,2012.03.22. 오후 9:31,SSCP 신소재 그래핀 적용 열확산 전자재료 상용화,"【서울=뉴시스】전자재료 전문 생산업체 SSCP㈜가 신소재인 그래핀을 적용해 만든 열확산 전자재료를 세계에서 처음으로 상용화했다.

SSCP㈜는 22일 서울 소공동 웨스틴조선호텔에서 기자간담회를 열고 열전도성이 높은 그래핀을 적용해 만든 그래핀 파우더, 잉크, 방열 필름 등 신제품을 공개했다.(사진=SSCP 제공)

photo@newsis.com

★ 손 안에서 보는 세상, 모바일 뉴시스

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
SSCP,이데일리,2012.04.05. 오후 6:19,"SSCP, 모간스탠리 인베스트먼트가 106만주 장내 매도","[이데일리 박형수 기자] SSCP(071660)는 5일 싱가포르 국적의 투자자문사 모간스탠리 인베스트먼트 매니지먼트 컴퍼니가 보유 중인 주식 가운데 일부인 106만1615주(3.29%)를 장내 매도했다고 공시했다.

박형수 (parkhs@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
SSCP,아시아경제,2012.04.06. 오후 6:37,"[공시Plus]SSCP, BW 50억원 발행···운영자금 마련","[아시아경제 지선호 기자] 전자재료 업체인 SSCP가 약 50억원 규모의 신주인수권부사채(BW)를 발행한다고 6일 공시했다.

이번 BW발행에는 신안저축은행이 참여했으며 BW의 행사가액 4864원, 행사기간은 2013년 4월9일부터 2015년 3월9일까지다.

이번 BW발행으로 마련된 자금은 운영자금으로 쓰일 예정이다.

SSCP 관계자는 ""재무건전성 확보를 위해 지난 1분기 단기차입금 300억원을 내부 보유자금으로 상환했고, 부채비율이 100%이내로 낮아졌다""고 밝혔다.

또 SSCP는 이번 50억원의 사모BW발행으로 신주인수권증권 수는 늘어났지만 신주인수권 물량부담을 줄이고자 지난 2010년 4월 발행했던 23회차 3년 만기 BW의 신주인수권증권(Warrant) 50억원을 내달 소각할 계획이다.

SSCP 관계자는 ""앞으로 지속적인 차입금 상환을 통해 올해 부채비율을 80%까지 낮출 계획""이라고 덧붙였다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[증권방송] 2012년 투자 종목의 핵심은 바로...

지선호 기자 likemore@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""충격의 이혼 '조혜련' 알고보니 과거에…""

▶ '조혜련' 잘 사나 했는데 이혼 택한 이유가…

▶ ""오정연과는…"" 파국 서장훈의 충격 고백

▶ ‘세계최초’ 인삼다당체 발견으로 ‘암 극복’ 새 바람

▶ ""너무 예쁜 그녀 '이력서 사진' 때문에 망했네?"""
