종목명,신문사,시간,제목,본문
디에스케이,아시아경제,2017.09.29. 오후 5:51,"디에스케이, 정연호 사외이사 중도 퇴임","[아시아경제 박혜정 기자]디에스케이는 정연호 사외이사가 중도 퇴임했다고 29일 공시했다.

박혜정 기자 parky@asiae.co.kr

▶ 양낙규의 [군사이야기]
▶ #오늘의 특징주! ▶ #오늘의 많이 본 (클릭!)

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
디에스케이,머니투데이,2017.09.29. 오후 6:07,"디에스케이, 정연호 사외이사 중도퇴임","[머니투데이 이건희 기자] 디에스케이는 정연호 사외이사가 상법 제382조 제3항 제7호의 결격사유에 해당해 지난 28일 중도퇴임했다고 29일 공시했다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

이건희 기자 kunheelee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
디에스케이,머니투데이,2017.10.10. 오후 5:24,"디에스케이, 최대주주 변경 주식담보 제공 계약 해제","[머니투데이 이원광 기자] 디에스케이는 최대주주인 김태구씨가 100억원 규모의 차입금 전액을 상환함에 따라 최대주주 변경을 수반하는 주식 담보제공 계약이 해제됐다고 10일 공시했다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

이원광 기자 demian@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
디에스케이,한국경제,2017.10.10. 오후 11:31,[코스닥 기업공시] (10일) 디에스케이,"▲디에스케이=최대주주가 100억원 규모 차입금 전액을 상환함에 따라 최대주주 변경을 수반하는 주식 담보제공 계약 해제.



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
디에스케이,아시아경제,2017.10.13. 오후 2:49,"디에스케이 ""경영권 분쟁 종식…각자 사업 전념할 것""","[아시아경제 최동현 기자] 디에스케이는 지난 5월25일부터 시작된 약 5개월간의 경영권 분쟁이 막을 내리게 됐다고 13일 밝혔다.

디에스케이 관계자는 이날 ""경영권분쟁이 종식되면서 양 대표(김태구 FA부문 대표, 박광철 바이오부문 대표)는 각자가 맡은 사업의 추진에 전념할 수 있게 됐다""면서 ""이를 통해 회사 발전과 주주이익극대화를 위해 최선의 노력을 다할 것""이라고 말했다.

박 대표도 ""숙원사업인 확산형 및 초저확산형 프로톡신 개발을 반드시 성공해 믿고 기다려준 주주들에 보답하고 고객들에게 최고 품질의 보톡스 제품을 공급할 수 있도록 노력하겠다""고 강조했다.

한편 디에스케이는 지난달 6일 이화공영과 127억원 규모의 KGMP(한국우수의약품 제조 및 품질관리 기준) 생산공장 건설을 위한 계약을 체결하고 화성시 향남읍 제약공단내 부지면적 9919 제곱미터(㎡) 위에 건축연면적 6553 제곱미터(㎡)로 짓는 공사를 진행중이다.

최동현 기자 nell@asiae.co.kr

▶ 양낙규의 [군사이야기]
▶ #오늘의 핫영상(클릭!) ▶ #오늘의 많이 본 (클릭!)

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
디에스케이,머니투데이,2017.10.17. 오전 9:02,"[조회공시]디에스케이, 시너지파트너스 투자유치 추진설","[머니투데이 김주현 기자] 한국거래소 코스닥시장본부는 17일 디에스케이에 '투자전문회사(시너지파트너스)로부터 투자유치 추진설'의 구체적인 내용과 관련한 조회공시를 요구했다. 답변 기한은 이날 오후 6시까지다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

김주현 기자 naro@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
디에스케이,아시아경제,2017.10.17. 오전 9:02,"디에스케이, 시너지파트너스 투자 유치 추진설 조회공시 요구","[아시아경제 박미주 기자]한국거래소 코스닥시장본부는 17일 디에스케이에 시너지파트너스 투자 유치 추진설 관련 조회공시를 요구했다. 답변 시한은 이날 오후 6시까지다.

박미주 기자 beyond@asiae.co.kr

▶ 양낙규의 [군사이야기]
▶ #오늘의 핫영상(클릭!) ▶ #오늘의 많이 본 (클릭!)

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
디에스케이,이데일리,2017.10.17. 오전 9:04,"거래소, 디에스케이에 투자유치 추진설 조회공시 요구","[이데일리 이후섭 기자] 한국거래소 코스닥시장본부는 17일 디에스케이(109740)에 투자전문회사 시너지파트너스로부터 투자유치 추진설에 대한 조회공시를 요구했다. 답변시한은 이날 오후 6시까지다.

이후섭 (dlgntjq@edaily.co.kr)

▶사진으로 보는 핫이슈
▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
디에스케이,이데일리,2017.10.17. 오전 9:07,"[특징주]디에스케이, 대규모 투자유치 소식에 '강세'","[이데일리 오희나 기자] 디에스케이(109740)가 대규모 투자를 유치했다는 소식에 강세를 보이고 있다.

17일 오전9시3분 현재 디에스케이(109740)는 전거래일보다 9.29%(850원) 오른 1만원에 거래되고 있다.

한 매체에 따르면 디에스케이는 16일 시너지파트너스로부터 250억원 규모의 투자 확약을 제공받은 것으로 전해졌다.

이에 따라 한국거래소 코스닥시장본부는 디에스케이에 투자전문회사 시너지파트너스로부터 투자유치 추진설에 대한 조회공시를 요구했다. 답변시한은 이날 오후 6시까지다.

오희나 (hnoh@edaily.co.kr)

▶사진으로 보는 핫이슈
▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
디에스케이,헤럴드경제,2017.10.17. 오전 9:11,"[생생코스닥]디에스케이, 시너지파트너스 투자유치 추진설 조회공시","[헤럴드경제=증권팀] 한국거래소는 17일 디에스케이에 투자전문회사 시너지파트너스로부터 투자유치 추진설의 사실여부 및 구체적인 내용을 묻는 조회공시를 요구했다.

답변시한은 이날 오후 6시까지다.

park@heraldcorp.com

▶ 생활용품 알뜰하게 사는 법 럭비(LUCK BE)

▶앞서가는 젊은 경제신문 친구맺기 ▶오늘의 운세 날씨



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
