종목명,신문사,시간,제목,본문
모다,헤럴드경제,2017.10.10. 오전 6:23,"‘5년만에 전국구’ 모다아울렛, 구리남양주점 열었다","-10일 15호점 오픈,가성비 앞세운 중저가 승부
-공격적인 지점 확장으로 시장 장악력 높여
-신상품 40% 싸게 제공해 인지도 강화 주력


[헤럴드경제=이정환 기자] 대구에서 출발한 토종 아울렛 ‘모다아울렛’이 10일 구리남양주에 15호점을 오픈했다.

모다아울렛은 대구에서 출발한 토종 아울렛으로 2011년부터 지점을 전국에 출점하기 시작해 5년여의 단기간에 놀라운 속도로 15호점까지 확장해왔다. 전국 규모의 아울렛 시장을 롯데, 현대, 신세계 등 대기업이 장악하고 있는 현실에서 중견기업의 이 같은 행보는 단연 이례적이다.

이번에 오픈하는 모다아울렛 구리남양주점은 전체면적 3만4855㎡(1만544평)으로 지상 1층~6층에 200여개의 입점 브랜드를 갖추고 있어 동북권 최대 규모와 면적을 자랑한다. 
지난 2011년부터 대구를 시작으로 5년여의 단기간에 놀라운 속도로 15호점까지 확장해온 모다아울렛. 사진은 10일 오픈한 구리남양주점 조감도.

구리시 갈매역 바로 앞에 위치한 모다아울렛 구리남양주점은 5분거리에 환승역인 상봉역이 있어 대중교통을 통해 이용하기도 쉽다. 입지적으로 서울 북동부권인 중랑구, 노원구, 도봉구, 남양주시, 포천시, 의정부시를 아우르는 광역점포가 될 전망이다. 인근에는 갈매신도시, 별내신도시, 다산신도시가 있어 8만여 가구 20만명 이상의 탄탄한 수요층이 형성되고 있다.

모다아울렛은 경제 성장이 둔화되고 가구의 소비 위축이 장기화되면서 정보력을 갖춘 소비자의 구매 환경 또한 변하고 있다는 것에 초점을 둔다. 이전 소비자는 최고의 성능만을 추구하거나 단순히 최저가 상품을 찾아내는 데 머물렀다면, 지금은 최선의 질을 갖춘 제품에 합리적인 가격을 지불하기를 원한다는 것이다. 이에 모다아울렛은 변화하는 소비자에게 발맞춰 가성비를 극대화하는 중저가 전략으로 고객 가치를 높이겠다는 전략을 표방하고 있다.

모다아울렛은 ‘좋은 브랜드 착한 가격’을 전략으로 전 제품을 상시 80~40% 할인해 판매한다.

패션 아울렛은 시즌이 지난 뒤에야 할인하는 것이 일반적이지만 모다아울렛에서는 신상품도 40% 저렴한 가격으로 구입할 수 있다. 고객이 꼭 필요로 하는 브랜드만 입점시키고, 입점한 매장은 상설매장으로 운영해 소비자가 원하는 최선의 제품을 언제든 합리적인 가격에 구입할 수 있도록 한 것이다.

이처럼 좋은 제품을 합리적인 가격에 제공할 수 있는 비결에는 모다아울렛만의 경영원칙이 크게 작용하고 있다. 모다아울렛은 아울렛을 운영하는 데 드는 비용을 최소화해 고객 서비스를 극대화하고 있다.

가장 대표적인 것이 부지 선정이다. 도심형 아울렛은 토지 구매 비용에 큰 비용이 들기 때문에 모다아울렛은 주로 도심 외곽지역을 선정한다. 인테리어 또한 고객이 쾌적하고 편안한 환경에서 쇼핑할 수 있도록 배려하면서도 장식적인 요소 등 불필요한 부분은 과감하게 제거했다. 이를 통해 절감된 비용을 그대로 소비자에게 돌려줄 수 있다.

또 모다아울렛은 유통의 역할을 ‘섬김과 상생’으로 두고 경영 전반에 적용하고 있다. 유통은 고객과 패션 기업을 연결하는 가교 역할이라는 것을 경영철학 바탕으로 삼고 있다. 모다아울렛은 입점한 패션 기업에게 안정적인 시스템을 제공, 궁극적으로는 고객이 더 좋은 제품을 합리적인 가격으로 구입할 수 있는 환경을 만들고 있다. 입점 브랜드와의 상생을 꾀함으로써 고객 섬김을 실현하고 있는 것이다.

모다아울렛 박칠봉 대표는 “구리남양주점 오픈을 통해 소비자가 원하는 최선의 제품을 언제든 합리적으로 구입할 수 있도록 하는 모다아울렛의 노력을 이어가겠다”며 “고객 가치를 극대화해 국내 아울렛 유통업계 빅3로 당당히 인정받는 모다아울렛이 되겠다”고 했다.

attom@heraldcorp.com

▶ 생활용품 알뜰하게 사는 법 럭비(LUCK BE)

▶앞서가는 젊은 경제신문 친구맺기 ▶오늘의 운세 날씨



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
모다,헤럴드경제,2017.10.10. 오전 11:18,토종 ‘모다아울렛’ 구리 시대 열다,"구리남양주점 10일 문열어
착한가격 앞세워 중저가 승부
공격적 지점 확장 장악력 높여
대구서 출발 15번째 출점

대구에서 출발한 토종 아울렛 ‘모다아울렛’이 10일 구리남양주에 15호점을 오픈했다.

모다아울렛은 대구에서 출발한 토종 아울렛으로 2011년부터 지점을 전국에 출점하기 시작해 5년여의 단기간에 놀라운 속도로 15호점까지 확장해왔다. 전국 규모의 아울렛 시장을 롯데, 현대, 신세계 등 대기업이 장악하고 있는 현실에서 중견기업의 이 같은 행보는 단연 이례적이다.

이번에 오픈하는 모다아울렛 구리남양주점은 전체면적 3만4855㎡(1만544평)으로 지상 1층~6층에 200여개의 입점 브랜드를 갖추고 있어 동북권 최대 규모와 면적을 자랑한다. 

지난 2011년부터 대구를 시작으로 5년여의 단기간에 놀라운 속도로 15호점까지 확장해온 모다아울렛. 사진은 10일 오픈한 구리남양주점 조감도.

구리시 갈매역 바로 앞에 위치한 모다아울렛 구리남양주점은 5분거리에 환승역인 상봉역이 있어 대중교통을 통해 이용하기도 쉽다. 입지적으로 서울 북동부권인 중랑구, 노원구, 도봉구, 남양주시, 포천시, 의정부시를 아우르는 광역점포가 될 전망이다. 인근에는 갈매신도시, 별내신도시, 다산신도시가 있어 8만여 가구 20만명 이상의 탄탄한 수요층이 형성되고 있다.

모다아울렛은 경제 성장이 둔화되고 가구의 소비 위축이 장기화되면서 정보력을 갖춘 소비자의 구매 환경 또한 변하고 있다는 것에 초점을 둔다. 이전 소비자는 최고의 성능만을 추구하거나 단순히 최저가 상품을 찾아내는 데 머물렀다면, 지금은 최선의 질을 갖춘 제품에 합리적인 가격을 지불하기를 원한다는 것이다. 이에 모다아울렛은 변화하는 소비자에게 발맞춰 가성비를 극대화하는 중저가 전략으로 고객 가치를 높이겠다는 전략을 표방하고 있다.

모다아울렛은 ‘좋은 브랜드 착한 가격’을 전략으로 전 제품을 상시 80~40% 할인해 판매한다.

패션 아울렛은 시즌이 지난 뒤에야 할인하는 것이 일반적이지만 모다아울렛에서는 신상품도 40% 저렴한 가격으로 구입할 수 있다. 고객이 꼭 필요로 하는 브랜드만 입점시키고, 입점한 매장은 상설매장으로 운영해 소비자가 원하는 최선의 제품을 언제든 합리적인 가격에 구입할 수 있도록 한 것이다.

이처럼 좋은 제품을 합리적인 가격에 제공할 수 있는 비결에는 모다아울렛만의 경영원칙이 크게 작용하고 있다. 모다아울렛은 아울렛을 운영하는 데 드는 비용을 최소화해 고객 서비스를 극대화하고 있다.

가장 대표적인 것이 부지 선정이다. 도심형 아울렛은 토지 구매 비용에 큰 비용이 들기 때문에 모다아울렛은 주로 도심 외곽지역을 선정한다. 인테리어 또한 고객이 쾌적하고 편안한 환경에서 쇼핑할 수 있도록 배려하면서도 장식적인 요소 등 불필요한 부분은 과감하게 제거했다. 이를 통해 절감된 비용을 그대로 소비자에게 돌려줄 수 있다.

또 모다아울렛은 유통의 역할을 ‘섬김과 상생’으로 두고 경영 전반에 적용하고 있다. 유통은 고객과 패션 기업을 연결하는 가교 역할이라는 것을 경영철학 바탕으로 삼고 있다. 모다아울렛은 입점한 패션 기업에게 안정적인 시스템을 제공, 궁극적으로는 고객이 더 좋은 제품을 합리적인 가격으로 구입할 수 있는 환경을 만들고 있다. 입점 브랜드와의 상생을 꾀함으로써 고객 섬김을 실현하고 있는 것이다.

모다아울렛 박칠봉 대표는 “구리남양주점 오픈을 통해 소비자가 원하는 최선의 제품을 언제든 합리적으로 구입할 수 있도록 하는 모다아울렛의 노력을 이어가겠다”며 “고객 가치를 극대화해 국내 아울렛 유통업계 빅3로 당당히 인정받는 모다아울렛이 되겠다”고 했다.

이정환 기자/attom@heraldcorp.com

▶ 생활용품 알뜰하게 사는 법 럭비(LUCK BE)

▶앞서가는 젊은 경제신문 친구맺기 ▶오늘의 운세 날씨



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
모다,SBS Biz,2017.10.10. 오후 5:04,"매년 신규 출점과 점포 리뉴얼 진행하는 ‘모다아울렛’, 15호점 구리남양주점 오픈","매년 2~3개의 신규 출점과 점포 리뉴얼 등을 진행하고 있는 ‘모다아울렛’이 금일 15호점 구리남양주점을 오픈했다.

모다아울렛은 대구에서 출발한 패션아울렛으로 지난 2011년부터 공격적인 전국 지점 출점을 통해 5년여의 기간 동안 15호점까지 확장을 이어오고 있다.

모다아울렛 박칠봉 대표는 “이번 구리남양주점 오픈을 통해 소비자들이 원하는 제품을 합리적으로 구입할 수 있도록 하겠다”면서 “고객 가치를 극대화해 국내 대표 아울렛 브랜드로 성장해나갈 것”이라고 전했다.

모다아울렛 구리남양주점은 구리시 갈매역 바로 앞에 위치해 있으며 전체면적 3만4,855㎡으로 지상 1층~6층에 200여 개의 입점 브랜드를 갖추고 있다. 또한 매장과 20분거리에 환승역인 상봉역이 있어 대중교통 이용이 용이하다. 입지적으로 서울 북동부권인 중랑구, 노원구, 도봉구, 남양주시, 포천시, 의정부시를 아우르는 광역점포가 될 것으로 전망되고 있다. 인근에는 갈매신도시, 별내신도시, 다산신도시가 있어 8만여 가구, 20만명 이상의 수요층이 형성돼 있다.

모다아울렛은 “좋은 브랜드 착한 가격”을 전략으로 전 제품을 상시 할인해 판매한다. 패션 아울렛은 시즌이 지난 뒤에야 할인하는 것이 일반적이지만 모다아울렛에서는 신상품도 저렴한 가격으로 구입할 수 있다.

고객이 필요로 하는 브랜드만 입점시키고 입점한 매장은 상설매장으로 운영해 소비자가 원하는 양질의 제품을 언제든 합리적인 가격에 구입할 수 있도록 했다. 특히 모다아울렛은 부지선정 등 아울렛을 운영하는데 드는 비용을 절감해 고객 서비스를 극대화하고 있다.

도심형 아울렛은 토지 구매 비용에 큰 비용이 들기 때문에 모다아울렛은 주로 도심 외곽지역을 선정한다. 인테리어 또한 고객이 쾌적하고 편안한 환경에서 쇼핑할 수 있도록 배려하면서도 장식적인 요소 등 불필요한 부분은 과감하게 제거했다.

이를 통해 절감된 비용을 그대로 소비자를 위한 서비스에 사용하고 있다. 또한 모다아울렛은 유통의 역할을 ‘고객중심’과 ‘상생’으로 두고 경영 전반에 적용하고 있다. 모다아울렛은 입점한 패션 기업에게 안정적인 시스템을 제공해 고객이 양질의 제품을 합리적인 가격으로 구입할 수 있는 환경을 만들고 있다.

박 대표는 “장기 불황을 맞아 소비자 중심의 새로운 판매전략을 펼치고 있다”면서 “경제 성장이 둔화되고 가구의 소비 위축이 장기화되면서 정보력을 갖춘 소비자의 구매 환경 또한 변하고 있기 때문”이라고 말했다.

이어 그는 “기존에는 성능만을 추구하거나 단순히 저렴한 상품을 찾아내는데 머물렀다면 최근 소비자들은 양질의 제품을 합리적인 가격에 구매하고자 한다”면서 “모다아울렛은 변화하는 소비자에게 발맞춰 가성비에 중점을 둔 중저가 전략으로 고객 만족도를 높이는데 주력하고 있다”고 덧붙였다.

온라인 뉴스팀 기자(jiny1504@sbs.co.kr)


☞ 의견 있는 경제채널 SBSCNBC [홈페이지] [뉴스스탠드]
☞ 공식 SNS [페이스북]
저작권자 SBS플러스 & SBS I&M 무단전재-재배포 금지"
모다,머니투데이,2017.10.10. 오후 5:34,"모다아울렛, 15호 구리·남양주점 문을 열다","[머니투데이 문수빈 기자] 패션아울렛 모다아울렛은 10일 경기도 구리시 갈매역 부근에 15호점인 구리·남양주점을 오픈했다고 밝혔다.

대구에서 출발한 패션아울렛인 모다아울렛은 지난 2011년부터 전국에 출점하기 시작해 약 5년간 15호점까지 지점을 확장했다.

이번에 오픈한 모다아울렛 구리남양주점은 전체면적 3만 4855㎡, 지상 1~6층의 규모로 200여 개 입점 브랜드를 갖췄다.

또한 구리시 갈매역 바로 앞에 위치하고, 20분거리에 환승역인 상봉역이 있어 대중교통 이용이 용이한 편이다.

모다아울렛 박칠봉 대표는 ""경제 성장이 둔화되고 가구의 소비 위축이 장기화되면서 정보력을 갖춘 소비자의 구매 환경 또한 변하고 있다""며 ""소비자 중심의 새로운 판매전략을 펼치고 있다""고 말했다.

그는 이어 ""기존에는 성능만을 추구하거나 단순히 저렴한 상품을 찾아내는데 머물렀다면 최근 소비자들은 양질의 제품을 합리적인 가격에 구매하고자 한다""면서 ""모다아울렛은 변화하는 소비자에게 발맞춰 가성비를 극대화하는 중저가 전략으로 고객 가치를 높이는데 주력하고 있다""고 덧붙였다.

모다아울렛은 '좋은 브랜드 착한 가격'을 전략으로 전 제품을 상시 80~40% 할인해 판매한다. 기존 패션 아울렛은 시즌이 지난 제품을 판매하는 것이 일반적이지만 모다아울렛은 신상품도 40% 저렴한 가격에 제공한다. 또한 입점한 매장은 상설매장으로 운영해 소비자가 원하는 양질의 제품을 언제든 합리적인 가격에 구입할 수 있도록 했다.

특히 모다아울렛은 토지 구매 비용이 높은 도심형 아울렛보다 주로 도심 외곽지역을 선정, 이같은 비용 절감으로 고객 서비스를 극대화하고 있다.

인테리어 또한 고객이 쾌적하고 편안한 환경에서 쇼핑할 수 있도록 배려하면서도 장식적인 요소 등 불필요한 부분은 과감하게 제거했다.

아울러 유통 역할을 '고객중심'과 '상생'으로 두고 경영 전반에 적용하고 있다. 아울렛에 입점한 패션 기업에게 안정적인 시스템을 제공해 고객이 양질의 제품을 합리적인 가격으로 구입할 수 있는 환경을 조성하고 있다.

박 대표는 ""매년 2~3개 신규 출점과 점포 리뉴얼 등을 진행하고 고객 가치를 극대화해 국내 대표 아울렛 브랜드로 성장하겠다""고 말했다.


▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

문수빈 기자

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
모다,머니투데이,2017.10.31. 오후 4:32,"모다, 10억 규모 유상증자 결정","[머니투데이 한은정 기자] 모다는 운영자금 마련을 위해 10억원 규모의 제3자 배정 유상증자를 실시한다고 31일 공시했다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

한은정 기자 rosehans@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
모다,이데일리,2017.10.31. 오후 4:48,"모다, 유상증자로 10억원 자금 조달 결정","[이데일리 최정희 기자] 모다(149940)는 심희정 씨를 상대로 17만3310주를 발행해 10억원의 운영자금을 조달키로 했다고 31일 밝혔다.

최정희 (jhid0201@edaily.co.kr)

▶이데일리 개편기념 이벤트 - 갤럭시 노트8 쏩니다
▶[페이스북] 보러가기~ ▶[카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
모다,뉴시스,2017.10.31. 오후 5:34,"모다, 10억 규모 제3자 배정 유상증자 결정","【서울=뉴시스】 김지은 기자 = 코스닥 상장 무선 통신장비 제조업체인 모다(149940)는 운영자금 마련을 위해 10억원 규모의 제3자 배정 유상증자를 실시한다고 31일 공시했다.

kje1321@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
신텍,서울경제,2017.11.07. 오후 2:21,[국고처 오재원] 종목상담 - 모다이노칩(080420),"[한국경제TV 류장현 PD]
[국고처 오재원] 종목상담 - 모다이노칩(080420)

11월 4일 방송된 `국민주식고충처리반`에 출연한 오재원 파트너가 모다이노칩(080420)에 대한 시세와 전망을 이야기하고 있다.

▶대한민국 대표 증권방송 `국민주식고충처리반` 매주 토 오전 11시 스마트폰 앱 `주식창`에 시청자 의견 남겨주세요.

류장현 PD jhryu@wowtv.co.kr



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
신텍,전자신문,2017.11.08. 오전 11:25,"모다이노칩, 3Q 영업익 56.8억…3.5% 증가","[아시아경제 박선미 기자]모다이노칩은 3분기 연결 기준 영업이익이 전년 동기대비 3.5% 증가한 56억8400만원을 기록했다고 8일 공시했다. 매출액은 5.4% 늘어난 680억3400만원으로 집계됐다.

박선미 기자 psm82@asiae.co.kr

▶ 양낙규의 '군사이야기'
▶ 2017아시아여성리더스포럼 ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
신텍,한국경제,2017.11.08. 오전 11:30,"[ET투자뉴스]모다이노칩 17년3분기 실적 발표, 당기순이익 19.9억원… 전년 동기 대비 -69.4%","11월 08일 모다이노칩(080420)의 2017년 3분기 연결 잠정 실적이 발표됐다. 매출액 680억원으로, 영업이익은 56.8억원으로 지난해 같은 기간 대비 각각 5.4%, 3.5% 증가했다. 반면 당기순이익은 19.9억원으로 69.4% 하락했다.





이번분기 기준으로 추정되는 모다이노칩의 자기자본이익률(ROE)은 3.1%로 나타났다. 이는 최근 일년과 비교했을 때 급락한 수치이다. 3분기 자기자본은 상승하고 당기순이익이 하락하였기 때문이다. 전년 동기인 2016년 3분기 ROE는 15%로 이번 분기에 11.9%p 하락했다. 한편 동종목의영업이익률은 8.4%이다. 지난해 동기 영업이익률은 8.5%로 이번 분기와 비슷한 수치이다.



주가가 1주당 수익의 몇배가 되는지 나타내는 주가수익비율(PER)은 233.1배로 나타났다. 이는 최근 일년과 비교했을 때 급등한 수치이다. 3분기 EPS는 하락하고 주가가 상승하였기 때문이다. 전년 동기 PER은 68.75배로 이번 분기에 상승했다.주가가 1주당 순자산의 몇배인지 알려주는 주가순자산비율인 PBR은 1.78배이다. 지난해 동기 PBR은 1.72배로 이번 분기와 비슷한 수치이다.





다음은 모다이노칩과 동일 업종 내 비교 그룹 종목의 각각 최근 실적의 전년 동기 대비 성장률이다. 모다이노칩의 매출액은 증가했지만 증감율은 타 종목 대비 저조한 편이다. 그리고 주가는 상승했지만 그 상승률은 낮은 편이다.





증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
