종목명,신문사,시간,제목,본문
피앤텔,연합뉴스,2018.02.14. 오전 9:07,"[특징주] 피앤텔, 최대주주 변경 소식에 강세","(서울=연합뉴스) 유현민 기자 = 피앤텔이 최대주주 변경 소식에 14일 장 초반 강세를 보이고 있다.

이날 오전 9시 5분 현재 코스닥시장에서 피앤텔은 전날보다 6.64% 오른 2천330원에 거래됐다.

피앤텔은 최대주주가 태성아이씨티에서 보나엔에스로 변경됐다고 전날 장 종료 후 공시했다. 변경 후 최대주주의 지분율은 14.33%다.

회사 측은 ""제3자배정 유상증자로 인한 변경""이라고 설명했다.

hyunmin623@yna.co.kr

▶기사제보 및 문의  ▶사진구매 문의

▶기자와 1:1 채팅  ▶로봇이 쓰는 올림픽 속보"
피앤텔,매일경제,2018.02.14. 오전 9:24,"[Hot-Line] 피앤텔, 최대주주 변경 소식에 강세","최대주주 변경 공시를 낸 피앤텔이 장 초반 강세다.

14일 오전 9시14분 현재 코스닥시장에서 피앤텔은 전일 대비 6.18% 오른 2320원에 거래 중이다. 장중 11.67% 오르기도 했다.

피앤텔은 전날 제3자배정 유상증자로 최대주주가 기존 태성아이씨티에서 보나엔에스로 변경됐다고 공시했다. 변경된 최대주주 지분율은 14.33%다.

[디지털뉴스국 박진형 기자]

▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
▶아나운서가 직접 읽어주는 오늘의 주요 뉴스
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
피앤텔,서울경제,2018.02.14. 오후 2:55,"(코)피앤텔, 전일 대비 7.09% 상승.. 일일회전율은 1.21% 기록","[서울경제] 피앤텔(054340)은 14일 오후 2시 55분 현재 7.09% 오른 2,340원에 거래되고 있으며, 48(매도):52(매수)의 매수우위를 기록하고 있다. 거래대금은 6억9,815만, 거래량은 30만2,985주로 거래량회전율은 1.21%로 나타났다.


지난 1개월간 피앤텔은 상승 11회, 하락 19회를 기록했고, 주가수익률은 -6.40% 표준편차는 5.64%를 기록했다. 이 기간 'IT부품업' 업종 평균 주가수익률은 -7.12%로 나타났으며, 변동성은 1.58%를 기록했다.

이 시각 현재 'IT부품업'은 1.85% 상승 중이며, 48(매도):52(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
피앤텔,파이낸셜뉴스,2018.02.22. 오전 9:17,[fnRASSI]피앤텔(054340) 현재 10.64% ↑,"현재 피앤텔(054340)은 전일대비 10.64% 상승하여 2,600원 선에서 거래가 이루어지고 있다.

기관과 개인은 순매도, 외국인은 순매수(한달누적)
기관이 4일연속 주식을 팔고 있는 반면 외국인은 3일연속 주식을 사고 있다. 4주간을 기준으로 보면 외국인이 매수반전의 모습을 보이며 48,766주를 순매수한 반면, 기관은 매도 우위를 지속하면서 93주를 순매도했고, 개인들도 순매수에서 순매도로 반전되면서 48,673주를 순매도한 것으로 집계됐다.

외국인 보유량 증가, 기관 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 46,595주 순매수하였고 반면 기관은 16주 순매도하였다. 전날 외국인 12,588주 순매수, 기관16주 순매도하며 보유 비율이 변동했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
피앤텔,서울경제,2018.02.22. 오전 9:30,"(코)피앤텔, 전일 대비 10.21% 상승.. 일일회전율은 4.61% 기록","[서울경제] 피앤텔(054340)은 22일 오전 9시 30분 현재 10.21% 오른 2,590원에 거래되고 있으며, 55(매도):45(매수)의 매도우위를 기록하고 있다. 거래대금은 30억2,641만, 거래량은 115만3,900주로 거래량회전율은 4.61%로 나타났다.


지난 1개월간 피앤텔은 상승 12회, 하락 18회를 기록했고, 주가수익률은 7.69% 표준편차는 5.76%를 기록했다. 이 기간 'IT부품업' 업종 평균 주가수익률은 -0.47%로 나타났으며, 변동성은 1.63%를 기록했다.

이 시각 현재 'IT부품업'은 0.23% 상승 중이며, 49(매도):51(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
피앤텔,전자신문,2018.02.22. 오후 5:18,"[ET투자뉴스][피앤텔 지분 변동] (주)보나엔에스14.33%p 증가, 14.33% 보유","피앤텔(054340)은 22일 최대주주 (주)보나엔에스의 보유주식이 증가되었다고 발표했다. 이는 직전 보고일보다 4,186,050주 증가하여 지분율은 14.33%로 상승했다. 이번 보고 사유는 제3자배정유상증자주금납입으로 알려졌다.




최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.
다음은 피앤텔의 지분 변동 내역과 보유 내역이다.







증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 포스트 바로가기
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
피앤텔,서울경제,2018.02.26. 오후 2:13,"피앤텔, 에티모비타와 개인 맞춤형 비타민 공동 개발을 위한 업무 협약 체결","[서울경제] 피앤텔은 건강기능식품 전문기업 에티모비타와 개인 맞춤형 비타민 제조 및 사업화를 위한 업무 협약을 체결했다고 26일 밝혔다.

이번 협약 체결로 피엔텔과 에티모비타는 기술 개발 및 마케팅을 공동으로 추진한다. 특히 제품 연구, 생산, 유통, 마케팅 등의 부문에서 양사가 보유한 역량을 더해 시너지 효과를 창출할 전망이다.

지난 2012년 설립된 에티모비타는 개인 맞춤형 비타민 제조 시스템과 비타민 제조를 위한 빅데이터를 보유 중인 융합벤처기업이다. 개인 맞춤형 비타민 제조 시스템은 서울 국제 발명 전시회 제조기기 분야에서 은상을 수상한 바 있다.

이강석 피앤텔 대표이사는 “에티모비타의 맞춤형 비타민 제조 관련 기술과 피앤텔의 자본력 및 글로벌 네트워크가 만나 시너지 효과를 발휘할 것으로 기대된다”며 “피앤텔의 해외 IT 기업 인프라 및 에티모비타의 빅데이터를 활용해 국내외 헬스케어 시장을 선점할 것”이라고 밝혔다.

/박호현기자 greenlight@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
피앤텔,머니투데이,2018.02.26. 오후 2:38,"피앤텔, 에티모비타와 개인 맞춤형 비타민 공동 개발 협약","[머니투데이 유현석 기자] [기술 개발 및 마케팅 공동 추진 예정…""양사간 시너지 효과 창출할 것""]

피앤텔이 건강기능식품 전문기업 에티모비타와 개인 맞춤형 비타민 제조 및 사업화를 위한 업무 협약을 체결했다고 26일 밝혔다.

이번 협약 체결로 피엔텔과 에티모비타는 기술 개발 및 마케팅을 공동으로 추진할 계획이다. 특히 제품 연구, 생산, 유통, 마케팅 등의 부문에서 양사가 보유한 역량을 더해 시너지 효과를 창출할 예정이다.

2012년 설립된 에티모비타는 개인 맞춤형 비타민 제조 시스템과 비타민 제조를 위한 빅데이터를 보유한 융합벤처기업이다. 개인 맞춤형 비타민 제조 시스템은 서울 국제 발명 전시회 제조기기 분야에서 은상을 수상했다.

이강석 피앤텔 대표이사는 ""에티모비타의 맞춤형 비타민 제조 관련 기술과 피앤텔의 자본력 및 글로벌 네트워크가 만나 시너지 효과를 발휘할 것으로 기대된다""며 ""피앤텔의 해외 IT 기업 인프라 및 에티모비타의 빅데이터를 활용해 국내외 헬스케어 시장을 선점할 것""이라고 밝혔다.

김주원 에티모비타 대표는 ""에티모비타는 바이오와 정보통신기술(ICT) 융합을 이용해 유비쿼터스 진단 주문 및 실시간 분석을 통한 제품 공급을 목표로 하고 있다""며 ""전반적인 사업에 대한 업무 협약을 시작으로 건강기능 식품 시장에서 두각을 나타낼 것""이라고 설명했다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

유현석 기자 guspower@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
피앤텔,매일경제,2018.02.26. 오후 2:55,"피앤텔, 에티모비타와 맞춤형 비타민 제조 위한 업무 협약","피앤텔은 건강기능식품 전문기업 에티모비타와 개인 맞춤형 비타민 제조 및 사업화를 위한 업무 협약을 체결했다고 26일 밝혔다.

이번 협약 체결로 양사는 기술 개발 및 마케팅을 공동으로 추진할 계획이다. 특히 제품 연구, 생산, 유통, 마케팅 등의 부문에서 양사가 보유한 역량을 더해 시너지 효과를 창출할 방침이다.

지난 2012년 설립된 에티모비타는 개인 맞춤형 비타민 제조 시스템과 비타민 제조를 위한 빅데이터를 보유 중인 융합벤처기업이다.

이강석 피앤텔 대표이사는 ""에티모비타의 맞춤형 비타민 제조 관련 기술과 피앤텔의 자본력 및 글로벌 네트워크가 만나 시너지 효과를 발휘할 것으로 기대된다""며 ""피앤텔의 해외 IT 기업 인프라 및 에티모비타의 빅데이터를 활용해 국내외 헬스케어 시장을 선점할 것""이라고 말했다.

[디지털뉴스국 김경택 기자]

▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
▶아나운서가 직접 읽어주는 오늘의 주요 뉴스
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
피앤텔,이데일리,2018.02.26. 오후 3:14,"피앤텔, 에티모비타와 개인 맞춤형 비타민 공동개발 업무협약","[이데일리 이후섭 기자] 피앤텔(054340)은 건강기능식품 전문기업 에티모비타와 개인 맞춤형 비타민 제조 및 사업화를 위한 업무협약을 체결했다고 26일 밝혔다.

이번 협약 체결을 통해 피앤텔과 에티모비타는 기술 개발 및 마케팅을 공동으로 추진할 계획이다. 특히 제품 연구, 생산, 유통, 마케팅 등의 부문에서 양사가 보유한 역량을 더해 시너지 효과를 창출한다는 전략이다. 지난 2012년 설립된 에티모비타는 개인 맞춤형 비타민 제조 시스템과 비타민 제조를 위한 빅데이터를 보유하고 있다.

이강석 피앤텔 대표이사는 “에티모비타의 맞춤형 비타민 제조 관련 기술과 피앤텔의 자본력 및 글로벌 네트워크가 만나 시너지 효과를 발휘할 것으로 기대된다”며 “피앤텔의 해외 IT 기업 인프라 및 에티모비타의 빅데이터를 활용해 국내외 헬스케어 시장을 선점할 것”이라고 전했다.

이후섭 (dlgntjq@edaily.co.kr)

▶ 하나된 열정! PASSION! 평창 동계올림픽 특집
▶ 네이버 메인에서 ‘이데일리’ 구독하기
▶ '이데일리'의 카톡 친구가 되어주세요~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
