종목명,신문사,시간,제목,본문
화진,서울경제,2018.03.29. 오후 2:26,"(코)화진, 장중 신저가 기록.. 4,390→4,385(▼5)","[서울경제] 오후 2시 24분 현재 화진(134780)이 2.66% 내린 4,385원(▼120)을 기록하며, 52주 신저가를 -5원 경신했다. 기존 52주 최저가는 2018년 03월 26일 기록한 4,390원이다. 체결강도는 25%로 강세 반전했다. 총매수체결량은 85,946주, 총매도체결량은 341,145주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 19억794만, 거래량은 42만8,776주를 기록하고 있으며, 수급측면으로는 80(매도):20(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 4십6만3천주, 60일 평균 거래량 1백4십8만9천주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
화진,서울경제,2018.04.03. 오전 9:40,"<코>화진, 장중 신저가 기록.. 4,380→4,300(▼80)","[서울경제] 오전 9시 38분 현재 화진(134780)이 2.49% 내린 4,300원(▼110)을 기록하며, 52주 신저가를 -80원 경신했다. 기존 52주 최저가는 2018년 03월 29일 기록한 4,380원이다. 체결강도는 31%로 강세 반전했다. 총매수체결량은 26,550주, 총매도체결량은 87,004주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 5억982만, 거래량은 11만7,322주를 기록하고 있으며, 수급측면으로는 77(매도):23(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 4십1만2천주, 60일 평균 거래량 1백4십8만3천주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
화진,한국경제TV,2018.04.03. 오전 11:34,"화진, 전일 대비 약 -5% 하락한 4,210원","[한국경제TV 라이온봇 기자]

화진은 4월 3일 11시 33분 전일 대비 약 -5% 하락한 4,210원에 거래되고 있다. 화진은 코스닥 상장 기업으로 운송장비,부품 업종에 속해 있다. 시가총액은 1,066억원으로 코스닥 상장기업 중 598위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


화진의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 6개월 수익률은 -28.64%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -13.88% 하락하며 부진한 모멘텀을 이어가고 있다.
화진 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


화진은 수익성(영업이익률) 측면에서 두각을 나타내고 있다. 최근 영업이익률은 53점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 영업이익률은 전체 시장 내 799위를 기록하며 상위 47.44%에 위치했다. 업종별로는 157위를 기록하며 상위 44.83%에 위치했다.
그러나 ROA와 매출증가율(YoY)은 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 화진의 종목 종합 스코어는 50점을 기록했다.
이는 동일 업종 평균점수인 48점보단 높지만, 시장 평균점수인 50점과 동일한 수준이었다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
화진,서울경제,2018.04.06. 오전 9:46,"<코>화진, 장중 신저가 기록.. 4,155→4,145(▼10)","[서울경제] 오전 9시 44분 현재 화진(134780)이 1.43% 내린 4,145원(▼60)을 기록하며, 52주 신저가를 -10원 경신했다. 기존 52주 최저가는 2018년 04월 04일 기록한 4,155원이다. 체결강도는 17%로 강세 반전했다. 총매수체결량은 14,156주, 총매도체결량은 84,919주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 4억2,886만, 거래량은 10만2,589주를 기록하고 있으며, 수급측면으로는 86(매도):14(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 5십9만5천주, 60일 평균 거래량 1백4십8만2천주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
화진,서울경제,2018.04.12. 오전 10:10,"<코>화진, 장중 신저가 기록.. 3,960→3,930(▼30)","[서울경제] 오전 10시 8분 현재 화진(134780)이 5.30% 내린 3,930원(▼220)을 기록하며, 52주 신저가를 -30원 경신했다. 기존 52주 최저가는 2018년 04월 09일 기록한 3,960원이다. 체결강도는 37%로 강세 반전했다. 총매수체결량은 103,334주, 총매도체결량은 278,832주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 14억5,599만, 거래량은 35만5,892주를 기록하고 있으며, 수급측면으로는 73(매도):27(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 4십2만7천주, 60일 평균 거래량 1백4십7만주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
화진,한국경제TV,2018.04.12. 오후 1:37,"화진, -14% 하락... 전일 보다 575원 내린 3,575원","[한국경제TV 라이온봇 기자]

화진은 4월 12일 13시 36분 전일 대비 약 -14% 급락한 3,575원에 거래되고 있다. 화진은 코스닥 상장 기업으로 운송장비,부품 업종에 속해 있다. 시가총액은 997억원으로 코스닥 상장기업 중 650위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


화진의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 6개월 수익률은 -33.49%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -19.42% 하락하며 부진한 모멘텀을 이어가고 있다.
화진 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


화진은 수익성(영업이익률) 측면에서 두각을 나타내고 있다. 최근 영업이익률은 53점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 영업이익률은 전체 시장 내 909위를 기록하며 상위 46.52%에 위치했다. 업종별로는 165위를 기록하며 상위 42.38%에 위치했다.
그러나 ROA와 매출증가율(YoY)은 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 화진의 종목 종합 스코어는 41점을 기록했다.
이는 동일 업종 평균점수인 53점과 시장 평균점수인 56점를 하회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
화진,매일경제,2018.04.13. 오후 8:27,[코스닥 공시] 화진 / 에이디테크놀로지 / 테크윙,"◇화진=최대주주가 메타센스로 변경.

◇에이디테크놀로지=63억원 공급 계약 체결.

◇테크윙=1분기 영업이익 58억원 기록.

▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
▶아나운서가 직접 읽어주는 오늘의 주요 뉴스
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
화진,이데일리,2018.04.13. 오후 9:12,"화진, 메타센스로 최대주주 변경","[이데일리 박형수 기자] 화진(134780)은 최대주주가 메타센스로 바뀌었다고 13일 공시했다. 회사 측은 기존 최대주주인 DIC 코퍼레이션이 주식 288만주(11.98%)를 장내에서 시간 외 매도로 처분했다고 설명했다. 신재생에너지 생산업체인 메타센스는 화진 지분 4.16%(100만주)를 보유하고 있다.

박형수 (parkhs@edaily.co.kr)

최신 웹툰이 공짜... 꿀잼 '웹툰'~♥
네이버 메인에서 ‘이데일리’ 구독하기
'이데일리' 페이스북 친구맺기


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
화진,연합뉴스,2018.04.17. 오후 4:44,포항 송도∼영덕 화진 36.5㎞ 해안 둘레길 만든다,"포항시 36억원 들여 2020년까지 완공

포항시 흥해 해안둘레길 [포항시 제공=연합뉴스]


(포항=연합뉴스) 임상현 기자 = 경북 포항 송도해수욕장에서 북쪽으로 동해안을 따라 걷는 둘레길이 조성된다.

포항시는 남구 호미반도 둘레길에 이어 북구에도 바다 절경을 감상하며 걸을 수 있는 '영일만 해오름 탐방로'를 2020년까지 만든다고 17일 밝혔다.

36억원을 들여 송도해수욕장 송림에서 영일대해수욕장∼영일만항∼칠포∼오도리∼월포를 거쳐 포항시와 영덕군 경계인 화진 해수욕장까지 36.5km 구간을 연결한다.

실시설계를 한 뒤 오는 10월께 착공한다.

이 구간은 해안 절경, 칠포 암각화, 오도리 주상절리, 기계 고인돌 등 볼거리가 많은 것이 자랑이다.

시는 자연훼손을 줄이기 위해 지형과 지물을 최대한 활용하고 단절구간 연결 때만 구조물을 설치할 방침이다.

또 2022년까지 남구 호미반도 둘레길, 오어지 둘레길, 구룡포 말목장성, 해파랑길 등 포항에 있는 다양한 둘레길을 한 축으로 연결한다.

포항시 관계자는 ""포항 전역을 걸어서 한 바퀴 돌 수 있는 트래킹 로드를 만들어 시민과 관광객이 언제나 찾을 수 있는 힐링 명소로 만들겠다""고 말했다.

shlim@yna.co.kr

▶기사제보 및 문의

▶내 생활에 흥이나는 최신 트렌드  ▶사진구매 문의"
화진,매일신문,2018.04.18. 오전 12:10,포항 북구권에도 '해안둘레길'…송도 송림숲∼화진 36.5km 연결,"영일만 해오름 탐방로가 연결될 예정인 흥해 칠포리의 해오름전망대 구간. 포항시 제공


영일만 해오름 탐방로 10월 착공…칠포암각화 등 문화·전설 연계

[포항 이상원 기자 seagull@msnet.co.kr] 포항시가 동해안 영일만의 아름다운 해안선을 따라 천혜의 해안 절경을 볼 수 있는 북구권 해안걷기길인 ‘영일만 해오름 탐방로’를 조성한다.

호미반도 해안둘레길을 첫걸음으로 하는 녹색생태도시 포항 그린웨이 사업의 하나로 도심의 송도 송림숲에서부터 영일대해수욕장~영일만항~칠포~오도~월포~화진까지 36.5㎞에 이른다. 시는 사업비 총 38억원을 투입하며, 지난 3월부터 사업 추진을 위한 기본 및 실시설계를 착수하고 설계가 끝나는 10월 말 공사를 시작해 2020년 준공할 예정이다.

송도 송림숲에서 송라 지경리까지 이어진 탐방로는 스토리텔링을 위해 동해안의 해안선을 따라 칠포암각화 등 문화와 전설을 연계 발굴해 조성할 방침이다.

최대한 자연을 훼손하지 않고 현장 지형지물을 활용하고 데크 구조물은 단절구간 연결에만 최소로 사용해 수려한 자연경관을 몸으로 느낄 수 있도록 할 계획이다. 또 오도리 주상절리 전망대와 함께 조성해 사람의 손길이 전혀 닿지 않은 주상절리를 가까운 거리에서 관람할 수 있도록 할 예정이다.

포항시는 영일만 해오름 탐방로 조성과 더불어 해안, 하천, 산림을 아우르는 둘레길 종합 기본계획을 수립 중에 있으며, 호미반도 둘레길과 오어지 둘레길, 구룡포 말목장성, 해파랑길 등을 포함한 포항시 전 지역에 분포된 둘레길을 한 축으로 연결할 계획이다.

포항권역을 일주할 수 있는 트레킹로드에 칠포암각화, 기계고인돌 등 역사와 문화 전설을 연계한 탐방로를 2022년 완공을 목표로 추진하고 있다.

포항시 김응수 그린웨이추진단장은 “포항 전역을 아우르는 둘레길이 완성되면 살맛나는 녹색생태도시 그린웨이를 통해 회색도시 이미지를 탈피하고, 바쁜 현대인이 자연을 통해 심신을 치유할 수 있는 힐링 공간으로 거듭날 것”이라고 말했다.


ⓒ매일신문 - www.imaeil.com"
