종목명,신문사,시간,제목,본문
바른전자,연합뉴스,2018.08.20. 오전 10:33,바른전자 '접촉 저항 방식 발 압력 센서' 특허,"(서울=연합뉴스) 전명훈 기자 = 바른전자는 '접촉 저항 방식의 발 압력 센서' 특허를 취득했다고 20일 공시했다.

회사 측은 ""올바른 보행자세나 걷기 습관 관련한 상품 개발에 활용할 것""이라고 설명했다.

id@yna.co.kr

▶뭐하고 놀까? '#흥' ▶퀴즈풀고 상품받고! 뉴스퀴즈쇼 '뉴나'

▶네이버 홈에서 [연합뉴스] 채널 구독하기"
바른전자,뉴시스,2018.08.20. 오전 10:36,"바른전자, 스마트 슈즈 관련 '발 압력 센서' 국내 특허 취득","【서울=뉴시스】장서우 기자 = 코스닥 상장 다이오드, 트랜지스터 및 유사 반도체소자 제조업체 바른전자(064520)는 접촉 저항 방식의 발 압력 센서에 관한 국내 특허를 취득했다고 20일 공시했다.

이는 반원 형태의 전도체를 신발 패드 내부에 좌우 대칭으로 겹겹이 배치해 발이 누르는 힘에 따라 변하는 접촉면과 그 전기적 저항 신호를 검출하는 방식이다.

회사 측은 ""웨어러블 디바이스로서 스마트 슈즈는 보행 자세나 올바른 걷기 습관 관련 상품 개발에 활용할 수 있다""며 ""스포츠과학, 의료 분야 등 다방면에 활용할 것""이라고 했다.

suwu@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
바른전자,서울경제,2018.08.20. 오전 10:36,"바른전자, 접촉 저항 방식 ‘발 압력 센서’ 특허 취득","[서울경제] 바른전자(064520)는 접촉 저항 방식의 발 압력 센서에 관한 특허권을 취득했다고 20일 공시했다. 회사 측은 “반원 형태의 전도체를 신발 패드 내부에 좌우 대칭으로 겹겹이 배치하여, 발이 누르는 힘에 따라 변하는 접촉면과 그 전기적 저항 신호를 검출하는 방식”이라며 “웨어러블 디바이스인 스마트 슈즈 같이 스포츠 과학, 의료분야 등 다방면에 활용 가능하다”고 설명했다.

/조양준기자 mryesandno@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
바른전자,헤럴드경제,2018.08.20. 오전 10:45,"[생생코스닥]바른전자, 접촉 저항 방식 발 압력 센서 관련 특허취득","[헤럴드경제=증권팀] 바른전자는 접촉 저항 방식의 발 압력 센서에 관한 특허를 취득했다고 20일 공시했다.

회사측은 “반원 형태의 전도체를 신발 패드 내부에 좌우 대칭으로 겹겹이 배치하여, 발이 누르는 힘에 따라 변하는 접촉면과 그 전기적 저항 신호를 검출하는 방식”이라고 설명했다.

이어 “웨어러블 디바이스로서 스마트 슈즈는 보행자세나 올바른 걷기 습관 관련 상품 개발에 활용할 계획”이라고 밝혔다.

park@heraldcorp.com

▶생생한 리뷰보고 최저가로 산다 헤럴드 리얼라이프

▶리얼라이프 카카오플러스 친구맺기 ▶한입뉴스 ‘타파스’ 페이스북 친구맺기



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
바른전자,머니투데이,2018.08.20. 오전 10:54,"바른전자, '접촉 저항 방식 발 압력 센서' 특허","[머니투데이 이정혁 기자] 바른전자는 '접촉 저항 방식의 발 압력 센서'로 특허를 취득했다고 20일 공시했다.

회사 측은 ""올바른 걷기 습관 관련 상품 개발에 활용할 것""이라면서 ""스포츠과학, 의료분야등 다방면에 활용할 것으로 기대한다""고 말했다.

▶더 많은 머니투데이 기사보기
▶실시간 급상승 기사 ▶'MT리포트'가 새로 발행되었습니다

이정혁 기자 utopia@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
바른전자,이데일리,2018.08.20. 오전 11:08,"바른전자, 걸음걸이·습관 측정하는 웨어러블 센서 개발","반원 형태 전도체 배치…누르는 힘 따라 결과 검출
바른전자의 스마트 웨어러블 센서.(이미지=바른전자 제공)
[이데일리 이명철 기자] 반도체 전문기업 바른전자(064520)는 보행자 걸음걸이나 걷는 습관을 정밀하게 측정하는 스마트 웨어러블 센서에 관한 특허를 취득했다고 20일 밝혔다.

‘접촉 저항 방식의 발 압력 센서’로 명칭한 해당 기술은 사용자 발이 지면을 어느 정도 힘으로 누르고 있는지 미세한 수치까지 감지할 수 있다. 반원 형태의 전도체를 신발 패드 내부에 좌우 대칭으로 배치해 누르는 힘에 따라 접촉면 변화와 전기적 저항 신호를 검출하는 방식이다.

원형 센서가 발바닥이 가장 먼저 닿은 부분과 늦게 닿는 부분 등을 순차 감지해 함께 탑재된 초소형 처리장치로 보행자 운동량이나 걸음걸이, 보행습관 등을 측정한다. 전기 저항을 이용한 기존 발 압력 센서는 압력 높낮이가 아닌 발이 지면에 닿았는지 여부를 감지하는 수준이었다.

설명환 커뮤니케이션팀 팀장은 “신체가 일으키는 압력과 가속도 등 아날로그 신호를 디지털 정보로 바꾸는 센서는 최적화된 웨어러블 기기 구현에 필수”라며 “향후 보행 자세나 올바른 걷기 습관을 연구하는데 보탬이 되고 스포츠 과학이나 의료 분야에 필요한 스마트 슈즈 구현에도 기여할 것”이라고 말했다.

이명철 (twomc@edaily.co.kr)

취준생을 위한 알짜 정보가 가득 [스냅타임▶]
네이버 홈에서 ‘이데일리’ [구독하기▶]
꿀잼 '웹툰'이 매일 공짜...[웹툰보기▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
바른전자,서울경제,2018.08.20. 오후 1:16,"바른전자, ‘걷는 습관까지’ 분석하는 정밀 압력 센서 특허 취득","[서울경제 포춘코리아 김병주 기자] 바른전자는 ‘접촉 저항 방식의 발 압력 센서’라는 명칭으로 보행자의 걸음걸이나 걷는 습관을 정밀하게 측정하는 스마트 웨어러블 센서에 관한 특허를 취득했다고 20일 밝혔다.

이번에 개발된 센서 기술은 신발을 신은 사용자의 발이 지면을 어느 정도의 힘으로 누르고 있는지 미세한 수치까지 감지할 수 있는 것이 특징이다. 반원 형태의 전도체를 신발 패드 내부에 좌우 대칭으로 겹겹이 배치해 발이 누르는 힘에 따라 변하는 접촉면과 그 전기적 저항 신호를 검출한다.

가령 사람이 강하게 땅을 박차면 순간적으로 신발과 발바닥의 접촉면이 커진다. 이 때 원형으로 자리 잡은 센서가 발바닥이 가장 먼저 닿은 부분과 늦게 닿는 부분 등을 순차적으로 감지한다. 감지된 데이터는 함께 탑재된 초소형 처리장치(Micro Processor)를 통해 보행자의 운동량이나 걸음걸이, 보행습관 등을 정확하게 나타내준다.

바른전자 관계자는 “사람의 신체가 일으키는 압력과 가속도 등의 아날로그 신호를 디지털 정보로 바꾸는 센서는 인간에게 최적화된 웨어러블 기기를 구현하는데 필수적”이라며 “이번 센서 기술이 상용화되면 보행 자세나 올바른 걷기 습관을 연구하는데 도움이 될 것”이라고 말했다. /bjh1127@hmgp.co.kr

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
바른전자,파이낸셜뉴스,2018.08.20. 오후 1:34,"바른전자, '접촉 저항 방식 발 압력 센서' 특허 취득","바른전자는 20일 '접촉 저항 방식의 발 압력 센서'로 특허를 취득했다고 공시했다.

바른전자 관계자는 ""올바른 걷기 습관 관련 상품 개발에 활용할 것""이라면서 ""스포츠과학, 의료분야등 다방면에 활용할 것으로 기대한다""고 말했다.

kjw@fnnews.com 강재웅 기자

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
바른전자,ZDNet Korea,2018.08.20. 오후 3:12,"바른전자, 걷는 습관 분석 '정밀 압력센서' 특허 취득","스마트슈즈·스포츠과학·의료공학 등 활용 기대

(지디넷코리아=박영민 기자)종합반도체 기업 바른전자(대표 김태섭)는 보행자의 걸음걸이나 걷는 습관을 정밀 측정하는 스마트 웨어러블 센서 특허를 취득했다고 20일 밝혔다.

'접촉 저항 방식의 발 압력 센서'라고 불리는 이 기술은 신발을 신은 사용자의 발이 지면을 어느 정도의 힘으로 누르고 있는지 미세한 수치까지 감지할 수 있는 것이 특징이다.

반원 형태의 전도체를 신발 패드 내부에 좌우 대칭으로 겹겹이 배치해 발이 누르는 힘에 따라 변하는 접촉면과 그 전기적 저항 신호를 검출하는 방식이라고 바른전자는 강조했다.

바른전자가 보행자의 걷는 습관을 분석하는 정밀 압력센서 기술 특허를 취득했다.(사진=바른전자)


바른전자는 ""사람이 강하게 땅을 박차면 순간적으로 신발과 발바닥의 접촉 면이 커진다""며 ""이 때 원형으로 자리 잡은 센서가 발바닥이 가장 먼저 닿은 부분과 늦게 닿는 부분 등을 순차적으로 감지함으로써 초소형 처리장치(Micro Processor)가 보행자의 운동량이나 걸음걸이, 보행습관 등을 정확하게 측정한다""고 설명했다.

전기 저항을 이용한 기존 발 압력 센서는 신발 크기와 착용감 문제를 고려해 작게 설계됐다. 이에 전기적 신호의 감도가 떨어져 압력의 높낮이가 아닌 발이 지면에 닿았는지 여부만을 감지할 수 있는 한계가 발생했다. 바른전자는 신발 속 센서의 모양과 구조에 변화를 줌으로써 이를 극복해냈다.

설명환 바른전자 커뮤니케이션팀 팀장은 ""사람의 신체가 일으키는 압력과 가속도 등의 아날로그 신호를 디지털 정보로 바꾸는 센서는 인간에게 최적화된 웨어러블 기기를 구현하는데 필수적""이라면서 ""이번 센서 기술이 상용화되면 보행 자세나 올바른 걷기 습관을 연구하는데 보탬이 되는 것은 물론, 스포츠과학이나 의료 분야에 필요한 스마트슈즈를 구현하는데 기여할 수 있을 것으로 본다""고 말했다.

박영민 기자(pym@zdnet.co.kr)

▶ 네이버 채널에서 ‘지디넷코리아’를 구독해주세요"
바른전자,머니투데이,2018.09.11. 오후 4:26,"바른전자, 228억원 규모 유상증자 실시","[머니투데이 김사무엘 기자] 바른전자는 시설자금과 운영자금 조달을 위해 228억3000만원 규모의 유상증자를 실시한다고 11일 공시했다. 증자는 주주배정후 실권주 일반공모 방식으로 진행한다.

▶더 많은 머니투데이 기사보기
▶실시간 급상승 ▶'MT리포트'가 새로 발행되었습니다

김사무엘 기자 samuel@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
