종목명,신문사,시간,제목,본문
엘컴텍,헤럴드POP,2012.05.08. 오전 9:46,<생생코스닥>카메라폰부품주 강세...한성엘컴텍 상한가,"[헤럴드경제= 강주남 기자] 카메라폰부품주가 초 강세다. 8일 거래소시장에서는 한성엘컴텍(037950)이 가격제한폭까지 오른 것을 비롯해 삼성테크윈(012450), 코아크로스(038530) 등이 3% 이상 올랐다.

휴대폰용 소형카메라 모듈(CCM) 및 KEYPAD, LED조명, 해외자원개발사업 등을 영위하는 한성엘컴텍은 휴대폰용 CCM과 KEYPAD를 통한 매출이 대부분을 차지하고 있다.신규사업으로 진행하고 있는 LED조명의 매출 비중이 증가세를 보이고 있다. 최대주주는 한완수 외(37.24%) .

namkang@heraldm.com/
[오늘의 인기기사]
◆ 북한 김정은 최대 고민은 성병, 왜?
◆ 지하철 1호선 나체녀 “정신지체 3급 확인, 훈방 조치”
◆ 조단 폭풍 성장 “눈매에서 야성미가”
◆ 지하철 가스통男 등장…""칠성파 조폭 죽이겠다""
◆ 김용민 “이정희 힘내세요” 한마디에…
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
엘컴텍,헤럴드POP,2012.05.08. 오후 3:46,<생생코스닥>카메라폰부품주 강세...한성엘컴텍 상한가,"[헤럴드경제= 강주남 기자] 카메라폰부품주가 초 강세를 기록했다. 8일 거래소시장에서는 한성엘컴텍(037950)이 가격제한폭까지 오른 것을 비롯해 삼성테크윈(012450), 바른전자(064520), 파워로직스(047310), 코아크로스(038530) 등이 3% 이상 올랐다.

휴대폰용 소형카메라 모듈(CCM) 및 KEYPAD, LED조명, 해외자원개발사업 등을 영위하는 한성엘컴텍은 휴대폰용 CCM과 KEYPAD를 통한 매출이 대부분을 차지하고 있다.신규사업으로 진행하고 있는 LED조명의 매출 비중이 증가세를 보이고 있다. 최대주주는 한완수 외(37.24%) .

namkang@heraldm.com/
[오늘의 인기기사]
◆ 북한 김정은 최대 고민은 성병, 왜?
◆ 지하철 1호선 나체녀 “정신지체 3급 확인, 훈방 조치”
◆ 조단 폭풍 성장 “눈매에서 야성미가”
◆ 지하철 가스통男 등장…""칠성파 조폭 죽이겠다""
◆ 김용민 “이정희 힘내세요” 한마디에…
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
엘컴텍,서울경제,2012.05.09. 오후 4:18,금값 하락에 고려아연·한성엘컴텍 곤두박질,"국제 금 선물이 연중 최저치를 찍었다는 소식에 관련주가 일제히 동반 급락했다.

9일 유가증권시장에서 고려아연은 전날보다 8.65% 하락한 34만8,500원에 거래를 마쳤다. 또 해외에서 금광사업을 진행하는 코스닥 상장기업 한성엘컴텍이 8.95% 급락했다.

관련 상장지수펀드(ETF)도 부진했다. 국제 금 선물지수를 추종하는 KODEX골드선물ETF(환헤지)가 2.55% 하락했고 TIGER금은선물ETF(환헤지)도 2.79% 내리며 약세를 보였다.

이날 금 관련주가 일제히 하락한 것은 국제 금 가격이 급락했기 때문으로 풀이된다. 뉴욕상업거래소(NYMEX)에서 금 6월 인도분은 전일(현지시간) 온스당 34.60달러(2.1%) 급락한 1604.50달러로 마감해 올 들어 최저치를 찍었다. 지난 2월 말 1,780달러선에서 고점을 찍은 후 3개월째 약세를 이어가고 있는 것이다.

전문가들은 당분간 금값 반등을 기대하기는 어려울 것으로 보고 있다. 변종만 우리투자증권 연구원은 ""이전에 실시된 금융정책에 비해 미국의 3차 양적완화는 강도가 약할 것으로 보이는 데다 중국도 경제성장률 목표를 7.5%로 낮추고 있어 과거와 같은 상품시장 급등을 기대하기 어렵다""며 ""유럽 재정 리스크가 해결되기 전까지 부진한 흐름이 이어질 것""이라고 전망했다.

환율 역시 금 시세에 불리하게 작용할 가능성이 높다는 지적도 나왔다. 김강오 한화증권 연구원은 ""유로존 위기로 유로 대비 달러화 강세가 당분간 지속될 가능성이 높은데 이 때문에 투기수요 비중이 높은 귀금속 가격의 상승모멘텀이 둔화될 것으로 전망된다""며 ""귀금속 판매가격 약세로 금 관련 기업의 주가도 영향을 받을 것""으로 내다봤다.

서은영기자 supia927@sed.co.kr

[한국아이닷컴 인기기사]
☞ '갤럭시S3' 이런 엄청난 기능까지… 깜짝
☞ 독설 퍼붓는 유부녀가 그 여배우라니…
☞ 11년 만에… 한국시장 발칵 뒤집을 SUV
☞ ""한국산이 최고!"" 일본인들도 반했다
☞ '노출의 계절' 섹시한 몸매 원하는 여성은…


[ⓒ 인터넷한국일보(www.hankooki.com), 무단 전재 및 재배포 금지]"
엘컴텍,이데일리,2012.06.07. 오후 6:35,"NICE신평, 한성엘컴텍 신용등급 `B+`로 하향","[이데일리 김경민 기자] NICE신용평가는 7일 한성엘컴텍(037950)의 신용등급을 기존 `BB-`에서 `B+`로 하향조정했다.

이번 조정에 대해 NICE신용평가는 ""주력 사업부의 경쟁력 둔화로 적자가 누적되고 있고, 재무위험도 커졌기 때문""이라고 설명했다.

등급 전망은 `안정적(Stable)`을 제시했다. NICE신용평가는 ""주력 사업부의 현금 창출력이 둔화됐으나, 자회사 지분 매각 등 다각적인 재무적 융통성 확보 방안이 적극적으로 추진되고 있다""고 말했다.

김경민 (min07@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
엘컴텍,전자신문,2012.06.18. 오후 6:09,"한성엘컴텍, 어떤 기기에서도 3D 영상 촬영할 수 있는 USB 타입 카메라 개발","노트북·TV 등 USB 단자가 있는 어떤 기기에서도 3차원(3D) 영상을 촬영할 수 있는 카메라가 나왔다.


한성엘컴텍(대표 고호석)은 3차원 칩이 내장된 USB 타입 3D 카메라를 개발했다고 18일 밝혔다.기존 3D 웹캠은 적청 방식을 사용하지만, 한성엘컴텍이 개발한 제품은 스테레오 스코픽 방식을 활용해 사실감 있는 영상을 촬영할 수 있다.


적청 방식은 두 개의 카메라를 한쪽은 적색, 한쪽은 청색 색깔을 걸러서 촬영해 하나의 영상으로 조합하는 3D 구현 기술이다. 놀이공원 및 극장 등에서 셀로판지 안경을 쓰고 보는 화면이 바로 적청 방식으로 촬영된 영상이다. 적청방식은 촬영한 화면에서 특정한 색깔을 배제한 탓에 색감과 심도가 떨어지는 문제가 발생한다. 어지럼증이 발생하는 부작용도 심한 편이다.


한성엘컴텍은 3D 스마트폰 등에 사용되는 스테레오 스코픽 기술을 웹캠에 적용해 색감과 심도 수준을 높였다. 3D 처리 칩을 별도로 내장해 중앙연산처리장치(CPU) 지원 없이 어떤 기기에도 장착할 수 있다. USB 타입으로 제작해 TV 및 노트북에 탈·부착해 사용할 수 있다. 이 회사는 샘플용 제품을 여러 고객사에 소개하고, 8월 중 양산 체제에 돌입할 계획이다. USB 3D 카메라 원천 기술은 특허로 등록해 후발업체들의 진입을 차단한다는 방침이다.


한상일 한성엘컴텍 전무는 “이번에 개발한 USB 타입 3D 카메라를 사용하면 모바일 기기뿐 아니라 집에 있는 3D TV와 노트북으로도 손쉽게 3D 콘텐츠를 만들수 있다”면서 “향후 풀 HD급 3D 카메라를 출시해 시장을 주도해 나갈 계획”이라고 말했다.


이형수기자 goldlion2@etnews.com
[전자신문 인기 뉴스 Best 5]
▶ ""셀카가 예술이 된다""…전면 카메라 성능 200만화소 급으로
▶ 블리자드 결국 항복, ""디아3 전액 보상…단, 레벨 40이하만""
▶ ""정부 모호한 태도가 망중립성 혼란 부추겨""
▶ 디카야, 폰이야? 4100만 화소 스마트폰 '경악'
▶ [이주의 이슈] '카톡 무료통화' 때문에 난리~허용 요금 얼마?
[전자신문 앱 다운받기][전자신문 구독신청][광고문의]
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
엘컴텍,헤럴드POP,2012.07.23. 오후 6:20,<생생코스닥>한성엘컴텍，신주인수권 행사가 1808원→1659원 조정,"한성엘컴텍은 시가하락으로 제13회차 신주인수권 행사가액을 종전의 1808원에서 1659원으로 조정한다고 23일 공시했다.

조정후 행사가능주식수는 253만1645주로 늘어나게된다.

[오늘의 인기기사]
◆ 北, 끔찍한 식량난에…키우던 돼지가 아이를? ‘충격’
◆ 곽현화 바나나 “우리나라, 성적 상상 자유와 관용 부족”
◆ 넥센 ‘턱돌이’ 여친, 알고보니 걸그룹 미녀?
◆ 안철수, 대선출마 물으니 “내가 능력과 자격이 있나”
◆ “안철수 ‘힐링캠프’ 출연, 형평성 문제 있다”
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
엘컴텍,한국경제,2012.08.06. 오후 3:03,"한성엘컴텍, 몽골 계열사 310억에 매각 결정","한성엘컴텍은 재무구조 개선을 위해 몽골에서 자원개발 사업을 하는 계열사 AGM마이닝 보유 지분 전량과 경영권을 'ALTAN-ULL RESOURCES'에 310억8600만원(275만달러)에 처분하기로 결정했다고 6일 공시했다. 이는 지난해 말 기준 자기자본의 51.31%에 해당하는 규모이며 처분 예정일은 오는 9월30일이다.

회사 측은 ""자원개발 사업에서 철수해 정보기술(IT) 분야에 집중하기로 했다""며 ""사업구조 개편에 따른 미래성장 발전분야인 IT 분야에 집중화된 투자와 발전을 기대한다""고 덧붙였다.

한경닷컴 오정민 기자 blooming@hankyung.com

▶ 신아람 상대 女선수, 누드 사진 공개에 결국

▶ 런던올림픽 수구 경기도중 女선수 '가슴 노출' 사고

▶ 레이디가가 ""다 벗었는데 야하지 않아""

▶ 대출 스팸 문자에 ""너 죽는다!"" 답장 보냈더니

▶ [포토] 민효린, '도발적인 하의' 파격

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
엘컴텍,아시아경제,2012.08.06. 오후 3:11,"한성엘컴텍, 몽골 자원개발업체 지분 전량 처분","[아시아경제 오현길 기자]한성엘컴텍은 ALTAN-ULL RESOURCES와 자사가 보유하던 몽골소재 자원개발업체 AGM MINING의 지분 전부를 310억원에 처분키로 결정했다고 6일 공시했다.

회사측은 지분 매각으로 부채상환을 통해 재무구조 개선하고, 자원개발사업 철수함으로써 IT분야 집중화 사업을 추진하겠다고 밝혔다.

오현길 기자 ohk0414@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""일반인 남편까지"" 한성주 충격적 과거 대체…

▶ '하하-안혜경' 참 오래 만나다 헤어지더니…

▶ ""윤종신 축구보고 '홍명보한테' 문자했다가""

▶ 인삼 다당체 진산 항암면역 증강작용 탁월! 암극복!!

▶ ""충격적 자살 '남윤정' 발견된 유서 내용이…"""
엘컴텍,헤럴드POP,2012.08.06. 오후 3:30,<생생코스닥>한성엘컴텍，몽골 자원개발업체 310억에 처분 결정,"한성엘컴텍은 계열사로 몽골소재 자원개발업체인 AGM MINING의 지분 전부를 310억8600만원에 ALTAN-ULL RESOURCES에 처분을 결정했다고 6일 공시했다. 이는 자기자본대비 51.31%에 해당한다.

회사측은 “부채상환을 통한 재무구조 개선, 자원개발사업 철수에 따른 IT분야 집중화 사업 추진을 위한 것”이라고 밝혔다.




[오늘의 인기기사]
◆ 티아라 대표, 공개사과했는데도 왜 논란?
◆ 기다렸던 아우디 A6가 나왔다
◆ '런던올림픽 특수'...경기승패..야식집 문의 114 전화 폭주
◆ 잘난얼굴이 무기? 황당도둑 “의심안받을줄”
◆ 박근혜 지지율, 안철수에 다시 역전
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
엘컴텍,매일경제,2012.08.06. 오후 3:45,"[공시] 한성엘컴텍, 310억 규모 몽골 계열사 지분 처분","한성엘컴텍은 부채상환을 통한 재무구조 개선을 위해 몽골소재 계열사인 AGM 마이닝 보유 지분 전량을 310억8600만원에 처분키로 했다고 6일 공시했다. 이번 처분금액은 자기자본대비 51.31% 규모다.
[최익호 기자]

▶ [베스트클릭 화보] ‘퍼펙트 바디’ 김준희, 미국발 ‘섹시美’ 한껏 발산

▶ [런던올림픽] 장미란의 마지막 미소는 아름다웠다

▶ [런던올림픽] 장미란의 마지막 미소는 아름다웠다

▶ 女 탁구, 만리장성 넘고 자존심 살린다

▶ [★ 화보] 상큼 매력녀 조수정, 비키니가 좀 작아보이는데?

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
