종목명,신문사,시간,제목,본문
쌍용건설,머니투데이,2012.09.21. 오전 10:00,"[더벨]캠코, 쌍용건설에 자금관리단 파견 검토","[더벨 김영수 기자][자금지원·재무상황 악화 등 필요성 제기…부실채권정리기금 관리이후 처음]
더벨|이 기사는 09월20일(13:22) 자본시장 미디어 '머니투데이 thebell'에 출고된 기사입니다.


한국자산관리공사(KAMCO)가 쌍용건설에 자금관리단 파견을 검토하고 있는 것으로 확인됐다. 자금지원 및 재무상황 악화 등으로 상시 재무점검이 반드시 필요하다고 판단했기 때문이다.
20일 금융권에 따르면 캠코는 쌍용건설에 대한 채권단의 자금지원이 마무리되는 대로, 채권단과 협의한 후 자금관리단을 파견할 예정이다. 실질적인 재무점검을 위한 자금관리단 파견은 부실채권정리기금 관리이후 처음이다.
캠코 관계자는 ""캠코가 쌍용건설의 대주주가 아닌 만큼 그 동안 쌍용건설에 대한 재무상황을 간접적으로 확인할 수밖에 없었다""며 ""캠코 자금 및 채권단의 자금이 투입되는데다 재무상황이 좋지 않기 때문에 자금관리단 파견을 검토하게 됐다""고 말했다.
그는 ""채권단에 먼저 의사를 전달한 후 채권단이 자금관리단을 파견할 경우 캠코 직원을 포함시킬 계획""이라며 ""채권단이 자금관리단을 파견하지 않을 경우에는 캠코 자체인력으로 구성된 자금관리단을 파견할 방침""이라고 말했다.
실제로 쌍용건설의 대주주는 부실채권정리기금으로, 이를 관리·운용하는 캠코는 재무 등 경영에 직접적으로 참여하는데 제약을 받아왔다. 사외이사 및 감사 역시 캠코 측과 관련없는 정부 측 인사가 내정돼 왔다.
캠코는 CFO를 포함한 자금관리단 파견을 통해 실질적인 쌍용건설의 자금을 관리할 것으로 예상된다. 특히 부실채권정리기금 운용시한(11.22) 만료 후에도 쌍용건설이 다시 캠코에 위탁관리가 될 것으로 예상됨에 따라 지분매각시점까지 장기적인 자금관리가 이뤄질 것으로 보인다.
채권단도 캠코의 자금관리단 파견에 대해 별 다른 이견이 없다는 입장이다.
채권단 관계자는 ""채권단에서 실질적인 자금지원이 이뤄지지만 자금관리단을 파견할 정도의 필요성이 있는지 논의해 보겠다""며 ""캠코 측이 자체적으로 자금관리단을 파견하는 것에 대해서는 이견이 없다""고 말했다.

[관련기사]
☞ [더벨]쌍용건설 채권단協, 자금지원 이달 넘기나
☞ 쌍용건설 구조조정 착수…전무급 임원 전원 퇴진


김영수기자 kys@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
쌍용건설,서울경제,2012.09.21. 오전 11:33,"쌍용건설, 경영난 속 해외사업 잇단 수주","쌍용건설이 경영난에 따른 구조조정 속에서도 이라크와 적도기니에서 잇달아 수주에 성공했다.

쌍용건설은 2억달러 규모의 이라크 쿠르드 상수도 시설과 4,000만달러 규모의 적도기니 몽고모 레지던스 공사 등 총 2억4,000만달러 공사를 수주했다고 20일 밝혔다.

이라크 쿠르드 자치정부가 발주한 상수도 시설은 프랑스 최대 건설사인 빈치와 경쟁 끝에 수주에 성공했으며 계약금액의 20%인 450억원을 선수금으로 받는 조건으로 계약을 마쳤다. 몽고모 레지던스는 적도기니의 국영기업 아바약이 발주한 프로젝트로 수의계약을 통해 공사를 따냈다. 이에 따라 쌍용건설은 적도기니에서만 1억1,000만달러 규모의 공사를 수주하게 됐다.

쌍용건설 관계자는 ""현재 입찰 진행 중인 공사만 90억달러가 넘을 정도로 해외부문이 확대되고 있다""고 말했다.

/박성호 기자 junpark@sed.co.kr

[한국아이닷컴 인기기사]
☞ 박근혜·문재인·안철수 기겁할 조사결과
☞ 굴욕적으로… 참담하게 추락한 일본
☞ 누구도 못한 일을… 엄청난 한국기업
☞ 강호동·정형돈도… 초대박 터트렸다
☞ 어쩌다가… 초대형 악재 만난 박근혜


[ⓒ 인터넷한국일보(www.hankooki.com), 무단 전재 및 재배포 금지]"
쌍용건설,머니투데이,2012.09.21. 오후 7:08,"쌍용건설, 회사 시련 딛고 해외수주 '청신호'","[머니위크 송협 기자]창립 이후 고강도 자구계획을 발표하고 나선 쌍용건설(회장 김석준)이 수천억원대 해외 신규사업 수주에 나서며 건재함을 과시하고 나섰다.
쌍용건설은 이라크와 적도기니에서 총 2억4000만달러(한화 약 2700억원)규모의 공사를 수주했다고 밝혔다.
최근 상당수 임원급 구조조정을 단행하며 자구책 마련에 나선 쌍용건설은 세계 2위 건설업체인 프랑스 '빈치社'를 누르고 이라크 쿠르드 지역 정수장 및 상수도 신설공사(2억달러, 한화 약 2250억원)를 수주했다.
쿠르드 자치정부가 일본 국제 협력기구(JICA)를 재원으로 발주한 이 공사는 계약금액의 20%(450억원)를 선수금으로 받는 조건이며 공사기간은 24개월이다.
오는 2015년까지 총 1860억원 달러 규모의 국가개발계획을 추진중인 이라크는 세계 4위에 해당하는 원유매장량을 바탕으로 전후 복구를 위한 대규모 사회기반시설 공사가 본격적으로 발주되고 있다.
이에따라 쌍용건설은 지난 2008년부터 이라크 진출을 위해 전사적인 노력을 기울였으며 쿠르드 자치정부와 최고 경영자 차원의 두터운 신뢰를 구축한 것으로 알려지고 있다.
쌍용건설은 또 아프리카 자원부국 적도기니의 국영기업인 '아바약社'로부터 '몽고모 레지던스' 시공에 대해 4000만 달러 (한화 약 450억원)에 단독 수의 계약했다.
이 공사는 지난해 11월 수주해 시공 중인 '몽고모 리더스 클럽'에서 보여준 쌍용건설의 기술력과 품질관리를 높게 평가한 발주처가 수의계약 형식으로 발주했으며 계약금의 30%(140억원)를 선지급 받는 조건이다.
쌍용건설은 그동안 해외 신규시장 진출에 주력한 결과 적도기니에서만 무려 총 1억1000만달러(한화 약 1230억원)규모의 공사를 수주했고 아울러 아프리카 진출을 위한 교두보를 마련하게 됐다.
쌍용건설 관계자는 ""PQ(입찰참가자격 사전심사)를 통과하고 입찰 진행 중인 공사만 90억달러를 뛰어넘을 만큼 해외시장 확대가 현실화 되고 있다""면서""마리나베이샌즈 호텔과 고난도 토목공사를 통해 보여준 기술력과 최고경영자의 네트워크가 좋은 결과를 나타내고 있다""고 설명했다.
한편, 쌍용건설은 1977년 창립이래 전세계 20개국에서 약 10조원(88억 달러)대 공사를 수주하며 고부가가치 분야인 고급건축과 고난도 토목에서 세계적인 경쟁력을 고루 갖춘 글로벌 건설사로 평가 받고 있다.
송협기자 backie@
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니위크, 무단전재 및 재배포 금지>"
쌍용건설,한국경제,2012.09.23. 오후 6:33,"""증자 통한 쌍용건설 매각 검토""…캠코, 채권단 지분은 추후 블록딜로 처분","공적자금관리委와 협의 추진

장영철 자산관리공사(캠코) 사장(사진)이 “공적자금관리위원회와 협의해 기존 쌍용건설 매각 방식을 변경하는 방안을 추진 중”이라고 밝혔다.

장 사장은 23일 “이랜드가 쌍용건설 인수 협상을 포기한 이후 기존 매각방식(채권단 지분 50.07% 매각+유상증자)을 고집할 수 없는 상황이 됐다”며 이같이 말했다.

그는 “1500억원 규모의 신주만 인수해도 쌍용건설 경영권을 가질 수 있도록 하는 방안을 공자위와 협의할 계획”이라며 “쌍용건설 입장에선 신주 발행으로 새로운 자금을 끌어들이는 효과를 볼 수 있어 인수자에 더 매력적인 방법이 될 것”이라고 설명했다. 이어 “만약 11월22일까지 매각하지 못하면 정부에 현물로 반납하는 수밖에 없다”고 했다.

공자위도 신주 발행을 통한 매각 방식에 반대하지 않는 입장이다. 공자위 관계자는 “쌍용건설의 구주 매각은 공자위 소관이지만 신주 발행 여부는 쌍용건설이 결정할 문제”라며 “회사가 어려운 상황에서 신주 발행을 결정하면 공자위에서도 반대할 명분이 없는 게 사실”이라고 전했다.

또 “구주는 나중에 블록딜 형태로 매각하면 된다”고도 덧붙였다. 공자위는 그동안 공적자금 회수를 위해 쌍용건설 구주 매각을 추진해 왔다.

이와 함께 장 사장은 쌍용건설에 대한 채권단 지원이 조만간 결정될 것이라고 했다. 그는 “우리은행 등 5개 채권은행이 쌍용건설에 1300억원 규모의 대출을 해주기 위해 관련 실사를 조만간 마무리할 것으로 알고 있다”며 “캠코가 먼저 700억원을 지원한데다 담보를 잡고 대출이 가능하기 때문에 채권단이 쌍용건설 지원에 나설 것”이라고 설명했다.

그는 “채권단 지원이 이뤄지고 나면 신규 해외수주 등으로 자금 추가지원 없이 버틸 수 있을 것”이라고 내다봤다.

장창민 기자 cmjang@hankyung.com

▶ 이연두 '란제리룩'…숨겨진 볼륨 몸매 드러내

▶ '전망 좋은 집' 19금 판정…곽현화 노출 어느 정도길래

▶ 강부자 ""남편 외도 알았지만 일부러"" 충격 고백

▶ 김지영 '과도한 가슴강조' 의상 논란…낯 뜨거워

▶ ""짧은바지 입지마라""며 경찰이 지하철서 성추행

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한국경제신문, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
쌍용건설,동아일보,2012.09.24. 오전 3:07,[한국 해외건설 제2의 붐… 현장을 가다]<2> 쌍용건설 싱가포르 센토사 섬 W호텔 공사,"亞 베벌리힐스에 ‘고급 건축 넘버원’ 자존심 우뚝

[동아일보]

《 아시아의 ‘베벌리힐스’로 불리는 싱가포르 센토사 섬. 싱가포르 시내에서 20분 거리에 있는 센토사 섬은 아름다운 해변, 멋진 호텔과 리조트, 유니버설 스튜디오, 세계 최대 해양수족관인 마린라이프파크 등 200개가 넘는 관광명소를 갖춘 고급 휴양지다. 센토사 섬에서도 가장 호화롭기로 유명한 곳이 최고급 주택단지가 모인 센토사 코브다. 식민지 시절 영국군이 주둔했던 이곳은 싱가포르 정부가 1970년대부터 세계 각국의 부호들을 끌어들일 최고급 휴양지로 만든다는 목표로 수십억 달러를 투자한 덕에 포르셰, 람보르기니 등 최고급 외제차가 쉴 새 없이 지나다니는 부촌이 됐다. 센토사 코브의 중심에 자리 잡은 건물이 바로 쌍용건설이 16일 완공한 6성급 ‘W호텔’. 》

개장 2주 전인 지난달 30일 W호텔 안팎은 막바지 손질에 한창이었다. 현장 소장인 한승표 쌍용건설 부장(50)은 “싱가포르의 ‘국부(國父)’ 리콴유 전 총리의 생일인 9월 16일 문을 열기 위해 개장일을 몇 주 앞당기다 보니 일이 바빠졌다”고 설명했다.

○ ‘마리나베이샌즈’보다 어려운 공사


쌍용건설이 2009년 10월 공사를 시작해 약 3년 만에 완공한 이 호텔은 총 8개 층에 240개의 객실을 갖추고 있다. 얼핏 보면 2010년 쌍용건설이 싱가포르 도심에 완공한 ‘마리나베이샌즈호텔’보다 짓기 쉬워 보이는 건물이다. 마리나베이샌즈는 60개 층에 2500개가 넘는 객실을 갖춘 초대형 호텔인 데다 별도 지지대 없이 지면과 52도 각도로 건물을 기울여 세운 대표적인 고난도 공사였다.

그러나 한 부장은 “W호텔 공사는 ‘디자인&빌드(Design&Build)’ 방식으로 수주했기에 마리나베이샌즈 건축 때보다 힘든 점이 많았다”고 말했다. ‘디자인&빌드’란 설계와 시공을 동시에 진행하는 방식을 말한다. 발주처인 싱가포르 최대 부동산 투자개발회사 CDL은 대략적인 조감도만 제시하고 쌍용건설은 이에 맞춰 외장재, 바닥재, 조명, 대리석, 카펫, 인테리어소품 등을 세계 각지에서 구해와 일일이 허락을 받아가며 공사를 진행해야 했다. 고객이 내놓은 상상 속의 그림을 현실의 건축물로 충족해내야 하는 공사 방식이다.

한 부장은 그중에서도 “호텔 전체에 센토사 섬의 명물인 나비를 연상시키는 소품을 진열하고, 이 소품이 세계 어디에서도 본 적이 없는 독특한 것이어야 한다”는 CDL의 요구를 가장 까다로운 주문으로 기억했다. 그는 “미국, 유럽 등의 인테리어업체를 모두 수소문해도 발주처의 요구를 맞출 수 없었는데 결국 인도에서 가까스로 고객의 마음에 드는 소품을 구할 수 있었다”고 말했다.

센토사 코브의 바닷가 저택은 1채에 평균 2000만 달러(약 240억 원)가 넘을 정도로 비싸다. 한 부장은 “주변에 사는 부호들이 ‘타워크레인이 내 집과 요트 위를 오가는 바람에 시끄럽고 불안해서 못 살겠다’며 툭하면 민원을 제기하곤 했다”며 “한 부호의 집 앞에서 밤을 새워 기다려 사정을 설명하고 양해를 구한 적도 있었다”고 토로했다.

○ 현지인보다 더 현지인다운 현장소장

이처럼 W호텔이 많은 난관을 뚫고 무사히 완공된 데에는 ‘현지인보다 더 현지인 같은’ 한 부장의 역할이 컸다. 한양대 건축공학과를 졸업하고 1990년 쌍용건설에 입사한 그는 이 회사에서 ‘살아있는 싱가포르 진출의 역사’로 불리는 인물이다.

한 부장은 1990년 당시 신입사원 연수 때 싱가포르와 첫 인연을 맺었고 말레이시아인 부인과 결혼해 20년 넘게 이곳에서 살고 있다. 휴가차 싱가포르에 잠시 들렀던 부인이 차이나타운에서 마주친 그에게 길을 물어본 인연으로 결혼에 성공했다. 쌍용건설이 W호텔 옆에 지은 초호화 콘도인 오션프런트콘도, 창이라이즈콘도, 탄톡셍병원 등 쌍용이 싱가포르에서 시행한 굵직굵직한 사업이 모두 그의 손을 거쳤다.

한 부장은 자신의 가장 중요한 업무가 한국 직원과 싱가포르 직원의 가교(架橋) 역할이라고 소개했다. 그는 “싱가포르는 전 세계 고급 건축 공사의 최전선”이라며 “소음 및 안전 관련 규제가 워낙 엄격한 데다 감리, 감독도 까다롭고 철저해 현지 직원들의 협조를 받지 못하면 선진국 건설회사와의 경쟁에서 이길 수 없다”고 강조했다.

한 부장은 “20년 넘게 싱가포르에 살다 보니 까무잡잡한 피부 등 외모조차 현지인과 비슷하게 변했다”고 너털웃음을 지었다. 그는 “22년 전으로 돌아가 다시 선택할 기회가 주어진다 해도 싱가포르 거주를 택하겠다”며 “싱가포르 사람 누구나 ‘고급 건축 1등 회사=쌍용건설’이라고 생각하도록 만드는 게 목표”라고 강조했다.

싱가포르=하정민 기자 dew@donga.com

[관련 뉴스]
- [한국 해외건설 제2의 붐… 현장을 가다]해외건설 호황, 채용지도 바꿨다


- [화보] 곽현화 출연 영화, “성적행위 묘사 빈번” 19금 판정


- [화보] 비키니 입은 이연두, 탄력 몸매 공개


[☞오늘의 동아일보][☞동아닷컴 Top기사][☞채널A 인터넷 토픽!]

ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지"
쌍용건설,연합인포맥스,2012.09.24. 오전 7:21,[금주 M&A 이슈]쌍용건설·웅진폴리의 숨은 매력,"(서울=연합인포맥스) 이규창 기자 = 우량 기업 매물도 주인 찾기에 어려움을 겪는 인수·합병(M&A) 시장 상황에서 쌍용건설과 웅진폴리실리콘이 팔릴 수 있을까.

M&A 업계의 일부 전문가들은 양사를 인수할 가치가 있다고 24일 진단했다. 도급순위 13위인 쌍용건설은 동남아 시장에서 상당한 명성을 쌓아놓았고, 웅진폴리실리콘은 아직은 국내 2위권의 폴리실리콘 생산력을 자랑한다.

따라서 인수 조건에 따라 3~4년 후를 내다보고 매입할 기업이나 투자자가 나타날수 있다는 게 이들의 시각이다.

물론 대부분은 양사의 매각에 상당히 비관적이다. 시장 투자자들이나 언론의 시각도 마찬가지다.

쌍용건설은 이미 수차례 매각에 실패했다.

그동안 여러 업체가 쌍용건설 실사 후 인수를 포기했다. 예상보다 부실 정도가 심하다고 생각한 것이다. 올 상반기 말 부채비율은 700%에 육박했고 대주주인 한국자산관리공사(캠코)와 채권 은행 지원 없이는 빚을 갚을 길이 없다.

웅진폴리실리콘도 업황부진에 시달리고 있다.

태양광 사업에서 모듈, 셀, 웨이퍼보다도 가장 공급과잉이 심한 폴리실리콘의 가격은 최근 킬로그램(kg)당 20달러 아래로 떨어졌다. 웅진폴리실리콘의 생산원가(약 30달러 중반)에 한참 미치지 못한다. 경북 상주 공장은 지난 7월부터 가동을 중단했다.

더군다나 삼성정밀화학과 한화케미칼이 공장을 완공하면 생산량에서도 밀리게 된다.

그러나 쌍용건설과 웅진폴리실리콘에도 매력이 있다.

쌍용건설의 매력은 이랜드그룹이 주변의 우려에도 인수전에 두 차례나 모습을 드러낸 이유에서 찾을 수 있다.

당시 IB와 건설업계 관계자들은 이랜드가 기술력을 인정받는 쌍용건설을 업고 동남아 시장 진출을 꾀하려고 한다고 진단하기도 했다. 또 성공적으로 사업을 펼치는 중국 시장에서도 쌍용건설 사업 확대를 기대했다고 분석했다.

인수조건도 점차 좋아지고 있다.

공적자금관리위원회와 캠코는 쌍용건설 신주만으로 경영권을 넘기는 방안도 검토중이다. 적은 돈으로 도급순위 13위의 건설사를 인수해 규제가 풀리는 건설시장의 회복을 기다릴 수 있다면 충분히 검토할 만하다는 게 일부 전문가들의 진단이다.

웅진폴리실리콘도 3~4년을 꾸준한 투자로 버틸 수만 있다면 새로운 성장동력으로삼을만한 사업체다.

공급과잉의 원인이었던 중국 업체들이 잇따라 사업을 포기하는 등 업계 구조조정이 한창이다. 태양광 시장도 앞으로 2~3년이 고비다. 공급 감소와 수요 증가가 나타나기 시작하면 웅진폴리실리콘도 경쟁력을 갖출 수 있다. 대체 에너지에 대한 가국의지원도 경기 침체 시기만 지나면 다시 활성화될 가능성이 크다.

웅진그룹과 주관사 측은 해외 PEF를 매각 타깃으로 삼고 접촉할 것으로 전해졌다.

국내 IB 관계자는 ""쌍용건설에 대해 캠코와 채권은행의 지원이 이뤄지고 2천억원이 안되는 가격으로 인수한다면 적어도 손해 보는 딜은 아니다""며 ""부동산 시장을 묶었던 규제가 풀리면서 건설업종도 조금씩 살아나지 않겠느냐""고 말했다.

그는 ""웅진폴리실리콘의 경우 어느 정도 자금력이 있는 대기업이나 PEF가 3~4년후를 보고 접근하면 충분히 매력있는 매물""이라며 ""문제는 인수 가격""이라고 분석했다.

다른 관계자는 ""독일의 M+W그룹이 한때나마 쌍용건설에 관심을 뒀다는 것은 그만큼 기술력과 네트워크를 인정했다는 것""이라며 ""웅진폴리실리콘도 기술투자만 이뤄지면 업황 개선 후 효자가 될 만한 기업""이라고 분석했다.

scoop21@yna.co.kr

(끝)

<저작권자(C)연합인포맥스뉴스. 무단 전재-재배포 금지.>"
쌍용건설,연합뉴스,2012.09.24. 오전 11:11,"포스코·쌍용건설, 원주 단계주공 재건축 수주","(서울=연합뉴스) 강건택 기자 = 포스코건설과 쌍용건설 컨소시엄은 2천366억원 규모의 강원도 원주 단계주공아파트 재건축 사업을 수주했다고 24일 밝혔다.

포스코건설이 55%, 쌍용건설이 45%의 지분을 각각 갖고 참여하는 이 사업은 원주시 단계동에 18개동, 1천451가구 규모의 아파트 단지와 부대 복리시설을 조성하는 공사다.

이들 회사는 2015년 1월 착공, 2017년 6월 입주를 목표로 사업을 진행한다.

포스코건설은 올해 들어 부천 원미 6B구역, 광명 1R구역, 안양 호계주공 주변지구, 안양 진흥아파트, 과천 주공1단지 등 다수의 재건축·재개발 사업을 수주한 바 있다.

포스코건설 관계자는 ""이번 사업부지는 원주시청, 고속버스터미널, 백화점, 병원을 이용하기 편리하고 평창 동계올림픽 개최에 따른 제2영동고속도로, 원주~강릉 복선전철 등의 개발 호재가 많아 분양성이 뛰어나다""고 말했다.

firstcircle@yna.co.kr

[이 시각 많이 본 기사]

☞박근혜 ""5.16ㆍ유신ㆍ인혁당 피해자가족에 사과""(종합)

☞SBS '맛있는 인생' 조기종영..마지막 10.7%

☞박근혜 오전9시 기자회견..과거사 사과 표명

☞-LPGA- 허미정·강혜지 나비스타 클래식 공동 3위(종합)

☞<쓰던 아이폰 반납하면 아이폰5도 벌써 '버스폰'?>

<연합뉴스 모바일앱 다운받기> <포토 매거진>

<저작권자(c)연합뉴스. 무단전재-재배포금지.>"
쌍용건설,매일경제,2012.09.24. 오전 11:20,"포스코건설, 쌍용건설 컨소시엄, 원주단계주공아파트 재건축사업 수주","포스코건설과 쌍용건설은 2,366억원 규모의 원주단계주공아파트 재건축사업을 수주했다고 밝혔다.
금번 사업은 포스코건설과 쌍용건설이 컨소시엄을 구성해 진행했으며, 지난 22일 열린 원주단계주공아파트 재건축 시공사 선정총회에서 시공사로 선정됐다.
이로써 포스코건설은 올해 들어서만 약1조 3천억원의 수주실적을 올리는 성과를 거뒀으며, 쌍용건설은 최근 이라크와 적도기니에서 2억4000만 달러(약 2,700억원)의 정수장 및 상수도 신설공사 등을 수주함으로써 해외건설 명가로서의 위상을 강화 한데 이어, 국내 재개발ㆍ재건축 시장에서도 입지를 탄탄히 하게 됐다.
포스코건설은 강원도 원주시 단계동 792 번지 일대에 지하 2층 ~ 지상 29층 18개동으로 79.2㎡(479세대), 115.5㎡(798세대), 125.4㎡(174세대) 등 총 1,451세대의 아파트단지와 부대복리시설을 조성할 계획이다.
포스코건설은 주간사로서 55%의 지분을 가지고 쌍용건설(45%)과 함께 공사에 참여하며, 2015년 1월 착공해 2017년 6월 완공 및 입주를 목표로 하고 있다.
포스코건설 관계자는 “사업부지는 원주시청, 고속버스터미널, AK백화점, 병원 등 각종 편의시설을 이용하기 편리하고, 특히 2018 평창동계올림픽 개최에 따른 제2영동고속도로, 원주∼강릉 복선전철 등 각종 개발 호재가 많기 때문에 사업성 및 분양성이 우수하다”고 말했다.
[매경닷컴 조성신기자]

▶ [화보] `아름다움도 슈퍼스타급`…메간 폭스, 절제된 섹시미 발산

▶ 로또1등 당첨번호, 뜯어보니 충격적 비밀이…

▶ 에프터스쿨 유이, `볼륨감이 넘쳐~`

▶ 포미닛 현아, `아찔 학다리`

▶ 씨스타 효린 `너무 짧은 블랙 초미니~ 노출될까봐 불안하네!`

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
쌍용건설,연합인포맥스,2012.09.24. 오전 11:36,"포스코건설ㆍ쌍용건설, 2천300억원 재건축사업 수주","*그림*<포스코건설ㆍ쌍용건설 컨소시엄이 수주한 원주단계주공아파트 재건축사업 조감도> (서울=연합인포맥스) 김대도 기자 = 포스코건설(부회장 정동화)은 24일 쌍용건설(회장 김석준)과 컨소시엄으로 2천366억원 규모의 원주단계주공아파트 재건축사업을수주했다고 밝혔다.

이 사업은 강원도 원주시 단계동에서 지하2층 지상29층 18개동을 짓는 프로젝트다. 주택형은 전용면적 79.2㎡(479세대)와 115.5㎡(798세대), 125.4㎡(174세대) 등 1천451세대로 구성된다.

포스코건설(지분 55%)ㆍ쌍용건설(45%) 컨소시엄은 오는 2015년 1월 착공해 2017년 6월 입주를 목표로 하고 있다.

포스코건설은 이번 수주건을 포함해 올해 부천 원미6B구역과 광명1R구역, 과천주공1단지 등 1조3천억원의 재개발ㆍ재건축물량을 따냈다고 설명했다.

한편, 최근 유동성 위기를 겪었던 쌍용건설은 지난주 이라크 등에서 2천700억원의 상수도 공사를 수주하는 등 해외시장과 국내시장에서 재기의 발판을 마련하고 있다는 평가를 받고 있다.

ddkim@yna.co.kr

(끝)

<저작권자(C)연합인포맥스뉴스. 무단 전재-재배포 금지.>"
쌍용건설,조선비즈,2012.09.24. 오전 11:44,"포스코·쌍용건설 컨소시엄, 원주 단계주공 재건축 수주","포스코건설과 쌍용건설 컨소시엄은 2366억원 규모의 강원 원주 단계주공아파트 재건축 사업을 수주했다고 24일 밝혔다.

포스코건설이 55%, 쌍용건설이 45%의 지분을 갖고 참여하는 이 사업은, 원주시 단계동에 18개동 1451가구 와 부대 복리시설을 조성하는 공사다

2015년 1월 착공에 들어가 2017년 6월 완공될 예정이다.

[전태훤 기자 besame@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ현대차 평균 1억 육박…대기업 연봉 평정
ㆍ""집 살땐 능력자 소리듣던 30대 지금은…""
ㆍ팬택 '베가 R3' 공개...국내 2위 굳힌다
ㆍ부동산 침체 이대로 가면…아현동 일대 곡소리
ㆍ""빈방이 노다지"" 이남자 눈엔 전국이 금밭


chosunbiz.com"
