종목명,신문사,시간,제목,본문
바이오빌,서울경제,2018.08.16. 오전 9:55,"<코>바이오빌, 장중 신저가 기록.. 2,305→2,215(▼90)","[서울경제] 오전 9시 54분 현재 바이오빌(065940)이 6.54% 내린 2,215원(▼155)을 기록하며, 52주 신저가를 -90원 경신했다. 기존 52주 최저가는 2018년 04월 05일 기록한 2,305원이다. 체결강도는 43%로 강세 반전했다. 총매수체결량은 36,217주, 총매도체결량은 84,426주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 3억791만, 거래량은 13만7,290주를 기록하고 있으며, 수급측면으로는 70(매도):30(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 9십1만주, 60일 평균 거래량 8십9만8천주로 비슷한 수준의 거래량을 유지하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
바이오빌,전자신문,2018.08.24. 오전 9:02,[ET투자뉴스][주요투자자 대량지분변동] 바이오빌(065940),"바이오빌(065940)은 24일 최대주주 강호경의 보유주식이 보유지분율에서의 변화는 없다고 발표했다. 이번 보고서에 따르면 보고자의 주식수는 2631748주이며, 현재 보유지분율은 7.72%를 유지하고 있다. 이번 보고 사유는 주식담보계약기간연장으로 알려졌다.




최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.
다음은 바이오빌의 지분 변동 내역과 보유 내역이다.







증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
바이오빌,전자신문,2018.09.05. 오후 5:24,"[ET투자뉴스][바이오빌 지분 변동] KB증권(주)2.28%p 증가, 20.6% 보유","바이오빌(065940)은 05일 - KB증권(주)의 보유주식이 증가되었다고 발표했다. 이는 직전 보고일보다 1,368,203주 증가하여 지분율은 20.6%로 상승했다. 이번 보고 사유는 단순투자목적의매매로인한1%이상변동으로 알려졌다.




최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.
다음은 바이오빌의 지분 변동 내역과 보유 내역이다.







증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 금융분야 마이데이터 활용 사례 및 비즈니스 적용방안
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
바이오빌,파이낸셜뉴스,2018.09.06. 오전 9:32,"[fnRASSI]바이오빌, 5.87% 오르며 거래량 증가","바이오빌(065940)의 당일 거래량이 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 바이오빌은 3일 연속 상승흐름을 보이며, 9시 29분 현재 5.87% 증가한 2,615원에 거래중이다.

외국인은 순매도, 개인은 순매수(한달누적)
9월4일부터 전일까지 외국인이 2거래일 연속 순매수를 보였다. 4주간을 기준으로 보면 개관이 초반에 동종목을 순매수한 이후에 최근에는 순매수량이 줄어들고 있음에도 불구하고 32,164주를 순매수했지만, 외국인은 초반에 동종목을 순매도한 이후에 근래에는 순매도량을 줄이면서 32,164주를 순매도했다. 기관의 순매수량에는 변함이 없다.

개인,외국인만 거래 참여
최근 한달간 주체별 거래비중을 살펴보면 개인이 91.6%, 외국인이 8.39%를 보였고, 기관은 거래참여가 없었다. 그리고 최근 5일간 거래비중은 개인이 92.39%, 외국인이 7.6%를 기록한 것으로 나타났다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
바이오빌,서울경제,2018.09.06. 오전 9:34,"<코>바이오빌, 전일 대비 7.09% 상승.. 일일회전율은 1.81% 기록","[서울경제] 바이오빌(065940)은 6일 오전 9시 34분 현재 7.09% 오른 2,645원에 거래되고 있으며, 40(매도):60(매수)의 매수우위를 기록하고 있다. 거래대금은 15억9,380만, 거래량은 61만6,130주로 거래량회전율은 1.81%로 나타났다.



지난 1개월간 바이오빌은 상승 15회, 하락 12회를 기록했고, 주가수익률은 -1.31% 표준편차는 2.79%를 기록했다. 이 기간 '화학업' 업종 평균 주가수익률은 6.82%로 나타났으며, 변동성은 1.39%를 기록했다.

이 시각 현재 '화학업'은 0.18% 상승 중이며, 46(매도):54(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
바이오빌,한국경제,2018.09.06. 오전 11:38,"[한경로보뉴스] '바이오빌' 10% 이상 상승, 오전에 전일의 2배 이상, 거래 폭발. 전일 314% 수준","06일 오전 11시 35분 현재 바이오빌은 전 거래일보다 11.94% 오른 2,765원에 거래되고 있다. 주가의 흐름을 살펴보면 2,535원으로 개장해서 장중 한때 2,515원(+1.82%)까지 소폭 밀렸다가 다시 2,770원(+12.15%)까지 상승 반전한 후, 현재는 2,765원(+11.94%)에서 머물면서 장중에 많이 상승한 모습이다.

◆ 거래량 분석
- 오전에 전일의 2배 이상, 거래 폭발. 전일 314% 수준
지금까지 거래량은 전일의 314% 수준으로 전일의 2배를 넘어서며 거래가 대폭 늘어나는 모습이다.

[그래프]바이오빌 거래량 분석


한경로보뉴스

이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. - 기사오류문의 02-3277-9940



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
바이오빌,서울경제,2018.09.07. 오전 9:32,"<코>바이오빌, 전일 대비 10.71% 상승.. 일일회전율은 2.92% 기록","[서울경제] 바이오빌(065940)은 7일 오전 9시 30분 현재 10.71% 오른 3,100원에 거래되고 있으며, 38(매도):62(매수)의 매수우위를 기록하고 있다. 거래대금은 28억6,685만, 거래량은 99만6,235주로 거래량회전율은 2.92%로 나타났다.



지난 1개월간 바이오빌은 상승 16회, 하락 12회를 기록했고, 주가수익률은 15.67% 표준편차는 3.65%를 기록했다. 이 기간 '화학업' 업종 평균 주가수익률은 6.45%로 나타났으며, 변동성은 1.37%를 기록했다.

이 시각 현재 '화학업'은 0.06% 상승 중이며, 49(매도):51(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
바이오빌,한국경제,2018.09.07. 오전 9:34,"[한경로보뉴스] '바이오빌' 10% 이상 상승, 대형 증권사 매수 창구 상위에 등장 - NH투자, 미래에셋 등","바이오빌이 장 초반 부터 전일 대비 +10%이상 상승하고 있다. 07일 오전 09시 31분 바이오빌은 전 거래일보다 10.0% 오른 3,080원에 거래되고 있다. 주가의 흐름은 2,765원으로 개장해서 장중 한때 2,700원(-3.57%)까지 살짝 밀렸지만, 다시 큰 폭으로 올라서 현재 3,080원(+10.0%)까지 상승하고 있다.

◆ 거래원 동향
- 대형 증권사 매수 창구 상위에 등장 - NH투자, 미래에셋 등
거래원 동향은 NH투자, 미래에셋, 삼성증권 등이 매수 상위 목록에 나타나고 있다. 한편, 매도 창구 상위에는 메릴린치가 눈에 띄고 있다.
이 시간 NH투자가 매수창구상위에 올라있는 종목은 이 종목 이외에도 비츠로테크, 두산 등이 있다.

[표]바이오빌 거래원 동향


◆ 주체별 매매동향
- 전일 외국인 대량 순매도
지난 한달을 기준으로 보면 기관이 449주를 순매수했고, 개인들도 21.3만주를 순매수했다. 반면 그동안 외국인은 21.3만주를 순매도했다. 같은 기간 개인의 거래 비중이 94.1%로 가장 높았고, 기관은 거래에 거의 참여하지 않은 것으로 보인다
더욱이 전일 외국인이 대량 순매도를 하고 있어 투자자들의 관심이 집중되고 있다.

[그래프]바이오빌 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. - 기사오류문의 02-3277-9940



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
바이오빌,한국경제TV,2018.09.07. 오전 9:37,"바이오빌, 전일 대비 약 9% 상승한 3,045원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


바이오빌은 9월 7일 9시 36분 전일 대비 약 9% 상승한 3,045원에 거래되고 있다. 바이오빌은 코스닥 상장 기업으로 화학 업종에 속해 있다. 시가총액은 954억원으로 코스닥 상장기업 중 659위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


바이오빌의 투자 스타일은 모호한 측면이 있으나 성장주라고 볼 수 있다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 6개월 수익률은 -25.71%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -14.83% 하락하며 부진한 모멘텀을 이어가고 있다.
바이오빌 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


바이오빌은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 바이오빌은 상대적으로 성장성 측면에서 두각을 드러내고 있었다.

성장성 점수는 기업의 실적이 전년 동기 대비 얼마나 증가했는지를 나타낸 지표로 기업의 이익 성장 추세를 나타낸다.

바이오빌은 특히 매출액증가율(YoY) 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 16위를 기록하며 상위 0.79%에 위치했다. 업종별로는 1위를 기록하며 상위 0%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
바이오빌,한국경제TV,2018.09.07. 오전 9:40,"바이오빌, 10% 급등... 전일 보다 280원 상승한 3,080원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


바이오빌은 9월 7일 9시 39분 전일 대비 약 10% 급등한 3,080원에 거래되고 있다. 바이오빌은 코스닥 상장 기업으로 화학 업종에 속해 있다. 시가총액은 954억원으로 코스닥 상장기업 중 659위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


바이오빌의 투자 스타일은 모호한 측면이 있으나 성장주라고 볼 수 있다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 6개월 수익률은 -25.71%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -14.83% 하락하며 부진한 모멘텀을 이어가고 있다.
바이오빌 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


바이오빌은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 바이오빌은 상대적으로 성장성 측면에서 두각을 드러내고 있었다.

성장성 점수는 기업의 실적이 전년 동기 대비 얼마나 증가했는지를 나타낸 지표로 기업의 이익 성장 추세를 나타낸다.

바이오빌은 특히 매출액증가율(YoY) 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 16위를 기록하며 상위 0.79%에 위치했다. 업종별로는 1위를 기록하며 상위 0%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
