종목명,신문사,시간,제목,본문
크로바하이텍,한국경제TV,2018.09.19. 오후 12:49,"크로바하이텍, 전일 대비 약 -4% 하락한 3,600원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


크로바하이텍은 9월 19일 12시 48분 전일 대비 약 -4% 하락한 3,600원에 거래되고 있다. 크로바하이텍은 코스닥 상장 기업으로 반도체 업종에 속해 있다. 시가총액은 488억원으로 코스닥 상장기업 중 1,043위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


크로바하이텍의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 6개월 수익률은 -26.59%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -5.42% 하락하며 부진한 모멘텀을 이어가고 있다.
크로바하이텍 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


크로바하이텍은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 크로바하이텍은 상대적으로 성장성 측면에서 두각을 드러내고 있었다.

성장성 점수는 기업의 실적이 전년 동기 대비 얼마나 증가했는지를 나타낸 지표로 기업의 이익 성장 추세를 나타낸다.

크로바하이텍은 특히 당기순이익증가율(YoY) 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 36위를 기록하며 상위 1.83%에 위치했다. 업종별로는 10위를 기록하며 상위 1.6%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
크로바하이텍,서울경제,2018.09.21. 오전 9:15,"<코>크로바하이텍, 장중 신저가 기록.. 3,400→3,055(▼345)","[서울경제] 오전 9시 14분 현재 크로바하이텍(043590)이 14.43% 내린 3,055원(▼515)을 기록하며, 52주 신저가를 -345원 경신했다. 기존 52주 최저가는 2018년 04월 23일 기록한 3,400원이다. 체결강도는 38%로 강세 반전했다. 총매수체결량은 76,340주, 총매도체결량은 202,199주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 10억3,603만, 거래량은 31만7,130주를 기록하고 있으며, 수급측면으로는 73(매도):27(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 2십6만6천주, 60일 평균 거래량 3십5만5천주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
크로바하이텍,파이낸셜뉴스,2018.09.21. 오전 9:32,"[fnRASSI]크로바하이텍, 당일 거래량 증가하며 3거래일 하락세 지속","크로바하이텍(043590)은 당일 거래량 증가로 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 현재 전 거래일보다 26.05% 감소하여 3일 연속 하락흐름을 보이고 있다.

외국인과 기관은 순매도, 개인은 순매수(한달누적)
9월12일부터 전일까지 외국인이 7거래일 연속 동종목을 내다 팔았다. 4주간을 기준으로 보면 외국인이 매도쪽으로 방향을 잡으면서 186,957주를 순매도했고, 기관도 매도 우위를 지속하면서 17,525주를 순매도했지만, 개인은 오히려 방향성있는 매매를 하면서 204,482주를 순매수했다.

상장주식수 대비 거래량은 4.36%로 적정수준
최근 한달간 크로바하이텍의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 4.36%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 4.83%를 나타내고 있다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
크로바하이텍,한국경제TV,2018.09.21. 오전 10:49,"크로바하이텍, -12% 하락... 전일 보다 420원 내린 3,150원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


크로바하이텍은 9월 21일 10시 48분 전일 대비 약 -12% 급락한 3,150원에 거래되고 있다. 크로바하이텍은 코스닥 상장 기업으로 반도체 업종에 속해 있다. 시가총액은 464억원으로 코스닥 상장기업 중 1,061위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


크로바하이텍의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 6개월 수익률은 -30.07%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -7.68% 하락하며 부진한 모멘텀을 이어가고 있다.
크로바하이텍 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


크로바하이텍은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 크로바하이텍은 상대적으로 성장성 측면에서 두각을 드러내고 있었다.

성장성 점수는 기업의 실적이 전년 동기 대비 얼마나 증가했는지를 나타낸 지표로 기업의 이익 성장 추세를 나타낸다.

크로바하이텍은 특히 당기순이익증가율(YoY) 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 36위를 기록하며 상위 1.82%에 위치했다. 업종별로는 10위를 기록하며 상위 1.59%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
크로바하이텍,전자신문,2018.09.21. 오후 1:57,"[ET투자뉴스][크로바하이텍 지분 변동] (주)파워리퍼블릭얼라이언스7.3%p 증가, 16.36% 보유","크로바하이텍(043590)은 21일 최대주주 (주)파워리퍼블릭얼라이언스의 보유주식이 증가되었다고 발표했다. 이는 직전 보고일보다 1,701,740주 증가하여 지분율은 16.36%로 상승했다. 이번 보고 사유는 주주배정유상증자참여로인한추가취득으로 알려졌다.




최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.
다음은 크로바하이텍의 지분 변동 내역과 보유 내역이다.







증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
크로바하이텍,서울경제,2018.10.02. 오전 9:39,"<코>크로바하이텍, 전일 대비 7.90% 상승.. 일일회전율은 1.96% 기록","[서울경제] 크로바하이텍(043590)은 2일 오전 9시 38분 현재 7.90% 오른 3,140원에 거래되고 있으며, 35(매도):65(매수)의 매수우위를 기록하고 있다. 거래대금은 13억9,754만, 거래량은 45만7,292주로 거래량회전율은 1.96%로 나타났다.



지난 1개월간 크로바하이텍은 상승 13회, 하락 16회를 기록했고, 주가수익률은 -21.50% 표준편차는 4.93%를 기록했다. 이 기간 '반도체업' 업종 평균 주가수익률은 -0.29%로 나타났으며, 변동성은 0.88%를 기록했다.

이 시각 현재 '반도체업'은 0.47% 상승 중이며, 48(매도):52(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
크로바하이텍,한국경제,2018.10.02. 오전 9:56,"[한경로보뉴스] '크로바하이텍' 10% 이상 상승, 대형 증권사 매수 창구 상위에 등장 - 미래에셋, NH투자 등","크로바하이텍이 장 초반 부터 전일 대비 +10%이상 상승하고 있다. 02일 오전 09시 50분 크로바하이텍은 전 거래일보다 10.48% 오른 3,215원에 거래되고 있다. 주가의 흐름을 살펴보면 2,890원으로 개장해서 장중 한때 3,220원(+10.65%)까지 큰 폭으로 상승했다가, 소폭 조정을 받아 현재 3,215원(+10.48%)에서 머물고 있다.

◆ 거래원 동향
- 대형 증권사 매수 창구 상위에 등장 - 미래에셋, NH투자 등
거래원 동향은 미래에셋, NH투자, 하나금융 등이 매수 상위 목록에 나타나고 있다. 한편, 매도 창구 상위에는 메릴린치가 눈에 띄고 있다.
이 시간 미래에셋이 매수창구상위에 올라있는 종목은 이 종목 이외에도 미래생명자원, 삼보판지 등이 있다.

[표]크로바하이텍 거래원 동향


◆ 차트 분석
- 주가 5일 이평선 상회, 단기·중기 이평선 역배열
차트상 주가의 흐름은 단기와 중기 모두 역배열 구간에서 하락 추세를 이어오다가 반등하는 모습이다.

최근 이 종목의 차트에서 최근 5일 매물대 돌파, 단기급락 후 5MA 상향돌파, 주가 5MA 상향돌파 등의 특이사항이 발생했다.

[그래프]크로바하이텍 차트 분석


한경로보뉴스

이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. - 기사오류문의 02-3277-9940



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
크로바하이텍,서울경제,2018.10.04. 오전 11:55,"<코>크로바하이텍, 전일 대비 7.04% 상승.. 일일회전율은 4.33% 기록","[서울경제] 크로바하이텍(043590)은 4일 오전 11시 54분 현재 7.04% 오른 3,420원에 거래되고 있으며, 38(매도):62(매수)의 매수우위를 기록하고 있다. 거래대금은 33억8,925만, 거래량은 100만9,690주로 거래량회전율은 4.33%로 나타났다.



지난 1개월간 크로바하이텍은 상승 14회, 하락 15회를 기록했고, 주가수익률은 -13.85% 표준편차는 5.30%를 기록했다. 이 기간 '반도체업' 업종 평균 주가수익률은 -2.68%로 나타났으며, 변동성은 0.91%를 기록했다.

이 시각 현재 '반도체업'은 0.85% 상승 중이며, 44(매도):56(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
크로바하이텍,한국경제,2018.10.04. 오후 1:39,"[한경로보뉴스] '크로바하이텍' 10% 이상 상승, 대형 증권사 매수 창구 상위에 등장 - 미래에셋, 삼성증권 등","04일 오후 13시 33분 현재 크로바하이텍은 전 거래일보다 10.33% 오른 3,525원에 거래되고 있다. 주가의 흐름은 3,205원으로 개장해서 장중에 밀리지 않고 계속 상승해서 3,525원(+10.33%)까지 큰 폭으로 상승하고 있다.

◆ 거래원 동향
- 대형 증권사 매수 창구 상위에 등장 - 미래에셋, 삼성증권 등
거래원 동향은 미래에셋, 삼성증권, NH투자 등이 매수 상위 목록에 나타나고 있다.
이 시간 미래에셋이 매수창구상위에 올라있는 종목은 이 종목 이외에도 알파홀딩스, 퓨쳐스트림네트웍스 등이 있다.

[표]크로바하이텍 거래원 동향


◆ 차트 분석
- 주가 5일 이평선 상회, 단기·중기 이평선 역배열
이 시간 차트의 흐름은 단기와 중기 모두 역배열 구간에서 하락 추세를 이어오다가 반등하는 모습이다.

이 종목의 차트에서 최근에 삼선전환도(양전환), 최근 5일 매물대 돌파 등을 확인할 수 있다

[그래프]크로바하이텍 차트 분석


한경로보뉴스

이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. - 기사오류문의 02-3277-9940



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
크로바하이텍,서울경제,2018.10.05. 오전 11:05,"<코>크로바하이텍, 전일 대비 7.00% 상승.. 일일회전율은 3.36% 기록","[서울경제] 크로바하이텍(043590)은 5일 오전 11시 3분 현재 7.00% 오른 3,745원에 거래되고 있으며, 33(매도):67(매수)의 매수우위를 기록하고 있다. 거래대금은 27억9,195만, 거래량은 78만2,398주로 거래량회전율은 3.36%로 나타났다.



지난 1개월간 크로바하이텍은 상승 15회, 하락 14회를 기록했고, 주가수익률은 -6.38% 표준편차는 5.60%를 기록했다. 이 기간 '반도체업' 업종 평균 주가수익률은 -3.41%로 나타났으며, 변동성은 0.94%를 기록했다.

이 시각 현재 '반도체업'은 1.00% 상승 중이며, 41(매도):59(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
