종목명,신문사,시간,제목,본문
럭슬,이데일리,2019.01.03. 오후 6:08,"에이코넬, 광미디어 생산업체 럭슬 15억원에 인수 결정","[이데일리 오희나 기자] 에이코넬(033600)은 광미디어 생산 및 판매업체 럭슬을 15억원에 인수하기로 결정했다고 3일 공시했다. 회사 측은 “사업다각화를 위한 수익 창출이 목적”이라고 인수배경을 설명했다.

오희나 (hnoh@edaily.co.kr)

네이버에서 이데일리 [구독하기▶]
빡침해소! 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
럭슬,아시아경제,2019.01.03. 오후 7:04,"에이코넬, 광미디어 업체 럭슬 15억에 인수","[아시아경제 최신혜 기자] 코스닥 상장사에이코넬이 광미디어 생산·판매 업체 럭슬을 인수한다.

에이코넬은 럭슬의 주식 2만주(100%)를 15억원에 취득하기로 했다고 3일 공시했다.

회사 측은 ""사업 다각화를 통한 수익창출 목적의 취득""이라고 인수배경을 설명했다.

최신혜 기자 ssin@asiae.co.kr

▶ 네이버 홈에서 '아시아경제' 뉴스 확인하기
▶ 재미와 신기 '과학을읽다' ▶ 꿀잼 '인기만화'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
럭슬,머니투데이,2019.01.04. 오전 8:30,"에이코넬, 빔프로젝트 '럭슬' 인수 ""사업다각화로 실적개선""","[머니투데이 김건우 기자] [삼성전자 빔프로젝트 ODM 中企 지분 100% 인수 ]

자동차 부품 전문기업 에이코넬이 삼성전자의 빔프로젝트 ODM(제조자개발생산) 기업을 인수해 실적 개선에 나선다.

3일 에이코넬은 빔프로젝트 생산기업 럭슬의 지분 100%를 15억원에 인수한다고 공시했다. 럭슬은 삼성전자의 스마트빔 'S빔'을 ODM 생산한다. 2017년 매출액과 영업이익은 각각 44억4000만원, 4억8000만원이다.

에이코넬이 럭슬을 인수한 이유는 기존 주력 사업인 자동차 부품 업황이 악화되고 있어서다. 1979년 설립된 에이코넬은 현대차의 국산 1호 모델 포니를 시작으로 에어컨 컴프레셔 등을 공급하고 있다. 하지만 원가 부담이 높아지면서 소음기용 부품, 브레이크 부품 등 납품을 중단하고 신규 사업 발굴에 주력했다.

에이코넬은 안정적인 실적을 올리는 럭슬을 인수해 실적 개선에 속도를 내겠다는 계획이다. 럭슬은 최근 출시한 카카오프렌즈의 캐릭터와 컬래버레이션 제품이 인기를 끌고 있고, 앞으로 마블 히어로 캐릭터와 협업 제품 출시도 계획하고 있다.

에이코넬 관계자는 ""럭슬은 독자 삼성전자에 ODM 제품을 공급할 만큼 기술력을 인정받고 있다""며 ""초소형부터 중소형 프로젝트 시장 장악을 목표로, 삼성전자향 스마트빔 4종을 추가 생산할 계획이다""고 말했다.

에이코넬은 지난해 최대주주 변경 이후 주가 급락, 타법인 주식 양수 해제 등의 진통을 겪으면서 증시에서 신뢰도가 크게 하락했다. 지난해 10월 이후 3000원대였던 주가는 3일 현재 1730원으로 하락했다. 시가총액도 250억원 수준에 불과하다.

에이코넬은 지난달 31일 공시한 태경산업 인수 계약 해제에 대해서도 적극 해명했다. 지난해 11월 태경산업의 지분 100%를 160억원에 인수하기로 했으나, 12월 31일 인수계약 해제를 공시했다. 에이코넬은 해제 사유에 대해 ""연결 회계를 위해 회계 실사를 실사하였으나, 신뢰성 있는 회계 자료의 미비로 순자산가액을 확정할 수 없어 계약해제를 통보했다""고 밝혔다.

이 관계자는 ""정확한 실사가 필요하다고 판단해 감사인을 대동해 태경산업을 방문한 결과 외부평가의견서와 다른 점이 많다고 판단했다""며 ""기업가치 평가를 실시한 우덕회계법인에 평가 결과 및 손해애 대한 법적조치를 취할 예정이다""고 말했다.

에이코넬은 앞으로 경쟁력이 뛰어난 중소기업 인수를 적극 추진하는 한편, 인수 과정을 투명하게 공개해 투자자들의 신뢰도를 회복하겠다는 방침이다.

이 관계자는 ""현재 다양한 신사업을 검토하고 있으며, 단계적으로 인수 과정을 투명하게 밝히겠다""며 ""올해 실적 개선과 빠른 신뢰도 회복을 할 수 있도록 최선을 다하겠다""고 덧붙였다.

▶'진료 중 의사 피살'
▶'2019 증시설문' 올해 주도주는? ▶뉴스는 머니투데이

김건우 기자 jai@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
알톤스포츠,파이낸셜뉴스,2018.09.20. 오전 9:11,"[fnRASSI]알톤스포츠(123750), 52주 신고가 경신...1.66% ↑","알톤스포츠(123750)는 52주신고가를 기록하고 있어 주목할만하다. 동종목의 현재 주가는 4,295원 선에서 이루어지고 있다. 거래일을 기준으로 최근 3일간 평균 거래량은 116만 주이다. 이는 60일 일 평균 거래량 5만 주와 비교해보면 최근 거래량이 급격히 늘어났다는 것을 알 수 있다.

외국인, 기관 모두 보유량 증가 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 18,078주 순매수하였고 마찬가지로 기관은 14,833주 순매수하였다. 전날 두 주체 각각 3,398주, 14,833주 순매수하며 보유 비율을 늘렸다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



개인투자자의 거래비중이 가장 높아
최근 한달간 주체별 거래비중을 살펴보면 개인이 전체 거래량의 96.05%를 차지하며 가장 활발한 참여를 보였고, 외국인은 3.53%, 기관은 0.4%의 거래 참여율을 보였다. 그리고 최근 5일간 거래비중은 개인이 90.43%, 외국인이 7.7%, 기관은 1.86%를 기록했다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
알톤스포츠,한국경제,2018.09.20. 오전 9:16,"[한경로보뉴스] '알톤스포츠' 52주 신고가 경신, 2018.2Q, 매출액 144억(-9.8%), 영업이익 0.3억(흑자전환)","20일 알톤스포츠는 장 초반 4,295원까지 오르며 지난 11월 09일 이후 10개월 여 만에 52주 신고가를 새로 썼다. 오전 09시 04분 현재 전 거래일보다 1.78% 오른 4,295원에 거래되고 있다. 주가의 흐름은 4,245원으로 개장해서 장중 한때 4,220원(0%)까지 살짝 밀렸지만, 상승 반전해서 현재 4,295원(+1.78%)까지 소폭 상승하고 있다.

◆ 최근 분기 실적
- 2018.2Q, 매출액 144억(-9.8%), 영업이익 0.3억(흑자전환)
알톤스포츠의 2018년 2사분기 매출액은 144억으로 전년동기 대비 -9.81% 하락했고, 영업이익은 0.3억으로 흑자전환에 성공했다.
이번 분기의 매출액은 지난 3년 평균 분기 매출액을 114% 상회하는 수준이고, 영업이익은 지난 3년 평균 영업이익 대비 20억 증가한 수준이다.
이 회사의 매출액 증가율과 영업이익 증가율은 각각 코스닥 하위 29%, 상위 18%에 랭킹되고 있다.

[표]알톤스포츠 분기실적


한경로보뉴스

이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. - 기사오류문의 02-3277-9940



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
알톤스포츠,서울경제,2018.09.20. 오전 9:53,"<코>알톤스포츠, 장중 신고가 돌파.. 4,270→4,455(▲185)","[서울경제] 오전 9시 52분 현재 알톤스포츠(123750)가 5.57% 오른 4,455원(▲235)을 기록하며, 52주 신고가를 +185원 경신했다. 기존 52주 최고가는 2017년 11월 09일 기록한 4,270원이다. 체결강도는 247%로 강세를 유지했다. 총매수체결량은 77,990주, 총매도체결량은 31,572주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 4억7,596만, 거래량은 10만9,183주를 기록하고 있으며, 수급측면으로는 29(매도):71(매수)의 매수우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 7만3천주, 60일 평균 거래량 5만5천주로 최근 거래량이 큰 폭으로 증가하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
알톤스포츠,서울경제,2018.09.20. 오후 2:50,"<코>알톤스포츠, 전일 대비 7.35% 상승.. 일일회전율은 1.85% 기록","[서울경제] 알톤스포츠(123750)는 20일 오후 2시 49분 현재 7.35% 오른 4,530원에 거래되고 있으며, 34(매도):66(매수)의 매수우위를 기록하고 있다. 거래대금은 10억4,209만, 거래량은 23만5,953주로 거래량회전율은 1.85%로 나타났다.



지난 1개월간 알톤스포츠는 상승 18회, 하락 10회를 기록했고, 주가수익률은 40.03% 표준편차는 2.05%를 기록했다. 이 기간 '운송장비·부품업' 업종 평균 주가수익률은 18.51%로 나타났으며, 변동성은 1.70%를 기록했다.

이 시각 현재 '운송장비·부품업'은 1.65% 상승 중이며, 37(매도):63(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
알톤스포츠,파이낸셜뉴스,2018.09.20. 오후 3:35,"[fnRASSI]알톤스포츠,녹십자셀 등 19종목 52주 신고가 경신","20일 알톤스포츠(123750), 녹십자셀(031390), 이노와이어리스(073490), 푸른기술(094940), 롯데정보통신(286940), 에스티큐브(052020)등이 장중 52주 신고가를 경신했다. 특히 알톤스포츠는 전 거래일 대비 10.3% 오른 4,655원에 거래를 마감하며 높은 관심을 받았다. 이외에 다나와는 24300원까지 올라 신고가를 경신했으나, 전일보다 오히려 하락한 22,250원에 거래를 마감했다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
알톤스포츠,파이낸셜뉴스,2018.09.21. 오전 9:10,"알톤스포츠 ""올해 모든 신제품 전기자전거, 자전거도로 달린다""","이-알톤 전기자전거 이미지. 왼쪽 위부터 시계방향으로 니모FD, 스페이드 라이트, 니모 27.5, 이노젠. /사진=알톤스포츠

자전거 전문 기업 알톤스포츠가 올해 선보인 전기자전거 모델 7종이 행정안전부로부터 자전거도로를 주행할 수 있는 전기자전거로써 인증을 받았다. 행정안전부에 따르면, 자전거도로를 주행할 수 있는 전기자전거는 페달을 밟으면 모터가 그 힘을 감지해 바퀴에 동력을 전달하는 PAS방식(페달 보조 방식), 전체 중량 30kg 미만, 시속 25km 이상 시 전동기 차단 등 일정 요건을 갖춰야 한다.

알톤스포츠는 니모FD, 스페이드 라이트, 이노젠, 니모 등 올해 선보인 전기자전거 모델 7종이 PAS 전용 방식을 선보이고 있으며, 추가적인 요건들도 인정을 받아 자전거도로 이용이 가능하다고 21일 밝혔다.

이에 따라 알톤스포츠는 각 모델의 PAS 방식 제품에 ‘PAS 전용 전기자전거’와 ‘자전거도로 진입 가능’이라는 표식을 부착해 자전거도로 이용 가능 여부를 소비자들이 쉽게 파악할 수 있도록 했다. 자전거도로 통행 가능한 전기자전거 모델에 관한 정보는 행정안전부의 ‘자전거 행복나눔’ 사이트에서도 확인 가능하다.

이 외에도 스페이드 라이트와 이노젠, 니모 시리즈는 최근 한국스포츠정책과학원에서 시행하는 스포츠용품 품질인증(KISS)도 받아 안정성과 품질을 입증했다.

알톤스포츠 관계자는 “올해부터 시행된 자전거 관련 법 개정안에 따라, 작년보다 전기자전거 차종을 2배 가까이 늘리고, 모두 PAS 전용 제품을 내놔 선택의 폭을 넓혔다”며 “주 사용 목적에 따라 선택할 수 있도록 타입 역시 다양하게 선보이고 있다”고 말했다.

fair@fnnews.com 한영준 기자

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
알톤스포츠,한국경제,2018.09.21. 오전 9:13,"[한경로보뉴스] '알톤스포츠' 52주 신고가 경신, 2018.2Q, 매출액 144억(-9.8%), 영업이익 0.3억(흑자전환)","21일 알톤스포츠가 장시작과 함께 3.11% 상승한 4,800원을 기록하며 52주 신고가를 경신했다. 주가의 흐름을 살펴보면 4,800원으로 개장해서 장중 한때 4,715원(+1.29%)까지 소폭 밀렸다가 이후 반등해서 4,730원(+1.61%)까지 회복해낸 모습이다.

◆ 최근 분기 실적
- 2018.2Q, 매출액 144억(-9.8%), 영업이익 0.3억(흑자전환)
알톤스포츠의 2018년 2사분기 매출액은 144억으로 전년동기 대비 -9.81% 하락했고, 영업이익은 0.3억으로 흑자전환에 성공했다.
이번 분기의 매출액은 지난 3년 평균 분기 매출액을 114% 상회하는 수준이고, 영업이익은 지난 3년 평균 영업이익 대비 20억 증가한 수준이다.
이 회사의 매출액 증가율과 영업이익 증가율은 각각 코스닥 하위 29%, 상위 18%에 랭킹되고 있다.

[표]알톤스포츠 분기실적


한경로보뉴스

이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. - 기사오류문의 02-3277-9940



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
