종목명,신문사,시간,제목,본문
CSA 코스믹,한국경제TV,2018.10.02. 오후 1:20,"CSA 코스믹, 전일 대비 약 -8% 하락한 9,130원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


CSA 코스믹은 10월 2일 13시 19분 전일 대비 약 -8% 하락한 9,130원에 거래되고 있다. CSA 코스믹은 코스닥 상장 기업으로 화학 업종에 속해 있다. 시가총액은 1,964억원으로 코스닥 상장기업 중 298위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


CSA 코스믹의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 5.74%, 3개월 수익률은 -6.13%, 6개월 수익률은 14.24%를 기록했다.
CSA 코스믹 종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


CSA 코스믹은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 CSA 코스믹은 상대적으로 수익성 측면에서 두각을 드러내고 있었다.

수익성 점수는 기업이 가진 자산과 자본을 활용하여 얼마나 이익을 실현했는지를 나타낸다.

CSA 코스믹은 특히 ROA 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 150위를 기록하며 상위 7.46%에 위치했다. 업종별로는 17위를 기록하며 상위 4.66%에 위치했다.

그러나 기업 가치 대비 주가 수준을 나타내는 저평가 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
CSA 코스믹,한국경제TV,2018.10.04. 오후 12:20,"CSA 코스믹, 전일 대비 약 -8% 하락한 8,430원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


CSA 코스믹은 10월 4일 12시 19분 전일 대비 약 -8% 하락한 8,430원에 거래되고 있다. CSA 코스믹은 코스닥 상장 기업으로 화학 업종에 속해 있다. 시가총액은 1,816억원으로 코스닥 상장기업 중 323위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


CSA 코스믹의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 3개월 수익률은 -16.74%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -2.23% 하락하며 부진한 모멘텀을 이어가고 있다.
CSA 코스믹 종목에 대한 투자자의 관심도는 굉장히 높은 편이다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


CSA 코스믹은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 CSA 코스믹은 상대적으로 수익성 측면에서 두각을 드러내고 있었다.

수익성 점수는 기업이 가진 자산과 자본을 활용하여 얼마나 이익을 실현했는지를 나타낸다.

CSA 코스믹은 특히 ROA 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 150위를 기록하며 상위 7.46%에 위치했다. 업종별로는 17위를 기록하며 상위 4.66%에 위치했다.

그러나 기업 가치 대비 주가 수준을 나타내는 저평가 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
CSA 코스믹,한국경제TV,2018.10.08. 오전 11:25,"CSA 코스믹, 전일 대비 약 -3% 하락한 7,810원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


CSA 코스믹은 10월 8일 11시 24분 전일 대비 약 -3% 하락한 7,810원에 거래되고 있다. CSA 코스믹은 코스닥 상장 기업으로 화학 업종에 속해 있다. 시가총액은 1,593억원으로 코스닥 상장기업 중 361위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


CSA 코스믹의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 3개월 수익률은 -20.49%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -19.3% 하락하며 부진한 모멘텀을 이어가고 있다.
CSA 코스믹 종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


CSA 코스믹은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 CSA 코스믹은 상대적으로 수익성 측면에서 두각을 드러내고 있었다.

수익성 점수는 기업이 가진 자산과 자본을 활용하여 얼마나 이익을 실현했는지를 나타낸다.

CSA 코스믹은 특히 ROA 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 150위를 기록하며 상위 7.46%에 위치했다. 업종별로는 17위를 기록하며 상위 4.68%에 위치했다.

그러나 기업 가치 대비 주가 수준을 나타내는 저평가 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
CSA 코스믹,전자신문,2018.10.08. 오후 1:20,[ET투자뉴스]CSA 코스믹_외국인의 매수에 기관은 순매도 현재 -1.98% 6일연속 하락,"기관이 외국인과 반대 방향으로 매매를 하고 있다. 외국인은 어제까지 2일 연속 순매수를 기록했지만, 기관이 5일 연속 순매도로 대응하면서 주가를 끌어내리고 있다. CSA 코스믹은 기관의 팔자세 영향으로 약세흐름을 보이고 있고, 8일 오전 9시 18분 현재 160원(1.98%) 내린 7,910원을 기록하고 있다.

[주가/수급동향]
기관이 5일연속 주식을 팔고 있는 반면 외국인은 2일연속 주식을 사고 있다. 최근 한달간 CSA 코스의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 2.81%로 집계됐다. 동기간 일평균 주가변동률은 8.46%로 장중 저점과 고점의 차이가 매우 컸음을 알 수 있다.
그리고 최근 5일간 거래비중은 개인 비중이 75.31%로 가장 높았고, 기관이 16.08%로 그 뒤를 이었다. 외국인은 8.59%를 나타냈다.

[차트신호]
현재 주가를 최근 주가등락폭을 기준으로 봤을 때 하락추세는 지속되고 있고,거래량을 활용한 지표로 볼 때는 침체국면에 머물러 있다.실리적인 측면에서는 지속되는 하락으로 인하여 투자자들은 동종목에 차가운 시선을 보이고 있고
이동평균선들의 배열도를 분석을 해보면 중기적 관점에서 불완전 정배열상태를 보이며 하락으로 추세전환 신호가 나오고 있다.

[투자의견]
최근 한달간 제시된 증권사 투자의견을 종합해보면 CSA 코스믹의 평균 목표주가는 18,200원이다. 현재 주가는 7,910원으로 10,290원(130%)까지 추가상승 여력이 존재한다.

[업종내 종목흐름]
이 시각 현재 관련종목들은 상승이 우세한 가운데 화학업종은 0.13% 상승중이다.
한국알콜 7,460원
▼60(-0.80%) 보령메디앙스 11,400원
▲150(+1.33%)
나노신소재 15,250원
▲150(+0.99%) 와이엠티 18,650원
▲250(+1.36%)

[재무특징]
영업이익률 현재 -14.93%로 업종평균 하회. PBR은 6.34로 다소 높은편

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
CSA 코스믹,한국경제TV,2018.10.10. 오전 10:25,"CSA 코스믹, 전일 대비 약 -6% 하락한 7,140원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


CSA 코스믹은 10월 10일 10시 24분 전일 대비 약 -6% 하락한 7,140원에 거래되고 있다. CSA 코스믹은 코스닥 상장 기업으로 화학 업종에 속해 있다. 시가총액은 1,506억원으로 코스닥 상장기업 중 381위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


CSA 코스믹의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 3개월 수익률은 -20.49%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -19.3% 하락하며 부진한 모멘텀을 이어가고 있다.
CSA 코스믹 종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


CSA 코스믹은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 CSA 코스믹은 상대적으로 수익성 측면에서 두각을 드러내고 있었다.

수익성 점수는 기업이 가진 자산과 자본을 활용하여 얼마나 이익을 실현했는지를 나타낸다.

CSA 코스믹은 특히 ROA 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 150위를 기록하며 상위 7.46%에 위치했다. 업종별로는 17위를 기록하며 상위 4.68%에 위치했다.

그러나 주가 상승 모멘텀을 나타내는 추세 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
CSA 코스믹,전자신문,2018.10.12. 오전 9:15,[ET투자뉴스]CSA 코스믹_9일 연속하락 후 상승반전 현재 +2.43%,"12일 오전 9시 13분 현재 CSA 코스믹은 160원(2.43%) 오른 6,740원을 기록하며 9일만에 상승반전하는 모습이다. 따라서 CSA 코스믹 주가에 영향을 미칠만한 여러 항목들을 제시해 보았다.

[주가/수급동향]
기관이 8일연속 주식을 팔고 있는 반면 외국인은 5일연속 주식을 사고 있다. 최근 한달간 CSA 코스의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 2.93%로 집계됐다. 동기간 일평균 주가변동률은 8.74%로 장중 저점과 고점의 차이가 매우 컸음을 알 수 있다.
그리고 최근 5일간 거래비중은 개인이 전체 거래의 68.69%를 차지하며 가장 적극적인 모습을 보여줬고, 기관은 17.77%를 나타냈으며 외국인은 13.53%를 나타냈다.

[차트신호]
최근 주가변화를 기준으로 살펴보면 현주가는 상승폭보다 하락폭이 우월한 약세패턴을 보이고 있고,거래량만을 가지고 볼 때는 매수세가 현격히 위축되고 있다.심리도를 살펴보면 약세흐름에 투자자들은 불안감을 느끼고 있고
이동평균선들의 배열도를 분석을 해보면 단기, 중기, 장기 이동평균선이 역배열을 이루고 있는 전형적인 약세국면에 머물러 있다.

[투자의견]
최근 한달간 제시된 증권사 투자의견을 종합해보면 CSA 코스믹의 평균 목표주가는 18,200원이다. 현재 주가는 6,740원으로 11,460원(170%)까지 추가상승 여력이 존재한다.

[업종내 종목흐름]
이 시각 현재 관련종목들은 혼조세를 보이고 있으나 화학업종은 0.50% 상승중이다.
아우딘퓨쳐스 13,650원
▼150(-1.09%) 보령메디앙스 9,540원
▼80(-0.83%)
한국알콜 6,500원
0 (0.00%) 와이엠티 15,850원
▲50(+0.32%)

[재무특징]
영업이익률 현재 -14.93%로 업종평균 하회. PBR은 5.42로 다소 높은편

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
CSA 코스믹,서울경제,2018.10.12. 오전 9:58,"<코>CSA 코스믹, 전일 대비 7.14% 상승.. 일일회전율은 0.98% 기록","[서울경제] CSA 코스믹(083660)은 12일 오전 9시 57분 현재 7.14% 오른 7,050원에 거래되고 있으며, 41(매도):59(매수)의 매수우위를 기록하고 있다. 거래대금은 13억2,746만, 거래량은 19만3,996주로 거래량회전율은 0.98%로 나타났다.



지난 1개월간 CSA 코스믹은 상승 9회, 하락 19회를 기록했고, 주가수익률은 -25.40% 표준편차는 3.67%를 기록했다. 이 기간 '화학업' 업종 평균 주가수익률은 -14.86%로 나타났으며, 변동성은 1.59%를 기록했다.

이 시각 현재 '화학업'은 2.10% 상승 중이며, 51(매도):49(매수)의 매도우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
CSA 코스믹,한국경제TV,2018.10.12. 오전 11:25,"CSA 코스믹, 전일 대비 약 9% 상승한 7,190원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


CSA 코스믹은 10월 12일 11시 24분 전일 대비 약 9% 상승한 7,190원에 거래되고 있다. CSA 코스믹은 코스닥 상장 기업으로 화학 업종에 속해 있다. 시가총액은 1,299억원으로 코스닥 상장기업 중 400위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


CSA 코스믹의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 6개월 수익률은 -46.72%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -38.22% 하락하며 부진한 모멘텀을 이어가고 있다.
CSA 코스믹 종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


CSA 코스믹은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 CSA 코스믹은 상대적으로 수익성 측면에서 두각을 드러내고 있었다.

수익성 점수는 기업이 가진 자산과 자본을 활용하여 얼마나 이익을 실현했는지를 나타낸다.

CSA 코스믹은 특히 ROA 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 150위를 기록하며 상위 7.48%에 위치했다. 업종별로는 17위를 기록하며 상위 4.69%에 위치했다.

그러나 주가 상승 모멘텀을 나타내는 추세 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
CSA 코스믹,서울경제,2018.10.15. 오후 2:20,"<코>CSA 코스믹, 전일 대비 7.07% 상승.. 일일회전율은 1.98% 기록","[서울경제] CSA 코스믹(083660)은 15일 오후 2시 19분 현재 7.07% 오른 7,270원에 거래되고 있으며, 43(매도):57(매수)의 매수우위를 기록하고 있다. 거래대금은 27억5,747만, 거래량은 39만1,178주로 거래량회전율은 1.98%로 나타났다.



지난 1개월간 CSA 코스믹은 상승 10회, 하락 18회를 기록했고, 주가수익률은 -21.83% 표준편차는 3.75%를 기록했다. 이 기간 '화학업' 업종 평균 주가수익률은 -14.09%로 나타났으며, 변동성은 1.72%를 기록했다.

이 시각 현재 '화학업'은 0.21% 상승 중이며, 37(매도):63(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
CSA 코스믹,한국경제TV,2018.10.15. 오후 2:25,"CSA 코스믹, 전일 대비 약 7% 상승한 7,270원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


CSA 코스믹은 10월 15일 14시 25분 전일 대비 약 7% 상승한 7,270원에 거래되고 있다. CSA 코스믹은 코스닥 상장 기업으로 화학 업종에 속해 있다. 시가총액은 1,340억원으로 코스닥 상장기업 중 400위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


CSA 코스믹의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 6개월 수익률은 -43.65%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -36.24% 하락하며 부진한 모멘텀을 이어가고 있다.
CSA 코스믹 종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


CSA 코스믹은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 CSA 코스믹은 상대적으로 수익성 측면에서 두각을 드러내고 있었다.

수익성 점수는 기업이 가진 자산과 자본을 활용하여 얼마나 이익을 실현했는지를 나타낸다.

CSA 코스믹은 특히 ROA 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 150위를 기록하며 상위 7.49%에 위치했다. 업종별로는 17위를 기록하며 상위 4.69%에 위치했다.

그러나 주가 상승 모멘텀을 나타내는 추세 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
