종목명,신문사,시간,제목,본문
엘앤케이바이오,한국경제TV,2018.10.30. 오후 12:41,"엘앤케이바이오, 전일 대비 약 -5% 하락한 6,870원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


엘앤케이바이오는 10월 30일 12시 40분 전일 대비 약 -5% 하락한 6,870원에 거래되고 있다. 엘앤케이바이오는 코스닥 상장 기업으로 의료,정밀기기 업종에 속해 있다. 시가총액은 776억원으로 코스닥 상장기업 중 591위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


엘앤케이바이오의 투자 스타일은 모호한 측면이 있으나 성장주라고 볼 수 있다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 3개월 수익률은 -38.46%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -34.55% 하락하며 부진한 모멘텀을 이어가고 있다.
엘앤케이바이오 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


엘앤케이바이오는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 엘앤케이바이오는 상대적으로 수익성 측면에서 두각을 드러내고 있었다.

수익성 점수는 기업이 가진 자산과 자본을 활용하여 얼마나 이익을 실현했는지를 나타낸다.

엘앤케이바이오는 특히 ROE 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 41위를 기록하며 상위 2.01%에 위치했다. 업종별로는 5위를 기록하며 상위 1.88%에 위치했다.

그러나 기업의 자산 활용도를 나타내는 효율성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
엘앤케이바이오,연합뉴스,2018.11.01. 오전 10:20,엘앤케이바이오 3분기 영업익 16억원…19% 감소,"(서울=연합뉴스) 전명훈 기자 = 엘앤케이바이오는 3분기 연결 영업이익이 16억원으로 작년 같은 분기보다 18.59% 줄었다고 1일 공시했다.

매출액은 113억원으로 3.62% 줄었으나 당기순이익은 13억원으로 22.38% 늘어난 것으로 잠정 집계됐다.

id@yna.co.kr

▶뭐하고 놀까? #흥이 연극티켓 쏜다~! ▶뉴스가 보여요 - 연합뉴스 유튜브

▶네이버 홈에서 [연합뉴스] 채널 구독하기"
엘앤케이바이오,전자신문,2018.11.01. 오전 10:21,"[ET투자뉴스]엘앤케이바이오 18년3분기 실적, 매출액·영업이익 하락","11월 01일 엘앤케이바이오(156100)의 2018년 3분기 개별 잠정 실적이 발표됐다. 영업이익이 작년 같은 기간 대비해서는 5.29% 줄었고, 매출액 역시 69억원으로 5.33% 감소하였다. 반면 당기순이익은 150.61% 확대된 6.6억원으로 발표되었다.





이번분기 기준으로 추정되는 엘앤케이바이오의 자기자본이익률(ROE)은 4.9%로 나타났다. 전년 동기인 2017년 3분기 ROE는 1.9%로 이번 분기에 3%p 상승했다. 한편 동종목의영업이익률은 7%이다. 지난해 동기 영업이익률은 7%로 이번 분기와 비슷한 수치이다.





다음은 엘앤케이바이오와 동일 업종 내 비교 그룹 종목의 각각 최근 실적의 전년 동기 대비 성장률이다. 엘앤케이바이오의 매출액은 감소했지만 증감율은 타 종목 대비 가장 우수한 편이다. 그리고 주가는 가장 높은 상승률을 보였다.





증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 데이터를 세상에서 가장 잘 다루는 나라 - 데이터 코리아 빅뱅 2019
▶ 네이버 모바일에서 [전자신문] 채널 구독하기
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
엘앤케이바이오,전자신문,2018.11.01. 오전 10:23,"[ET투자뉴스]엘앤케이바이오 18년3분기 실적 발표, 당기순이익 13.2억원… 전년 동기 대비 22.38","11월 01일 엘앤케이바이오(156100)의 2018년 3분기 연결 잠정 실적이 발표됐다. 전년 동기 대비해서는 매출액은 3.62% 하락하여 113억원으로 알려졌고, 영업이익 역시 16.5억원으로 18.59% 줄어들었다. 당기순이익은 22.38% 늘어난 13.2억원으로 집계되었다.





이번분기 기준으로 추정되는 엘앤케이바이오의 자기자본이익률(ROE)은 9.5%로 나타났다. 전년 동기인 2017년 3분기 ROE는 8.5%로 이번 분기에 1%p 상승했다. 한편 동종목의영업이익률은 14.6%이다. 지난해 동기 영업이익률은 17.3%로 이번 3분기에 2.7%p 하락했다.



주가가 1주당 수익의 몇배가 되는지 나타내는 주가수익비율(PER)은 63.1배로 나타났다. 전년 동기 PER은 79.52배로 이번 분기에 하락했다.주가가 1주당 순자산의 몇배인지 알려주는 주가순자산비율인 PBR은 1.5배이다. PBR은 최근 3분기 이상 연속으로 하락하고 있다. 지난해 동기 PBR은 1.61배로 이번 분기와 비슷한 수치이다.





다음은 엘앤케이바이오와 동일 업종 내 비교 그룹 종목의 각각 최근 실적의 전년 동기 대비 성장률이다. 엘앤케이바이오의 매출액은 감소했지만 증감율은 타 종목 대비 가장 우수한 편이다. 그리고 주가는 가장 높은 상승률을 보였다.





증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 데이터를 세상에서 가장 잘 다루는 나라 - 데이터 코리아 빅뱅 2019
▶ 네이버 모바일에서 [전자신문] 채널 구독하기
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
엘앤케이바이오,아시아경제,2018.11.01. 오전 10:36,"엘앤케이바이오, 3Q 연결 영업익 16억…전년 대비 18% 감소","[아시아경제 임철영 기자] 엘앤케이바이오는 1일 3분기 연결 영업이익이 전년 동기 대비 18% 감소한 16억원을 기록했다고 공시했다. 매출액은 12% 증가한 318억원, 당기순이익은 흑자전환한 13억원을 달성했다.

임철영 기자 cylim@asiae.co.kr

▶ 아시아경제 친구 맺고 '휴대폰, LED마스크' 받자
▶ 재미와 신기 '과학을읽다' ▶ 놀라운 '군사이야기'

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
엘앤케이바이오,매일경제,2018.11.01. 오전 10:42,"엘앤케이바이오, 올 3분기 영업익 37억원…전년비 146.1%↑","글로벌 척추 임플란트 전문기업 엘앤케이바이오는 올 3분기 실적으로 매출액 318억원, 영업이익과 당기순이익 각각 37억원, 60억원을 기록했다고 1일 공시했다.

매출액의 경우 전년 동기 대비 12.2% 증가했으며, 영업이익은 146.1% 늘었다. 당기순이익은 올 3분기 흑자로 전환했다.

엘앤케이바이오는 3분기 호실적 요인으로 ▲미국법인의 영업망 확대에 따른 매출증가 ▲3분기에 신규 진출한 홍콩시장의 판매량 증가 ▲태국·베트남 등 해외지역 수출물량 확대를 꼽았다.

엘앤케이바이오는 지난 2010년 미국 FDA승인을 시작으로 호주, 태국, 캐나다, 베트남 등 다양한 지역으로 척추임플란트 풀 라인업 제품을 공급하고 있다. 특히 올해 7월부터 홍콩, 말레이시아 척추 임플란트 시장에도 진출하는 등 시장 다변화에 나서고 있다.

회사 관계자는 ""하반기에도 인도, 유럽 등 추가 시장 진출을 통해 회사 목표인 세계 84개국 네트워크 구축에 힘을 쏟을 예정""이라며 ""척추 임플란트 외 인공무릎관절의 라인업 구축과 신제품 런칭 등 제품 라인업도 강화할 계획""이라고 말했다.

[디지털뉴스국 김현정 기자]

▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
▶아나운서가 직접 읽어주는 오늘의 주요 뉴스
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
엘앤케이바이오,이데일리,2018.11.01. 오전 11:39,"엘앤케이바이오, 3Q 영업익 16억…전년比 18.59%↓","[이데일리 이슬기 기자] 엘앤케이바이오(156100)는 올 3분기 연결기준 영업이익이 전년 동기 대비 18.59% 감소한 16억 4600만원으로 잠정 집계됐다고 1일 공시했다. 같은 기간 매출액은 112억 5699만원으로 3.62% 줄었으나 당기순이익은 13억 1500만원으로 22.38% 늘어나 흑자전환했다.

이슬기 (surugi@edaily.co.kr)

‘이데일리’ 채널 구독하고~ '갤럭시 워치' [받아가세요▶]
빡침해소! 청춘뉘우스~ [스냅타임▶]
스냅타임 좋아요 하고 스벅 커피 [마시러 가기▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
엘앤케이바이오,한국경제,2018.11.01. 오전 11:52,"엘앤케이바이오, 3분기 영업이익 16억4600만원…전년比 18.59%↓","[ 안혜원 기자 ] 엘앤케이바이오는 올해 3분기 연결기준 영업이익이 전년 동기 대비 18.59% 감소한 16억4600만원으로 잠정 집계됐다고 1일 공시했다.

같은 기간 매출은 112억5699만원으로 3.62% 줄었으나, 순이익은 13억1500만원으로 흑자전환했다.

안혜원 한경닷컴 기자 anhw@hankyung.com



[한경닷컴 바로가기] [모바일한경 구독신청]
한국경제 채널 구독하고, 선물 받자!! <이벤트 자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
엘앤케이바이오,서울경제,2018.11.01. 오후 1:47,"엘앤케이바이오, 3Q 영업익 16억원...19% ↓","[서울경제] 엘앤케이바이오(156100)는 올 3·4분기 연결기준 영업이익이 전년 동기 대비 18.59% 감소한 16억 4600만원으로 잠정 집계됐다고 1일 공시했다. 같은 기간 매출액은 112억 5699만원으로 3.62% 줄었으나 당기순이익은 13억 1500만원으로 22.38% 늘어나 흑자전환했다.
/김보리기자 boris@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
엘앤케이바이오,한국경제TV,2018.11.02. 오전 9:38,"엘앤케이바이오, 전일 대비 약 5% 상승한 7,860원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


엘앤케이바이오는 11월 2일 9시 37분 전일 대비 약 5% 상승한 7,860원에 거래되고 있다. 엘앤케이바이오는 코스닥 상장 기업으로 의료,정밀기기 업종에 속해 있다. 시가총액은 806억원으로 코스닥 상장기업 중 616위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


엘앤케이바이오의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 3개월 수익률은 -35.69%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -32.18% 하락하며 부진한 모멘텀을 이어가고 있다.
엘앤케이바이오 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


엘앤케이바이오는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 엘앤케이바이오는 상대적으로 수익성 측면에서 두각을 드러내고 있었다.

수익성 점수는 기업이 가진 자산과 자본을 활용하여 얼마나 이익을 실현했는지를 나타낸다.

엘앤케이바이오는 특히 ROE 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 41위를 기록하며 상위 2.01%에 위치했다. 업종별로는 5위를 기록하며 상위 1.88%에 위치했다.

그러나 기업의 자산 활용도를 나타내는 효율성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
