종목명,신문사,시간,제목,본문
코오롱티슈진,한국경제TV,2019.01.07. 오전 9:42,"코오롱티슈진(950160) 종목알파고 분석, 외국인/기관 실시간 수급과 추가 매수 확률은?","[한국경제TV 종목알파고봇 기자]
[한국경제TV 알파고 분석뉴스]

7일 오전 09시 41분 현재 코오롱티슈진는 전 거래일 대비 0.46% 상승한 43,250원이며, 오늘 종가 예상은 하락이 예상된다.

◆분석 요약



◆알파고 상세 분석

- 종목순위 분석

알파고가 가치, 수급, 차트로 평가한 코오롱티슈진종목의 현재 종합순위는 코스닥 1326개 종목 중 264위로, 알파고는 코오롱티슈진기업의 수급을 높게 평가 분석하고 있다.



- 외국인/기관 수급 예상 분석

외국인, 기관 수급을 보면 외국인은 매수전환하고 있고, 기관은 매수전환하였다. 알파고는 외국인, 기관의 추가 매수 가능성을 68%로 예상하고 있다.



- 실시간 수급 분석(단타전략)

알파고가 분석한 코오롱티슈진 종목의 외국인·기관 당일 실시간 수급은 현재 외국인은 관망하고 있고 기관은 매수하고 있으며, 종합 수급분석 평가지표인 파워수급은 09시 34분 부터 현재까지 매도 에너지가 더 높은 것으로 분석하고 있다.


- 종목핵심정보 (2018년 12월 05일 업데이트)

- 높은 시장 잠재력

- 높아진 DMOAD 획득 가능성

- 아시아 판매국가 확대를 통해 신뢰도 상승

종목알파고봇 기자 -한국경제TV

본 기사는 한국경제TV가 자체 개발한'종목알파고봇 기자'가
실시간으로 작성한 기사입니다.

종목알파고봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
코오롱티슈진,한국경제TV,2019.01.07. 오전 9:56,[국고처 한옥석] 종목상담 - 코오롱티슈진(950160),"[한국경제TV 김태일 PD]
[국고처 한옥석] 종목상담 - 코오롱티슈진(950160)

1월 5일 방송된 '국민주식고충처리반'에 출연한 한옥석파트너가 코오롱티슈진(950160)에 대한 시세와 전망을 이야기하고 있다.

▶대한민국 대표 증권방송 '국민주식고충처리반' 매주 토 오전 10시

스마트폰 앱 '주식창'에 시청자 의견 남겨주세요.

김태일 PD tikim@wowtv.co.kr

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
코오롱티슈진,코메디닷컴,2019.01.14. 오전 8:01,"[단독] 코오롱티슈진, 인보사 급여 신청했다 자진 취소...왜?","[사진=코오롱생명과학]
코오롱티슈진이 세계 첫 골관절염 세포 유전자 치료제 '인보사'에 대해 건강보험심사평가원에 보험 적용을 해달라고 신청했다가 자진 취소한 것으로 드러났다.

코오롱 측에서는 서류 절차와 관련된 문제 때문에 취하했다고 밝혔지만, 건강보험심사평가원에서는 이 때문은 아니라고 일축했다. 제약 바이오 업계에 따르면 제약사가 보험급여 등재 신청을 했다가 경제성 평가 전에 취소하는 것은 극히 드문 경우다.

국산 29호 신약 인보사는 2017년 7월 식품의약품안전처로 부터 품목허가를 받았다. 코오롱티슈진에 따르면 인보사는 골관절염의 통증을 완화하고 및 기능을 회복시키는 근본적 치료제다.

2018년 매출은 100억 원을 넘어설 것으로 전망되고 있지만 건강보험 급여가 적용되지 않아 700~800만 원에 이르는 비싼 가격 탓에 급여 적용에 대한 필요성이 제기돼 왔다.

그동안 코오롱생명과학과 코오롱티슈진은 인보사의 건강보험 급여 신청과 관련해서는 말을 아꼈다. 이우석 코오롱생명과학 대표도 2018년 7월 인보사 국내 허가 1주년 기자간담회에서 ""급여 신청을 할지 비급여로 갈지 확정된 것은 없다""고만 밝혔다.

그러나 14일 코메디닷컴 바이오워치팀 취재 결과, 코오롱티슈진은 지난해(2018년) 9월 경 건강보험심사평가원에 인보사 급여 등재 신청을 했다가 3개 월 뒤인 12월 건강보험 급여 신청을 자진 취소한 것으로 나타났다. 이 같은 사실은 복수의 정부 관계자로부터 확인됐다.

보건복지부 한 관계자는 ""인보사의 경우 건강보험 급여 신청을 했다가 자진 취소한 것으로 알고 있다""고 말했고, 건강보험심사평가원 관계자도 ""코오롱이 인보사 건강보험 급여 적용을 신청했다가 취소했다""며 ""취소 시점은 지난해 연말이고 신청 시점은 그보다 앞선 3개월 전으로 기억한다""고 밝혔다.

특히 심평원 관계자는 ""심평원이 반려시킨 것이 아니고 코오롱 측이 가격 평가에 들어가기도 전에 자진 취소했다""면서 ""인보사와 같은 이유로 자진 취소한 경우는 굉장히 흔치 않다. 취소 이유는 회사 경영에 타격이 갈 수 있기 때문에 밝힐 수 없지만 가격 문제나 서류 절차 때문은 아니다""라고 말했다.

관계자들의 발언을 종합해보면 코오롱은 인보사에 대한 경제성 평가가 이뤄지기도 전에 자진 취소를 했고, 그 이유는 코오롱과 인보사에게 심각한 문제를 일으킬 수 있는 사안으로 보인다.

제약 바이오 업계 한 관계자는 ""건강보험 급여 등재 신청을 하고 경제성 평가가 이뤄지기도 전에 자진 취소하는 것은 거의 전례가 없는 일""이라며 ""만약 약의 본질적 문제가 제기됐다면 제약사 입장에서는 자진 취소할 수 밖에 없었을 것""이라고 추정했다.

이와 관련, 코오롱생명과학은 인보사 급여 등재 신청과 자진 취소 사실에 대해서는 인정하면서도 심각한 문제는 없다는 입장을 내놨다.

코오롱생명과학 관계자는 ""건강보험심사평가원에 인보사 건강보험 급여 등재 신청 했다가 12월 자진 취소한 사실이 맞다""며 ""2년 치의 시판 후 리얼 데이터가 필요하지만 인보사의 경우 1년 치 자료만 있어 서류를 보충하기 위해 자진 취소 한 것일 뿐, 심각한 문제는 없다""고 말했다.

송영두 기자 (songzio@kormedi.com)



▶퀴즈로푸는건강 ▶카드로보는건강
▶[헬스스낵]알고 먹자...건강한 소금, 설탕, 커피 섭취량


저작권ⓒ '건강을 위한 정직한 지식' 코메디닷컴(kormedi.com) / 무단전재-재배포 금지"
코오롱티슈진,한국경제TV,2019.01.28. 오전 9:40,[국고처 권태민] 종목상담 - 코오롱티슈진(950160),"[한국경제TV 김태일 PD]
[국고처 권태민] 종목상담 - 코오롱티슈진(950160)

1월 26일 방송된 '국민주식고충처리반'에 출연한 권태민파트너가 코오롱티슈진(950160)에 대한 시세와 전망을 이야기하고 있다.

▶대한민국 대표 증권방송 '국민주식고충처리반' 매주 토 오전 11시

스마트폰 앱 '주식창'에 시청자 의견 남겨주세요.

김태일 PD tikim@wowtv.co.kr

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
코오롱티슈진,한국경제TV,2019.02.11. 오전 9:05,[국고처 김종철] 종목상담 - 코오롱티슈진(950160),"[한국경제TV 김태일 PD]
[국고처 김종철] 종목상담 - 코오롱티슈진(950160)

2월 09일 방송된 '국민주식고충처리반'에 출연한 김종철파트너가 코오롱티슈진(950160)에 대한 시세와 전망을 이야기하고 있다.

▶대한민국 대표 증권방송 '국민주식고충처리반' 매주 토 오전 8시

스마트폰 앱 '주식창'에 시청자 의견 남겨주세요.

김태일 PD tikim@wowtv.co.kr

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
코오롱티슈진,뉴스1,2019.02.13. 오전 11:37,"코오롱티슈진, 이범섭 대표 연임 가닥…""글로벌 임상3상 속도""","이범섭 코오롱티슈진 대표이사. © News1

(서울=뉴스1) 이영성 기자 = 코오롱티슈진이 오는 5월 임기가 만료되는 이범섭 대표이사(56)를 재추대하는 방향으로 가닥을 잡았다. 코오롱티슈진은 코오롱생명과학의 미국 자회사다.

코오롱티슈진은 오는 3월29일 열리는 정기주주총회에서 이범섭 대표를 3년 임기의 사내이사로 재선임하는 안건을 상정한다. 안건이 의결되면 이범섭 대표는 같은 날 이사회를 통해 대표이사로 재추대될 예정이다.

13일 코오롱티슈진 관계자는 ""이 대표가 현재 미국에서 진행 중인 골관절염 신약 인보사의 글로벌 임상3상을 총괄하고 있고, 앞으로 미국과 유럽 상업화 사업 계획도 갖고 있는 만큼 재추대에 의견을 모은 상태""라고 밝혔다.

현재 코오롱티슈진 이사회는 이 대표를 포함해 이우석 공동대표와 권순욱 CFO 등 사내이사 3명 그리고 이장익 사외이사(서울대학교 약대 교수)와 영(Young) 킴 감사까지 총 5명으로 구성돼 있다.

이범섭 대표는 현재 미국에서 '인보사'의 글로벌 임상3상 업무 등 연구개발(R&D)에 주력하고 이우석 대표가 한국에서 경영총괄을 하고 있다.

이범섭 대표는 미국 아이오와주립대 약리학 박사 출신으로 다케다제약 근무를 거쳐 지난 2011년 코오롱생명과학 부사장으로 입사했다. 2017년부터 코오롱티슈진 대표이사직을 맡고 있다.

'인보사'는 지난 2017년 7월 국내 품목허가를 받고 같은해 11월 출시됐다. 현재 미국 등 전세계 상용화를 위해 지난해 11월부터 글로벌 임상3상을 진행 중이다.

lys@news1.kr

▶ [ 크립토허브 ] [ 터닝포인트 2019 ]
▶ 네이버 메인에서 [뉴스1] 구독하기!
[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
코오롱티슈진,한국경제,2019.02.24. 오후 4:14,"코오롱티슈진, 인보사 美서 임상3상·日 기술수출","베스트 파트너 3인의 와우밴드 종목진단

JYP Ent., 신인 걸그룹 흥행 조짐에 반등세
뉴로스, 수소차 시장 육성정책 수혜 기대

김병전=코오롱티슈진

코오롱티슈진의 골관절염 치료제 인보사는 수술요법이 아닌 주사요법으로 입원이 필요 없다는 장점이 있다. 미국에서 임상3상 투약을 진행하고 있다. 작년 11월 첫 환자에게 주사를 놓기 시작했고, 2020년까지 모든 환자 투여를 마무리지을 예정이다.

지난해 인보사의 일본 기술수출에 성공해 일본 판매시점에 대한 불확실성도 어느 정도 해소됐다는 판단이다. 기술수출 계약금의 50%인 150억원이 올해 초 재무제표에 반영될 것으로 보여진다. 따라서 올해 적자폭도 크게 감소할 전망이다.

기술적으로 상당 기간 바닥권에서 매집 형태를 보여주고 있다. 이동평균선도 수렴형에 가까운 모습을 보이고 있다. 거래량만 증가한다면 주가는 5만원 수준까지 상승할 여력이 충분하다.

이종원=JYP Ent.

주가는 걸그룹 트와이스의 글로벌 인기와 음원, 콘서트 수익 등으로 지난해 4만원 고점을 형성했다. 하지만 작년 4분기 이익실현 매물이 나오면서 조정을 받아 3만원 수준에서 거래되고 있다. 최근 주가는 저점을 찍고 반등세를 보이고 있다.

트와이스 효과가 JYP 실적에 지속 반영되는 흐름을 보이고 있다. 핵심 포인트는 신인 걸그룹 ITZY의 데뷔다. ‘달라달라’의 성공적인 흥행이 시작됐고 유튜브 조회 수 단기 4일 만에 4000만 회 돌파했다. 새로운 캐시카우로 자리잡고 있다. 올해 트와이스의 수익과 더불어 ITZY의 글로벌 흥행 예고, 스트레이키즈의 잠재력이 실적 개선으로 이어지면서 전 고점 4만원 돌파를 향해 순항할 것으로 예상한다.

강석운=뉴로스

수소차용 공기압축기 상용화에 성공한 회사다. 정부의 전략적 수소차시장 육성에 따른 수혜를 기대할 수 있다. 산업용 터보블로워 사업에서 나오는 안정적인 현금흐름도 매력적이다. 터키 ‘F-16’ 전투기에 환경제어시스템 부품을 공급하는 등 세계적인 기술력을 인정받고 있다.

기술적 분석 관점에선 지난해 말 바닥을 찍고 반등하고 있다. 1월 초 단기 고점을 형성한 뒤 차익실현 물량이 나왔지만 추가적인 하락폭은 크지 않을 것으로 판단한다. 주가 하단을 6500~6900원 정도로 열어 두고 지켜볼 만하다. 최근 외국인의 매집이 지속적으로 이뤄지고 있다. 단기 기술적 반등이 가능한 시점이다. 지난 1월 고점을 돌파하기까진 다소 시간이 필요할 것 같다. 단기 목표가로 7700~7900원을 제시한다.

한국경제TV ‘와우밴드’ 앱을 설치하신 후 종목상담을 신청하시면, 와우넷 주간수익률 BEST 파트너가 자세한 종목 진단을 해 드립니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
코오롱티슈진,한국경제TV,2019.02.27. 오전 9:53,"코오롱티슈진(950160) 종목알파고 분석, 외국인/기관 실시간 수급과 추가 매수 확률은?","[한국경제TV 종목알파고봇 기자]
[한국경제TV 알파고 분석뉴스]

27일 오전 09시 48분 현재 코오롱티슈진는 전 거래일 대비 0.86% 상승한 41,100원이며, 오늘 종가 예상은 강보합이 예상된다.

◆분석 요약



◆알파고 상세 분석

- 종목순위 분석

알파고가 가치, 수급, 차트로 평가한 코오롱티슈진종목의 현재 종합순위는 코스닥 1328개 종목 중 276위로, 알파고는 코오롱티슈진기업의 수급차트를 높게 평가 분석하고 있다.



- 외국인/기관 수급 예상 분석

외국인, 기관 수급을 보면 외국인은 2일 연속매수하고 있고, 기관은 2일 연속 매수하였다. 알파고는 외국인, 기관의 강한 매수 가능성을 예상하고 있다.



- 실시간 수급 분석(단타전략)

알파고가 분석한 코오롱티슈진 종목의 외국인·기관 당일 실시간 수급은 현재 외국인은 매수하고 있고 기관은 매수하고 있으며, 종합 수급분석 평가지표인 파워수급은 09시 34분 부터 현재까지 매수 에너지가 더 높은 것으로 분석하고 있다.


◆ 종목핵심정보 (2018년 12월 05일 업데이트)

- 높은 시장 잠재력
- 높아진 DMOAD 획득 가능성
- 아시아 판매국가 확대를 통해 신뢰도 상승

(위의 종목알파고 분석은 기업의 가치, 차트, 재무, 외인/기관 수급 등 과거 데이터를 분석하여 향후 주가의 방향을 예상 하였으며, 높은 수익률을 보장하지는 않습니다. 위의 자료는 투자 참고용으로 제시해 드리는 것이며, '종목알파고 유망종목 Top5'는 주식창앱에서 확인하실 수 있습니다.)
종목알파고봇 기자 -한국경제TV

본 기사는 한국경제TV가 자체 개발한 '종목알파고봇 기자'가
실시간으로 작성한 기사입니다.

종목알파고봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
코오롱티슈진,머니투데이,2019.03.31. 오후 4:55,인보사 판매중지 코오롱티슈진 주가 '빨간불',"[머니투데이 이태성 기자] [코오롱, 코오롱생명과학도 모두 영향권]

골관절염 치료제 인보사(Invossa-K Inj.)의 성분에 문제가 발생, 인보사 판권을 소유하고 있는 코오롱생명과학과 코오롱티슈진에 비상이 걸렸다. 특히 코오롱티슈진의 경우 인보사 하나만을 바라보던 회사라 타격이 클 것이라는 전망이다.

31일 식품의약품안전처는 인보사의 주성분 중 1개 성분이 허가 당시 제출한 자료에 기재된 세포와 다른 세포인 것으로 추정돼 코오롱생명과학에 제조·판매중지를 요청했다. 코오롱생명과학은 해당제품에 대해 자발적으로 유통·판매를 중지하기로 했다.

인보사는 이웅렬 코오롱그룹 회장이 19년간 투자한 신약으로 한국 최초의 유전자 치료제다. 코오롱티슈진은은 이 회장이 인보사를 앞세워 직접 미국에 설립한 법인으로 미국과 유럽을 비롯한 글로벌 전역의 판권을 가지고 있다. 코오롱생명과학은 인보사의 아시아 판권을 보유하고 있다.

코오롱티슈진은 코오롱생명과학이 일반적인 판매 혹은 수출을 할 경우 매출액의 2%를 로열티로 받게 되며 서브라이센스(Sub-License) 계약을 할 경우에는 계약금, 마일스톤 및 로열티의 50%를 받을 수 있다.

현재 인보사는 일본에 6200억원 규모의 기술수출 계약이 돼 있다. 코오롱생명과학은 이 계약으로 반환의무가 없는 초기계약금 300억원을 받았고 이중 150억원은 코오롱티슈진의 몫이었다. 이 외에도 중국 하이난성에 약 2300억원, 사우디아리비아 및 아랍에미리트 약 1000억원, 홍콩·마카오 약 170억원, 몽골 약 100억원 규모의 계약이 체결돼 있다.

이날 식약처의 잠정 판매 중단은 이 계약들에 악영향을 끼칠 가능성이 높다. 판매중단 원인에 따라 기술수출 계약이 취소될 수도 있기 때문이다. 미국에서 진행 중인 임상 3상에도 영향을 줄 수 있다는 분석이다.

이 경우 주가 하락은 피할 수 없을 것으로 보인다. 실제로 코오롱티슈진은 2017년 말 일본 파트너사였던 미츠비시타나베 제약으로부터 기술이전 계약 취소 통보를 받았다. 소송이 진행 중이지만 계약 해지 이슈는 한때 7만5000원까지 올랐던 주가를 급락시켰다.

코오롱생명과학, 코오롱 역시 영향권에서 벗어나기 힘들다. 코오롱티슈진은 (27.27%)이 최대주주로 있고 이웅열 전 코오롱 회장이 17.84%, 코오롱생명과학이 12.58%의 지분을 갖고 있다.

인보사 판매중단은 코오롱티슈진의 수익성 개선시기를 늦추게 되는데 이 경우 다양한 문제에 노출될 수 있다. 코오롱티슈진은 기술특례 상장기업이 아니기 때문에 4년 연속 적자를 낼 경우 관리종목으로 지정되고 1년 더 적자를 기록할 경우 상장폐지 대상이 된다.

코오롱티슈진은 인보사 개발에 투자한 막대한 비용으로 인해 2017년, 2018년 모두 적자를 기록했다. 인보사 기술수출로 실적이 나아질 것으로 예상했지만 식약처의 조치로 인해 연속적자 우려가 더 커진 셈이다.

이태성 기자 lts320@mt.co.kr

▶버닝썬 게이트
▶조 변호사의 가정상담소 ▶'부동산 논란' 김의겸 靑 대변인 사퇴

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
코오롱티슈진,머니S,2019.03.31. 오후 6:02,'인보사 제조·판매 금지 '코오롱생명과학·코오롱티슈진 '비상',"세계 최초 골관절염 세포유전자 치료제 ‘인보사’. /사진=코오롱 제공

코오롱생명과학과 코오롱티슈진이 비상에 걸렸다. 골관절염 치료제 인보사(Invossa-K Inj.)의 성분에 문제가 발생하면서 인보사 판권을 소유하고 있는 코오롱그룹 바이오계열사에 타격이 있을 것이라는 전망에서다.

31일 식품의약품안전처는 인보사의 주성분 중 1개 성분이 허가 당시 제출한 자료에 기재된 세포와 다른 세포인 것으로 추정돼 코오롱생명과학에 제조·판매중지를 요청했다. 코오롱생명과학은 해당제품에 대해 자발적으로 유통·판매를 중지하기로 했다.

인보사는 이웅렬 코오롱그룹 회장이 19년간 투자한 신약으로 한국 최초의 유전자 치료제다. 코오롱티슈진은은 이 회장이 인보사를 앞세워 직접 미국에 설립한 법인으로 미국과 유럽을 비롯한 글로벌 전역의 판권을 가지고 있다. 코오롱생명과학은 인보사의 아시아 판권을 보유하고 있다.

코오롱티슈진은 코오롱생명과학이 일반적인 판매 혹은 수출을 할 경우 매출액의 2%를 로열티로 받게 되며 서브라이센스(Sub-License) 계약을 할 경우에는 계약금, 마일스톤 및 로열티의 50%를 받을 수 있다.

현재 인보사는 일본에 6200억원 규모의 기술수출 계약이 돼 있다. 코오롱생명과학은 이 계약으로 반환의무가 없는 초기계약금 300억원을 받았고 이중 150억원은 코오롱티슈진의 몫이었다. 이 외에도 중국 하이난성에 약 2300억원, 사우디아리비아 및 아랍에미리트 약 1000억원, 홍콩·마카오 약 170억원, 몽골 약 100억원 규모의 계약이 체결돼 있다.

제조·판매가 중단된 인보사의 주성분은 1액(동종유래 연골세포)과 2액(TGF-β1 유전자삽입 동종유래 연골세포)이다. 당초 2액의 허가사항은 유전자가 포함된 연골세포였으나, 유통제품은 유전자를 전달하는 매개체를 만들기 위해 사용한 신장세포주가 혼입된 후연골세포를 대체한 것으로 식약처는 추정했다.

국내에 사용된 세포 역시 미국에서 사용한 세포와 동일할 가능성이 있다. 국내에서 사용된 세포에 대한 검사결과는 다음달 15일쯤 나올 예정이다.

이에 식약처는 인보사가 환자에게 투여되지 않도록 차단하고자 '의약품안전사용서비스(DUR)' 시스템을 통해 인보사에 대한 처방을 할 수 없도록 할 예정이다. 또 원인 조사에 대한 결과가 나오기 전까지 진통제, 스테로이드 제제 등 대체의약품 처방을 당부했다.

한편 식약처는 해당 제품이 현재까지는 안전성 측면에서 큰 우려는 없는 것으로 판단하고 있다.

류은혁 기자 ehryu@mt.co.kr

▶ 고수들의 재테크 비법 ▶ 박학다식 '이건희칼럼'

<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>"
