종목명,신문사,시간,제목,본문
삼우이엠씨,아시아경제,2012.06.29. 오전 11:23,"삼우이엠씨 ""단일판매계약 진행…발주 상당 지연""","[아시아경제 이지은 기자]코스닥 상장기업 삼우이엠씨는 한국거래소의 조회공시 요구에 대해 ""현재 단일판매공급계약을 진행 중""이라며 ""발주처로부터 발주가 상당기간 지연되고 있다""고 29일 답변했다.

삼우이엠씨는 추후 이 일을 확정, 재공시할 방침이다.

이지은 기자 leezn@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ '이하늬 충격영상' 뜨고 일 커지자 돌연…

▶ 수억 벌던 '김무열' 살던 판자촌이…'경악'

▶ ""사장님이 어느날…"" 편의점 알바 '여대생' 충격적 폭로

▶ 인삼 다당체 진산 항암면역 증강작용 탁월! 암극복!!

▶ ""여자들 '짧은치마' 입더니 진짜 이런 일이"""
삼우이엠씨,머니투데이,2012.06.29. 오전 11:24,"삼우이엠씨, ""공급계약 진행중""","[머니투데이 김하늬 기자]삼우이엠씨는 조회공시 답변으로 ""현재 단일판매공급계약을 진행 중에 있으나 발주처로부터 발주가 상당기간 지연되고 있다""고 29일 밝혔다.
회사측은 위의 사항 외에는 별도로 공시할 중요한 정보가 없다고 설명했다.


[머니투데이 핫뉴스]
☞ 집값 또 폭락? ""조만간 500만명 집 팔려고…""
☞ 유튜브 '2조 대박男' 지금 허름한 사무실서…
☞ 원더걸스 선예의 '쏘울' 매물로… 가격이?
☞ '손만 잡고 잘게' 남친 문자, 속뜻은? ""멘붕""
☞ 보물 소문 듣고 '30년 땅 판' 男, 180억 발견

김하늬기자 honey@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
삼우이엠씨,헤럴드POP,2012.06.29. 오전 11:51,"<생생코스닥>삼우이엠씨, ""단일판매공급계약 진행 중""","삼우이엠씨는 29일 조회공시 답변에서 ""별도로 공시할 중요한 사항이 없다""며 ""단일판매공급계약을 진행 중에 있으나 발주처로부터 발주가 상당기간 지연되고 있다""고 밝혔다.

[오늘의 인기기사]
◆ 윤진서, 약물 과다복용 응급치료…자살시도 여부는 확인 안돼
◆ 남자문자 속뜻 vs 여자 문자 속뜻…여자는 웬만해선 ‘사줘’
◆ 박지민 이하이 최근, 볼살 실종…“데뷔해도 되겠어”
◆ 철없는 초등학생, 람보르기니 밟고 소변보고…
◆ 성추행 의대생 실형 확정 “신상정보 3년간 인터넷 공개”
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
삼우이엠씨,매일경제,2012.06.29. 오전 11:55,"[공시] 삼우이엠씨 ""단일판매공급계약 진행중""","삼우이엠씨는 한국거래소 코스닥시장 본부의 현저한 시황변동(주가급등) 조회공시 요구에 ""단일판매공급계약을 진행중에 있으나 발주가 지연되고 있다""고 29일 답변했다.
[이용건 기자]

▶ [베스트클릭 화보] 강예빈, 더위보다 뜨거운 시선을 부르는 아찔 몸매

▶ [Real Estate] 오피스텔·빌딩투자 `실탄` 부족한데…목 좋은 벌집주택 노려라

▶ 강윤이, `그래요, 저 글래머예요~`

▶ 에일리, `반전 섹시백~`

▶ [베스트클릭 화보] 세계 최고의 가슴 1위, 섹시스타 킬리 하젤

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
삼우이엠씨,머니투데이,2012.07.03. 오전 10:50,"삼우이엠씨, 34억 규모 공사 수주","[머니투데이 김하늬 기자]삼우이엠씨는 3일 코오롱생명과학이 발주한 34억9400만원 규모의 충주 GMP공장 신축공사 중 내부판넬공사 수주계약을 체결했다고 공시했다.
이는 지난해 매출액의 2.34% 규모로 공사기간은 9월30일까지다.


[머니투데이 핫뉴스]
☞ '청도 내려가더니' 개그맨 전유성, 결국…
☞ '어른은 못먹는 김치' 前개그맨의 틈새 대박
☞ ""집값 하락에…"" 카드빚 돌려막기 하다 결국
☞ 곪은게 터졌다? BBQ치킨 가맹업주, 본사에 소송
☞ 아이유 반전뒤태 '깜짝'…삼촌팬 '멘붕'

김하늬기자 honey@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
삼우이엠씨,이데일리,2012.07.03. 오전 11:04,"삼우이엠씨, 코오롱생명과학과 35억 공사계약","[이데일리 김대웅 기자] 삼우이엠씨(026250)는 코오롱생명과학(102940)과 35억원 규모의 충주 신축공장 내부 판넬공사 계약을 체결했다고 3일 공시했다. 이는 지난해 매출액 대비 2.34% 규모다.

김대웅 (daxiong@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 증권전문가방송 '이데일리 ON', 고객상담센터 1666-2200 | 종목진단/추천 신규오픈
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
삼우이엠씨,파이낸셜뉴스,2012.07.03. 오전 11:07,"삼우이엠씨, 코오롱생명과학과 34억9400만원 규모 공사계약","삼우이엠씨는 3일 코오롱생명과학과 34억9400만원 규모의 코오롱생명과학(주) 충주 GMP공장 신축공사 중 내부판넬공사계약을 체결했다고 밝혔다. 최근 매출액의 2.34% 규모다.
cynical73@fnnews.com 김병덕 기자



■ 오늘의 핫뉴스
▶ MS, 구글 잡으려다…7조원 날려
▶ 위조신분증으로 타인 예금 인출
▶ 美법원 ‘갤럭시탭 판금 집행정지’요청 기각
▶ 육군사병 외출 일수 10일→31일로 확대
▶ 굶지 않고 먹으면서 살빼는 ‘신개념 다이어트’ 인기


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
삼우이엠씨,한국경제,2012.07.03. 오전 11:11,"삼우이엠씨, 34억 내부 판넬공사 계약","삼우이엠씨는 3일 코오롱생명과학과 34억9400만원 규모의 코오롱생명과학 충주 우수의약품 품질관리 제조기준(GMP)공장 내부판넬공사 계약을 체결했다고 공시했다.

이번 계약금액은 지난해 매출 대비 2.34%에 해당하며 계약기간은 오는 9월 30일까지다.

한경닷컴 양현도 기자 yhd0321@hankyung.com

▶ '신혼부부' 문자 대화 봤더니…""짜증 울컥""

▶ `혹시 바람피는거 아니야?` 카톡 몰래 보는 법

▶ 아오이 소라 '포르노 영화' 도심서 아찔한 노출

▶ ""강간하고 있는 중"" 페이스북 대화에 '등골 오싹'

▶ [화보] '압구정 가슴녀' 비키니 몸매 공개

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
삼우이엠씨,매일경제,2012.07.03. 오전 11:31,"[공시] 삼우이엠씨, 34억 규모 판넬공사 수주","삼우이엠씨는 코오롱생명과학으로부터 34억9470만원 규모 충주 GMP공장 신축공사 중 내부판낼공사를 수주했다고 3일 공시했다.
이번 계약금액은 최근 매출액 대비 2.34% 규모다.
[김용영 기자]

▶ [베스트클릭 화보] `완벽몸매` 제라 마리아노 `섹시 비키니 룩` 후끈

▶ 남편 복권 1등 당첨되자…아내, 충격적 한마디

▶ 김연아 거취 발표, `2014 소치까지 뛴다`

▶ 김연아 2014소치 경쟁자는?

▶ [베스트클릭 화보] 흠뻑 젖은 로지 헌팅턴, 세계 男心 압도

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
삼우이엠씨,헤럴드POP,2012.07.03. 오전 11:36,"<생생코스닥>삼우이엠씨, 34.9억 규모 판넬공사 수주","삼우이엠씨는 3일 코오롱생명과학과 34억9470만원 규모의 코오롱생명과학 충주 GMP공장 신축공사 중 내부판넬공사 계약을 체결했다고 공시했다.
이는 2011년 매출액 대비 2.34%에 해당하는 규모이다.
계약기간은 오는 9월 30일까지이다.

[오늘의 인기기사]
◆ “이미숙 17세 연하남, 더 많은게 있다”
◆ 호주 수영스타 ‘비키니 논란’, 무슨 일?
◆ 김준호, ‘안녕하세요’ 노출녀 등장에 혼비백산
◆ 간루루, 또 파격 노출의상 '3종세트' 공개…‘레이디 가가 따라쟁이?’
◆ 송선미, 전 소속사 피소 심경 “미친개를 만나면 반응을 해야하나?”
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
