종목명,신문사,시간,제목,본문
세원물산,헤럴드경제,2019.03.11. 오전 10:55,"세원물산, 주당 50원 현금배당 결정","[헤럴드경제=IB증권팀] 세원물산은 보통주 1주당 50원의 현금 결산배당을 결정했다고 11일 공시했다.

시가배당율은 1%이며 배당금총액은 4억1750만원이다.

totoro@heraldcorp.com

▶네이버에서 헤럴드경제 채널 구독하기

▶친환경 생활세제 전품목 한정특가, 헤럴드 리얼라이프 ▶헤럴드경제 사이트 바로가기



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
세원물산,아시아경제,2019.03.11. 오전 10:59,"세원물산, 주당 50원 현금배당 결정","[아시아경제 오주연 기자] 세원물산이 보통주 1주당 50원의 현금 결산배당을 결정했다고 11일 공시했다. 시가배당율을 1.0%이며 배당금총액은 4억1750만원이다.

오주연 기자 moon170@asiae.co.kr

▶ 아시아경제 채널 추가하고 에어팟, 해외여행비 받자!
▶ 재미와 신기 '과학을읽다' ▶ 꿀잼 '인기만화'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
세원물산,서울경제,2019.03.11. 오전 11:00,"세원물산, 주당 50원 현금배당 결정","[서울경제] 세원물산(024830)은 보통주 1주당 50원의 현금 결산배당을 결정했다고 11일 공시했다. 시가배당율은 1%이며 배당금총액은 4억1,750만원이다.
/권용민기자 minizzang@sedaily.com

[서울경제 바로가기]
▶ 텔레그램으로 서울경제 구독하기 | ▶ 투자의 프리미엄 길라잡이 Signal
▶ 네이버 메인에서 'No. 1 뉴스' 서울경제를 만나보세요


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
세원물산,한국경제TV,2019.03.11. 오전 11:13,"세원물산, 주당 50원 현금배당","[한국경제TV 신재근 기자]
세원물산은 11일 보통주 1주당 50원의 현금배당을 실시하기로 결정했다고 공시했습니다.

시가배당율은 1.0%이며, 배당금은 총 4억1,750만원 규모입니다.

신재근기자 jkluv@wowtv.co.kr

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
세원물산,뉴시스,2019.03.11. 오후 1:22,"[공시]세원물산, 주당 50원 결산 현금배당","【서울=뉴시스】하종민 기자 = 코스닥 상장사 세원물산(024830)은 보통주 1주당 50원의 결산 현금배당을 결정했다고 11일 공시했다. 시가배당율은 주당 1.0%이며 배당금총액은 4억2000만원 규모다.

hahaha@newsis.com

▶ 네이버에서 뉴시스 채널 구독하기

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
세원물산,매일경제,2019.03.11. 오후 5:30,[코스닥 공시] 와이디온라인 / 시공테크 / 세원물산 등,"◇와이디온라인=최근 2개 사업연도 법인세비용차감전계속사업손실이 자기자본의 50% 초과해 관리종목 지정 사유 발생.

◇시공테크=1주당 20원 결산 현금배당.

◇세원물산=보통주 1주당 50원 결산 현금배당.

◇유아이디=반도체 장비업체 지디 지분 59.07% 135억원에 취득.

▶매경 뉴스레터 '매콤달콤'을 지금 구독하세요
▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
세원물산,한국경제TV,2019.05.16. 오후 12:52,"세원물산, 전일 대비 약 8% 상승한 6,420원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


세원물산은 5월 16일 12시 51분 전일 대비 약 8% 상승한 6,420원에 거래되고 있다. 세원물산은 코스닥 상장 기업으로 운송장비,부품 업종에 속해 있다. 시가총액은 495억원으로 코스닥 상장기업 중 1,058위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


세원물산의 투자 스타일은 가치주에 가깝다. 기업 가치 대비 낮은 주가가 매력적인 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 3개월 수익률은 -1.98%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -0.5% 하락하며 부진한 모멘텀을 이어가고 있다.
세원물산 종목에 대한 투자자의 관심도는 매우 낮은 편이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


세원물산은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 세원물산은 상대적으로 저평가 측면에서 두각을 드러내고 있었다.

저평가 점수는 기업의 가치 대비 주가의 수준이 어느 정도인지를 나타낸다.

세원물산은 특히 PBR 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 53위를 기록하며 상위 2.8%에 위치했다. 업종별로는 17위를 기록하며 상위 4.13%에 위치했다.

그러나 재무건전성을 나타내는 재무안정성 측면에서는 아쉬운 점을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
세원물산,한국경제TV,2019.06.11. 오전 9:53,"세원물산, 전일 대비 약 5% 상승한 7,250원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


세원물산은 6월 11일 9시 52분 전일 대비 약 5% 상승한 7,250원에 거래되고 있다. 세원물산은 코스닥 상장 기업으로 운송장비,부품 업종에 속해 있다. 시가총액은 576억원으로 코스닥 상장기업 중 968위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


세원물산의 투자 스타일은 가치주에 가깝다. 기업 가치 대비 낮은 주가가 매력적인 기업이다.
주가 모멘텀은 좋은 편에 속했다. 최근 6개월 수익률은 33.98%의 상승폭을 기록했다. 최근 1개월 수익률 또한 23.43% 상승하며 좋은 모멘텀을 보이고 있다.
세원물산 종목에 대한 투자자의 관심도는 상대적으로 낮은 편이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


세원물산은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 세원물산은 상대적으로 성장성 측면에서 두각을 드러내고 있었다.

성장성 점수는 기업의 실적이 전년 동기 대비 얼마나 증가했는지를 나타낸 지표로 기업의 이익 성장 추세를 나타낸다.

세원물산은 특히 영업이익증가율(YoY) 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 10위를 기록하며 상위 0.46%에 위치했다. 업종별로는 1위를 기록하며 상위 0%에 위치했다.

그러나 재무건전성을 나타내는 재무안정성 측면에서는 아쉬운 점을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
세원물산,국민일보,2019.06.27. 오후 5:06,세원물산 217억원 규모 채무보증 결정,"세원물산은 계열회사인 SEWON AMERICA, INC가 국민은행 뉴욕지점으로부터 빌린 217억원에 대해서 채무보증을 결정했다고 27일 공시했다.

채무보증 금액은 자기자본(1757억원) 대비 12.32% 수준이며, 보증 기간은 2020년 6월 28일까지다.

한편, 세원물산은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 7,000원, 거래량은 4,019주로, 직전 거래일 대비 100원(-1.41%) 하락했다.

공시 전문으로 이동

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
세원물산,머니투데이,2019.06.27. 오후 5:09,"세원물산, 계열사 세원아메리카에 217억원 채무보증","[머니투데이 박계현 기자] 세원물산이 계열회사인 세원아메리카(SEWON AMERICA, INC)에 대해 217억원 규모 채무보증을 결정했다고 27일 공시했다. 채권자는 국민은행으로 채무액은 자기자본 대비 12.32%에 해당하는 규모다.

박계현 기자 unmblue@

▶이코노미스트들의 투자칼럼
▶조 변호사의 가정상담소 ▶더 많은 기사 보러가기

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
