종목명,신문사,시간,제목,본문
디에스티,전자신문,2019.02.18. 오전 8:34,"[ET투자뉴스]2018년 4분기 실적발표 디에스티, 전분기比 영업이익·순이익 모두 흑자 전환","2월 15일 디에스티(033430)의 2018년 연간 실적 대량변동 보고서(잠정집계)가 발표됐다. 이를 근거로 4분기 실적을 추정해보면, 매출액과 영업이익은 전년 동기 대비 각각 34.8%, 133.3% 확대되어93억원, 14억원으로 발표되었다. 그러나 당기순이익은 7% 축소되어 37.2억원으로 집계되었다.





이번분기 기준으로 추정되는 디에스티의 자기자본이익률(ROE)은 121%로 나타났다. 이는 최근 일년과 비교했을 때 급등한 수치이다. 4분기 자기자본은 상승하였으나 당기순이익 상승폭이 더 컸기 때문이다. 전년 동기인 2017년 4분기 ROE는 31.6%로 이번 분기에 89.4%p 상승했다. 한편 동종목의영업이익률은 15.1%이다. 지난해 동기 영업이익률은 8.3%로 이번 4분기가 6.8%p 상승했다.



주가가 1주당 수익의 몇배가 되는지 나타내는 주가수익비율(PER)은 3.8배로 나타났다. 전년 동기 PER은 7.56배로 이번 분기에 하락했다.주가가 1주당 순자산의 몇배인지 알려주는 주가순자산비율인 PBR은 0.74배이다. 지난해 동기 PBR은 0.54배로 이번 4분기 PBR이 상승했다.





다음은 디에스티와 동일 업종 내 비교 그룹 종목의 각각 최근 실적의 전년 동기 대비 성장률이다. 디에스티의 매출액 증감율은 타 종목 대비 가장 우수한 편이다. 그리고 주가는 하락하였지만 가장 나은 상승률을 기록하였다.





증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 금융AI전문기업 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 디지털트랜스포메이션을 위한 RPA, 도입 가이드
▶ 네이버 모바일에서 [전자신문] 채널 구독하기
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
디에스티,국민일보,2019.02.22. 오후 4:26,"디에스티, 특별관계자 지분변동","디에스티는 특별관계자인 김윤기등의 지분율이 17.91%에서 17.24%로 변동했다고 22일 공시했다. 이번 지분 변동은 경영권에 영향을 주기 위한 것이다. 한편, 디에스티는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 1,405원, 거래량은 1,217,601주로, 직전 거래일 대비 25원(+1.81%) 상승했다.

공시 전문으로 이동



* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[네이버 메인에서 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
디에스티,전자신문,2019.02.22. 오후 5:31,"[ET투자뉴스][디에스티 지분 변동] 김윤기17.24%p 증가, 17.24% 보유","디에스티(033430)는 22일 임원(등기) 김윤기의 보유주식이 증가되었다고 발표했다. 이는 직전 보고일보다 494,070주 감소하여 지분율은 17.24%로 하락했다. 이번 보고 사유는 전환사채양도에 따른 변동보고로 알려졌다.




최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.
다음은 디에스티의 지분 변동 내역과 보유 내역이다.







증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 금융AI전문기업 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 디지털트랜스포메이션을 위한 RPA, 도입 가이드
▶ 네이버 모바일에서 [전자신문] 채널 구독하기
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
디에스티,한국경제,2019.02.27. 오전 9:30,"[한경로보뉴스] '디에스티' 15% 이상 상승, 주가 상승세, 단기 이평선 역배열 구간","디에스티가 장 초반 부터 급등해서 오전 09시 26분 현재 전 거래일보다 +18.05% 오른 1,570원에 거래되고 있다. 주가의 흐름은 1,430원으로 개장해서 장중 한때 1,395원(+4.89%)까지 살짝 밀렸지만, 다시 큰 폭으로 올라서 현재 1,570원(+18.05%)까지 상승하고 있다.

◆ 차트 분석
- 주가 상승세, 단기 이평선 역배열 구간
추세선으로 보면 단기 이평선이 역배열을 만들며 조정을 받다가 다시 상승으로 돌아선 모습이다.

최근 이 종목의 차트에서 주가 5MA 상향돌파, 최근 5일 매물대 돌파 등의 특이사항이 발생했다.

[그래프]디에스티 차트 분석


◆ 기업개요
디에스티는 반도체 검사장비 제조, 에너지유통사업 및 자원개발업체로 알려져 있다.

한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
디에스티,머니투데이,2019.02.27. 오전 9:42,"디에스티로봇, 北 비핵화 처리·원전 해체 로봇 개발 나선다","[머니투데이 김건우 기자] [한울로보틱스와 합작법인설립]

디에스티로봇이 폭발물처리 및 원전해체 로봇 관련 기술을 보유한 한울로보틱스와 손잡고 신규시장을 개척한다.

디에스티로봇은 27일 한울로보틱스와 합작법인인 ‘인웍스로봇’을 설립한다고 밝혔다. 인웍스로봇의 지분 구조는 디에스티로봇이 70%, 한울로보틱스가 30%다.

1998년 원자력연구소 출신 김병수 대표가 설립한 한울로보틱스는 원자력발전소용 로봇을 개발했다. 2002년 국방용 로봇을 공급한 뒤 국방로봇 시범사업 주관기관 선정(2012년), 사우디아라비아 필드로봇 공동개발(2014년), 폭발물 처리로봇 상용화(2015년), 방글라데시 국방부 폭발물 처리로봇 공급(2017년) 등의 성과를 올렸다.

김병수 한울로보틱스 대표는 “한울로보틱스는 폭발물로봇과 세계 최장 시간의 비행시간을 보유한 하이브리드형 드론 개발에 성공했다""며 ""최근 민간인 대상 테러의 위협이 증가하면서 세계 각국의 군부대 뿐 아니라 경찰에서도 폭발물처리 로봇에 대한 수요가 증가하고 있어 회사에 제품 공급 요청이 증가하고 있다”고 말했다.

인웍스로봇은 다양한 형태의 원전해체용 로봇 개발을 선제적으로 추진해 해체 연한이 다가오고 있는 국내 원자력 발전소와 북한의 비핵화 과정에 사용될 로봇 개발에도 주력할 계획이다.

디에스티로봇 관계자는 “원전 및 핵무기 해체시 작업에 투입되는 로봇은 엄청난 양의 방사능에 노출되기 때문에 방사능의 영향을 최소화 할 수 있는 설계역량을 갖추고 있어야 해 개발이 쉽지 않다”며 “원전용 로봇개발에 주력해온 한울의 기술력과 진공대기로봇 등을 양산해온 디에스티로봇의 기술력이 결합한다면 관련 시장 선점을 위한 로봇 개발이 가능할 것”이라고 말했다.

김건우 기자 jai@mt.co.kr

▶주식, 나도 더 잘할 수 있을까?
▶조 변호사의 가정상담소 ▶머투가 봄맞이 선물 주나봄

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
디에스티,아시아경제,2019.02.27. 오전 9:51,"디에스티로봇, 한울로보틱스와 합작…원전해체 시장 진출","北 비핵화 처리 및 국내 원전해체 로봇 개발
한울로보틱스, 20년간 폭발물처리 및 원전로봇 개발 기술력
[아시아경제 박형수 기자] 디에스티로봇이 폭발물 처리와 원전해체 로봇 기술을 보유한 한울로보틱스와 손잡고 신규시장을 개척한다.

디에스티로봇은 27일 한울로보틱스와 합작법인 ‘인웍스로봇’을 설립한다고 밝혔다. 디에스티로봇은 합작법인 지분 70%를 보유한다.

한울로보틱스는 원자력연구소 출신인 김병수 대표가 1998년 설립한 원전용 로봇 개발업체다. 한울로보틱스는 극한 상황에서 내구성과 신뢰성을 유지해야 하는 원전용 로봇 기술을 기반으로 국방용 로봇을 개발하고 있다. 2002년 국방용 로봇을 납품했다.

국방로봇 시범사업 주관기관 선정(2012년), 사우디아라비아 필드로봇 공동개발(2014년), 폭발물 처리로봇 상용화(2015년), 방글라데시 국방부 폭발물 처리로봇 공급(2017년) 등 꾸준한 연구개발을 통해 원전과 폭발물 처리 로봇을 개발하고 있다.

김병수 한울로보틱스 대표는 “한울로보틱스는 폭발물 로봇과 세계 최장 시간 비행시간을 보유한 하이브리드형 드론을 개발하는 데 성공했다” 며 “최근 민간인 대상 테러의 위협이 증가하면서 세계 각국에서 폭발물처리 로봇에 대한 수요가 증가하고 있다”고 말했다.

디에스티로봇은 산업용 로봇 기술을 보유하고 있다. 신뢰성 높은 로봇을 양산할 생산 노하우와 설비를 보유하고 있다. 한울로보틱스와 합작법인을 설립해 관련 시장 성장 수혜를 볼 것으로 기대했다.

인웍스로봇은 다양한 형태의 원전해체용 로봇을 개발해 해체 연한이 다가오는 국내 원자력 발전소와 북한의 비핵화 시장에 진출한다는 목표를 세웠다.

디에스티로봇 관계자는 “원전 및 핵무기 해체 작업에 투입하는 로봇은 엄청난 양의 방사능에 노출된다""며 ""방사능 영향을 최소화 할 수 있는 설계역량을 갖추고 있어야 한다""고 설명했다. 이어 “원전용 로봇개발에 주력해온 한울의 기술력과 진공대기로봇 등을 양산해온 디에스티로봇의 기술력이 결합한다면 관련 시장 선점을 위한 로봇 개발이 가능할 것”이라고 말했다.

아울러 “김병수 대표는 디에스티로봇 비등기 이사로 선임했다”며 “디에스티로봇 자본금과 인웍스의 기술력이 만나 시너지 효과를 만들어 갈 것으로 기대한다”고 덧붙였다.

박형수 기자 Parkhs@asiae.co.kr

▶ 아시아경제 채널 추가하고 에어팟, 해외여행비 받자!
▶ 재미와 신기 '과학을읽다' ▶ 꿀잼 '인기만화'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
디에스티,한국경제,2019.02.27. 오전 9:56,"[한경로보뉴스] '디에스티' 상한가↑ 도달, 전일 외국인 대량 순매수","27일 디에스티는 장 초반 부터 상한가에 진입해서, 오전 09시 52분 현재 전 거래일보다 29.7% 오른 1,725원에 거래되고 있다. 주가의 흐름은 1,430원으로 개장해서 장중 한때 1,395원(+4.89%)까지 살짝 밀렸지만, 다시 큰 폭으로 올라서 현재 1,725원(+29.7%)까지 상승하고 있다.

◆ 주체별 매매동향
- 전일 외국인 대량 순매수
지난 한달을 기준으로 보면 외국인이 17.3만주를 순매수한 반면, 기관은 339주를 순매도했고, 개인들도 17.4만주를 순매도한 것으로 집계됐다. 같은 기간 개인의 거래 비중이 95.2%로 가장 높았고, 기관은 거래에 거의 참여하지 않은 것으로 보인다
더욱이 전일 외국인이 대량 순매수를 하고 있어 투자자들의 관심이 집중되고 있다.

[그래프]디에스티 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
디에스티,파이낸셜뉴스,2019.02.27. 오전 9:59,"[fnRASSI]디에스티, 상한가 기록","디에스티(033430)는 상한가를 기록하고 있다. 동종목은 현재 1,725원선에서 이루어지고 있다.

참고로 52주 최고가는 1,962원(18년 04월 27일), 최저가는 980원(18년 09월 21일)원이다. 최근 3일동안 평균 거래량은 479만 주이다. 이는 250일 일 평균 거래량 121만 주와 비교해보면 최근 거래량이 급격히 늘어났다는 것을 알 수 있다.

개인,외국인만 거래 참여
최근 한달간 주체별 거래비중을 살펴보면 개인이 95.22%, 외국인이 4.74%를 보였고, 기관은 거래참여가 없었다. 그리고 최근 5일간 거래비중은 개인이 94.3%, 외국인이 5.44%를 보였고, 기관은 거래참여가 없었다.


지표
항목
값
종합점수
성장성
매출액증가율
-0.3
0.5
자기자본증가율
-1
안정성
부채비율
995.72
3.06
유동비율
56.21
이익안정성
6.11
수익성
ROA
0.88
5.72
ROE
9.67
영업이익율
4.4


디에스티의 퀀트 재무 점수는 9.28점으로



'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
디에스티,파이낸셜뉴스,2019.02.27. 오전 10:19,"[fnRASSI]디에스티로봇, 7.94% 오르며 거래량 증가","디에스티로봇(090710)의 현재 거래량이 최근 5거래일 거래량의 최고치를 경신하며 투자자들의 관심을 받고 있다. 그리고 디에스티로봇은 3일 연속 상승흐름을 보이며, 10시 13분 현재 7.94% 증가한 1,360원에 거래중이다.

상장주식수 대비 거래량은 3.31%로 적정수준
최근 한달간 디에스티로봇의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 3.31%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 4.58%를 나타내고 있다.

외국인 보유량 감소, 기관 증가 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 861,971주 순매도하였고 반면 기관은 8,000주 순매수하였다. 전날 두 주체 각각 673,989주, 8,000주 순매도하며 보유 비율을 줄였다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
디에스티,한국경제,2019.02.27. 오전 10:20,"[한경로보뉴스] '디에스티로봇' 10% 이상 상승, 전형적인 상승세, 단기·중기 이평선 정배열","27일 오전 10시 16분 현재 디에스티로봇은 전 거래일보다 11.51% 오른 1,405원에 거래되고 있다. 주가의 흐름은 1,280원으로 개장해서 장중 한때 1,245원(-1.19%)까지 살짝 밀렸지만, 다시 큰 폭으로 올라서 현재 1,405원(+11.51%)까지 상승하고 있다.

◆ 차트 분석
- 전형적인 상승세, 단기·중기 이평선 정배열
이 시간 차트의 흐름은 현재 단기·중기 이평선이 정배열 상태로 전형적인 상승세를 보이고 있다.

최근 이 종목의 차트에서 삼선전환도(양전환) 등의 특이사항이 발생했다.

[그래프]디에스티로봇 차트 분석


◆ 기업개요
디에스티로봇은 산업용 및 지능형 로봇 생산업체로 알려져 있다.

한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
디에스티,매일경제,2019.02.27. 오전 11:55,"디에스티로봇, 한울로보틱스와 합작법인 설립","원전해체·폭발물처리 로봇 개발

디에스티로봇이 폭발물처리 및 원전해체 로봇 관련 기술을 보유한 한울로보틱스와 손잡고 신규시장 개척을 본격화한다.

디에스티로봇은 한울로보틱스와 합작법인인 '인웍스로봇'을 설립한다고 27일 밝혔다. 디에스티로봇은 합작법인에 지분율 70%를 출자하며 한울로보틱스가 30%를 출자한다.

한울로보틱스는 원자력연구소 출신인 김병수 대표가 98년에 설립한 회사로 설립 초기부터 원전용 로봇을 개발해왔다.

한울로보틱스는 극한 상황에서 내구성과 신뢰성이 유지돼야 하는 원전용 로봇 기술을 기반으로 국방용 로봇을 개발해왔으며 2002년 최초로 국방용 로봇을 납품한 바 있다.

디에스티로봇은 산업용로봇과 관련해 뛰어난 연구역량을 보유하고 있을 뿐 아니라 신뢰성 높은 로봇을 양산할 수 있는 생산 노하우와 설비를 보유하고 있다. 한울로보틱스와 합작법인 설립을 통해 관련 시장 성장의 수혜를 볼 것이라는 게 회사 측 설명이다.

합작법인인 인웍스로봇은 다양한 형태의 원전해체용 로봇 개발을 선제적으로 추진해 해체 연한이 다가오고 있는 국내 원자력 발전소와 북한의 비핵화 과정에 사용될 로봇 개발에도 주력할 계획이다.

디에스티로봇 관계자는 ""원전 및 핵무기 해체 시 작업에 투입되는 로봇은 엄청난 양의 방사능에 노출되기 때문에 방사능의 영향을 최소화할 수 있는 설계역량을 갖추고 있어야 한다""면서 ""원전용 로봇개발에 주력해온 한울의 기술력과 진공대기로봇 등을 양산해온 디에스티로봇의 기술력이 결합한다면 관련 시장 선점을 위한 로봇 개발이 가능할 것""이라고 말했다.

[디지털뉴스국 김경택 기자]

▶매경 뉴스레터 '매콤달콤'을 지금 구독하세요
▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
