종목명,신문사,시간,제목,본문
에이아이비트,전자신문,2019.02.18. 오전 8:30,"[ET투자뉴스][에이아이비트 지분 변동] (주)바이오써포트 외 1명 -5.95%p 감소, 7.29% 보유","에이아이비트(039230)는 15일 최대주주 (주)바이오써포트를 비롯한 특별관계자의 보유주식이 감소되었다고 발표했다. 이는 직전 보고일보다 2,424,341주 감소하여 지분율은 7.29%로 하락했다. 이번 보고 사유는 제9회차무기명식이권부사모전환사채조기상환에 따른 감소및최대주주변경을수반하는주식양도계약에 따른 변동보고로 알려졌다.




최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.
다음은 에이아이비트의 지분 변동 내역과 보유 내역이다.







증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 금융AI전문기업 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 디지털트랜스포메이션을 위한 RPA, 도입 가이드
▶ 네이버 모바일에서 [전자신문] 채널 구독하기
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
에이아이비트,국민일보,2019.02.19. 오후 3:40,"에이아이비트, 특별관계자 지분변동","에이아이비트는 특별관계자인 백성현등의 지분율이 13.17%에서 9.98%로 변동했다고 19일 공시했다. 이번 지분 변동은 경영참가목적이 없는 단순 투자목적으로 전환사채권장외매도및전환가액조정에 의한 것이다. 한편, 에이아이비트는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 1,015원, 거래량은 1,266,123주로, 직전 거래일 대비 20원(-1.93%) 하락했다.

공시 전문으로 이동



* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[네이버 메인에서 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
에이아이비트,매일경제,2019.03.06. 오후 5:44,[코스닥 공시] NICE평가정보 / 이베스트투자증권 / 에이아이비트,"◇NICE평가정보=주당 190원 현금 배당 결정.

◇이베스트투자증권=주당 485원 현금배당 결정.

◇에이아이비트=박준일 씨로 최대주주 변경.

▶매경 뉴스레터 '매콤달콤'을 지금 구독하세요
▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
에이아이비트,한국경제,2019.03.07. 오전 8:32,"에이아이비트, 박준일 대표로 최대주주 변경","[ 한민수 기자 ] 에이아이비트는 최대주주 변경을 수반하는 주식양수도 계약의 인수대금 납입이 완료됐다고 7일 밝혔다.

에이아이비트의 박준일 대표는 지난 1월 기존 최대주주인 바이오써포트가 보유한 주식을 양수하는 계약을 체결했다. 대금 납입이 완료됨에 따라 박 대표는 에이아이비트의 지분 6.06%를 보유한 최대주주가 됐다. 바이오써포트의 지분은 4.73%로 낮아졌다.

이번 최대주주 변경을 통해 에이아이비트는 책임경영을 강화할 방침이다.

회사 관계자는 ""지난해 3분기부터 매출액이 증가하고 있는 기존 사업의 성장세를 유지하고, 신성장동력인 바이오 사업도 강화하겠다""며 ""기업가치 향상을 위해 4차 산업혁명 시대에 고부가가치 사업으로 꼽히는 바이오 분야로 사업 다각화를 추진 중""이라고 말했다.

한민수 한경닷컴 기자 hms@hankyung.com



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
에이아이비트,매일경제,2019.03.07. 오전 8:35,"박준일 에이아이비트 대표, 최대주주 올라…지분 6.06% 확보","""책임경영 강화할 것""

에이아이비트가 최대주주 변경을 수반하는 주식양수도 계약의 인수대금 납입이 완료됐다고 7일 밝혔다.

에이아이비트는 지난 1월 25일 박준일 대표이사에게 기존 최대주주인 바이오써포트가 보유주식을 양도하는 계약을 체결했다고 공시한 바 있다. 대금 납입이 완료됨에 따라 박준일 에이아이비트 대표가 회사 지분 6.06%(391만 7728주)를 보유한 최대주주로 변경됐다. 기존 최대주주였던 바이오써포트의 지분율은 4.73%(305만 3950주)다.

지난해 7월 박 대표 단독체제를 맞이한 에이아이비트는 이번 최대주주 변경을 시작으로 책임경영을 강화한다는 포부다.

회사는 주력 사업인 디스플레이 검사장비 사업의 매출 및 영업이익 증진을 위해 영업력을 강화하고 원자재 구매 노하우를 확보하는 등 다각도로 노력 중이다.

또 새로운 수익원 확보를 위해서 바이오 사업에 투자를 확대한다. 자회사 유파마디자인을 통해 대마바이오 사업을 육성하는 한편 광역학 암치료제 기술을 이전 받아 광민감제의 상용화 연구개발을 진행한다.

신사업 투자 외에도 전환사채(CB)를 소각하고, 230억 규모의 부동산을 매각해 부채를 감소시키는 등 재무 건전성 확보에 주력한다. 이어 에이아이비트는 지난달 28일 발표한 제3자배정 유상증자를 통해 552만4862주를 박 대표가 추가 취득함으로써 지배 구조를 공고히 할 것으로 보인다. 납입 예정일은 오는 8일까지다.

에이아이비트 관계자는 ""지난 3분기부터 매출액이 증가하고 있는 기존사업의 성장세를 유지하고 신성장동력인 바이오 사업도 강화하겠다""면서 ""기업 가치 향상을 위해 4차 산업혁명 시대에 고부가가치 사업으로 꼽히는 바이오 분야로 사업 다각화를 추진 중""이라고 말했다.

[디지털뉴스국 김규리 기자]

▶매경 뉴스레터 '매콤달콤'을 지금 구독하세요
▶뉴스 이상의 무궁무진한 프리미엄 읽을거리
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
에이아이비트,아시아경제,2019.03.07. 오전 9:06,"[공시+]에이아이비트, 박준일 대표이사로 최대주주 변경…""책임경영 강화""","[아시아경제 유현석 기자] 코스닥 상장사 에이아이비트는 최대주주 변경을 수반하는 주식양수도 계약의 인수대금 납입이 완료됐다고 7일 밝혔다.

에이아이비트는 지난 1월25일 박준일 대표이사에게 기존 최대주주인 바이오써포트가 보유주식을 양도하는 계약을 체결했다고 공시했다. 대금 납입이 완료됨에 따라 박준일 대표이사는 에이아이비트의 지분 6.06%(391만7728주)를 보유한 최대주주로 올라서게 됐다. 기존 최대주주였던 바이오써포트의 지분율은 4.73%(305만3950주)가 된다.

지난해 7월 박준일 대표이사 단독체제를 맞이한 에이아이비트는 이번 최대주주 변경을 통해 책임경영을 강화한다. 박준일 대표이사는 주력 사업인 디스플레이 검사장비 사업의 매출 및 영업이익 증진을 위해서 영업력을 강화하고 원자재 구매 노하우를 확보하는 등 지속적으로 노력하고 있다. 또 새로운 수익원 확보를 위해서 바이오 사업에 투자를 확대했다. 자회사 유파마디자인을 통해 대마바이오 사업을 육성하는 한편 광역학 암치료제 기술을 이전 받아 광민감제의 상용화 연구개발을 진행하고 있다.

신사업 투자 외에도 전환사채(CB)를 소각하고, 230억 규모의 부동산을 매각해 부채를 감소시키는 등 재무 건전성 확보를 위해서도 노력하고 있다.

이와 함께 에이아이비트는 제3자배정 유상증자를 통해 추가 지분을 확보하여 박준일 대표의 지배 구조를 더욱 굳건히 하겠다는 방침이다. 지난 28일 발표된 유상증자 공시에 따르면 박준일 대표는 552만4862주를 추가 취득할 예정이다. 납입 예정일은 오는 8일까지다.

에이아이비트 관계자는 ""지난 3분기부터 매출액이 증가하고 있는 기존사업의 성장세를 유지하고 신성장동력인 바이오 사업도 강화하겠다""며 ""기업 가치 향상을 위해 4차 산업혁명 시대에 고부가가치 사업으로 꼽히는 바이오 분야로 사업 다각화를 추진 중""이라고 밝혔다.

유현석 기자 guspower@asiae.co.kr

▶ 아시아경제 채널 추가하고 에어팟, 해외여행비 받자!
▶ 재미와 신기 '과학을읽다' ▶ 꿀잼 '인기만화'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
에이아이비트,한국경제,2019.03.07. 오전 9:24,"'에이아이비트' 10% 이상 상승, 주가 5일 이평선 상회, 단기·중기 이평선 역배열","에이아이비트가 장 초반 부터 전일 대비 +10%이상 상승하고 있다. 07일 오전 09시 20분 에이아이비트는 전 거래일보다 10.56% 오른 995원에 거래되고 있다. 주가의 흐름은 915원으로 개장해서 장중 한때 910원(+1.11%)까지 소폭 밀렸다가 다시 998원(+10.89%)까지 상승 반전한 후, 현재는 995원(+10.56%)에서 머물면서 장중에 많이 상승한 모습이다.

◆ 차트 분석
- 주가 5일 이평선 상회, 단기·중기 이평선 역배열
이 시간 차트의 흐름은 단기와 중기 모두 역배열 구간에서 하락 추세를 이어오다가 반등하는 모습이다.

[그래프]에이아이비트 차트 분석


◆ 주체별 매매동향
- 전일 외국인 대량 순매도
지난 한달을 기준으로 보면 외국인이 117.6만주를 순매수한 반면, 기관은 47.0만주를 순매도했고, 개인들도 70.6만주를 순매도한 것으로 집계됐다. 같은 기간 개인의 거래비중이 89.6%로 가장 높아, 주요 거래 주체로 참여했음을 알 수 있다.
더욱이 전일 외국인이 대량 순매도를 하고 있어 투자자들의 관심이 집중되고 있다.

[그래프]에이아이비트 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
에이아이비트,이데일리,2019.03.07. 오전 9:29,"[특징주]에이아이비트, 최대주주 변경 소식에 `급등`","[이데일리 이후섭 기자] 에이아이비트(039230)가 최대주주 변경 소식에 급등세다.

7일 마켓포인트에 따르면 오전 9시22분 현재 에이아이비트는 전날 대비 105원(11.67%) 오른 1005원에 거래되고 있다.

에이아이비트는 최대주주 변경을 수반하는 주식양수도 계약의 인수대금 납입이 완료돼 기존 바이오써포트에서 박준일 대표로 최대주주가 변경됐다고 전날 공시했다.

에이아이비트는 지난 1월 25일 박준일 대표에게 기존 최대주주인 바이오써포트가 보유주식을 양도하는 계약을 체결했다고 공시한 바 있다. 대금 납입이 완료됨에 따라 박준일 대표는 에이아이비트의 지분 6.06%를 보유한 최대주주로 올라서게 됐다. 기존 최대주주였던 바이오써포트의 지분율은 4.73%가 된다.

에이아이비트는 이번 최대주주 변경을 통해 책임경영을 강화한다는 방침이다. 주력 사업인 디스플레이 검사장비 사업의 영업력을 강화하고 원자재 구매 노하우를 확보하는데 주력하고 있다. 또 새로운 수익원 확보를 위해 바이오 사업 투자를 확대했다. 자회사 유파마디자인을 통해 대마바이오 사업을 육성하는 한편 광역학 암치료제 기술을 이전받아 광민감제의 상용화 연구개발을 진행하고 있다.

또 박 대표는 제3자배정 유상증자를 통해 552만4862주를 추가 취득할 예정이다. 납입 예정일은 오는 8일까지다.

이후섭 (dlgntjq@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 기사 보려면 [구독하기▶]
꿀잼가득 [영상보기▶] , 빡침해소!청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이아이비트,아시아경제,2019.03.07. 오전 11:30,"[특징주]에이아이비트, 최대주주 변경 광역학 암치료제 개발 탄력 강세","[아시아경제 박형수 기자] 에이아이비트가 강세다. 최대주주 변경에 따른 책임 경영 기대감이 주가에 영향을 준 것으로 보인다.

7일 오전 11시28분 에이아이비트는 전날보다 20.0% 오른 1080원에 거래되고 있다.

앞서 에이아이비트는 지난 1월25일 박준일 대표이사와 기존 최대주주인 바이오써포트가 보유주식을 양도하는 계약을 체결했다. 대금 납입을 완료하면서 박준일 대표이사는 에이아이비트의 지분 6.06%(391만7728주)를 보유한 최대주주로 올라섰다. 기존 최대주주였던 바이오써포트 지분율은 4.73%(305만3950주)다.

지난해 7월 박준일 단독대표 체제로 변경한 에이아이비트는 책임경영을 강화하기로 했다. 박준일 대표는 영업력을 강화하고 원자재 구매 노하우를 확보하는 등 지속적으로 노력하고 있다. 새로운 수익원 확보를 위해서 바이오 사업에 투자했다. 자회사 유파마디자인을 통해 대마바이오 사업을 육성하는 한편 광역학 암치료제 기술을 이전받아 광민감제의 상용화 연구개발을 진행하고 있다. 신사업 투자 외에도 전환사채(CB)를 소각하고, 230억원 규모의 부동산을 매각해 부채를 줄였다.

에이아이비트는 제3자배정 유상증자를 통해 박 대표가 지분을 추가로 확보한다. 지난달 28일 발표한 유상증자 공시에 따르면 박준일 대표는 552만4862주를 추가로 취득한다. 납입 예정일은 오는 8일까지다.

에이아이비트 관계자는 ""지난 3분기부터 매출액이 증가하고 있는 기존사업 성장세를 유지할 것""이며 ""신성장동력인 바이오 사업도 강화하겠다""고 말했다.

박형수 기자 Parkhs@asiae.co.kr

▶ 아시아경제 채널 추가하고 에어팟, 해외여행비 받자!
▶ 재미와 신기 '과학을읽다' ▶ 꿀잼 '인기만화'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
에이아이비트,국민일보,2019.03.08. 오전 10:04,"에이아이비트, 특별관계자 지분변동","에이아이비트는 특별관계자인 (주)바이오써포트등의 지분율이 7.29%에서 4.0%로 변동했다고 08일 공시했다. 이번 지분 변동은 경영권에 영향을 주기 위한 것이다. 한편, 에이아이비트의 10시 02분 현재주가는 1,065원으로 직전 거래일 대비 89원(+9.12%) 상승이며, 거래량은 3,657,098주이다.



공시 전문으로 이동

* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[네이버 메인에서 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
