종목명,신문사,시간,제목,본문
코오롱생명과학,아시아경제,2019.02.21. 오전 9:34,"코오롱생명과학, 골관절염 치료제 '인보사' 시술 2600건 돌파","인보사케이주


[아시아경제 서소정 기자] 코오롱생명과학은 골관절염 유전자 치료제 ‘인보사-케이’의 시술 건수가 2600건을 돌파했다고 21일 밝혔다.

인보사 케이는 지난해 12월 기준 시술 건수 2600건을 기록했으며, 매월 200건 이상의 시술 건수를 유지하고 있다. 인보사 케이를 투여할 수 있는 유전자치료기관(병원)도 빠르게 증가하고 있다. 제품출시 전 58곳에 불과하던 유전자치료기관이 현재 898여 곳으로 늘어나 환자 접근성이 높아졌다.

코오롱생명과학은 인보사 케이의 일본 라이선스 및 중국 하이난성, 홍콩, 마카오, 사우디아라비아, 호주 등 수출 계약을 통해 약 20여 개국에 1조 원의 해외 수출을 진행 중이다. 또 미국에서는 2018년 11월 21일부터 임상 3상 첫 환자 시술을 진행했다. 미국 주요 병원이 포함된 60개 임상기관에서 1020명의 골관절염 환자를 대상으로 임상을 진행할 계획이다.

이우석 코오롱생명과학 대표는 “인보사 케이는 새로운 골관절염 치료 패러다임을 제시한 치료제""라며 ""인보사 케이에 대한 신뢰와 기대에 부응하기 위한 노력을 계속할 것”이라고 말했다.

서소정 기자 ssj@asiae.co.kr

▶ 아시아경제 채널 추가하고 에어팟, 해외여행비 받자!
▶ 재미와 신기 '과학을읽다' ▶ 꿀잼 '인기만화'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
코오롱생명과학,파이낸셜뉴스,2019.02.21. 오전 9:41,"코오롱생명과학, 골관절염 치료제 '인보사-케이' 시술 건수 2600건 돌파","코오롱생명과학과 한국먼디파마는 세계 최초 골관절염 유전자 치료제 '인보사-케이'의 시술 건수가 2600건을 돌파했다고 21일 밝혔다.

인보사-케이는 지난해 12월 기준으로 시술 건수 2600건을 기록했으며 매월 200건 이상의 시술 건수를 유지하고 있다. 인보사-케이를 투여할 수 있는 유전자치료기관(병원)도 빠르게 증가하고 있다. 인보사-케이 출시 전 58곳에 불과하던 유전자치료기관이 현재 898여 곳으로 늘어났다.

코오롱생명과학은 인보사-케이의 일본 라이선스 및 중국 하이난성, 홍콩, 마카오, 사우디아라비아, 호주 등 수출 계약을 통해 약 20여 개국에 1조원의 해외 수출도 진행 중이다.

또 미국에서는 2018년 11월 21일부터 임상 3상 첫 환자 시술을 진행했다. 미국 주요 병원이 포함된 60개 임상기관에서 1020명의 골관절염 환자를 대상으로 임상을 진행할 계획이다.

코오롱생명과학 이우석 대표는 ""인보사-케이는 혁신 신약에 대한 코오롱생명과학 20년 노력의 결정체""라며, ""새로운 골관절염 치료 패러다임을 제시한 치료제로 인보사-케이에 대한 신뢰와 기대에 부응하기 위한 노력을 계속할 것""이라고 말했다.

한국먼디파마(유) 이명세 대표는 ""인보사-케이의 성장은 의료진과 환자로부터 치료 효과, 편의성 등을 빠르게 인정받았기 때문""이라며 ""인보사-케이를 통해 더 많은 환자들이 골관절염의 고통 속에서 벗어날 수 있도록 힘쓸 것""이라고 전했다.

한편, 코오롱생명과학과 한국먼디파마는 지난 2017년 3월 인보사-케이의 공동 마케팅을 위한 전략적 제휴를 체결하고 유기적인 협업 체계를 구축해오고 있다. 한국먼디파마는 종합 대학병원 및 정형외과 중심의 중대형 병원을 중심으로 코프로모션을 진행하고 있다.

pompom@fnnews.com 정명진 기자

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
코오롱생명과학,데일리안,2019.02.21. 오전 10:14,"코오롱생명과학 인보사-케이, 시술 건수 2600건 돌파","코오롱생명과학과 한국먼디파마는 세계 최초 골관절염 유전자 치료제 ‘인보사-케이’(INVOSSA®-K)의 시술 건수가 2600건을 돌파했다고 21일 밝혔다.

인보사-케이는 2018년 12월 기준, 시술 건수 2600건을 기록했으며, 매월 200건 이상의 시술 건수를 유지하고 있다. 인보사-케이를 투여할 수 있는 유전자치료기관(병원)도 빠르게 증가하고 있다.

인보사-케이 출시 전 58곳에 불과하던 유전자치료기관이 현재 898여 곳으로 늘어나, 인보사-케이의 환자 접근성이 더욱 높아졌다.

코오롱생명과학은 인보사-케이의 일본 라이선스 및 중국 하이난성, 홍콩, 마카오, 사우디아라비아, 호주 등 수출 계약을 통해 20여개국에 1조원의 해외 수출도 진행 중이다. 또한, 미국에서는 2018년 11월 21일부터 임상 3상 첫 환자 시술을 진행했다. 미국 주요 병원이 포함된 60개 임상기관에서 1020명의 골관절염 환자를 대상으로 임상을 진행할 계획이다.

이우석 코오롱생명과학 대표는 “인보사-케이는 혁신 신약에 대한 코오롱생명과학 20년 노력의 결정체”라며 “새로운 골관절염 치료 패러다임을 제시한 치료제로서, 인보사-케이에 대한 신뢰와 기대에 부응하기 위한 노력을 계속할 것”이라고 말했다.

데일리안 최승근 기자 (csk3480@dailian.co.kr)

ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지"
코오롱생명과학,파이낸셜뉴스,2019.02.21. 오전 10:25,"코오롱생명과학, ""인보사-케이의 시술 건수 2600건 돌파""","시술건수 2600건을 돌파한 코오롱생명과학의 인보사-케이. 코오롱생명과학 제공
코오롱생명과학과 한국먼디파마는 세계 최초 골관절염 유전자 치료제 ‘인보사-케이’의 시술 건수가 2600건을 돌파했다고 21일 밝혔다.

코오롱생명과학에 따르면 인보사는 지난해 12월 기준 시술 건수 2600건을 기록했으며 매월 200건 이상의 시술 건수를 유지하고 있다. 인보사를 투여할 수 있는 유전자치료기관(병원)도 898 곳으로 늘어나 환자 접근성도 높아지고 있다.

코오롱생명과학은 인보사 일본 라이센스 및 중국 하이난성, 홍콩, 마카오, 사우디아라비아, 호주 등 수출 계약을 통해 약 20여 개국에 1조 원의 해외 수출도 진행 중이다. 또 미국에서는 지난해 11월 21일부터 임상 3상 첫 환자 시술도 진행했다. 미국 주요 병원이 포함된 60개 임상기관에서 1020명의 골관절염 환자를 대상으로 임상을 진행할 계획이다.

이우석 코오롱생명과학 대표는 “인보사는 혁신 신약에 대한 코오롱생명과학 20년 노력의 결정체”라며 “새로운 골관절염 치료 패러다임을 제시한 치료제 인보사에 대한 신뢰와 기대에 부응하기 위한 노력을 계속할 것”이라고 말했다.

이명세 한국먼디파마 대표는 “인보사의 이 같은 성장은 의료진과 환자로부터 치료 효과, 편의성 등을 빠르게 인정받은 것”이라며 “더 많은 환자들이 골관절염의 고통 속에서 벗어날 수 있도록 힘쓸 것”이라고 강조했다.

한편 코오롱생명과학과 한국먼디파마는 지난 2017년 3월 인보사의 공동 마케팅을 위한 전략적 제휴를 체결하고 유기적인 협업 체계를 구축하고 있다. 한국먼디파마는 종합 대학병원 및 정형외과 중심의 중대형 병원을 중심으로 코프로모션을 진행하고 있다.

juyong@fnnews.com 송주용 기자

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
코오롱생명과학,한국경제TV,2019.02.21. 오전 10:30,"코오롱생명과학 골관절염치료제 '인보사', 시술 2,600건 돌파","[한국경제TV 전민정 기자]


코오롱생명과학은 골관절염 유전자 치료제 '인보사-케이'의 시술 건수가 2,600건을 돌파했다고 21일 밝혔습니다.

인보사-케이는 지난해 12월 기준 시술 건수 2,600건을 달성했으며 매월 200건 이상의 시술 건수를 유지하고 있습니다.

코오롱생명과학에 따르면 인보사-케이 출시 전 58곳에 불과하던 유전자치료기관이 현재 898여 곳으로 늘어나 인보사 시술에 대한 환자 접근성이 더욱 높아졌습니다.

인보사-케이는 일본 라이선스와 중국 하이난성, 홍콩, 마카오, 사우디아라비아, 호주 등과의 수출 계약을 통해 약 20여 개국에 1조 원 규모로 수출되고 있습니다.

미국에서는 지난해 11월부터 임상 3상 첫 환자 시술을 진행했으며 60개 병원에서 1,020명의 골관절염 환자를 대상으로 임상을 진행할 계획입니다..

이우석 코오롱생명과학 대표는 ""인보사-케이는 혁신 신약에 대한 코오롱생명과학 20년 노력의 결정체""라며 ""새로운 골관절염 치료 패러다임을 제시한 치료제로서 인보사-케이에 대한 신뢰와 기대에 부응하기 위한 노력을 계속할 것""이라고 말했습니다.

전민정기자 jmj@wowtv.co.kr

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
코오롱생명과학,서울경제,2019.02.21. 오후 2:17,잘나가는 코오롱생명과학 '인보사',"월평균 시술 200건 웃돌아
시술병원도 1,000곳 '눈앞'

[서울경제] 코오롱생명과학(102940) 퇴행성관절염 치료제 ‘인보사’의 월평균 시술이 200건을 돌파하고 누적 시술도 2,600건을 넘어섰다고 21일 밝혔다.

인보사는 지난 2017년 11월 국내 출시 후 일선 병원을 중심으로 꾸준한 성장세를 이어가고 있다. 지난해 5월에는 출시 6개월 만에 누적 시술건수 1,000건을 달성했고 58곳이었던 시술병원도 898곳을 확보하며 1,000곳 돌파를 앞두고 있다. 인당 시술비용이 600만원 내외라는 점을 감안하면 더욱 두드러진 성과다.

코오롱(002020)생명과학의 자회사 코오롱티슈진(옛 티슈진)이 국산 신약 29호로 개발한 인보사는 유전자 기반 퇴행성관절염 치료제다. 앞서 자가면역질환이나 항암제로 유전자 치료제가 출시된 적은 있지만 인보사는 세계 최초 유전자 기반 퇴행성관절염 치료제다. 이웅렬 전 코오롱그룹 회장이 지난 1999년 미국에 티슈진을 설립한 뒤 18년 만에 개발에 성공했다.

인보사는 글로벌 시장에서도 경쟁력을 인정받아 일본, 중국, 홍콩, 호주 등 전 세계 20여개국에서 1조원 규모의 수출도 준비 중이다. 지난해에는 세계 최대 의약품 시장인 미국 진출을 위해 미국 식품의약국(FDA)의 승인을 받아 임상 3상에 돌입했다.

이우석 코오롱생명과학 대표는 “‘인보사’는 혁신 신약을 향해 코오롱생명과학이 20년 동안 역량을 결집한 결정체”라며 “전 세계 관절염 치료제 시장에 새로운 기준을 제시하는 한편 미국 시장 진출에도 박차를 가하겠다”고 말했다.
/이지성기자 engine@sedaily.com

[서울경제 바로가기]
네이버 메인에서 'No. 1 뉴스' 서울경제를 만나보세요 [바로가기▶]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
코오롱생명과학,한국경제,2019.02.27. 오전 8:35,"[한경로보뉴스] 전일, 외국인 코스닥에서 코오롱생명과학(+6.91%), 서울반도체(-0.62%) 등 순매수","외국인 투자자는 26일 코스닥에서 코오롱생명과학, 서울반도체, 오스코텍 등을 중점적으로 사들인 것으로 나타났다.

외국인 투자자의 순매수 상위 20개 종목은 코오롱생명과학, 서울반도체, 오스코텍, 바이로메드, CJ ENM, 차바이오텍, 메디톡스, 포스코켐텍, 안트로젠, 좋은사람들등이다.

이중에 제약 업종에 속한 종목이 5개 포함되어 있다.

코오롱생명과학, CJ ENM, 차바이오텍 등은 전일 대비 주가가 상승했고, 서울반도체, 오스코텍, 바이로메드 등은 주가가 하락했다.

[02월26일]코스닥 외국인 순매수 상위 종목



한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
코오롱생명과학,데일리안,2019.03.11. 오전 10:20,"코오롱생명과학, KLS-2031 FDA 임상1상·2a상 IND 승인","코오롱생명과학은 신경병증성 통증 유전자 치료제인 KLS-2031(이하 KLS-2031)의 미국 1상, 2a상 임상 진행을 위한 FDA의 IND 승인이 완료했다고 11일 밝혔다.

신경병증성 통증 유전자치료제인 ‘KLS-2031’은 세계 최초 골관절염 세포유전자치료제인 ‘인보사’의 후속 파이프라인으로 기존 신경병증성 통증 치료 방식과는 달리 유전자를 이용한 주사 요법의 치료제다.

신경병증성 통증이란 신체의 손상이 아닌 신경계의 손상이나 기능적 이상으로 발생하는 통증을 말한다. 난치성이며 만성적으로 오래 지속되는 특성이 있으며 일반인의 경우 통증으로 느끼지 못하는 자극이지만 환자들에게는 극심한 고통을 주는 감각신경계 질환이다.

‘KLS-2031’은 2개의 ‘아데노 부속 바이러스 전달체(AAV vector)’에 3개의 치료 유전자(GAD65, GDNF, IL-10)를 탑재한 유전자치료제다.

첫 번째 전달체에는 ‘GAD65’유전자를 탑재해 뇌로 가는 통증신호를 억제하는 작용을 하며 두 번째 전달체에는 ‘GDNF’와 ‘IL-10’ 유전자를 탑재해 각각 손상된 신경을 보호하고 염증을 막는 작용을 하게 된다.

시술방식은 1회 국소 주사로 진통 효능이 장기간 지속되도록 개발됐으며 기존의 치료제로는 효과를 보지 못하는 신경병증성 통증을 겪고 있는 환자들을 타깃으로 하고 있다.

코오롱생명과학이 미국에서 진행 할 이번 1상·2a상의 계획은 미국 2개 임상기관을 통해 안전성 및 유효성 평가를 목적으로 연내에 임상을 개시할 예정이며, 시험대상은 18명으로 투약 후 24개월 관찰을 할 계획이다.

이우석 코오롱생명과학 대표는 “세계 최초 골관절염 유전자치료제인 인보사의 성공적인 상업화 이후 후속파이프라인으로 연구·개발 중인 KLS-2031의 미국 FDA의 임상승인은 코오롱생명과학이 글로벌시장에서 유전자치료 전문기업으로 인정받고, 국내의 최첨단 유전자 연구수준을 해외 바이오시장에 한층 더 알릴 수 있는 긍정적인 기회가 될 것”이라고 밝혔다.

데일리안 최승근 기자 (csk3480@dailian.co.kr)

ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지"
코오롱생명과학,이데일리,2019.03.11. 오전 10:27,"코오롱생명과학, 인보사 후속 먹거리 통증치료제 美 임상 돌입","KLS-2031, FDA 임상1상/2a상 IND 승인
신경병증성 통증 유전자치료제로 미국 시장 새 도전
미국서 18명 대상 임상 시작…24개월 동안 관찰 예정
코오롱생명과학 약리독성팀 연구원이 분석기기를 들여다 보고 있다.(사진=코오롱생명과학)
[이데일리 김지섭 기자] 코오롱생명과학(102940)이 세계 최초 골관절염 세포유전자치료제 ‘인보사’의 후속 신약 개발에 나서고 있다.

코오롱생명과학은 신경병증성 통증 유전자 치료제 ‘KLS-2031’의 미국 1상/2a상 임상을 위한 미국 식품의약국(FDA)의 임상시험계획(IND) 신청을 완료했다고 11일 밝혔다.

신경병증성 통증 유전자치료제 KLS-2031은 기존 신경병증성 통증 치료 방식과 달리 유전자를 이용한 주사 요법의 치료제다. 코오롱생명과학은 인보사 출시 이후 유전자치료 전문기업으로 거듭나기 위한 새로운 도전을 시작한다는 계획이다.

신경병증성 통증이란 신체 손상이 아닌 신경계의 손상이나 기능적 이상으로 발생하는 통증을 말한다. 난치성이며 만성적으로 오래 지속되는 특성이 있으며 일반인의 경우 통증으로 느끼지 못하는 자극이지만 환자들에게는 극심한 고통을 주는 감각신경계 질환이다.

KLS-2031은 2개의 ‘아데노 부속 바이러스 전달체’(AAV vector)에 3개의 치료 유전자(GAD65, GDNF, IL-10)를 탑재한 유전자치료제다. 첫 번째 전달체에는 GAD65유전자를 탑재해 뇌로 가는 통증신호를 억제하는 작용을 하며 두 번째 전달체에는 ‘GDNF’와 ‘IL-10’ 유전자를 탑재해 각각 손상된 신경을 보호하고 염증을 막는 작용을 하게 된다. 이를통해 통증 완화효과를 기대할 수 있다. 시술방식은 1회 국소 주사로 진통 효능이 장기간 지속되도록 개발했으며, 기존의 치료제로는 효과를 보지 못하는 신경병증성 통증을 겪고있는 환자들을 대상으로 하고 있다.

코오롱생명과학은 이번 미국 1상/2a상에서 미국 2개 임상기관을 통해 안전성·유효성을 평가할 예정이다. 올해 18명을 대상으로 투약 후 24개월 관찰을 진행한다.

이우석 코오롱생명과학 대표는 “인보사의 성공적인 상업화 이후 후속파이프라인으로 개발중인 KLS-2031의 미국 임상승인은 당사가 글로벌시장에서 유전자치료 전문기업으로 인정받고, 국내의 최첨단 유전자 연구수준을 해외 바이오시장에 한층 더 알릴수 있는 긍정적인 기회가 될 것”이라고 밝혔다.

한편 KLS-2031 연구는 보건복지부 및 과학기술정보통신부가 공동출연해 2015년부터 3년간 지원하는 ‘글로벌 첨단바이오 의약품 기술 개발 사업과제 지원’으로 수행했다.

김지섭 (cloud50@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 기사 보려면 [구독하기▶]
꿀잼가득 [영상보기▶] , 빡침해소!청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
코오롱생명과학,파이낸셜뉴스,2019.03.11. 오전 10:34,"코오롱생명과학, 신경병증성 통증 유전자치료제 미 FDA 임상승인","신경병증성 모델(SNI)에서 통증이 유발된 실험용 쥐가 KLS-2031 투여 후 정상적으로 통증자극을 인식하고 있다.


코오롱생명과학은 신경병증성 통증 유전자 치료제인 'KLS-2031'의 미국 1상/2a상 임상 진행을 위한 미국 식품의약국(FDA)의 임상시험계획승인신청(IND)을 완료했다고 11일 밝혔다.

'KLS-2031'은 세계 최초 골관절염 세포유전자치료제인 '인보사'의 후속 파이프라인으로 기존 신경병증성 통증 치료 방식과는 달리 유전자를 이용한 주사 요법의 치료제다.

신경병증성 통증이란 신체의 손상이 아닌 신경계의 손상이나 기능적 이상으로 발생하는 통증을 말한다. 난치성이며 만성적으로 오래 지속되는 특성이 있으며 일반인의 경우 통증으로 느끼지 못하는 자극이지만 환자들에게는 극심한 고통을 주는 감각신경계 질환이다.

'KLS-2031'은 2개의 '아데노 부속 바이러스 전달체 (AAV vector)'에 3개의 치료 유전자(GAD65, GDNF, IL-10)를 탑재한 유전자치료제다. 첫 번째 전달체에는 'GAD65'유전자를 탑재해 뇌로 가는 통증신호를 억제하는 작용을 하며 두 번째 전달체에는 'GDNF'와 'IL-10' 유전자를 탑재해 각각 손상된 신경을 보호하고 염증을 막는 작용을 하게 된다.

이를 통해 통증 완화효과를 기대할 수 있게 된다. 시술방식은 1회 국소 주사로 진통 효능이 장기간 지속되도록 개발됐으며 기존 치료제로는 효과를 보지 못하는 신경병증성 통증을 겪고있는 환자들을 타겟으로 하고 있다.

코오롱생명과학이 미국에서 진행 할 이번 1상/2a상의 계획은 미국 2개 임상기관을 통해 안전성 및 유효성 평가를 목적으로 2019년도 내에 임상을 개시할 예정이다. 시험대상은 18명으로 투약 후 24개월 관찰하게 된다.

코오롱생명과학의 이우석 대표는 ""이번 미 FDA의 임상승인으로 코오롱생명과학이 글로벌시장에서 유전자치료 전문기업으로 인정받을 것으로 기대된다""며 ""국내의 최첨단 유전자 연구수준을 해외 바이오시장에 한층 더 알릴수 있는 긍정적인 기회가 될 것""이라고 밝혔다.

'KLS-2031' 연구는 유전자치료제 분야 등 국내기업의 글로벌 도약을 위해 보건복지부 및 과학기술정보통신부가 공동출연해 2015년부터 3년간 지원하는 '글로벌 첨단바이오 의약품 기술 개발 사업과제 지원'으로 수행됐다.

pompom@fnnews.com 정명진 기자

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
