종목명,신문사,시간,제목,본문
셀루메드,한국경제,2019.06.26. 오전 4:35,[코스닥 증자공시] (25일) 셀루메드,"▲셀루메드=기업은행 상대로 9억원 규모 제3자배정 유상증자.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
셀루메드,머니투데이,2019.07.03. 오후 5:27,"셀루메드, 39억 규모 산업부 국책과제 주관기관 선정","[머니투데이 이재원 기자] 셀루메드는 총사업비 39억3988만원 규모의 산업통상자원부 산업기술혁신 신규과제의 국책과제 주관기관으로 선정됐다고 3일 공시했다.

과제명은 '만성창상 환자의 피부재생 촉진 및 영구생착 유도를 위한 인공 피부 및 피부재생촉진시스템의 개발'이다. 수행기간은 2022년 12월31일까지다.

총 사업비 39억3988만원 가운데 정부출연금은 27억원이다.

회사 측은 ""전 세계적으로 피부질환이나 장기입원환자의 욕창, 피부염 등의 만성피부궤양으로 고생하는 환자가 증가하고 있는 추세""라며 ""본 과제에서 개발될 인공피부는 영구 생착이 가능한 인공피부로, 기존의 동종 진피 조직이나 돼지 진피 조직을 대체할 수 있을 것으로 기대된다""고 밝혔다.

이재원 기자 jaygoo@mt.co.kr

▶이코노미스트들의 투자칼럼
▶조 변호사의 가정상담소 ▶더 많은 기사 보러가기

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
셀루메드,파이낸셜뉴스,2019.07.03. 오후 5:45,"[공시] 셀루메드, 39억원 규모 산업부 국책과제 기관 선정","셀루메드는 총사업비 39억3988만원 규모의 산업통상자원부 산업기술혁신 신규과제의 국책과제 주관기관으로 선정됐다고 3일 공시했다.

과제명은 '만성창상 환자의 피부재생 촉진 및 영구생착 유도를 위한 인공 피부 및 피부재생촉진시스템의 개발'이며, 수행기간은 2022년 12월31일까지다.

회사 측은 ""해당 과제를 통해 인공피부 및 피부재생 촉진 시스템 소재를 개발하고, 국내임상시험을 거처 OECD 기준에 충족하는 안전성, 유효성 심사를 입증할 것""이라며 ""국내 허가와 미국 FDA, 유럽 CE 인증, 그리고 향후 관련 제품 등의 국내외 매출을 통해 경제적 이익을 창출하고 양질의 의료서비스를 제공할 것""이라고 밝혔다.

map@fnnews.com 김정호 기자

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
셀루메드,뉴시스,2019.07.03. 오후 5:50,"[공시]셀루메드, 39억 규모 산업부 국책과제 주관기관 선정","【서울=뉴시스】류병화 기자 = 코스닥 상장사 셀루메드(049180)는 산업통상자원부 산업기술혁신사업 신규과제인 '만성창상 환자의 피부재생 촉진 및 영구생착 유도를 위한 인공 피부 및 피부재생촉진 시스템 개발' 국책과제 주관기관으로 선정됐다고 3일 공시했다.

총사업비는 정부출연금 27억원을 포함한 39억3988만6000원이다. 수행기간은 지난달 1일부터 오는 2022년 12월31일까지다.

회사 측은 ""이번 과제에서 개발될 인공피부는 영구 생착이 가능해 기존의 동종 진피 조직이나 돼지 진피 조직을 대체할 수 있을 것""이라며 ""피부재생 촉진 기기는 보조적으로 영구생착이 가능할 것으로 예상한다""고 밝혔다.

hwahwa@newsis.com

▶ 네이버에서 뉴시스 채널 구독하기

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
셀루메드,이데일리,2019.07.03. 오후 6:39,"셀루메드, 39억 규모 산업부 국책과제 주관기관에 선정","[이데일리 권효중 기자] 셀루메드(049180)는 총사업비 약 39억원 규모의 산업통상자원부 산업기술혁신 신규과제의 국책과제 주관기관으로 선정됐다고 3일 공시했다.

과제명은 ‘만성창상 환자의 피부재생 촉진 및 영구생착 유도를 위한 인공 피부 및 피부재생촉진시스템의 개발’이며, 수행기간은 2022년 12월31일까지다.

권효중 (khjing@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]
꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
셀루메드,이데일리,2019.08.06. 오후 5:59,"셀루메드, 환경플랜트업체 해창 주식 643만주 48억에 취득","[이데일리 유현욱 기자] 셀루메드(049180)는 사업다각화를 위해 환경플랜트사업을 영위하는 해창 주식 643만주(지분 17.7%)를 48억원에 취득하기로 했다고 6일 공시했다. 셀루메드가 기존에 보유한 해창 주식은 없다. 거래대금은 전환사채를 발행해 지급할 예정이다.

유현욱 (fourleaf@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]
꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
셀루메드,머니투데이,2019.08.06. 오후 6:04,"셀루메드, 해창 주식 643만주 취득 결정","[머니투데이 정혜윤 기자] 셀루메드는 사업다각화를 위해 해창 주식 643만3334주를 취득하기로 결정했다고 6일 공시했다. 취득금액은 48억2500만원으로 자기자본 대비 20.96%에 해당한다. 취득 방식은 현물 취득(전환사채권지급) 방법이다.

정혜윤 기자 hyeyoon12@

▶주식투자 감 잡고 싶다면 [재테크 칼럼]
▶바람 피운 배우자 4가지 징후 [변호사 가사상담]
▶주요 이슈만 콕콕! 머니투데이 뉴스 보기

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
셀루메드,아시아경제,2019.08.06. 오후 6:09,"셀루메드, 63억원 규모 전환사채 발행","[아시아경제 이종길 기자]셀루메드는 무기명식 이권부 무보증 사모 전환사채를 발행한다고 6일 공시했다. 회사 측은 ""타법인 증권 취득자금 48억원과 운영자금 15억원 등 모두 63억원을 조달하기 위한 결정""이라고 설명했다.

이종길 기자 leemean@asiae.co.kr

▶ 영상 보고 #애플워치 #마샬 스피커 Get!
▶ 경제 감각을 키우고 싶다면? ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
셀루메드,뉴시스,2019.08.07. 오전 9:20,"[특징주]셀루메드, 63억 규모 전환사채 발행 소식에 주가 강세","【서울=뉴시스】김제이 기자 = 셀루메드가 타법인 취득 자금과 운영자금 조달을 위해 63억원 규모의 전환사채를 발행한다고 밝히자 주가가 오름세를 보이고 있다.

7일 오전 9시12분 현재 코스닥시장에서 셀루메드(049180)는 전일 대비 160원(3.01%) 오른 5470원을 가리키고 있다. 사업 다각화 등을 위한 자금조달 소식이 투자심리에 영향을 미친 걸로 보인다.

전날 셀루메드는 사업다각화를 위해 해창 주식 643만3334주를 취득하기로 결정했다고 공시했다. 취득금액은 48억2500만원으로 자기자본 대비 20.96%에 해당한다. 취득 방식은 현물 취득(전환사채권지급) 방법이다.

아울러 타법인 취득 자금 48억원과 운영자금 15억원 등 63억원의 금액을 조달하기 위해 무기명식 이권부 무보증 사모 전환사채를 발행한다고 추가 공시했다.

jey@newsis.com

▶ 네이버에서 뉴시스 채널 구독하기

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
셀루메드,한국경제TV,2019.08.21. 오전 9:16,"셀루메드, 전일대비 +21.13%... 이평선 역배열 상황에서 반등 시도","[한국경제TV 라이온봇 기자]
개장 초반부터 의료기기, 위생용품 등의 제조 및 판매 업체인 셀루메드(049180)가 급등세를 나타내고 있다.
보합으로 출발한 주가는 꾸준히 올라 오전 9시 16분 현재 전일대비 21.13% 수준인 6420원을 기록하고 있다.
차트를 살펴보면 5일, 20일, 60일 이동평균선이 역배열인 상황에서 반등흐름이 나와 주가가 20일선을 넘어서는 모습이다.

거래량은 전거래일 대비 74.31% 수준인 12만1693주를 넘어서고 있다.
이 종목 전체 주식수의 0.59%에 해당하는 물량이다.

[그래프]셀루메드 일봉 차트


[표] 거래원 상위(09:16 기준)
셀루메드


라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
