종목명,신문사,시간,제목,본문
픽셀플러스,조선비즈,2019.11.14. 오전 10:40,"픽셀플러스, +6.53% 상승폭 확대","픽셀플러스(087600)가 상승폭을 확대하고 있다. 전일 대비 6.53% 상승한 5,140원에 거래되고 있다.


픽셀플러스 연관 테마
유니트론텍(142210), 삼화콘덴서(001820), 모바일어플라이언스(087260), 텔레칩스(054450), 모트렉스(118990), 만도(204320), THE MIDONG(161570), 유니퀘스트(077500), 에이스테크(088800), 캠시스(050110), 이에스브이(223310), 유비벨록스(089850), 팅크웨어(084730), 픽셀플러스(087600), 한컴MDS(086960), 인포뱅크(039290), 켐트로닉스(089010), 삼보모터스(053700), 세종공업(033530), 엔지스테크널러지(208860), 앤씨앤(092600), 라닉스, 코리아에프티(123410)

픽셀플러스의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 782주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 0.10% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com"
픽셀플러스,조선비즈,2019.12.27. 오전 11:12,"픽셀플러스, +1.23% 상승폭 확대","픽셀플러스(087600)가 상승폭을 확대하고 있다. 전일 대비 1.23% 상승한 4,130원에 거래되고 있다.


픽셀플러스 연관 테마
유니트론텍(142210), 삼화콘덴서(001820), 모바일어플라이언스(087260), 텔레칩스(054450), 모트렉스(118990), 만도(204320), THE MIDONG(161570), 유니퀘스트(077500), 에이스테크(088800), 캠시스(050110), 이에스브이(223310), 유비벨록스(089850), 팅크웨어(084730), 픽셀플러스(087600), 한컴MDS(086960), 인포뱅크(039290), 켐트로닉스(089010), 삼보모터스(053700), 세종공업(033530), 엔지스테크널러지(208860), 앤씨앤(092600), 라닉스, 코리아에프티(123410)

픽셀플러스의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 287주를 순매도했으며, 기관은 14,504주를 순매수 했다. 같은 기간 주가는 1.92% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com

[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]"
픽셀플러스,국민일보,2020.01.10. 오후 2:18,"픽셀플러스, 특별관계자 지분변동","픽셀플러스는 CHARLES SCHWAB &CO.,INC 및 특별관계자의 지분율이 5.15%에서 3.88%로 변동했다고 10일 공시했다. 한편, 픽셀플러스의 14시 16분 현재주가는 4,045원으로 직전 거래일 대비 45원(-1.1%) 하락이며, 거래량은 8,014주이다.



공시 전문으로 이동

* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
픽셀플러스,조선비즈,2020.02.03. 오전 9:06,"픽셀플러스, -5.42% VI 발동","픽셀플러스(087600)가 VI가 발동했다. 전일 대비 5.42% 하락한 3,400원에 거래되고 있다.


픽셀플러스 연관 테마
유니트론텍(142210), 삼화콘덴서(001820), 모바일어플라이언스(087260), 텔레칩스(054450), 모트렉스(118990), 만도(204320), THE MIDONG(161570), 유니퀘스트(077500), 에이스테크(088800), 캠시스(050110), 이에스브이(223310), 유비벨록스(089850), 팅크웨어(084730), 픽셀플러스(087600), 한컴MDS(086960), 인포뱅크(039290), 켐트로닉스(089010), 삼보모터스(053700), 세종공업(033530), 엔지스테크널러지(208860), 앤씨앤(092600), 라닉스, 코리아에프티(123410)

픽셀플러스의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 4,489주를 순매도했으며, 기관은 4,000주를 순매도 했다. 같은 기간 주가는 8.64% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
픽셀플러스,조선비즈,2020.02.03. 오전 9:10,"픽셀플러스, -5.01% 상승폭 확대","픽셀플러스(087600)가 상승폭을 확대하고 있다. 전일 대비 5.01% 하락한 3,415원에 거래되고 있다.


픽셀플러스 연관 테마
유니트론텍(142210), 삼화콘덴서(001820), 모바일어플라이언스(087260), 텔레칩스(054450), 모트렉스(118990), 만도(204320), THE MIDONG(161570), 유니퀘스트(077500), 에이스테크(088800), 캠시스(050110), 이에스브이(223310), 유비벨록스(089850), 팅크웨어(084730), 픽셀플러스(087600), 한컴MDS(086960), 인포뱅크(039290), 켐트로닉스(089010), 삼보모터스(053700), 세종공업(033530), 엔지스테크널러지(208860), 앤씨앤(092600), 라닉스, 코리아에프티(123410)

픽셀플러스의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 4,489주를 순매도했으며, 기관은 4,000주를 순매도 했다. 같은 기간 주가는 8.64% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
픽셀플러스,한국경제TV,2020.02.03. 오전 9:13,"픽셀플러스, 전일대비 -10.99% 장중 하락세... 이 시각 1만1868주 거래","[한국경제TV 라이온봇 기자]
픽셀플러스


3일 개장초, CMOS 이미지센서 설계 전문업체인 픽셀플러스(087600)가 크게 하락했다.
-5.15% 하락출발한 주가는 장중 한 때, 3560원(-0.97%)까지 상승하였지만 다시 하락하여 현재는 -10.99% 하락한 3200원을 기록하고 있다.

거래량은 1만1868주로 전거래일 대비 48.38% 수준이다.
이는 픽셀플러스 전체 주식수의 0.15%에 해당하는 물량이다.

[그래프]픽셀플러스 일봉 차트


[표] 거래원 상위(09:12 기준)
픽셀플러스


이 시각 거래소에서 픽셀플러스 이외에도 컨버즈(-12.82%), 화신테크(-10.88%), 모베이스(-10.32%), 유비벨록스(-10.52%), 썬텍(-86.5%) 등이 하락세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶[이벤트] 한국경제TV 채널설정하면 LG노트북·안마의자 쏩니다!
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
픽셀플러스,국민일보,2020.02.03. 오후 5:58,픽셀플러스 거래정지,"한국거래소는 코스닥 상장기업인 픽셀플러스에 대해 2월 3일부터 장종료시까지 보통주에 대한 주권매매 거래정지를 조치한다고 3일 공시했다.

이번 주권매매 거래정지 사유는 관리종목지정우려이다.

한편, 픽셀플러스는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 3,555원, 거래량은 37,075주로, 직전 거래일 대비 40원(-1.11%) 하락했다.

공시 전문으로 이동

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
픽셀플러스,한국경제,2020.02.04. 오전 3:53,[코스닥 기업공시] (3일) 픽셀플러스,"▲픽셀플러스=4사업연도 연속 영업손실로 관리종목 지정 또는 상장폐지 사유 발생.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
픽셀플러스,조선비즈,2020.02.04. 오전 10:31,"픽셀플러스, -8.72% VI 발동","픽셀플러스(087600)가 VI가 발동했다. 전일 대비 8.72% 하락한 3,245원에 거래되고 있다.


픽셀플러스 연관 테마
유니트론텍(142210), 삼화콘덴서(001820), 모바일어플라이언스(087260), 텔레칩스(054450), 모트렉스(118990), 만도(204320), THE MIDONG(161570), 유니퀘스트(077500), 에이스테크(088800), 캠시스(050110), 이에스브이(223310), 유비벨록스(089850), 팅크웨어(084730), 픽셀플러스(087600), 한컴MDS(086960), 인포뱅크(039290), 켐트로닉스(089010), 삼보모터스(053700), 세종공업(033530), 엔지스테크널러지(208860), 앤씨앤(092600), 라닉스, 코리아에프티(123410)

픽셀플러스의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 4,491주를 순매도했으며, 기관은 5,010주를 순매도 했다. 같은 기간 주가는 6.57% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
픽셀플러스,조선비즈,2020.02.06. 오전 9:35,"픽셀플러스, +9.90% 상승폭 확대","픽셀플러스(087600)가 상승폭을 확대하고 있다. 전일 대비 9.90% 상승한 3,885원에 거래되고 있다.


픽셀플러스 연관 테마
유니트론텍(142210), 삼화콘덴서(001820), 모바일어플라이언스(087260), 텔레칩스(054450), 모트렉스(118990), 만도(204320), THE MIDONG(161570), 유니퀘스트(077500), 에이스테크(088800), 캠시스(050110), 이에스브이(223310), 유비벨록스(089850), 팅크웨어(084730), 픽셀플러스(087600), 한컴MDS(086960), 인포뱅크(039290), 켐트로닉스(089010), 삼보모터스(053700), 세종공업(033530), 엔지스테크널러지(208860), 앤씨앤(092600), 라닉스, 코리아에프티(123410)

픽셀플러스의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 405주를 순매도했으며, 기관은 16,839주를 순매도 했다. 같은 기간 주가는 4.46% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
