종목명,신문사,시간,제목,본문
파나진,한국경제TV,2019.09.30. 오전 9:50,"파나진, 장시작 후 꾸준히 올라 +14.86%... 이평선 역배열 상황에서 반등 시도","[한국경제TV 라이온봇 기자]
파나진


개장 초반부터 유전자 진단칩 개발 및 제조 판매회사인 파나진(046210)이 급등세를 나타내고 있다.
3.09% 상승출발한 주가는 장중 한 때, 2570원(-0.77%)까지 하락하였지만 다시 회복하여 현재는 14.86% 상승한 2975원을 기록하고 있다.
차트를 살펴보면 5일, 20일, 60일 이동평균선이 역배열인 상황에서 반등흐름이 나와 주가가 20일선을 넘어서는 모습이다.

거래량은 전거래일 대비 165.85% 수준인 4만7356주를 넘어서고 있다.
이 종목 전체 주식수의 0.15%에 해당하는 물량이다.

[그래프]파나진 일봉 차트


[표] 거래원 상위(09:50 기준)
파나진


이 시각 거래소에서 파나진 이외에도 나노브릭(10.19%), 에이치엘비파워(10.29%), 나노캠텍(10.48%), 대성엘텍(11.17%), 에이치엘비생명과학(21.1%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
파나진,한국경제,2019.09.30. 오전 9:53,"'파나진' 10% 이상 상승, 주가 반등 시도, 단기·중기 이평선 역배열","◆ 차트 분석
- 주가 반등 시도, 단기·중기 이평선 역배열
차트상 주가의 흐름은 단기·중기 역배열 구간에서 하락세가 이어지다가 오늘 반등의 모습을 보여주고 있다.

이 종목의 차트에서 최근에 주가 5MA 상향돌파, 최근 5일 매물대 돌파 등을 확인할 수 있다

[그래프]파나진 차트 분석


◆ 주체별 매매동향
- 기관 3일 연속 순매도(50주)
지난 한달을 기준으로 보면 기관이 190주를 순매수했고, 개인들도 3,667주를 순매수했다. 반면 그동안 외국인은 4,257주를 순매도했다. 같은 기간 개인의 거래 비중이 90.2%로 가장 높았고, 기관은 거래에 거의 참여하지 않은 것으로 보인다
한편 기관은 이 종목에 대해서 최근 3일 연속 50주 순매도를 하고 있다.

[그래프]파나진 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
파나진,파이낸셜뉴스,2019.10.16. 오전 9:41,"파나진 '파나뮤타이퍼 R EGFR' 진단키트, 표적항암제 처방 위한 동반진단 허가 획득","[파이낸셜뉴스] 유전자진단 전문기업 파나진은 '파나뮤타이퍼 R EGFR(PANA MutyperTM R EGFR) 진단키트’에 대해 식품의약품안전처로부터 비소세포성 폐암 표적치료제인 ‘타쎄바(Taseva)’와 ‘타그리소(Tagrisso)’의 처방을 위한 동반진단 의료기기(3등급) 품목 허가를 받았다고 16일 밝혔다.

이번 허가는 동반진단을 도입한 정부 정책에 부응해 추가 임상시험을 거쳐 ‘1, 3세대 EGFR 표적치료제인 ‘타세바’와 ‘타그리소’의 처방을 위한 비소세포성 폐암 환자 선별’을 돕는 동반진단 사용 목적을 추가로 인정받은 것이다.

'파나뮤타이퍼 R EGFR 진단키트’는 폐암 환자의 조직 및 혈액 검체를 대상으로 47개 EGFR 유전자 돌연변이(exon 18, 19, 20, 및 21)를 정성 검출하는 제품이다.

파나진 관계자는 “파나뮤타이퍼 R EGFR 진단키트는 동반진단 제도가 도입되기 전인 2017년 파나진의 독자적인 플랫폼 기술로 개발해 출시한 제품”이라며, “전 세계 1위 진단기업과의 경쟁 속에서도 국내외 여러 주요 병원에서 성능을 인정받아 꾸준히 사용되며 우리 기술의 우수성을 입증하고 있다”고 설명했다.

또한, “당사는 맞춤치료와 동반진단이라는 최근 트렌드에 발 맞춰 계속 진화하는 플랫폼 기술과 제품을 개발하며 종양 관련 진단 산업의 글로벌 리더로 발돋움하고자 최선을 다하고 있다”고 덧붙였다.

dschoi@fnnews.com 최두선 기자

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
파나진,한국경제TV,2019.10.16. 오전 9:44,"파나진, 장시작 후 꾸준히 올라 +10.07%... 이평선 역배열 상황에서 반등 시도","[한국경제TV 라이온봇 기자]
파나진


장 시작부터 유전자 진단칩 개발 및 제조 판매회사인 파나진(046210)이 높은 상승세를 보이고 있다.
0.75% 상승출발한 주가는 장중 한 때, 2560원(-4.48%)까지 하락하였지만 다시 회복하여 현재는 10.07% 상승한 2950원을 기록하고 있다.
차트를 살펴보면 5일, 20일, 60일 이동평균선이 역배열인 상황에서 주가가 60일선까지 뚫으며 강한 상승 흐름을 보여주고 있다.

거래량은 전거래일 대비 513.85% 수준인 21만3812주를 넘어서고 있다.
이 종목 전체 주식수의 0.67%에 해당하는 물량이다.

[그래프]파나진 일봉 차트


[표] 거래원 상위(09:44 기준)
파나진


이 시각 거래소에서 파나진 이외에도 에이치엘비파워(10.15%), 이니텍(15.8%), 원풍물산(15.35%), 자이글(10.46%), 디자인(11.34%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
파나진,한국경제,2019.10.16. 오전 9:47,"'파나진' 10% 이상 상승, 외국인, 기관 각각 3일 연속 순매수, 9일 연속 순매도","◆ 주체별 매매동향
- 외국인, 기관 각각 3일 연속 순매수, 9일 연속 순매도
지난 한달을 기준으로 보면 외국인이 7,428주를 순매수했고, 기관도 193주를 순매수했다. 반면 개인들은 7,951주를 순매도한 것으로 나타났다. 같은 기간 개인의 거래 비중이 89.8%로 가장 높았고, 기관은 거래에 거의 참여하지 않은 것으로 보인다
한편 외국인과 기관은 이 종목에 대해서 각각 최근 3일 연속 순매수, 9일 연속 순매도 행진을 벌이고 있다.

[그래프]파나진 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
파나진,뉴시스,2019.10.16. 오전 11:07,"파나진 ""표적 항암제 처방 위한 허가 획득""","【서울=뉴시스】 파나진 CI (사진=파나진)


【서울=뉴시스】하종민 기자 = 유전자진단 전문기업 파나진(046210)은 '파나뮤타이퍼 R EGFR(PANA MutyperTM R EGFR) 진단키트’에 대해 식품의약품안전처로부터 비소세포성 폐암 표적치료제인 ‘타쎄바(Taseva)’와 ‘타그리소(Tagrisso)’의 처방을 위한 동반진단 의료기기(3등급) 품목 허가를 받았다고 16일 밝혔다.

이번 허가는 동반진단을 도입한 정부 정책에 부응해 추가 임상시험을 거쳐 1, 3세대 EGFR 표적치료제인 ‘타세바’와 ‘타그리소’의 처방을 위한 비소세포성 폐암 환자 선별’을 돕는 동반진단 사용 목적을 추가로 인정받은 것이다.

'파나뮤타이퍼 R EGFR 진단키트’는 폐암 환자의 조직 및 혈액 검체를 대상으로 47개 EGFR 유전자 돌연변이(exon 18, 19, 20, 및 21)를 정성 검출하는 제품이다.

파나진 관계자는 “파나뮤타이퍼 R EGFR 진단키트는 동반진단 제도가 도입되기 전인 2017년 파나진의 독자적인 플랫폼 기술로 개발해 출시한 제품”이라며 “전 세계 1위 진단기업과의 경쟁 속에서도 국내외 여러 주요 병원에서 성능을 인정받아 꾸준히 사용되며 우리 기술의 우수성을 입증하고 있다”고 설명했다.

또한 “맞춤치료와 동반진단이라는 최근 트렌드에 발 맞춰 계속 진화하는 플랫폼 기술과 제품을 개발하며 종양 관련 진단 산업의 글로벌 리더로 발돋움하고자 최선을 다하고 있다”고 덧붙였다.

hahaha@newsis.com

▶K-Artprice 오픈! 미술품 가격정보 한눈에 보세요

▶ 네이버에서 뉴시스 채널 구독하기

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
파나진,매일경제,2019.10.16. 오전 11:36,"파나진 `파나뮤타이퍼 R EGFR 진단키트`, 표적 항암제 처방 위한 동반진단 허가 획득","유전자진단 전문기업 파나진은 '파나뮤타이퍼 R EGFR 진단키트'가 식품의약품안전처로부터 비소세포성 폐암 표적치료제인 '타쎄바(Taseva)'와 '타그리소(Tagrisso)' 처방을 위한 동반진단 의료기기(3등급) 품목 허가를 받았다고 16일 밝혔다.

이번 허가는 동반진단을 도입한 정부 정책에 부응해 추가 임상시험을 거쳐 1·3세대 EGFR 표적치료제인 '타세바'와 '타그리소' 처방을 위한 비소세포성 폐암 환자 선별'을 돕는 동반진단 사용 목적을 추가로 인정받은 것이다.

파나뮤타이퍼 R EGFR 진단키트는 폐암 환자의 조직 및 혈액 검체를 대상으로 47개 EGFR 유전자 돌연변이를 정성 검출하는 제품이다.

파나진 관계자는 ""파나뮤타이퍼 R EGFR 진단키트는 동반진단 제도가 도입되기 전인 2017년 파나진의 독자적인 플랫폼 기술로 개발해 출시한 제품""이라며 ""국내외 여러 병원에서 성능을 인정받아 기술의 우수성을 입증하고 있다""고 말했다.

[김병호 기자]

▶네이버 메인에서 '매일경제'를 받아보세요
▶뉴스레터 '매콤달콤' 구독 ▶무궁무진한 프리미엄 읽을거리
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
파나진,매일경제,2019.10.16. 오전 11:55,"파나진 파나뮤타이퍼 R EGFR 진단키트, 표적 항암제 처방 위한 동반진단 허가 획득","사진 제공 = 파나진
유전자진단 전문기업 파나진은 '파나뮤타이퍼 R EGFR(PANA MutyperTM R EGFR) 진단키트'에 대해 식품의약품안전처로부터 비소세포성 폐암 표적치료제인 '타쎄바(Taseva)'와 '타그리소(Tagrisso)'의 처방을 위한 동반진단 의료기기(3등급) 품목 허가를 받았다고 16일 밝혔다.

이번 허가는 동반진단을 도입한 정부 정책에 부응해 추가 임상시험을 거쳐 '1, 3세대 EGFR 표적치료제인 '타세바'와 '타그리소'의 처방을 위한 비소세포성 폐암 환자 선별'을 돕는 동반진단 사용 목적을 추가로 인정받은 것이다.

파나뮤타이퍼 R EGFR 진단키트는 폐암 환자의 조직 및 혈액 검체를 대상으로 47개 EGFR 유전자 돌연변이(exon 18, 19, 20, 및 21)를 정성 검출하는 제품이다.

파나진 관계자는 ""파나뮤타이퍼 R EGFR 진단키트는 동반진단 제도가 도입되기 전인 2017년 파나진의 독자적인 플랫폼 기술로 개발해 출시한 제품""이라며, ""전 세계 1위 진단기업과의 경쟁 속에서도 국내외 여러 주요 병원에서 성능을 인정받아 꾸준히 사용되며 우리 기술의 우수성을 입증하고 있다""고 설명했다.

[디지털뉴스국 김경택 기자]

▶네이버 메인에서 '매일경제'를 받아보세요
▶뉴스레터 '매콤달콤' 구독 ▶무궁무진한 프리미엄 읽을거리
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
파나진,아시아경제,2019.10.31. 오전 10:48,"파나진, ‘HPV 스크리닝 진단키트’ 식약처 허가 획득","[아시아경제 유현석 기자] 유전자 진단 전문기업 파나진은 ‘인유두종 바이러스 스크리닝 진단키트(PANARealtyperTM HPV screening Kit)’에 대해 식품의약품안전처로부터 의료기기 품목 허가를 받았다고 31일 밝혔다.

파나리얼타이퍼 HPV 스크리닝 검사키트는 실시간 중합효소 연쇄반응법(Real-time PCR)으로 정성 검출하는 체외진단분석기용 의료기기다. 한 번의 검사만으로도 자궁경부암을 일으키는 주된 요인인 인유두종 바이러스의 고위험군 14종(HPV 16, 18, HPV 고위험군(31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68))과 백신처방을 위한 저위험군 2종(HPV 6, 11)의 검출이 가능하다.

세계적으로 자궁경부암의 발생 위험성 확인을 위한 선별검사(First-line primary screening test)의 필요성이 대두되고 있다. 기존의 자궁세포검사 방법이 보다 정확하고 민감한 분자진단으로 대체되면서 HPV스크리닝 진단 시장이 더욱 커질 것으로 전망되고 있다는 것이 회사 측의 설명이다.

파나진의 파나리얼타이퍼 HPV 스크리닝 키트는 이러한 추세에 맞춰 해외 시장을 겨냥해 개발한 제품이다. 부담없이 한 번의 반응으로 간편하게 HPV 고위험군을 검출할 수 있어 선별검사에 적합하다.

회사는 향후 우리나라도 전 세계적인 추세와 같이 간편하게 세포검사방법을 대체할 수 있는 스크리닝 키트의 필요성이 증대될 것으로 예상하고 있다. 하지만 현재 국내 임상현장에서의 실질적인 필요성을 감안해 자궁경부암 백신처방의 대상이 되는 HPV 6, 11 등 저위험군도 함께 검출되도록 개발했다.

파나진 관계자는 “성매개감염질환(STD) 진단제품과 함께 이번에 출시한 HPV 스크리닝 제품으로 해외 진출에 본격적으로 나설 계획""이라며 “암 관련 분자진단에서 입증한 파나진의 기술력으로 세계 감염진단 시장에서 인정받도록 최선을 다하겠다”고 포부를 밝혔다.

유현석 기자 guspower@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 초간단 퀴즈 풀고, 아이패드 받자! ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
파나진,뉴시스,2019.10.31. 오전 11:35,"파나진, 'HPV 스크리닝 진단키트' 식약처 허가","【서울=뉴시스】박정규 기자 = 유전자 진단 전문기업 파나진(046210)은 '인유두종 바이러스 스크리닝 진단키트(PANARealtyperTM HPV screening Kit)'에 대해 식품의약품안전처로부터 의료기기 품목 허가를 받았다고 31일 밝혔다.

파나리얼타이퍼 HPV 스크리닝 검사키트는 실시간 중합효소 연쇄반응법(Real-time PCR)으로 정성 검출하는 체외진단분석기용 의료기기다. 한 번의 검사만으로도 자궁경부암을 일으키는 주된 요인인 인유두종 바이러스의 고위험군 14종(HPV 16, 18, HPV 고위험군(31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68))과 백신처방을 위한 저위험군 2종(HPV 6, 11)의 검출이 가능하다.

전 세계적으로 자궁경부암의 발생 위험성 확인을 위한 선별검사(First-line primary screening test)의 필요성이 대두되고 있으며 기존 자궁세포검사 방법이 더 정확하고 민감한 분자진단으로 대체되면서 HPV스크리닝 진단 시장이 커질 것으로 전망되고 있다.

파나진의 파나리얼타이퍼 HPV 스크리닝 키트는 이 같은 추세에 맞춰 해외시장을 겨냥해 개발한 제품으로 한 번의 반응으로 간편하게 HPV 고위험군을 검출할 수 있어 선별검사에 적합하다는 게 회사 측 설명이다.

향후 우리나라도 전 세계적인 추세와 같이 간편하게 세포검사방법을 대체할 수 있는 스크리닝 키트의 필요성이 증대될 것으로 예상하고 있지만 파나진은 현재 국내 임상현장의 실질적인 필요성을 감안해 자궁경부암 백신처방의 대상이 되는 HPV 6, 11 등 저위험군도 함께 검출되도록 개발했다고 전했다.

파나진 관계자는 ""성매개감염질환(STD) 진단제품과 함께 이번에 출시한 HPV 스크리닝 제품으로 해외 진출에 본격적으로 나설 계획""이라며 ""암 관련 분자진단에서 입증한 파나진의 기술력으로 세계 감염진단 시장에서 인정받도록 최선을 다하겠다""고 밝혔다.

pjk76@newsis.com

▶ K-Artprice 모바일 오픈! 미술작품 가격을 공개합니다

▶ 네이버에서 뉴시스 채널 구독하기

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
파나진,매일경제,2019.10.31. 오후 3:36,"파나진, `HPV 스크리닝 진단키트` 식약처 허가 획득","[사진 제공 = 파나진]
유전자 진단 전문기업 파나진은 '인유두종 바이러스 스크리닝 진단키트(PANARealtyperTM HPV screening Kit)'에 대해 식품의약품안전처로부터 의료기기 품목 허가를 받았다고 31일 밝혔다.

파나리얼타이퍼 HPV 스크리닝 검사키트는 실시간 중합효소 연쇄반응법(Real-time PCR)으로 정성 검출하는 체외진단분석기용 의료기기다. 한 번의 검사만으로도 자궁경부암을 일으키는 주된 요인인 인유두종 바이러스의 고위험군 14종(HPV 16, 18, HPV 고위험군(31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68))과 백신처방을 위한 저위험군 2종(HPV 6, 11)의 검출이 가능하다.

전 세계적으로 자궁경부암의 발생 위험성 확인을 위한 선별검사(First-line primary screening test)의 필요성이 대두되고 있으며, 기존의 자궁세포검사 방법이 보다 정확하고 민감한 분자진단으로 대체되면서 HPV스크리닝 진단 시장이 더욱 커질 것으로 전망되고 있다.

파나진의 파나리얼타이퍼 HPV 스크리닝 키트는 이러한 추세에 맞춰 해외 시장을 겨냥해 개발한 제품으로, 부담없이 한 번의 반응으로 간편하게 HPV 고위험군을 검출할 수 있어 선별검사에 적합하다.

회사는 향후 우리나라도 전 세계적인 추세와 같이 간편하게 세포검사방법을 대체할 수 있는 스크리닝 키트의 필요성이 증대될 것으로 예상하고 있지만, 현재 국내 임상현장에서의 실질적인 필요성을 감안해 자궁경부암 백신처방의 대상이 되는 HPV 6, 11 등 저위험군도 함께 검출되도록 개발했다.

파나진 관계자는 ""성매개감염질환(STD) 진단제품과 함께 이번에 출시한 HPV 스크리닝 제품으로 해외 진출에 본격적으로 나설 계획""이라며, ""암 관련 분자진단에서 입증한 파나진의 기술력으로 세계 감염진단 시장에서 인정받도록 최선을 다하겠다""고 말했다.

[디지털뉴스국 김경택 기자]

▶네이버 메인에서 '매일경제'를 받아보세요
▶뉴스레터 '매콤달콤' 구독 ▶무궁무진한 프리미엄 읽을거리
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
파나진,조선비즈,2019.11.05. 오후 1:57,"파나진, +6.71% 상승폭 확대","파나진(046210)이 상승폭을 확대하고 있다. 전일 대비 6.71% 상승한 3,020원에 거래되고 있다.


파나진 연관 테마
랩지노믹스(084650), 테라젠이텍스(066700), 마크로젠(038290), 디엔에이링크(127120), 한독(002390), 파나진(046210), 씨젠(096530), 피씨엘(241820), EDGC(245620)

파나진의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 12,920주를 순매수했으며, 기관은 486주를 순매수 했다. 같은 기간 주가는 11.42% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com"
파나진,조선비즈,2019.11.05. 오후 1:57,"파나진, +8.13% VI 발동","파나진(046210)이 VI가 발동했다. 전일 대비 8.13% 상승한 3,060원에 거래되고 있다.


파나진 연관 테마
랩지노믹스(084650), 테라젠이텍스(066700), 마크로젠(038290), 디엔에이링크(127120), 한독(002390), 파나진(046210), 씨젠(096530), 피씨엘(241820), EDGC(245620)

파나진의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 12,920주를 순매수했으며, 기관은 486주를 순매수 했다. 같은 기간 주가는 11.42% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com"
파나진,한국경제TV,2019.11.05. 오후 1:58,"파나진, 전일대비 11.48% 올라... 외국인 -1,832주 순매도","[한국경제TV 라이온봇 기자]
파나진


5일 오후 유전자 진단칩 개발 및 제조 판매회사로 알려진 파나진(046210)이 크게 상승하고 있다.
-1.41% 하락출발한 주가는 꾸준히 상승하여 오후 1시 58분 현재는 전일대비 11.48% 수준인 3155원을 기록하고 있다.
차트를 살펴보면 단기간에 골든크로스를 만들고 주가가 60일선까지 뚫고 가는 모습이다.

거래량은 전거래일 대비 403.64% 수준인 29만400주를 넘어서고 있다.
이 종목 전체 주식수의 0.9%에 해당하는 물량이다.

[그래프]파나진 일봉 차트


13시 19분 잠정집계에 따르면, 외국인이 파나진을 -1,832주 순매도 중이다.

[표] 거래원 상위(13:58 기준)
파나진


이 시각 거래소에서 파나진 이외에도 텔콘RF제약(21.35%), TS인베스트먼트(10.13%), 고려제약(21.92%), 에스텍파마(29.46%), 상상인인더스트리(10.23%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
파나진,한국경제,2019.11.05. 오후 2:01,"'파나진' 10% 이상 상승, 외국인, 기관 각각 3일, 9일 연속 순매수","◆ 주체별 매매동향
- 외국인, 기관 각각 3일, 9일 연속 순매수
지난 한달을 기준으로 보면 외국인이 1.2만주를 순매수했고, 기관도 303주를 순매수했다. 개인들 또한 5.5만주를 사들인 것으로 집계됐다. 같은 기간 개인의 거래 비중이 88.4%로 가장 높았고, 기관은 거래에 거의 참여하지 않은 것으로 보인다
한편 외국인과 기관은 이 종목에 대해서 각각 최근 3일, 9일 연속 사자 행진을 벌이고 있다.

[그래프]파나진 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
파나진,파이낸셜뉴스,2019.11.05. 오후 2:02,[fnRASSI]파나진 전일대비 12.9% 상승,"현재 파나진(046210)은 전일대비 12.9% 상승하여 3,195원 선에서 거래가 이루어지고 있다.

기관투자자 연속 3일 순매도
최근 5일간 동종목의 외국인 투자자는 12,920주 순매수하였고 마찬가지로 기관은 464주 순매수하였다. 전날 두 주체 각각 433주, 464주 순매수하며 보유 비율을 늘렸다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



개인투자자의 거래비중이 가장 높아
최근 한달간 주체별 거래비중을 살펴보면 개인이 전체 거래량의 88.37%를 차지하며 가장 활발한 참여를 보였고, 외국인은 8.83%, 기관은 0.03%의 거래 참여율을 보였다. 그리고 최근 5일간 거래비중은 개인 비중이 91.87%로 가장 높았고, 외국인이 7.55%로 그 뒤를 이었다. 기관은 0.07%를 나타냈다.

'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
파나진,조선비즈,2019.11.06. 오전 9:41,"파나진, +2.67% 상승폭 확대","파나진(046210)이 상승폭을 확대하고 있다. 전일 대비 2.67% 상승한 3,075원에 거래되고 있다.


파나진 연관 테마
랩지노믹스(084650), 테라젠이텍스(066700), 마크로젠(038290), 디엔에이링크(127120), 한독(002390), 파나진(046210), 씨젠(096530), 피씨엘(241820), EDGC(245620)

파나진의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 207주를 순매수했으며, 기관은 488주를 순매수 했다. 같은 기간 주가는 17.91% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com"
