종목명,신문사,시간,제목,본문
메디앙스,아시아경제,2019.10.18. 오후 3:39,"보령메디앙스, 메디앙스로 상호 변경","[아시아경제 구은모 기자] 보령메디앙스는 메디앙스(Medience Co.,LTD.)로 상호를 변경하기로 했다고 18일 공시했다. 회사 측은 ""회사 경영 목적 및 전략에 따라 적합한 상호로 변경한다""고 밝혔다. 상호변경 효력발생일은 내년 1월1일이다.

구은모 기자 gooeunmo@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 초간단 퀴즈 풀고, 아이패드 받자! ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
메디앙스,한국경제,2019.10.19. 오전 12:57,[코스닥 기업공시] (18일) 보령메디앙스 등,"▲보령메디앙스=메디앙스로 상호 변경.

▲키이스트=96억원 규모 드라마 제작 계약.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
메디앙스,뉴스1,2019.10.25. 오전 11:22,"충남도립대-보령메디앙스, 미래인재 양성 협약","24일 충남도립대학교와 보령메디앙스㈜가 산학협력 강화를 위한 가족회사 결연식을 체결하고 있다.© 뉴스1

(청양=뉴스1) 이봉규 기자 = 충남도립대학교와 보령메디앙스㈜가 지역사회 상생 발전과 미래인재 양성을 위해 기술 교류에 나선다.

25일 충남도립대 대학일자리센터에 따르면 지난 24일 보령메디앙스 세미나실에서 허재영 총장과 보령메디앙스 관계자들이 참석한 가운데 가족회사 업무협약을 체결했다.

양 기관은 협약에 따라 Δ기업 지원 정보교류 사업 Δ대학-기업 간 공동 기술개발 및 기술지원 Δ산업체 견학지원 등을 추진한다.

특히 환경보건학과와 전기전자공학과, 소방안전관리학과 등 3개 학과가 참여해 메디앙스의 스마트 공장 기술을 대학 교육과정에 연계하기로 했다.

이들 3개 학과는 보령메디앙스와 공동 기술개발 및 기술지도, 지역 네트워크 구축 등에 힘을 모은다.

이밖에 비학점 맞춤형 인재 양성과 채용 우대 등 취업 기회 확대를 위한 공동 노력도 펼치기로 했다.

보령메디앙스 관계자는 “이번 협약을 바탕으로 충남도립대학교와 지역 기업이 국가에 기여하는 인력과 기술을 양성해 지역사회 성장이라는 결실을 맺도록 노력하자”고 말했다.

허 총장은 “40년 동안 국내 영유아 산업을 이끌어 온 보령메디앙스와 가족회사를 체결하게 돼 충남도립대학교의 역량이 한층 높아질 것으로 기대된다”고 밝혔다.

nicon3@news1.kr

▶ [ 크립토허브 ] ▶ [ 해피펫 ]
▶ 네이버 메인에서 [뉴스1] 구독하기!
[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
메디앙스,서울경제,2019.12.04. 오후 5:29,[시그널] 보령메디앙스 계열 분리 속도···보령제약 주식 처분 나서,"지난달에만 6만주 넘게 매도

[서울경제] 보령메디앙스(014100)가 보령제약과의 계열분리에 속도를 내고 있다. 보령메디앙스가 지난달에만 6만7,508주의 보령제약 지분을 처분했다.

보령메디앙스는 4일 장내매도 방식을 통해 지난달 28일 보령제약 보통주 2만4,340주를 처분했다고 공시했다. 이번 처분에 앞서 보령메디앙스는 이미 4만3,168주를 11월 중 매도한 바 있다. 보령메디앙스의 보령제약 보유 주식수는 232만9,842주(지분율 5.27%)에서 230만5,502주(지분율 5.22%)로 줄었다.

보령메디앙스는 ‘비앤비’ ‘유피스’ 등의 브랜드로 잘 알려진 유아용품 판매기업이다. 보령약국으로 사업을 시작한 김승호 창업주는 장녀인 김은선 보령홀딩스 회장에게는 보령제약을, 막내인 김은정 부회장에게는 보령메디앙스를 각각 물려줬다. 다만 최근 김 회장의 아들 김정균 상무가 기획전략실을 이끄는 등 보령제약 경영 일선에 나서면서 3세 경영 체제를 만들기 위해 계열분리 필요성이 커진 것으로 보인다.

지배구조 정리는 출자 고리를 끊어내는 방식으로 진행되고 있다. 보령메디앙스가 보유 중인 보령제약 지분과 보령홀딩스가 보유한 보령메디앙스 지분을 각각 정리하면 자연스럽게 계열분리가 이뤄지기 때문이다. 보령메디앙스는 지난달 지분 매각을 통해 확보한 약 11억원의 현금을 보령홀딩스가 보유한 보령메디앙스 지분 인수 등에 활용할 것으로 관측된다.
/김민석기자 seok@sedaily.com

[서울경제 바로가기]
▶ '한 눈에 쏙' 새로워진 서울경제 모바일 페이지를 만나보세요. GO~
▶ 네이버 채널에서 '서울경제' 채널 구독해주세요!


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
메디앙스,조선비즈,2019.12.27. 오전 9:08,"보령메디앙스, +7.56% 상승폭 확대","보령메디앙스(014100)가 상승폭을 확대하고 있다. 전일 대비 7.56% 상승한 8,820원에 거래되고 있다.


보령메디앙스 연관 테마
남양유업(003920), 바디텍메드(206640), 헝셩그룹(900270), 매일홀딩스(005990), 보령메디앙스(014100), 아가방컴퍼니(013990), 네오팜(092730), 예림당(036000), 제로투세븐(159580), 깨끗한나라(004540), 매일유업(267980), 토박스코리아(215480), 오가닉티코스메틱(900300)

보령메디앙스의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 37,995주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 1.44% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com

[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]"
메디앙스,조선비즈,2019.12.27. 오전 9:09,"보령메디앙스, +10.98% VI 발동","보령메디앙스(014100)가 VI가 발동했다. 전일 대비 10.98% 상승한 9,100원에 거래되고 있다.


보령메디앙스 연관 테마
남양유업(003920), 바디텍메드(206640), 헝셩그룹(900270), 매일홀딩스(005990), 보령메디앙스(014100), 아가방컴퍼니(013990), 네오팜(092730), 예림당(036000), 제로투세븐(159580), 깨끗한나라(004540), 매일유업(267980), 토박스코리아(215480), 오가닉티코스메틱(900300)

보령메디앙스의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 37,995주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 1.44% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com

[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]"
메디앙스,한국경제TV,2019.12.27. 오전 9:09,"보령메디앙스, 상승출발 후 현재 +10.98%... 최근 주가 상승흐름 유지","[한국경제TV 라이온봇 기자]
보령메디앙스


27일 개장초, 유아용품군 선두업체인 보령메디앙스(014100)가 크게 상승했다.
1.1% 상승출발한 주가는 꾸준히 올라 오전 9시 8분 현재 전일대비 10.98% 수준인 9100원을 기록하고 있다.
차트를 살펴보면 주가가 5일, 20일 이동평균선보다 높게 위치하며 상승 흐름을 보이고 있다.

오늘 보령메디앙스는 전체 주식수의 1.26%에 해당하는 14만8117주가 거래되고 있는데 전일 거래량 대비 363.34% 수준이다.

[그래프]보령메디앙스 일봉 차트


[표] 거래원 상위(09:08 기준)
보령메디앙스


이 시각 거래소에서 보령메디앙스 이외에도 금호에이치티(21.56%), 진양폴리(11.32%), 두산솔루스2우B(10.3%), 화신테크(19.82%), 유아이디(11.83%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
메디앙스,한국경제,2019.12.27. 오전 9:11,"'보령메디앙스' 10% 이상 상승, 전일 외국인 대량 순매수","◆ 주체별 매매동향
- 전일 외국인 대량 순매수
지난 한달을 기준으로 보면 외국인이 7.6만주를 순매수했지만, 개인은 7.6만주를 순매도했다. 기관의 순매수량에는 변동이 없다. 같은 기간 거래 비중은 개인이 88.4% 로 가장 높고, 외국인은 10.9%로 그 뒤를 이었다. 기관은 거래에 거의 참여하지 않은 것으로 보인다.
한편 외국인은 이 종목에 대해서 최근 3일 연속 3.6만주 순매수를 하고 있다. 더욱이 전일 외국인이 대량 순매수를 하고 있어 투자자들의 관심이 집중되고 있다.

[그래프]보령메디앙스 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
메디앙스,이데일리,2019.12.31. 오후 4:10,"보령메디앙스, 이훈규 각자 대표이사 일신상 사유로 사임","[이데일리 유현욱 기자] 보령메디앙스(014100)는 이훈규 각자 대표이사가 일신상의 사유로 사임했다고 31일 공시했다.

유현욱 (fourleaf@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]
꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
메디앙스,파이낸셜뉴스,2019.12.31. 오후 4:18,"[공시] 보령메디앙스, 이훈규 대표이사 사임","[파이낸셜뉴스] 보령메디앙스는 이훈규 대표이사의 사임으로 김은정, 이훈규 각자대표 체제에서 김은정 단독대표체제로 변경됐다고 31일 공시했다.

map@fnnews.com 김정호 기자

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
