종목명,신문사,시간,제목,본문
크루셜텍,머니투데이,2019.10.01. 오전 10:48,"크루셜텍, 디지털 차이나와 스마트시티 사업 본격 ""실무자 미팅""","[머니투데이 김건우 기자] 크루셜텍은 최근 중국 최대SI업체 디지털차이나와 중국 내 사업을 위한 협력을 본격화하고 있다고 1일 밝혔다.

지난 8월 26일 중국 장춘시에서 디지털 차이나와 함께 장춘시 IOT산업발전 사업 MOU(업무협약)를 체결한 이후, 실무자 미팅을 통하여 관련 사업을 구체화하고 있다.

디지탈 차이나는 2001년 홍콩증권거래소에 상장된 중국 최대 SI 업체로 중국 내 스마트 시티 관련 사업의 선두주자이다.

디지털 차이나는 크루셜텍의 광학식 및 바이오 센서 기술에 주목하여 관련 기술 사업화 협력을 꾸준히 시도해 왔다. 이번 장춘 스마트시티 사업은 이러한 협력의 첫 결과물이 될 것으로 전망된다.

크루셜텍은 스마트시티 구축에 필수적인 본인인증, 출입관리 서비스를 위한 바이오 센서 솔루션 및 디스플레이 공급 역할을 담당한다. 현재 디지털 차이나와의 개발 협력으로 공급 솔루션을 구체화하고 있으며, 빠른 시일 내에 구체적 사업 윤곽이 나올 전망이라고 회사 측은 전했다.

크루셜텍 관계자는 “2017년 사드 갈등 이후 중국 내 한국 기업 이미지에 타격을 받아 시장 개척에 어려움이 있었다""며 ""곧 이뤄질 계약체결을 계기로 중국내에서 뛰어난 역량을 발휘하여 사업이 활성화 될 수 있도록 만반의 준비를 하겠다""고 말했다.

김건우 기자 jai@mt.co.kr

▶부잣집 며느리들의 말못할 사정 [변호사상담]
▶버핏의 6가지 지혜 [투자노트] ▶네이버 구독 추가

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
크루셜텍,파이낸셜뉴스,2019.10.17. 오후 2:09,[fnRASSI]크루셜텍(114120) 8.42% 상승,"현재 크루셜텍(114120)은 전일대비 8.42% 상승하여 1,095원 선에서 거래가 이루어지고 있다.

상장주식수 대비 거래량은 0.56%로 적정수준
최근 한달간 크루셜텍의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 0.56%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 4.95%를 나타내고 있다.

매매주체는개인,외국인
최근 한달간 주체별 거래비중을 살펴보면 개인이 85.77%, 외국인이 13.23%를 기록한 것으로 나타났다. 그리고 최근 5일간 거래비중은 개인이 81.73%, 외국인이 16.83%를 기록한 것으로 나타났다.

'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
크루셜텍,파이낸셜뉴스,2019.11.20. 오전 10:25,"[fnRASSI]크루셜텍, 1.98% 오르며 거래량 증가","크루셜텍(114120)은 당일 거래량 증가로 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 크루셜텍은 3일 연속 상승흐름을 보이며, 10시 23분 현재 1.98% 증가한 1,030원에 거래중이다.

상장주식수 대비 거래량은 0.46%로 적정수준
최근 한달간 크루셜텍의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 0.46%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 2.44%를 나타내고 있다.

외국인투자자의 거래참여 활발, 거래비중 16.56%
최근 한달간 주체별 거래비중을 살펴보면 개인이 전체 거래량의 82.36%를 차지하며 가장 활발한 참여를 보였고, 외국인은 16.56%, 기관은 0.02%의 거래 참여율을 보였다. 그리고 최근 5일간 거래비중은 개인이 79.43%, 외국인이 19.85%를 보였고, 기관은 거래참여가 없었다.

'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
크루셜텍,조선비즈,2019.11.20. 오후 12:17,"크루셜텍, +8.91% 상승폭 확대","크루셜텍(114120)이 상승폭을 확대하고 있다. 전일 대비 8.91% 상승한 1,100원에 거래되고 있다.


크루셜텍 연관 테마
크루셜텍(114120), 삼본전자, 라온시큐어(042510), 슈프리마에이치큐(094840), 아이티센(124500), SGA솔루션즈(184230), 한국전자인증(041460), 슈프리마(236200), 시큐브(131090), 파워로직스(047310), 파트론(091700), 해성옵틱스(076610), 나인컴플렉스, 유니퀘스트(077500), 코렌(078650), 유니온커뮤니티(203450), 퍼스텍(010820), 현대정보기술(026180), 필링크(064800), 엠씨넥스(097520), 멜파스(096640), 드림시큐리티(203650), 동운아나텍(094170), 슈프리마아이디

크루셜텍의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 227,001주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 4.45% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com

[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]"
크루셜텍,머니투데이,2020.01.13. 오후 3:04,"크루셜텍, 주식담보대출 상환…최대주주 변경 위험 없어","[머니투데이 김소연 기자] 크루셜텍은 일부를 상환해 주식담보계약 2건이 해제됨에 따라 최대주주 변경 위험이 사라졌다고 13일 공시했다.

앞서 크루셜텍 최대주주인 안건준은 주식 407만2321주를 담보로 삼성증권과 키움저축은행에서 3건의 대출을 실행, 채무를 갚지 못할 경우 크루셜텍 최대주주가 변경될 가능성이 있었다.

그러나 이중 72만2321주에 대한 채무 15억원여를 상환함에 따라 잔여 담보 실행시 최대주주 변경이 되지 않는다고 안내했다.

김소연 기자 nicksy@

▶'부의 운명' 바꾸고 싶다면 7가지 바꿔라
▶장모 명의로 바뀐 집, 이혼하면… ▶네이버 구독하기

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
크루셜텍,파이낸셜뉴스,2020.01.13. 오후 3:07,"[공시]크루셜텍, 주식담보대출 상환","[파이낸셜뉴스] 크루셜텍은 일부를 상환해 주식담보계약 2건이 해제됨에 따라 최대주주 변경 위험이 사라졌다고 13일 공시했다.

앞서 크루셜텍 최대주주인 안건준은 주식 407만2321주를 담보로 삼성증권과 키움저축은행에서 3건의 대출을 실행, 채무를 갚지 못할 경우 크루셜텍 최대주주가 변경될 가능성이 있었다. 그러나 이중 72만2321주에 대한 채무 15억원여를 상환함에 따라 잔여 담보 실행시 최대주주 변경이 되지 않는다고 설명했다.

bjw@fnnews.com 배지원 기자

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
크루셜텍,이데일리,2020.01.13. 오후 3:13,"크루셜텍 “최대주주, 15억원 규모 주식 담보계약 채무 상환”","[이데일리 유현욱 기자] 크루셜텍(114120)은 최대주주 안건준씨가 키움저축은행, 삼성증권과 체결한 주식담보계약 채무금액을 조기상환했다고 13일 공시했다. 해소된 담보제공 주식 수는 72만2321주, 설정금액은 15억3200만원이다.

안씨에게 남은 담보제공 계약은 총 1건으로 담보권자는 IBK기업은행이다. 담보제공 주식 수는 335만주, 설정금액은 21억원이다.

회사 측은 “최대주주가 담보 제공했던 주식 중 일부를 상환했다”며 “잔여 담보 실행 시에도 최대주주 변경이 되지 않는다”고 설명했다.

유현욱 (fourleaf@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]
꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
크루셜텍,조선비즈,2020.01.28. 오전 9:03,"크루셜텍, 0.00% VI 발동","크루셜텍(114120)이 VI가 발동했다. 현재 928원에 거래되고 있다.


크루셜텍 연관 테마
크루셜텍(114120), 삼본전자, 라온시큐어(042510), 슈프리마에이치큐(094840), 아이티센(124500), SGA솔루션즈(184230), 한국전자인증(041460), 슈프리마(236200), 시큐브(131090), 파워로직스(047310), 파트론(091700), 해성옵틱스(076610), 나인컴플렉스, 유니퀘스트(077500), 코렌(078650), 유니온커뮤니티(203450), 퍼스텍(010820), 현대정보기술(026180), 필링크(064800), 엠씨넥스(097520), 멜파스(096640), 드림시큐리티(203650), 동운아나텍(094170), 슈프리마아이디

크루셜텍의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 36,271주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 1.49% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
크루셜텍,조선비즈,2020.02.05. 오전 11:05,"크루셜텍, +7.82% 상승폭 확대","크루셜텍(114120)이 상승폭을 확대하고 있다. 전일 대비 7.82% 상승한 938원에 거래되고 있다.


크루셜텍 연관 테마
크루셜텍(114120), 삼본전자, 라온시큐어(042510), 슈프리마에이치큐(094840), 아이티센(124500), SGA솔루션즈(184230), 한국전자인증(041460), 슈프리마(236200), 시큐브(131090), 파워로직스(047310), 파트론(091700), 해성옵틱스(076610), 나인컴플렉스, 유니퀘스트(077500), 코렌(078650), 유니온커뮤니티(203450), 퍼스텍(010820), 현대정보기술(026180), 필링크(064800), 엠씨넥스(097520), 멜파스(096640), 드림시큐리티(203650), 동운아나텍(094170), 슈프리마아이디

크루셜텍의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 138,839주를 순매도했으며, 기관은 854주를 순매도 했다. 같은 기간 주가는 4.92% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
크루셜텍,조선비즈,2020.02.05. 오전 11:08,"크루셜텍, +9.77% VI 발동","크루셜텍(114120)이 VI가 발동했다. 전일 대비 9.77% 상승한 955원에 거래되고 있다.


크루셜텍 연관 테마
크루셜텍(114120), 삼본전자, 라온시큐어(042510), 슈프리마에이치큐(094840), 아이티센(124500), SGA솔루션즈(184230), 한국전자인증(041460), 슈프리마(236200), 시큐브(131090), 파워로직스(047310), 파트론(091700), 해성옵틱스(076610), 나인컴플렉스, 유니퀘스트(077500), 코렌(078650), 유니온커뮤니티(203450), 퍼스텍(010820), 현대정보기술(026180), 필링크(064800), 엠씨넥스(097520), 멜파스(096640), 드림시큐리티(203650), 동운아나텍(094170), 슈프리마아이디

크루셜텍의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 138,839주를 순매도했으며, 기관은 854주를 순매도 했다. 같은 기간 주가는 4.92% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
