종목명,신문사,시간,제목,본문
엔시트론,아시아경제,2019.09.25. 오후 8:58,"증선위, 증권신고서 위반 정우신약 과징금 6000만원…코스닥 럭슬·엔시트론, 비상장사 4곳 과태료","[아시아경제 문채석 기자]금융위원회 증권선물위원회(증선위)는 25일 제17차 정례회의를 열어 공시의무를 위반한 비상장사 정우신약에 과징금 6000만원을, 코스닥의 럭슬과 엔시트론에 과태료를 각각 1680만원과 875만원을 부과했다고 밝혔다. 다른 비상장사 4곳에도 과태료를 내게 했다.



증선위는정우신약이 증권신고서 제출의무를 어겼다고 지적했다. 지난 2017년 1월19일에 8명에게 전환사채(CB)권 68매를 발행해 50억원을 모집하면서 증권신고서를 내지 않았다.

럭슬, 엑시트론 등 코스닥 상장사와 비상장사인 제이앤드, 세왕, 끄렘드라끄렘, 루트락 등 6개사는 소액공모 공시서류 제출의무를 위반했다.

럭슬은 지난해 1월5일 보통주 38만7296주(모집액 9억9000만원)를 모집하기 위한 소액공모 공시서류를 법정기한인 그해 1월1일보다 나흘 늦게 냈다.

엔시트론은 지난 2017년 5월24일 보통주 33만3889주(모집액 9억9000만원)를 모집하려 소액공모 공시서류를 냈지만, 법정기한인 그해 5월20일보다 이틀 늦게 냈다.

제이앤드도 1억4000만원과 3억8000만원을 모집하기 위해 소액공모 공시서류를 내면서 법정기한보다 각각 36일, 8일 늦게 냈다.

세왕, 끄렘드라끄렘, 루트락 등은 각각 3억6000만원, 8억9000만원, 1억7000만원 규모의 자금을 조달하는 과정에서 소액공모 공시서류를 아예 내지 않았다.

문채석 기자 chaeso@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 경제 감각을 키우고 싶다면? ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
엔시트론,머니투데이,2019.09.25. 오후 9:04,"증선위, 럭슬·엔시트론에 과태료 1680만·875만원 부과","[머니투데이 김소연 기자] [정우신약은 증권신고서 제출 안해 과징금 6000만원 부과 의결]



금융위원회 산하 증권선물위원회(증선위)가 25일 제17차 회의에서 럭슬과 엔시트론 등 상장사 2곳과 비상장사 5곳에 대해 공시위반으로 과징금 및 과태료 부과조치를 의결했다.

증선위는 코스닥 상장사인 럭슬과 엔시트론에 대해서는 소액공모공시서류 제출의무 위반으로 각각 과태료 1680만원과 875만원을 부과했다.

럭슬은 지난해 보통주 38만7296주(모집금액 9억9000만원)를 모집하기 위한 소액공모공시서류를 법정기한을 나흘 지나 1월5일에 지연제출한 사실이 있다.

엔시트론은 2017년 5월24일 보통주 33만3889주(모집액 9억9000만원)을 모집하기 위한 소액공모공시서류에 대해 법정기한을 이틀 경과해 제출했다.

비상장사인 정우신약은 증권신고서 제출의무 위반으로 과징금 6000만원을 부과받았다. 정우신약은 지난 2017년 1월19일 8인에게 전환사채권 68매를 발행해 50억원을 모집하면서 증권신고서를 제출하지 않았다.

이외 비상장사인 제이앤드, 세왕, 끄렘드라끄렘, 루트락은 소액공모공시서류 제출의무 위반으로 각각 2520만원, 1250만원, 875만원, 875만원의 과태료 부과조치를 받았다. 제이앤드와 끄렘드라끄렘은 법정기한을 지나 서류를 제출했고, 세왕과 루트락은 아예 제출하지 않았다.

김소연 기자 nicksy@

▶부잣집 며느리들의 말못할 사정 [변호사상담]
▶버핏의 6가지 지혜 [투자노트] ▶네이버 구독 추가

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
엔시트론,한국경제TV,2019.09.25. 오후 9:41,"금융위, 럭슬·엔시트론 등 7개사 공시위반 제재","[한국경제TV 이민재 기자]


금융위원회 증권선물위원회가 럭슬, 엔시트론 등 7개사에 대해 공시 위반 관련 과징금과 과태료를 부과했다고 25일 밝혔다.

코스닥 상장사인 럭슬과 엔시트론은 소액공모 공시서류 제출의무 위반으로 각각 1,680만원, 875만원의 과태료를 부과 받았다.

증선위는 비상장사인 제이앤드, 세왕, 끄렘드라끄렘, 루트락 등 4개사에 대해서도 같은 이유로 과태료 부과 조치를 결정했다.

비상장사 정우신약은 지난 2017년 전환사채권 68매를 발행해 50억원을 모집하면서 증권신고서를 제출하지 않아 6,000만원 과징금을 부과 받았다.

금융위는 ""기업경영의 투명성 확보, 투자자 보호를 위해 공시의무 준수여부를 면밀히 감독할 방침""이라고 설명했다.

이민재기자 tobemj@wowtv.co.kr

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
엔시트론,파이낸셜뉴스,2019.09.25. 오후 11:35,"금융위, 공시위반 럭슬·엔시트론 등 7개사 제재","[파이낸셜뉴스] 금융위원회 산하 증권선물위원회는 25일 정부서울청사에서 제17차 정례회의를 열어 코스닥사인 럭슬, 엔시트론과 비상장사 제이앤드 등 7개사에 대해 공시 위반 관련 과징금과 과태료를 부과했다.

럭슬과 엔시트론은 소액공모 공시서류 제출의무 위반으로 각각 1680만원, 875만원의 과태료를 부과받았다.

비상장사인 제이앤드와 세왕, 끄렘드라끄렘, 루트락 등 4개사도 같은 이유로 과태료 부과 조치가 내려졌다.

비상장사 정우신약은 지난 2017년 전환사채권 68매를 발행해 50억원을 모집하면서 증권신고서를 제출하지 않아 6000만원의 과징금을 부과받았다.

금융위는 ""기업경영의 투명성 확보 및 투자자 보호를 위해 공시의무 준수여부를 면밀히 감독할 방침""이라고 설명했다.

map@fnnews.com 김정호 기자

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
엔시트론,아이뉴스24,2019.09.26. 오전 8:17,"증선위, 럭슬·엔시트론에 과태료 1680만·875만원 제재","증권신고서 제출 위반 정우신약에 과징금 6000만원
[아이뉴스24 한수연 기자] 금융위원회 산하 증권선물위원회가 지난 25일 제17차 회의에서 럭슬과 엔시트론 등 상장사 2곳과 비상장사 5곳에 대해 공시위반으로 과징금 및 과태료 부과조치를 의결했다고 26일 밝혔다.

증선위는 코스닥 상장사인 럭슬과 엔시트론에 대해서는 소액공모공시서류 제출의무 위반으로 각각 과태료 1천680만원과 875만원을 부과했다.

럭슬은 지난해 보통주 38만7천296주(모집금액 9억9천만원)를 모집하기 위한 소액공모공시서류를 법정기한을 나흘 지나 1월5일에 지연제출한 사실이 있다.

엔시트론은 2017년 5월24일 보통주 33만3천889주(모집액 9억9천만원)을 모집하기 위한 소액공모공시서류에 대해 법정기한을 이틀 경과해 제출했다.

비상장사인 정우신약엔 증권신고서 제출의무 위반으로 과징금 6천만원이 부과됐다. 정우신약은 지난 2017년 1월19일 8인에게 전환사채권 68매를 발행해 50억원을 모집하면서 증권신고서를 제출하지 않았다.

이외 비상장사인 제이앤드, 세왕, 끄렘드라끄렘, 루트락은 소액공모공시서류 제출의무 위반으로 각각 2천520만원, 1250만원, 875만원, 875만원의 과태료 부과조치를 받았다. 제이앤드와 끄렘드라끄렘은 법정기한을 지나 서류를 제출했고, 세왕과 루트락은 아예 제출하지 않았다.

한수연기자 papyrus@inews24.com


▶네이버 채널에서 '아이뉴스24'를 구독해주세요.

▶아이뉴스TV에서 부동산 고수를 만나보세요.

[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
엔시트론,한국경제TV,2019.10.23. 오후 3:31,"엔시트론, 전일대비 -10.71% 하락... 장마감 현재 거래량 98만4466주","[한국경제TV 라이온봇 기자]
엔시트론


코스닥시장에서 디지털 오디오엠프 칩 및 FPD TV용 스피커 제조업체인 엔시트론(101400)이 큰 폭으로 하락하며 장을 마감했다.
주가는 전일대비 -10.71% 하락하여 400원으로 장을 마감했다.

장마감 현재 거래량은 전거래일 대비 119.55% 수준인 98만4466주를 넘어서고 있다.
이 종목 전체 주식수의 0.84%에 해당하는 물량이다.

[그래프]엔시트론 일봉 차트


[표] 거래원 상위(15:31 기준)
엔시트론


이 시각 거래소에서 엔시트론 이외에도 아이엠텍(-10.04%), 스타플렉스(-10.06%), 두산퓨얼셀(-11.2%), 에스디생명공학(-24.47%), 모바일리더(-10.31%) 등이 하락세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
엔시트론,아시아경제,2019.10.24. 오후 2:43,"엔시트론 관계사 ‘하임바이오텍’, miRNA 분석 대장암 예후진단 키트 개발 실시","엔시트론 관계사 분자진단 기술 전문기업 ‘하임바이오텍’이 miRNA 검출 분석을 통한 대장암 예후진단 키트 개발에 나서는 가운데, 중국 북경에 소재한 Sino MD Gene사와 예후진단 키트 개발을 위해 사업 협력을 추진한다고 밝혔다.

해당 브랜드는 지난 2월 세계 최초로 miRNA 검출 분석을 활용한 BK바이러스 진단 개발에 성공해 Sino MD Gene사와 BK바이러스 진단키트 블라인드 테스트를 진행한 바 있다. 테스트 결과 BK바이러스의 정확한 진단 기술이 검증됐으며, miRNA 검출 분석 기술로 대장암 예후진단 키트를 개발하기로 합의했다고 회사 관계자 측은 설명했다.

하임바이오텍은 대장암 예후진단 키트 개발을 완료해 오는 11월까지 시제품을 제작할 예정이다. 또한 Sino MD Gene사는 중국 내 대장암 예후진단을 위한 환자를 모집해 시제품 테스트를 진행한다. 진단 키트의 효능이 검증될 경우, 하임바이오텍은 Sino MD Gene사와 비밀유지계약(NDA)과 업무협약(MOU)을 체결해 중국 내 대장암 예후진단 키트 사업을 실시할 계획이다.

관계자는 “miRNA 분석 기술을 활용해 대장암 예후진단 키트 개발에 총력을 다할 것”이라며, “진단 키트 개발을 위해 가톨릭대학교 은평성모병원 종양내과 고윤호 교수, 홍지형 교수, 그리고 이화여자대학교 의과대학 안영호 교수와 함께 별도로 연구개발도 실시할 계획”이라고 전했다.

이어 “miRNA 분석 기술을 이용하면 예후진단을 보다 안정적이고 정확하게 진단할 수 있다”며, “이번 사업협력을 통해 성공적으로 대장암 예후진단 키트 개발을 완료해 중국 대장암 진단 시장에 진출할 것”이라며 포부를 밝혔다.

한편, 하임바이오텍은 ‘특이적 양방향 신장 유전자 증폭기술(SBDE-PCR)’ 원천기술을 활용해 miRNA 연구용 키트를 개발했다. 국내 최초이자 세계에서는 3번째로 miRNA 검출 및 분석 시장에 진출했다.

임소라 기자 mail00@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 초간단 퀴즈 풀고, 아이패드 받자! ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
엔시트론,스포츠조선,2019.10.24. 오후 5:22,"엔시트론 ‘하임바이오텍’, miRNA 검출 분석 이용한 대장암 예후진단 키트 개발 추진","엔시트론 자회사 하임바이오텍이 마이크로알앤에이(miRNA) 검출 분석을 활용한 대장암 예후진단 키트 개발에 나선다고 24일 밝혔다.

분자진단 기술 전문기업 하임바이오텍은 지난 2월 세계 최초로 miRNA 검출 분석을 이용한 BK바이러스 진단 개발에 성공했으며 Sino MD Gene社와 BK바이러스 진단 키트 블라인드 테스트를 진행했다. 해당 테스트를 통해 BK바이러스의 정확도 높은 진단 기술을 검증 받았으며 miRNA 검출 분석 기술로 대장암 예후진단 키트 개발을 적극 추진하기로 합의했다.

하임바이오텍은 대장암 예후진단 키트 개발을 완료한 후 오는 11월까지 시제품 제작을 완료할 예정이다. 아울러 Sino MD Gene社는 중국 내에서 대장암 예후진단을 위한 환자를 모집하고 시제품 테스트를 실시한다.

시제품 테스트 진행 후 진단 키트의 효능이 입증되면 하임바이오텍은 Sino MD Gene社와의 비밀유지계약(NDA)과 업무협약(MOU)을 체결하고 중국 내 대장암 예후진단 키트 사업에 박차를 가할 계획이다.

하임바이오텍 관계자는 ""miRNA 분석 기술을 활용해 대장암 예후진단 키트 개발에 총력을 다할 것이다""며, ""대장암 예후진단 키트 개발을 위해 가톨릭대학교 은평성모병원 종양내과 고윤호 교수, 홍지형 교수, 그리고 이화여자대학교 의과대학 안영호 교수와 함께 별도의 연구개발을 진행한다""고 전했다.

이어 ""miRNA 분석 기술을 이용하면 예후진단 키트를 통해 보다 안정적이고 정확한 결과를 얻을 수 있다""며, ""이번 사업협력을 통해 대장암 예후진단 키트 개발을 성공적으로 마치고 중국 대장암 진단 시장에 진출할 예정이다""고 덧붙였다.

한편, 하임바이오텍은 '특이적 양방향 신장 유전자 증폭기술(SBDE-PCR)'을 자체 개발하고 원천기술을 활용해 miRNA 연구용 키트 개발에 성공했다. 이어 국내 최초이자 세계에서 3번째로 miRNA 검출 및 분석 시장에 진출한 바 있다. <스포츠조선 medi@sportschsoun.com>

▶사주로 알아보는 내 운명의 상대

▶눈으로 보는 동영상 뉴스 핫템

- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지"
엔시트론,이데일리,2019.10.28. 오후 3:16,"엔시트론 ‘하임바이오텍’, 진단키트 개발 위한 컨소시엄 구성","[이데일리 김소정 기자] 엔시트론 관계사 하임바이오텍이 지난 2월 BK바이러스 진단키트 개발 성공에 이어 다양한 바이러스 진단키트 개발을 위해 한국과 미국에서 컨소시엄을 구성, 연구 개발에 속력을 가할 예정이라고 28일 밝혔다.

하임바이오텍이 확보한 원천기술, ‘특이적 양방향 신장 유전자 증폭기술(SBDEㆍPCR)’을 활용해 miRNA(마이크로알앤에이) 분석 진단키트 개발을 위한 것으로, 한국과 미국에서 각각 컨소시엄을 구성하여 연구 개발을 진행한다.

국내에서는 연세대학교 세브란스병원과 컨소시엄을 구성함으로써 BKV(신장 이식 후 BK바이러스 감염), EBV(엡스타인-바 바이러스), CMV(사이토매갈로 바이러스)의 동시 진단이 가능한 진단키트 연구 개발을 진행한다.

아울러 미국에서는 북텍사스대학교 아동병원(UNT Children’s Medical Center)과 협력하여 RSV(호흡기세포융합 바이러스) 및 2차 감염에 대한 분자 진단키트의 개발을 진행키로 합의했다.

이와 관련해 하임바이오텍 관계자는 “하임바이오텍이 확보한 원천기술 miRNA 분석 기술을 이용하면 혈액, 소변에서 높은 감도와 특이도를 보여 보다 안정적이고 정확한 진단을 할 수 있다”며 “한국과 미국의 유수한 병원과 연구개발 컨소시엄을 구성한 만큼 다양한 바이러스 감염에 대한 진단키트 개발에 적극적으로 나설 것”이라고 전했다.

김소정 (toystory@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]
꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
엔시트론,국민일보,2019.11.01. 오후 5:35,"엔시트론, 특별관계자 지분변동","엔시트론은 (주)이앤인베스트먼트 및 특별관계자의 지분율이 13.65%에서 0.0%로 변동했다고 1일 공시했다. 한편, 엔시트론은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 400원, 거래량은 736,342주로, 직전 거래일 대비 3원(-0.74%) 하락했다.



공시 전문으로 이동

* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
