종목명,신문사,시간,제목,본문
엠텍비젼,파이낸셜뉴스,2012.07.30. 오전 9:21,"[fn톡톡]엠텍비젼, 계열사 지분매각 소식에 이틀째 급등","엠텍비젼이 계열사 지분매각을 고려하고 있다는 소식에 이틀째 급등세를 보이고 있다.

30일 오전 9시 16분 현재 엠텍비젼은 전거래일 보다 7.02% 상승한 854원에 거래되고 있다. 지난 27일에는 상한가로 직행한 바 있다.

엠텍비젼은 지난 27일 한국거래소의 조회공시 답변을 통해 ""재무구조 개선 방안의 일환으로 계열사MTH 지분 매각을 위해 현재 관련업체와 협의 중에 있다""며 ""판교 신사옥 매각은 검토를 거쳐 중·장기적으로 추진할 계획""이라고 밝혔다.
kiduk@fnnews.com 김기덕 기자



■ 오늘의 핫뉴스
▶ 이나현, 박태환에 망언..대체 누구길래?
▶ [2012 런던올림픽] 박태환 인터뷰, 끝내 눈물 보여
▶ 석달여만에 재등장한 김정일 넷째부인 김옥
▶ 요요 없는 다이어트, 유기농 수면 해독 다이어트가 해답!!
▶ 절도 중 10대 성폭행 30대 징역 9년


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
엠텍비젼,세계일보,2012.07.30. 오전 9:26,"[특징주] 엠텍비젼, 계열사 지분 매각 소식에 이틀째 강세","[세계파이낸스]엠텍비젼이 계열사 지분을 매각한다는 소식에 힘입어 이틀째 강세다.

30일 오전9시22분 현재 엠텍비젼은 전일대비 5.64% 오른 843원에 거래되고 있다. 전거래일에 상한가를 기록한데 이어 이틀째 강세다.

엠텍비젼은 지난 27일 한국거래소의 조회공시 답변을 통해 ""재무구조 개선 방안의 일환으로 계열사MTH 지분 매각을 위해 현재 관련업체와 협의 중에 있다""며 ""판교 신사옥 매각은 검토를 거쳐 중·장기적으로 추진할 계획""이라고 밝힌 바 있다.

유병철 세계파이낸스 기자 ybsteel@segyefn.com
[Segye.com 인기뉴스]
◆ 아이 화상입힌 국물녀 ""오히려 내가 피해자""
◆ 6일만에 관속서 '부활'… 다시 살아난 노인
◆ 여관서 자고 일어나보니 '신장 강탈' 황당
◆ '과다 노출' 톱모델에 벌금 ""춤추다 가슴이…""
◆ 추위에 가장 강한 동물 1위 북극곰, 2위 펭귄, 3위는?
[ⓒ 세계파이낸스 & Segye.com, 무단 전재 및 재배포 금지]
세계일보 [자동차전문섹션] [스마트캠페인] [트위터/페이스북/미투데이]
<세계닷컴은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>"
엠텍비젼,매일경제,2012.07.31. 오후 5:34,"엠텍비젼, 1200억대 사옥 판다","이동통신기기용 멀티미디어 플랫폼 개발업체 엠텍비젼이 자산 매각으로 재무구조 개선에 나선다.
최근 엠텍비젼은 유동성 확보를 위해 판교 사옥을 비롯해 계열사 MTH 지분을 매각할 계획이라고 밝혔다. 판교 사옥은 지난해 말 완공된 것으로 자산가치가 1200억원 수준이다.
엠텍비젼은 또 계열사 무선 데이터통신 모듈 전문업체 MTH 지분도 팔 생각이다. 엠텍비젼은 지난해 2월 투자목적으로 MTH 지분 22%를 29억9997만원에 취득했다.
엠텍비젼이 재무구조 개선에 나선 것은 이번이 처음은 아니다. 올해 5월 엠텍비젼은 알바트로스인베스트먼트 지분 20만주(14.3%)를 플랜티넷에 12억원에 매각한 바 있다. 앞서 지난해 10월 계열사 센서개발 업체 클레어픽셀의 지분 약 26%를 경쟁업체인 코아로직에 넘기기도 했다. 또 지난해에만 세 차례에 걸쳐 총 300억원 규모로 유상증자를 하기도 했다.
엠텍비젼은 한 때 우량 반도체 개발기업(팹리스)이었다. 2005년 매출액 1788억원, 당기순이익 326억원을 기록하기도 했다. 하지만 그 이후부터 경영실적이 둔화되더니 2007년부터 줄곧 당기순손실을 이어오고 있다. 올해 1분기도 43억원의 당기순손실을 냈다.
엠텍비젼의 재무상태가 악화된 데에는 외환파생상품(KIKO) 손실이 큰 영향을 미쳤다. 지금까지 키코 피해액만 800억원에 이른다. 하지만 여전히 키코 대출금이 남아 있다. 지난해 말 기준 엠텍비젼의 키코(KIKO) 대출금은 하나은행 154억원, 씨티은행 48억원, 외환은행 34억원, 우리은행 25억원으로 약 263억원 수준이다. 이 중 7월말 현재까지 30억원을 상환했지만 여전히 키코 대출금만 200억원 남아있고 이자율이 연 6.15~7% 수준이다.
[신수현 기자]

▶ [베스트클릭 화보] 비밀스런 눈빛…`청순` 하주희의 은밀한 유혹

▶ `마린보이` 박태환, 200m 마친 후 심경고백 ""마지막 5m는 사실…""

▶ 김재범 그랜드슬램…‘韓 웃고, 종주국 日 울상’

▶ 김재범에 패한 비쇼프 매너에 갈채

▶ [★ 화보] 민수연, 아슬아슬해…깜찍한 그녀의 유쾌한 변신!

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
엠텍비젼,전자신문,2012.07.31. 오후 6:51,"엠텍비젼, 유동성 확보 위해 판교 신사옥 매각 추진","엠텍비젼(대표 이성민)이 판교 신사옥 등 자산 매각으로 재무구조 개선에 나섰다.

엠텍비젼은 최근 유동성 확보를 위해 판교 사옥을 비롯해 계열사 MTH 지분을 매각할 계획이라고 공시했다.

판교 사옥은 지난해 말 완공됐으며 자산가치가 1200억원 수준이다. 아직 매각 대상을 찾지는 못했지만 엠텍비젼은 지난 6월 본점 소재지를 판교에서 서울 금천구 가산동으로 옮겨 사옥을 비울 준비를 끝냈다.

회사는 또 무선데이터통신 모듈 계열사인 MTH 지분도 판다는 방침이다. 엠텍비젼은 지난해 2월 투자 목적으로 MTH 지분 22%를 29억9997만원에 취득했다.

정미나기자 mina@etnews.com
[전자신문 인기 뉴스 Best 5]
▶ 삼성, 전세계 '부동의 1위' 이런 비결이…
▶ 깐깐하던 '애플'이 변했다…SKT는 '좋은일'
▶ 아이패드 외장재 '탄소섬유'로 바뀐다…?
▶ LG 옵티머스G, 옵티머스뷰2 줄줄이 출시 왜?
▶ ""젊은피여 엔돌핀 솟아라""…벤처에 '성장 주사'
[전자신문 앱 다운받기][전자신문 구독신청][광고문의]
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
엠텍비젼,매일경제,2012.08.01. 오전 9:35,"[Hot-Line 코스닥] 엠텍비젼, 재무구조 개선안 호재된 듯","엠텍비젼이 판교 사옥 처분과 계열사 지분 매각 등을 통해 재무구조 개선에 나선다는 소식 이후 10% 넘게 오르고 있다.
1일 오전 9시 20분 현재 엠텍비젼은 전일 대비 10.39% 오른 854원을 기록 중이다.
회사 측에 따르면 엠텍비젼은 유동성 확보를 위해 판교 사옥을 비롯해 계열사 MTH 지분을 매각할 계획이다. 판교 사옥은 지난해 말 완공된 것으로 자산가치가 1200억원 수준이다.
엠텍비젼은 또 계열사 무선 데이터통신 모듈 전문업체 MTH 지분도 팔 생각이다. 엠텍비젼은 지난해 2월 투자목적으로 MTH 지분 22%를 29억9997만원에 취득했다.
엠텍비젼은 한 때 우량 반도체 개발기업(팹리스)이었다. 2005년 매출액 1788억원, 당기순이익 326억원을 기록하기도 했다. 하지만 그 이후부 터 경영실적이 둔화되더니 2007년부터 줄곧 당기순손실을 이어오고 있다. 올해 1분기도 43억원의 당기순손실을 냈다.
[최익호 기자]

▶ [베스트클릭 화보] 비밀스런 눈빛…`청순` 하주희의 은밀한 유혹

▶ `마린보이` 박태환, 200m 마친 후 심경고백 ""마지막 5m는 사실…""

▶ 김재범 그랜드슬램…‘韓 웃고, 종주국 日 울상’

▶ 김재범에 패한 비쇼프 매너에 갈채

▶ [★ 화보] 민수연, 아슬아슬해…깜찍한 그녀의 유쾌한 변신!

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
엠텍비젼,머니투데이,2012.08.23. 오전 11:39,[특징주]엠텍비젼 上…키코 승소,"[머니투데이 심재현 기자]엠텍비젼이 키코 관련 승소 소속에 급등세다.
23일 오전 11시38분 현재 엠텍비젼은 가격제한폭까지 오른 952원에 거래되고 있다.
이날 서울중앙지법 민사합의21부(부장판사 최승록)는 엠텍비젼, 테크윙, 코텍, 온지구. 에이디엠이십일 등 5개 기업이 ""부당한 키코(KIKO)상품 거래로 피해를 입었다""며 시티은행과 하나은행, 스탠다드차터드 은행 등을 상대로 낸 소송에서 ""피해액의 60~70%를 배상하라""고 원고 일부 승소 판결했다.
'키코'는 환율이 일정 범위 안에서 오르내릴 경우 기업이 미리 정한 환율에 따라 외화를 은행에 되팔 수 있도록 해 기업과 은행이 환위험을 상쇄하는 파생상품이다.


[관련기사]
☞ 주름 펴니 주가 3배, 메디톡스 얼마나 더 갈까
☞ 택배 아저씨 쉴틈 없다더니…엇갈리는 종이株
☞ 증권맨 지고 '채권맨'이 뜬다
☞ [단독] '억대연봉' 애널리스트 되기 쉬워진다
☞ [기자수첩] ""50세까지라도 일하고 싶어요""


심재현기자 urme@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
엠텍비젼,머니투데이,2012.08.23. 오전 11:48,[특징주]엠텍비젼 上…키코 일부 승소(상보),"[머니투데이 심재현 기자]엠텍비젼 등 키코 관련주가 승소 소식에 급등세다.
23일 오전 11시42분 현재 엠텍비젼은 가격제한폭까지 오른 952원에 거래되고 있다. 테크윙(3.70%), 코텍(2.36%) 등도 상승폭을 넓히는 흐름이다.
이들 키코 관련주는 이날 오전 11시30분경 관련 소송에서 일부 승소했다는 보도가 나오면서 급등했다.
이날 본지 단독기사에 따르면 서울중앙지법 민사합의21부는 엠텍비젼, 테크윙, 코텍, 온지구, 에이디엠이십일 등이 ""부당한 키코 상품 거래로 피해를 입었다""며 시티은행 등을 상대로 낸 소송에서 ""피해액의 60~70%를 배상하라""고 원고 일부 승소 판결했다.
'키코'는 환율이 일정 범위 안에서 오르내릴 경우 기업이 미리 정한 환율에 따라 외화를 은행에 되팔 수 있도록 해 기업과 은행이 환위험을 상쇄하는 파생상품이다.
과거 국내 최대 반도체 개발기업이었던 엠텍비젼은 키코 손실 등의 영향으로 2009년부터 지난해까지 4년 연속 적자를 기록했다.


[관련기사]
☞ 주름 펴니 주가 3배, 메디톡스 얼마나 더 갈까
☞ 택배 아저씨 쉴틈 없다더니…엇갈리는 종이株
☞ 증권맨 지고 '채권맨'이 뜬다
☞ [단독] '억대연봉' 애널리스트 되기 쉬워진다
☞ [기자수첩] ""50세까지라도 일하고 싶어요""


심재현기자 urme@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
엠텍비젼,조선비즈,2012.08.23. 오후 1:30,"[특징주] 엠텍비젼, 키코 소송 일부 승소에 상한가","엠텍비젼(074000)과 테크윙이 키코(KIKO) 소송에서 일부 승소 판결을 받았다는 소식에 강세다.

23일 오후 1시 4분 현재 엠텍비젼은 가격제한폭까지 오른 952원에 거래되고 있으며, 테크윙은 130원(1.72%)오른 7700원에 거래되고 있다.

이날 서울중앙지법 민사합의21부는 엠텍비젼과 테크윙, 온지구, 에이디엠이십일 등 4개 기업이 시티은행과 하나은행, 스탠다드차타드은행 등을 상대로 부당한 키코 상품 거래로 피해를 입었다며 낸 부당이득금반환 청구소송에서 은행들을 상대로 ""피해액의 60~70%를 배상하라""고 원고 일부승소 판결을 내렸다.

키코는 환율이 일정 범위 안에서 움직이면 기업이 미리 정한 환율로 외화를 은행에 팔아 이익을 얻을 수 있지만 환율이 벙위 위로 올라가면 기업이 손해를 보는 파생금융상품이다. 2008년 미국발 금융위기로 환율이 치솟으면서 키코에 가입한 기업들이 큰 피해를 입었고 대규모 소송으로 이어졌다.

[박의래 기자 laecorp@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ주식 없고, 예금 7800만원… 朴의 총 재산은?
ㆍ벤츠·아우디 타고 전신주 충돌 시험…충격 결과
ㆍ급부상하는 중국, 日에 제대로 한방…한국은?
ㆍ""칼 맞아 죽은 아내 앞에 36개월 딸이…"" 절규
ㆍ""니가 한 일 다 안다"" LG전자 직원들 경악


chosunbiz.com"
엠텍비젼,매일경제,2012.08.23. 오후 2:07,"[Hot-Line 코스닥] 엠텍비젼, 키코 소송 일부 승소 판결에 상한가","엠텍비젼이 키코 소송에서 일부 승소함에 따라 주가가 상한가로 올라섰다.
23일 오후 1시 53분 현재 엠텍비젼 주가는 124원(14.98%) 오른 952원을 기록하고 있다. 함께 소송에 참여한 테크윙은 140원(1.85%) 상승한 7710원을 기록 중이다.
이날 서울중앙지법 민사합의21부(부장판사 최승록)는 엠텍비젼, 테크윙, 온지구, 에이디엠이십일 등 4사가 부당한 키코상품 거래로 피해를 입었다며 한국씨티은행, 하나은행, 한국스탠다드차타드은행 등을 상대로 낸 소송에서 피해액의 60~70%를 배상하라고 원고 승소 판결했다. 이번 승소로 엠텍비젼은 최대 55억원을, 테크윙은 최대 20억원을 돌려받을 것으로 전망된다.
[김용영 기자]

▶ [베스트 화보] `터질듯한 가슴` 제시카 고메즈, S라인 몸매로 男心 자극

▶ 故 장준하 장남 `충격발언` ""박근혜는 당시…""

▶ 박병호 만든 박흥식 코치, 올 겨울엔 이성열?

▶ 카라 구하라 `겉옷 벗으니 더욱 아찔!`

▶ [★ 화보] 조민서, H컵 명품몸매 화보 공개 `무보정 가슴이에요!`

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
엠텍비젼,한국경제,2012.08.23. 오후 2:35,"[특징주]엠텍비젼, 키코 일부 승소에 上","엠텍비젼과 테크윙이 키코(KIKO) 관련 부당이득금반환 청구소송서 일부 승소 판결을 받아 상승하고 있다.

23일 오후 2시29분 현재 엠텍비젼은 전날보다 124원(14.98%) 뛴 952원에 거래되고 있다. 테크윙은 2.64% 오름세다.

서울중앙지법 민사합의21부는 이날 엠텍비젼, 테크윙, 온지구, 에이디엠이십일 4개 기업이 하나은행과 한국씨티은행 등을 대상으로 제기한 키코 관련 부당이득금반환 청구소송에서 ""피해액의 60~70%를 배상하라""고 일부 승소 판결을 내렸다. 업계에 따르면 엠텍비젼과 테크윙은 각각 최대 55억원, 20억원을 돌려받을 것으로 기대되고 있다.

한경닷컴 정인지 기자 injee@hankyung.com

▶ 기성용, 영국전 승리 후 '이등병의 편지' 부른 이유는?

▶ '넝쿨당' 장군이 엄마, 가발 벗었더니 '반전 미모'

▶ 톱모델 장윤주, 셔츠 거꾸로 입었더니…헉!

▶ 뉴스데스크 김진희 기자 미모 '언론계 갑'

▶ [포토] 강예빈, '헉' 소리 나는 란제리 패션

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
