종목명,신문사,시간,제목,본문
한국테크놀로지,이데일리,2013.02.19. 오전 11:06,"한국테크놀로지, 중소기업진흥공단 벤처인증 획득","[이데일리 김대웅 기자] 신재생에너지 전문기업 한국테크놀로지(053590)는 중소기업진흥공단으로부터 벤처인증을 취득했다고 19일 밝혔다.

벤처기업은 다른 기업에 비해 기술성이나 성장성이 상대적으로 높아 정부에서 지원할 필요가 있다고 인정하는 기업이다.

이는 ‘벤처기업육성에 관한 특별 조치법’의 3가지 기준 중 1가지를 만족하는 기업을 의미하며, 중소기업진흥공단이 인증하는 벤처기업은 자금조달, 금융지원, 기술 인력지원 등의 혜택을 제공받을 수 있다.

한국테크놀로지는 과열증기건조 시스템의 효율성 등이 연구개발기업 사업성 평가기관으로부터 우수한 것으로 평가받아 이번 벤처인증을 취득했다.

회사 관계자는 “벤처기업 우대제도를 통해 주력사업인 과열증기건조시스템 사업을 한단계 더 발전시킬 수 있는 계기를 마련했다”고 말했다.





김대웅 (daxiong@edaily.co.kr)

[관련기사]
☞한국테크 ""스파크랩벤처스, 상반기 투자기업 계약 완료""



▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
한국테크놀로지,헤럴드POP,2013.02.19. 오전 11:11,<생생코스닥>한국테크놀로지 중소기업진흥공단 벤처인증 획득,"[헤럴드경제=최재원 기자] 신재생에너지 전문기업 한국테크놀로지(대표 김용빈)는 중소기업진흥공단으로부터 벤처인증을 지난 18일 취득했다고 19일 밝혔다.

중소기업진흥공단이 인증하는 벤처기업 확인은 위 조치법에 따라 요건에 해당하는 기업에게 자금조달, 금융지원, 기술 인력지원 등의 혜택을 제공하는 제도이다.

한국테크놀로지는 과열증기건조시스템이 타 건조기술보다 건조효율이 뛰어나고, 설비투자비용 및 운영비용이 저렴한 점을 강조했다.

또 석탄 건조 및 하수슬러지, 석탄회등 폐기물자원화에 활용 가능한 고효율 기술임을 알려 연구개발기업 유형으로 연구개발기업 사업성 평가기관으로부터 사업성이 우수한 것으로 평가받아 이번 벤처인증을 취득했다.

한국테크놀로지 관계자는 “중소기업진흥공단으로부터 벤처인증을 취득함으로써 벤처기업 우대제도를 통해 이를 활용함과 동시에 주력사업인 과열증기건조시스템 사업을 한 단계 더 발전 시킬 수 있는 계기를 마련했다”라고 전했다.

jwchoi@heraldcorp.com
[오늘의 인기기사]
◆ 박시후 공식입장, “호감 갖고 마음 나눴을 뿐”
◆ [속보] 배우 박시후 성폭행 혐의 피소…경찰 “조사 중”
◆ 김창렬 아들 폭풍성장, “아빠보다 잘 생겼네”
◆ 악마의 이빨을 가진 두얼굴의 개
◆ 윤아, 눈물 흘리며 “다 짜증나” 폭발…왜?

- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -

[바로가기]
▶ 헤럴드경제 모바일 웹 바로가기
▶ 모바일앱 다운로드
- [아이폰 용] | [안드로이드 폰 용]"
한국테크놀로지,헤럴드POP,2013.02.25. 오후 4:21,"<생생코스닥>한국테크놀로지, 거래소 벤처기업부로 소속부 변경","[헤럴드경제=최재원 기자] 신재생에너지 전문기업 한국테크놀로지(대표 김용빈)는 기존 기술혁신형 중소기업(이노비즈) 인증에 이어 지난 18일 벤처인증을 취득함에 따라 한국거래소 소속부가 기존 중견기업부에서 벤처기업부로 26일부터 변경된다고 밝혔다.

한국거래소는 크게 우량기업부와 벤처기업부, 중견기업부로 나뉜다. 이노비즈 인증, 벤처기업 인증, 매출 대비 연구개발에 5% 이상 투자 등 가운데 2가지 요건 이상을 충족하면 기존 중견기업부에서 벤처기업부로 소속부가 변경된다.

한국테크놀로지는 과열증기건조시스템 기술이 석탄 건조 및 하수슬러지, 석탄회등 폐기물자원화에 활용 가능한 고효율 기술임을 알려 연구개발기업 유형으로 연구개발기업 사업성 평가기관으로부터 사업성이 우수한 것으로 평가받아 중소기업진흥공단으로 부터 벤처인증을 지난 18일 취득한 바 있다.

jwchoi@heraldcorp.com
[오늘의 인기기사]
◆ 日 톱모델 “지드래곤 스킨십 너무 싫어” 발언 논란
◆ 문재인-권양숙-이정희, 취임식 '불참' 왜?
◆ ‘기원전 2300년 부터 떨어진 운석 세계 지도’ 화제
◆ 정봉주 ‘몸짱’ 변신에 변희재 하는 말이…
◆ 달라진 네이버 뉴스? MY뉴스 설정만 하면 걱정 끝!

- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -

[바로가기]
▶ 헤럴드경제 모바일 웹 바로가기
▶ 모바일앱 다운로드
- [아이폰 용] | [안드로이드 폰 용]"
한국테크놀로지,머니투데이,2013.02.25. 오후 5:06,"한국테크놀로지, 벤처기업부로 소속부 변경","[머니투데이 배준희 기자]한국테크놀로지는 중견기업부에서 벤처기업부로 소속부가 변경된다고 25일 공시했다.



[머니투데이 핫뉴스]
☞ 10평서 월 2300만원 매출 '나홀로 女사장' 비결은?
☞ '싱글 女대통령' 박근혜, 첫 가족은 누구?
☞ 상복입은 박근혜·입술 깨문 박지만... 33년후
☞ 朴대통령, 취임식 의상만 '3벌' 빨강한복은...
☞ 故박정희 '주가 7400%' 급등, 박근혜는?





배준희기자 gatsby@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
한국테크놀로지,아시아경제,2013.02.25. 오후 5:28,"한국테크놀로지, 벤처기업부로 소속 변경","[아시아경제 심나영 기자]한국테크놀로지는 25일 중견기업부에서 벤처기업부로 소속부가 변경된다고 공시했다.

심나영 기자 sny@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
""곧 결혼하는 '이진 아나' 알고보니 남편이""
'박시후' 국과수 결과 곧 나온다더니 돌연
""'A양 성추문' 박시후 '소문' 이상하더니만""
'성폭행 혐의' 박시후, A양 정체 알고보니
자숙 중이란 'MC몽' 지금 상태가…'충격'"
한국테크놀로지,한국경제,2013.03.11. 오후 1:30,"한국테크놀로지, 서울지방조달청과 공급계약","한국테크놀로지는 11일 서울지방조달청과 5억6600만원 규모의 장현중 교사신축 전기 및 소방공사 계약을 맺었다고 공시했다. 계약기간은 2014년 3월 10일까지다.

한경닷컴 정현영 기자 jhy@hankyung.com

▶[한경 스타워즈] 대회 개막 1달만에 7000만원 수익! 비결은?

▶한국경제의 알찬기사를 매일 만나는 방법-MY뉴스 설정!!

▶ 개그우먼 배연정, '국밥' 팔아 하루 버는 돈이

▶ 이경규 딸, 라면 CF서 '폭풍 미모` 뽐내더니

▶ ""야동 못 끊는 남편 어쩌죠"" 女교수 대답이…

▶ '아빠 어디가' 출연 한 번에 2억5천만원 횡재

▶ 이승환, 130억씩 벌던 삼겹살 매출 줄어들자

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
한국테크놀로지,파이낸셜뉴스,2013.03.11. 오후 1:38,"한국테크놀로지, 서울지방조달청과 5억원 규모 전기 시설공사 체결","한국테크놀로지는 서울지방조달청과 5억6663만3189원 규모 장현중 교사신축 전기 및 소방공사 계약을 했다고 11일 공시했다.
coddy@fnnews.com 예병정 기자



■ 오늘의 핫뉴스
▶ 北 “오늘부터 정전협정 백지화…최후결전의 시각”
▶ 박시후 측 “고소녀, 2년 전에도 임신 협박” 주장
▶ ‘그린폴레드’가 무엇? ‘갤럭시S4’에 도입될 신기술
▶ “블랙박스에 포착된 보험사기 제보하세요”
▶ ‘아빠! 어디가?’ 윤후, ‘짜파구리’ 먹더니 결국..


☞ 네이버 뉴스스탠드에서 파이낸셜뉴스를 바로 만나보세요.

☞ 파이낸셜뉴스 [모바일웹] | 패밀리사이트 [부산파이낸셜뉴스] [fn아이포커스] [fn아트] | 공식 SNS계정 [트위터] [페이스북] [미투데이]


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
한국테크놀로지,헤럴드POP,2013.03.11. 오후 2:21,"<생생코스닥>한국테크놀로지, 5.6억 규모 공사 수주","한국테크놀로지는 서울지방조달청과 5억6663만원 규모의 장현중 교사신축 전기 및 소방공사에 관한 계약을 체결했다고 11일 공시했다.

이는 2011년 매출액 대비 11.03%에 해당하며, 계약기간은 2014년 3월 10일까지다.


[오늘의 인기기사]
◆ 박시후 A양, 2년 전에도 “임신한 듯” 협박…‘충격’
◆ 1m ‘괴물 대구’ 잡혔다, 무게가 무려…
◆ 로또 1등 당첨자 한달 용돈을 보니
◆ '전쟁난다' 北도발에 '휴교령'. 괴소문 확산
◆ 달라진 네이버 뉴스? MY뉴스 설정만 하면 걱정 끝!

- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -

[바로가기]
▶ 헤럴드경제 모바일 웹 바로가기
▶ 모바일앱 다운로드
- [아이폰 용] | [안드로이드 폰 용]"
한국테크놀로지,이데일리,2013.03.20. 오후 4:17,"한국테크놀로지 ""감자·유증설 사실무근""","[이데일리 김대웅 기자] 한국테크놀로지(053590)가 최근 감자 및 유상증자설에 대해 사실무근이라며 해명에 나섰다.

한국테크놀로지는 “현재 감자나 유상증자에 대해 전혀 논의된 바가 없음에도 시장에 허위 소문이 돌고 있다”고 20일 밝혔다. 지난 8일 정기주주총회를 마치고 주력 사업에 매진하고 있다는 것.

회사 관계자는 “항간에 떠도는 소문과 자금문제 등에 대해 전혀 문제가 없고, 회사가 주력하는 과열증기를 이용한 건조시스템 사업에 만전을 기하고 있다”고 말했다.

김대웅 (daxiong@edaily.co.kr)

[관련기사]
☞ [기자수첩]KB금융 어쩌다 이런 일이..
☞ 뉴스 생방송中 프러포즈 받은 女앵커 '내일 날씨는..'
☞ 미혼男女 `이별` 직감하는 순간
☞ 이랜드, 제주도에 테마도시 짓는다
☞ 신한은행, 오후 2시15분께부터 전산마비..'장애원인 조사중'



▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
한국테크놀로지,이데일리,2013.04.11. 오후 2:29,"한국테크놀로지, 가연성 폐기물 연료화 사업 진출","- 한국남동발전 · 한국발전기술 · 도화엔지니어링과 MOU 체결

[이데일리 김대웅 기자] 한국테크놀로지(053590)는 지방자치단체에서 추진 중인 가연성 폐기물 연료화 사업 참여를 위해 한국남동발전, 한국발전기술, 도화엔지니어링 등 3곳과 양해각서(MOU)를 체결했다고 11일 밝혔다.

이 사업은 투자공모를 통한 사업으로 민관합동으로 진행되며, 시설규모는 일 800톤 구모이고 총 사업비는 1200억원이다. 이 가운데 50%는 정부 지원을 받아 진행된다.

생활폐기물 중 종이, 플라스틱, 섬유, 음식물 등 가연성폐기물을 이용해 폐기물고형연료(RDF)를 제조하는 설비를 건설·운영하는 사업이다.

회사 관계자는 “폐기물 가운데 상당부분은 여전히 땅에 묻거나 바다에 버려지고 있어 정부나 지방자치단체들이 자연스럽게 폐기물 에너지화에 관심을 쏟고 있는 상황”이라며 “이와 관련해 한국테크놀로지는 현재 국내뿐만 아니라 해외기업과도 수출협의를 진행하고 있다”고 말했다.

한편, 한국테크놀로지는 과열증기 건조기술이라는 원천기술로 폐기물인 하수슬러지를 연료화하는 시설을 상용화한 바 있다. 아울러 수분이 많은 저급석탄을 건조해 고급석탄으로 상품화하는 건조설비도 개발을 완료하고 상용화를 추진하고 있다.

김대웅 (daxiong@edaily.co.kr)

[관련기사]
☞ 98%가 틀리는 문제, 어려워 보이지만 막상 풀어 보면...
☞ 北 미사일 쏜다면 '오전 중'일 가능성 높아
☞ RP매각 14일물 3조 입찰 2시부터 10분간 - 한은
☞ 박 대통령 `개성공단 영원히 폐쇄` 해야-WSJ
☞ [알아두세요]“회사서 짤렸다”..믿을 건 실업급여 뿐



▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 속보 ‘모바일 뉴스 앱’ | 모바일 주식 매매 ‘MP트래블러Ⅱ’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 증권전문가방송 '이데일리 ON', 고객상담센터 1666-2200 | 종목진단/추천 신규오픈
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
