종목명,신문사,시간,제목,본문
에이치엔티,아시아경제,2019.09.24. 오후 3:07,"장 샤레 에이치엔티 사내이사 ""미래 4차산업, '교역'과 '협력' 중요""","[아시아경제 유현석 기자] 장 샤레 에이치엔티 사내이사가 미래 4차 산업혁명에서 교역과 협력의 중요성에 대해 강조했다.

에이치엔티는 장샤레 사내이사가 전날 한불상공회의소(FKCCI)가 주한 캐나다 상공회의소와 대한민국 국회 정세균 의원실과 협력해 국회 본관에서 개최한 ‘자동차 산업에서의 4차 산업혁명’ 특별 포럼 행사에서 기조연설자로 나서 미래 자동차 시장에 대한 견해를 말했다고 24일 밝혔다.

이 날 포럼에서 진행된 기조연설에서 장 샤레 사내이사는 “지난 40년간 세계 경제 발전에 기관차 역할을 한 것이 '교역'이기 때문에 미국과 멕시코, 캐나다 등에 많은 일자리를 창출하고 있는 자동차 업계에서 정부의 역할과 국가 간의 기술 교류 및 융합이 중요해졌고, 사물인터넷(IoT), 3D 프린팅, 나노 기술 등을 융합하는 과정에 바로 4차 산업혁명이 있다”고 설명했다.

그는 “협력 없이는 새로운 시대를 맞이할 수 없고, 과학 기술분야에 있어서 정치는 매우 중요하기 때문에 국제적 협력없이 과학 발전의 혜택을 누릴 수 없을 것”이라며 “한국의 훌륭한 인텔리와 기술을 프랑스의 고도화된 기술과 함께 융합하고 캐나다와 함께 협력해 나간다면 미래 고부가 가치 신성장 동력을 품을 수 있을 것”이라고 강조했다.

그는 제29대 캐나다 퀘백 주 수상 및 부총리를 역임하고 최근 'UN 안전보장이사회 특사'에 임명됐다. 특히 지난 5월 카메라 모듈 및 자율주행 전문 기업인 에이치엔티의 사내이사로 영입됐다. 장 샤레 전 부총리는 포럼 막바지에 이어진 만찬 자리에서 “에이치엔티가 보유하고 있는 자율주행 기술력에 놀라웠고 향후 자율주행 시장에서 에이치엔티의 역할이 더욱 커질 것으로 기대된다”며 “글로벌 시장을 선도하는 기업으로 성장시킬 것”이라고 강한 의지를 드러냈다.

유현석 기자 guspower@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 경제 감각을 키우고 싶다면? ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
에이치엔티,머니S,2019.09.24. 오후 5:25,"장 샤레 에이치엔티 사내이사 “미래 4차 산업, 교역과 협력 중요”","장 샤레 에이치엔티 사내이사. /사진제공=에이치엔티
제29대 캐나다 퀘백 주 수상 및 부총리를 역임하고 최근 ‘UN 안전보장이사회 특사’에 임명돼 외교 중재 역할에 힘쓰고 있는 에이치엔티의 장 샤레(Jean CHAREST) 사내이사가 미래 4차 산업혁명에서 교역과 협력의 중요성에 대해 강조했다.

장 샤레 에이치엔티 사내이사는 한불상공회의소(FKCCI)가 주한 캐나다 상공회의소와 대한민국 국회 정세균 의원실과 협력해 지난 23일 오후 4시 국회 본관에서 개최한 ‘자동차 산업에서의 4차 산업혁명’ 특별 포럼 행사에서 기조연설자로 나서 미래 자동차 시장에 대한 견해를 밝혔다.

이날 포럼에서 진행된 기조연설에서 장 샤레 사내이사는 “지난 40년간 세계 경제 발전에 기관차 역할을 한 것이 '교역'이기 때문에 미국과 멕시코, 캐나다 등에 많은 일자리를 창출하고 있는 자동차업계에서 정부의 역할과 국가 간의 기술 교류 및 융합이 중요해졌다”며 “사물인터넷(IoT), 3D 프린팅, 나노 기술 등을 융합하는 과정에 바로 4차 산업혁명이 있다”고 설명했다.

그는 또 “협력 없이는 새로운 시대를 맞이할 수 없고 과학 기술분야에 있어서 정치는 매우 중요하기 때문에 국제적 협력 없이 과학 발전의 혜택을 누릴 수 없을 것”이라며 “한국의 훌륭한 인텔리와 기술을 프랑스의 고도화된 기술과 함께 융합하고 캐나다와 함께 협력해 나간다면 미래 고부가 가치 신성장 동력을 품을 수 있을 것”이라고 덧붙였다.

특히 지난 5월, 카메라 모듈 및 자율주행 전문 기업인 에이치엔티의 사내이사로 영입된 장 샤레 전 부총리는 포럼 막바지에 이어진 만찬 자리에서 “에이치엔티가 보유한 자율주행 기술력에 놀라웠고 향후 자율주행 시장에서 에이치엔티의 역할이 더욱 커질 것으로 기대된다”며 “글로벌 시장을 선도하는 기업으로 성장시킬 것”이라고 강한 의지를 드러냈다.

이날 포럼 행사에는 정세균 국회의원(한불 의원친선협회 회장, 전 국회의장), 박영선 중소벤처기업부 장관, 이종구 산업통상자원중소벤처기업위원회 위원장, 장병규 4차산업혁명위원회 위원장이 참석했다.

외국 인사로는 장 샤레 캐나다 퀘백 주 수상 및 전 부총리를 비롯해 장-피에르 라파랭(Jean-Pierre RAFFARIN) 전 프랑스 국무총리, 다비드 피엘 잘리콩 (DavidPierre JALICON) 한불상공회의소 회장, 피터 곽(Peter KWAK) 주한 캐나다 상공회의소 회장, 필립 르포르(Philippe LEFORT) 주한 프랑스 대사, 마이클 데나허(Michael DANAGHER) 주한 캐나다 대사가 참석해 자리를 빛냈다.

또한 이날 포럼에는 ‘자동차 산업에서의 4차 산업혁명’이라는 주제로 이경수 서울대학교 기계항공공학부 교수, 소피 슈미틀린 (Sophie SCHMIDTLIN) 르노-닛산 첨단엔지니어링 얼라이언스 글로벌 디렉터와 자율주행 전문기업 엠디이(MDE) 현영진 이사의 발표가 이어졌다.

박성필 기자 feelps@mt.co.kr

▶ 고수들의 재테크 비법 ▶ 박학다식 '이건희칼럼'

<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>"
에이치엔티,파이낸셜뉴스,2019.09.24. 오후 6:42,"장 샤레 에이치엔티 이사 ""자율주행 성공하려면 ‘정책 이해’ 중요하죠"" [fn이사람]","카메라 모듈기술 기반한
자율주행 플랫폼 개발 중
캐나다 연구기관과 협업도
올해 5월 코스닥 카메라 모듈 제조기업인 에이치엔티의 사내이사로 선임된 장 샤레 이사(사진)는 지난 1988년 서울올림픽 당시 캐나다 스포츠장관 자격으로 한국을 방문한 후 30년 만에 다시 한국을 찾았다.

국내 코스닥 상장사의 사내이사로 취임한 그는 자본시장 전문가는 아니다. 1993년 6월 캐나다 부총리로 취임한 후 주변 국가들과 우호적 관계를 형성하며 안정적 관계 유지에 주력했다. 이런 능력을 인정받아 '캐나다 안의 작은 프랑스'로 불리는 퀘벡 주지사가 됐으며 최근에는 캐나다의 유엔 안전보장이사회 비상임이사 선임을 위한 특사로 임명됐다.

샤레 이사는 24일 파이낸셜뉴스와 인터뷰에서 자율주행 신사업을 추진하고 있는 에이치엔티의 성공적 시장진입을 위해 정부 정책을 잘 파악할 필요가 있다고 강조했다.

그는 ""28년간 정치인으로 활동하면서 나프타(북미자유무역협정) 협상 등 무역분야에서 많은 일을 했다""면서 ""그런 경험으로 봤을 때 자율주행 시장은 정부 정책을 이해하는 것이 매우 중요하다. 상용화를 위해서는 정부 정책을 알고 맞춰서 추진할 필요가 있다""고 말했다.

에이치엔티는 2008년 설립된 모바일 기기 카메라 모듈 전문업체다. 고화소 생산 라인업을 보유하고 있으며 지난 5월 한국전자의 최대주주 코아시아의 지분(21.6%)을 인수한 후 카메라 모듈기술을 기반한 자율주행 플랫폼 개발사업을 추진 중이다.

샤레 이사는 에이치엔티의 높은 카메라 모듈기술이 자율주행 시장 선두주자를 가능케 하는 요소라고 주장했다. 특히 아이폰 등 스마트폰과 컴퓨터 분야에 자율주행을 접목하는 데 유리할 수 있다고 밝혔다. 에이치엔티의 경쟁력을 높이 평가한 그는 캐나다 현지 유력 연구기관과 협업도 추진 중이다.

그는 ""우선적으로 자율주행 상용화를 위해 중요한 역할을 할 것""이라면서 ""캐나다 한 연구기관과 에이치엔티를 연계할 수 있도록 추진하고 있다. 어디인지는 확정 사안이 아니라 밝힐 수 없다""고 귀띔했다.

아울러 샤레 이사는 자율주행 사업에서 기술을 통합하는 역량의 중요성을 피력했다. 그는 ""에이치엔티는 카메라 센서 관련 다양한 기술을 보유하고 있기 때문에 리더 역할을 할 수 있다""며 ""한국에서 개화한 5G 시장은 자율주행 현실화에 중요한 역할을 할 전망인데 지금 시점에서 산재한 기술을 통합할 수 있느냐가 관건""이라고 지적했다.

샤레 이사는 자율주행 현실화를 위한 한국 정부와 지방자치단체의 협력을 이끌어내는 데도 주력할 방침이다. 그는 ""기술력도 필요하지만 이를 구현할 수 있는 환경이 조성돼야 한다""면서 ""경제성장을 이룬 한국의 끈기와 진취적 마인드가 자율주행 시장을 주도할 수 있는 DNA를 가지고 있다. 가교 역할을 하기 위해 노력하겠다""고 말했다.

dschoi@fnnews.com 최두선 기자

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에이치엔티,한국일보,2019.09.27. 오전 10:21,"장 샤레 HNT 이사, “협력이 4차 산업혁명 핵심… 에이치엔티 역할 할 것”","“사물인터넷(IoT), 3D 프린팅, 나노 기술 등을 융합하는 과정에 바로 4차 산업혁명이 있습니다.”

제29대 캐나다 퀘백 주 수상 및 부총리를 역임하고 최근 ‘UN 안전보장이사회 특사’에 임명돼 외교 중재 역할에 힘쓰고 있는 카메라 모듈 및 자율주행 전문 기업 에이치엔티(HNT)의 장 샤레(사진) 이사. 그는 지난 23일 한불상공회의소(FKCCI)가 주한 캐나다 상공회의소, 정세균 더불어민주당 의원실과 함께 국회에서 개최한 ‘자동차 산업에서의 4차 산업혁명’ 특별 포럼 행사에서 기조연설을 통해 4차 산업혁명에서 교역과 협력의 중요성을 강조했다.

장 샤레 이사는 “지난 40년간 세계 경제 발전에 기관차 역할을 한 것이 '교역'이기 때문에 미국과 멕시코, 캐나다 등에 많은 일자리를 창출하고 있는 자동차 업계에서 정부의 역할과 국가 간의 기술 교류 및 융합이 중요해졌다”며 “협력 없이는 새로운 시대를 맞이할 수 없고, 과학 기술분야에 있어서 정치는 매우 중요하기 때문에 국제적 협력없이 과학 발전의 혜택을 누릴 수 없을 것”이라고 밝혔다. 그는 특히 “한국의 훌륭한 인텔리와 기술을 프랑스의 고도화된 기술과 함께 융합하고 캐나다와 함께 협력해 나간다면 미래 고부가 가치 신성장 동력을 품을 수 있을 것”이라고 덧붙였다.

그는 지난 5월부터 이사로 영입돼 몸 담고 있는 에이치엔티의 역할도 강조했다. 장 샤레 이사는 “에이치엔티가 보유하고 있는 자율주행 기술력에 놀라웠고 향후 자율주행 시장에서 에이치엔티의 역할이 더욱 커질 것으로 기대된다”며 “글로벌 시장을 선도하는 기업으로 성장시킬 것”이라고 강한 의지를 드러냈다.

이날 행사에는 한불 의원친선협회 회장을 맡고 있는 정세균 의원을 비롯, 박영선 중소벤처기업부 장관, 이종구 산업통상자원중소벤처기업위원회 위원장, 장병규 4차산업혁명위원회 위원장 등이 참석했으며, 외국 인사로는 장 샤레 이사를 비롯해 장-피에르 라파랭 전 프랑스 국무총리, 다비드 피엘 잘리콩 한불상공회의소 회장, 피터 곽 주한 캐나다 상공회의소 회장, 필립 르포르 주한 프랑스 대사, 마이클 데나허 주한 캐나다 대사가 참석해 자리를 빛냈다.

또한 이날 포럼에는 ‘자동차 산업에서의 4차 산업혁명’이라는 주제로 이경수 서울대학교 기계항공공학부 교수, 소피 슈미틀린 르노-닛산 첨단엔지니어링 얼라이언스 글로벌 디렉터와 자율주행 전문기업 엠디이(MDE) 현영진 이사의 발표가 이어졌다.


▶[한국일보 페이스북 친구맺기] [한국일보 홈 바로가기]
▶네이버 채널에서 한국일보를 구독하세요!"
에이치엔티,한국경제TV,2019.09.30. 오전 9:47,"에이치엔티, 전일대비 -11.61% 하락... 이 시각 4만9645주 거래","[한국경제TV 라이온봇 기자]
에이치엔티


장 시작부터 휴대폰 카메라 모듈의 제조 및 유통업체인 에이치엔티(176440)가 하락세를 보이고 있다.
-1.87% 하락출발한 주가는 꾸준히 하락하여 오전 9시 47분 현재 전일대비 -11.61% 수준인 1만1800원을 기록하고 있다.

거래량은 전거래일 대비 37.16% 수준인 4만9645주를 넘어서고 있다.
이 종목 전체 주식수의 0.29%에 해당하는 물량이다.

[그래프]에이치엔티 일봉 차트


[표] 거래원 상위(09:47 기준)
에이치엔티


이 시각 거래소에서 에이치엔티 이외에도 대호에이엘(-10.08%), 네이블(-12.48%), 스타모빌리티(-10.49%), 이글벳(-13.33%), 백광소재(-10.38%) 등이 하락세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
에이치엔티,파이낸셜뉴스,2019.09.30. 오전 9:58,"[fnRASSI]에이치엔티, 당일 거래량 증가하며 6거래일 하락세 지속","에이치엔티(176440)의 당일 거래량이 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 에이치엔티는 6일 연속 하락흐름을 보이며, 9시 56분 현재 19.85% 내린 10,700원에 거래중이다.

주요 투자주체는 개인투자자
최근 한달간 주체별 거래비중을 살펴보면 개인이 88.97%로 가장 높은 참여율을 보였고, 외국인이 8.71%를 보였으며 기관은 0.62%를 나타냈다. 그리고 최근 5일간 거래비중은 개인이 92.56%, 외국인이 5.94%를 기록한 것으로 나타났다.

외국인 보유량 증가, 기관 변화 없음 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 1,380,298주 순매수하였고 마찬가지로 기관은 0주 순매수하였다. 전날 외국인은 1,303주 순매수했지만 기관은 순매수량이 0으로 보유비율 그대로 유지했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에이치엔티,아시아경제,2019.10.02. 오전 10:45,"[특징주] 에이치엔티, 트럼프 대통령 '자율주행차 기술 개발 환영' 소식에 상승","[아시아경제 유현석 기자] 에이치엔티가 상승하고 있따. 도널드 트럼프 미국 대통령이 현대자동차그룹의 자율주행차 기술 개발 투자를 환영한다고 밝힌 것이 영향을 끼친 것으로 보인다.

에이치엔티는 2일 오전 10시45분 기준 전거래일 대비 3.37%(450원) 오른 1만3800원에 거래됐다.

지난달 30일 트럼프 대통령은 자신의 트위터를 통해 ""현대·기아차와 앱티브가 미국에서 자율주행차 기술 개발을 위해 40억달러(약 4조7960억 원) 규모의 합작법인을 설립한다는 '빅뉴스'가 있다""며 ""이는 많은 일자리와 돈($$)이다. 좋은 일자리가 미국으로 돌아오고 있다""고 밝혔다.

현대차그룹은 지난달 23일 미국에 약 2조3900억원(20억달러)을 투자, 앱티브사와 공동으로 미국 현지에 합작법인(JV)를 설립키로 했다고 발표한 바 있다.

에이치엔티는 프랑스 자율주행 전문기업 ‘발레오(VALEO)’의 전 CEO 겸 회장이었던 티에리 모린(Thierry Morin)을 총괄 회장으로 영입하고 자율주행 관련 HD 3D 맵핑을 통한 위치정보 사업 및 위치기반 서비스 사업과 플랫폼 및 정밀지도시스템 구축, 자율주행차량용 라이다(LiDAR), 센서 등 부품 개발 및 제조 등 신사업 항목을 추가해 본격적인 미래 먹거리 시장에 도전장을 내밀었다. 또 미국 내 설립한 인공지능(AI) 전문 자회사인 '팬옵틱스'를 설립했으며 자율주행 전문 기업인 '우모'를 인수한 바 있다.

유현석 기자 guspower@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 경제 감각을 키우고 싶다면? ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
에이치엔티,국민일보,2019.10.08. 오후 4:12,"에이치엔티, 특별관계자 지분변동","에이치엔티는 특별관계자인 (주)대한방수공업사등의 지분율이 5.23%에서 4.4%로 변동했다고 8일 공시했다. 한편, 에이치엔티는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 13,750원, 거래량은 34,213주로, 직전 거래일 대비 변동이없다.



공시 전문으로 이동

* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
에이치엔티,머니투데이,2019.10.16. 오전 8:48,"에이치엔티 ""정부, 자율주행 인프라구축에 사업 속도 기대""","[머니투데이 김건우 기자] 정부가 2024년까지 주요도로에 완전 자율주행 인프라를 구축한다는 정책을 발표한 가운데, 자율주행 사업을 진행해왔던 에이치엔티의 사업이 탄력을 받을 전망이다.

16일 에이치엔티는 보유한 기술력과 네트워크를 동원해 자율주행사업에 승부수를 던질 방침이라고 밝혔다.

국토교통부는 2024년까지 전국 주요 도로에 '레벨4' 수준의 완전자율주행에 필수적인 차량 통신, 정밀지도, 교통관제 시스템, 도로시설을 구축한다. 자율운행차가 자신의 위치·높낮이를 인식하는 기본 데이터인 '3D(입체) 정밀 도로 지도'는 2024년 주요 도로, 2030년 모든 도로(11만㎞)를 반영해 제작된다

카메라 모듈 전문 기업인 에이치엔티는 미래 경쟁력을 확보하기 위해 상반기부터 자율주행 등 신사업에 속도를 내기 시작했다.

에이치엔티는 프랑스 자율주행 전문기업 ‘발레오(VALEO)’의 전 CEO 겸 회장이었던 티에리 모린(Thierry Morin)을 총괄 회장으로 영입했다. 또 미국 내 인공지능(AI) 전문기업인 '팬옵틱스 인더스트리'를 설립하고 이를 통해 글로벌 자율주행 전문기업인 우모(UMO)를 인수했다. 우모는 자율주행차량에 필수적인 3D 지도와 운행 데이터들을 수집해 만드는 플랫폼 구축 전문 회사다.

이처럼 에이치엔티는 자율주행에 최적화된 전문가들과 보유하고 있는 전문 기술력을 통해 자율주행 시장에서 선두주자로 거듭나겠다는 방침이다.

에이치엔티 관계자는 ""미래 자율주행의 경쟁력은 카메라에 센서가 기본”이라며 “ 보유한 다양한 기술 및 인적 네트워크를 통해 국내 뿐만 아니라 세계 시장을 선도하는 기업이 될 것으로 기대하고 있다""고 말했다.

김건우 기자 jai@mt.co.kr

▶부잣집 며느리들의 말못할 사정 [변호사상담]
▶버핏의 6가지 지혜 [투자노트] ▶네이버 구독 추가

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이치엔티,아시아경제,2019.10.16. 오전 8:51,"에이치엔티, 자율주행 '승부수'…정부 2024년 완전 자율주행 인프라 구축","[아시아경제 박형수 기자] 정부가 2024년까지 주요 도로에 완전 자율주행 인프라를 구축한다는 정책을 발표하면서 에이치엔티의 자율주행 사업이 탄력을 받을 것으로 보인다.

에이치엔티는 기술력과 네트워크 등을 바탕으로 자율주행 시장을 선점할 계획이라고 16일 밝혔다.

카메라 모듈 개발업체 에이치엔티는 미래 경쟁력을 확보하기 위해 올 상반기부터 자율주행 사업 부문에서 속도를 내기 시작했다.

회사 측은 자율주행 사업에 전문성을 더하기 위해 프랑스 자율주행 전문기업 ‘발레오(VALEO)’의 티에리 모린(Thierry Morin) 전 최고경영자(CEO)를 총괄회장으로 영입했다.

지난달에는 제29대 캐나다 퀘백주 수상 및 부총리를 역임하고 최근 'UN 안전보장이사회 특사'에 임명된 장 샤레(Jean CHAREST) 사내이사가 방한해 국회에서 미래 4차 산업혁명 속 교역과 협력의 중요성을 역설했다.

에이치엔티는 자율주행 관련 3D 맵핑을 통한 위치정보 사업과 위치기반 서비스 사업, 플랫폼 및 정밀지도시스템 구축, 자율주행차량용 라이다(LiDAR), 센서 등 부품 개발 등을 신사업 항목으로 추가했다.

에이치엔티는 자율주행 기술의 근간이 되는 카메라 모듈 사업을 확대하고 최첨단 기술과 역량을 확보해 글로벌 AI 및 자율주행 전문업체로 성장할 계획이다.

에이치엔티는 미국 내 인공지능(AI) 개발업체 팬옵틱스 인더스트리를 설립하고 세계적인 자율주행 전문업체 '우모(UMO)'를 인수했다. 세계 시장을 선도하는 업체로 성장하기 위한 투자를 이어갔다.

미국에 본사를 둔 '우모(UMO)'는 자율주행차량에 필수적인 3D 지도와 운행 데이터들을 수집해 만드는 플랫폼 구축 전문 회사다. 자율주행 차량이나 지능형 물류 서비스, AI 등 빠르게 성장하는 미래 사업분야에 필요한 중요한 기술을 제공하고 있다.

우모는 세계 최고 수준의 3D 맵핑 전문 기술력을 보유하고 있는 기업 ‘카메라(CARMERA)’와 가로등, 건물 등에 센서를 부착해 이동경로 데이터를 수집하고 스마트 시티 구축에 필요한 디지털 인프라를 제공하는 '누미나(Numina)', 빅데이터를 관리하고 원하는 데이터 결과를 도출하는 분석 기술을 보유한 '시티센스(Citiesense)' 등 유망 기술을 보유하고 있다. 아시아 지역의 판권을 확보하는 등 유수 기업과 파트너십을 맺고 영역을 점차 넓혀가고 있다.

회사 관계자는 ""미래 자율주행 경쟁력은 카메라 센서가 기본”이며 “에이치엔티는 다양한 기술과 인적 네트워크를 통해 국내뿐만 아니라 세계 시장을 선도하는 기업이 될 것""이라고 말했다.

전날 국토교통부는 완전자율주행 등 자동차 신기술 관련 제도와 인프라를 갖추는 데 주력한다고 밝혔다.

정부 '미래 자동차 산업 발전 전략'에 따르면 국토부는 2024년까지 전국 주요 도로(고속도로·국도·주요 도심)에 '레벨4' 수준의 완전자율주행에 필수적인 차량 통신, 정밀지도, 교통관제 시스템, 도로시설을 구축한다.

국토교통부는 과학기술정보통신부와 함께 국제표준 등을 고려해 통신방식(WAVE, 5G-V2X, 두 방식 병행 중)을 결정한 뒤 2024년까지 주요 도로에 적용할 예정이다.

박형수 기자 Parkhs@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 경제 감각을 키우고 싶다면? ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
