종목명,신문사,시간,제목,본문
코센,아시아경제,2019.10.08. 오후 5:31,"코센, 미즈라인 주식 20억원치 취득","[아시아경제 임온유 기자] 코센은 여성의류 업체 미즈라인의 주식 1만7532주를 20억원에 취득한다고 8일 공시했다.

주식 취득 뒤 코센의 미즈라인 지분율은 15.6%가 된다. 주식 취득 예정일은 오는 22일이다.

코센은 이번 주식 취득의 목적을 ""사업다각화, 기존 출자회사와 유통라인 공유 및 합작제품 개발 등 시너지 창출""이라고 설명했다.

임온유 기자 ioy@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 경제 감각을 키우고 싶다면? ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
코센,뉴시스,2019.10.08. 오후 5:32,"[공시]코센, 20억 규모 미즈라인 주식 취득","【서울=뉴시스】김제이 기자 = 코스닥 상장사 코센(009730)은 20억원 규모의 미즈라인 주식 1만7532주 취득하기로 결정했다고 8일 공시했다. 취득금액은 지난해 자기자본 대비 3.76%와 같은 규모이며 취득 후 지분비율은 15.58%다.

회사 측은 취득 목적에 대해 ""사업다각화, 기존 출자회사와 유통라인 공유 및 합작제품 개발 등 시너지 창출""이라고 설명했다.

jey@newsis.com

▶K-Artprice 오픈! 미술품 가격정보 한눈에 보세요

▶ 네이버에서 뉴시스 채널 구독하기

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
코센,한국경제TV,2019.10.11. 오후 2:21,"코센, 전일대비 11.21% 상승중... 이평선 역배열 상황에서 반등 시도","[한국경제TV 라이온봇 기자]
코센


코스닥시장에서 코센(009730)이 장 막판에 큰 폭으로 상승했다.
1.79% 상승출발한 주가는 장중 한 때, 1110원(-0.45%)까지 하락하였지만 다시 회복하여 현재는 11.21% 상승한 1240원을 기록하고 있다.
차트를 살펴보면 5일, 20일, 60일 이동평균선이 역배열인 상황에서 반등흐름이 나와 주가가 20일선을 넘어서는 모습이다.

오늘 코센은 전체 주식수의 0.86%에 해당하는 60만7137주가 거래되고 있는데 전일 거래량 대비 306.74% 수준이다.

[그래프]코센 일봉 차트


[표] 거래원 상위(14:21 기준)
코센


이 시각 거래소에서 코센 이외에도 에코캡(13.13%), 소프트센(11.18%), 미래SCI(11.39%), 내츄럴엔도텍(10.08%), 수성(10.99%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
코센,한국경제,2019.10.11. 오후 2:23,"'코센' 10% 이상 상승, 주가 20일 이평선 상회, 단기·중기 이평선 역배열","◆ 차트 분석
- 주가 20일 이평선 상회, 단기·중기 이평선 역배열
차트상 주가의 흐름은 중기적으로 역배열을 보이고 있지만 단기적으로 반등흐름이 나오면서 20일선을 넘어서는 모습이다.

최근 이 종목의 차트에서 최근 5일 매물대 돌파, 주가 5MA 상향돌파 등의 특이사항이 발생했다.

[그래프]코센 차트 분석


◆ Valuation
- 전일 종가 기준 PER 마이너스, PBR 1.8배
당기순이익 적자로 인해 이 종목의 PER는 마이너스이고, PBR은 1.8배이다. PER는 마이너스라서 금속업종의 평균 PER -13.9배 대비 +9.4배 높은 수준이고, PBR은 금속업종의 평균 PBR 1.0배 대비 +0.8배 높은 수준으로 업종 내에서 상위 12%에 위치한다.

[표]코센 Valuation


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
코센,한국경제TV,2019.10.14. 오후 2:40,"코센, 상승흐름 전일대비 +10.19%... 최근 주가 반등 흐름","[한국경제TV 라이온봇 기자]
코센


코스닥시장에서 금속제품의 제조 및 유통업체인 코센(009730)이 장 막판 급등세를 나타내고 있다.
0.38% 상승출발한 주가는 꾸준히 올라 오후 2시 40분 현재 전일대비 10.19% 수준인 1460원을 기록하고 있다.
차트를 살펴보면 단기간에 골든크로스를 만들고 주가가 60일선까지 뚫고 가는 모습이다.

거래량은 전거래일 대비 90.57% 수준인 219만8551주를 넘어서고 있다.
이 종목 전체 주식수의 3.13%에 해당하는 물량이다.

[그래프]코센 일봉 차트


[표] 거래원 상위(14:40 기준)
코센


이 시각 거래소에서 코센 이외에도 이에스에이(10.51%), 에이치엘비생명과학(10.07%), 삼본전자(10.24%), 에이치엘비파워(10.6%), 동구바이오제약(10.67%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
코센,한국경제,2019.10.14. 오후 2:43,"'코센' 10% 이상 상승, 주가 상승 중, 단기간 골든크로스 형성","◆ 차트 분석
- 주가 상승 중, 단기간 골든크로스 형성
추세선으로 보면 단기간에 골든크로스를 만들고 주가가 60일선까지 뚫고 가는 모습이다.

최근 이 종목의 차트에서 삼선전환도(양전환), 최근 5일 매물대 돌파, 최근 5일 매물대 돌파 등의 특이사항이 발생했다.

[그래프]코센 차트 분석


◆ Valuation
- 전일 종가 기준 PER 마이너스, PBR 2.2배
당기순이익 적자로 인해 이 종목의 PER는 마이너스이고, PBR은 2.2배이다. PER는 마이너스라서 금속업종의 평균 PER -14.3배 대비 +9.0배 높은 수준이고, PBR은 금속업종의 평균 PBR 1.0배 대비 +1.2배 높은 수준으로 업종 내에서 상위 11%에 위치한다.

[표]코센 Valuation


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
코센,한국경제TV,2019.10.18. 오후 12:41,"코센, 하락흐름 전일대비 -10.47%... 이 시각 91만4055주 거래","[한국경제TV 라이온봇 기자]
코센


18일 오후 금속제품의 제조 및 유통업체로 알려진 코센(009730)이 크게 하락하고 있다.
0.34% 상승출발한 주가는 꾸준히 하락하여 오후 12시 41분 현재 전일대비 -10.47% 수준인 1325원을 기록하고 있다.

오늘 코센은 전체 주식수의 1.3%에 해당하는 91만4055주가 거래되고 있는데 전일 거래량 대비 116.12% 수준이다.

[그래프]코센 일봉 차트


[표] 거래원 상위(12:41 기준)
코센


이 시각 거래소에서 코센 이외에도 큐에스아이(-10.68%)가 하락세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
코센,한국경제,2019.10.23. 오후 12:35,"'코센' 10% 이상 상승, 주가 상승 중, 단기간 골든크로스 형성","◆ 차트 분석
- 주가 상승 중, 단기간 골든크로스 형성
이 시간 차트의 흐름은 단기간에 골든크로스를 만들고 주가가 60일선까지 뚫고 가는 모습이다.

이 종목의 차트에서 최근에 주가 5MA 상향돌파 등을 확인할 수 있다

[그래프]코센 차트 분석


◆ 주체별 매매동향
- 전일 외국인 대량 순매도
지난 한달을 기준으로 보면 기관이 3.8만주를 순매수했고, 개인들도 29.4만주를 순매수했다. 반면 그동안 외국인은 33.5만주를 순매도했다. 같은 기간 이 종목의 거래비중은 외국인과 개인이 각각 10.6%, 86.9%로 비중이 높다.
더욱이 전일 외국인이 대량 순매도를 하고 있어 투자자들의 관심이 집중되고 있다.

[그래프]코센 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
코센,한국경제TV,2019.10.23. 오후 1:40,"코센, 전일대비 10.0% 올라... 최근 주가 반등 흐름","[한국경제TV 라이온봇 기자]
코센


금속제품의 제조 및 유통업체인 코센(009730)이 오후에 들어서 강세를 보이고 있다.
-4.14% 하락출발한 주가는 장중 한 때, 1350원(-6.9%)까지 밀렸다가 다시 올라 현재는 1595원(10.0%)까지 상승했다.
차트를 살펴보면 단기간에 골든크로스를 만들고 주가가 60일선까지 뚫고 가는 모습이다.

거래량은 전거래일 대비 195.04% 수준인 364만331주를 넘어서고 있다.
이 종목 전체 주식수의 5.18%에 해당하는 물량이다.

[그래프]코센 일봉 차트


[표] 거래원 상위(13:40 기준)
코센


이 시각 거래소에서 코센 이외에도 두산솔루스1우(29.96%), 서플러스글로벌(10.04%), 헬릭스미스(10.33%), 랩지노믹스(10.12%), 디자인(10.27%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
코센,국민일보,2019.10.25. 오후 5:23,코센 불성실 공시법인 지정예고,"코센은 공시변경으로 불성실 공시법인으로 지정예고 됐다고 25일 공시했다.

사유는 유상증자 납입기일을 6개월 이상 변경이며, 불성실 공시법인 지정여부 결정시한은 2019년 11월 19일이다.

한편, 코센은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 1,515원, 거래량은 982,098주로, 직전 거래일 대비 60원(-3.81%) 하락했다.

공시 전문으로 이동

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
