종목명,신문사,시간,제목,본문
라이트론,국민일보,2019.10.22. 오후 3:27,"라이트론, 특별관계자 지분변동","라이트론은 대산주택(주) 및 특별관계자의 지분율이 5.9%에서 7.83%로 변동했다고 22일 공시했다. 한편, 라이트론은 거래정지 상태이다.



공시 전문으로 이동

* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
라이트론,국민일보,2019.11.26. 오후 2:42,"라이트론, 특별관계자 지분변동","라이트론은 대산주택(주) 및 특별관계자의 지분율이 7.83%에서 5.9%로 변동했다고 26일 공시했다. 한편, 라이트론은 거래정지 상태이다.



공시 전문으로 이동

* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
라이트론,머니투데이,2019.11.29. 오전 7:59,"바른테크놀로지, 라이트론에 100억원 대여…'자기자본 66%'","[머니투데이 김평화 기자] 바른테크놀로지가 (주)라이트론에 100억원 규모 금전대여를 결정했다고 29일 공시했다.

이는 자기자본(150억6953만9635원) 대비 66.36%에 해당하는 규모다. 대여금에 적용되는 금리는 연 6%다.

회사 측은 ""5G 사업투자 및 경영참여를 위한 금전 대여""라고 밝혔다. 대여기간은 내년 3월31일까지다.

김평화 기자 peace@mt.co.kr

▶아빠와 성이 다른 딸, 청첩장 어떡하죠
▶0.000001% 부자의 금욕 생활 ▶이수근 방송에 못 나온다?

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
라이트론,파이낸셜뉴스,2019.11.29. 오전 8:45,"[공시] 바른테크놀로지, 라이트론에 100억원 대여","[파이낸셜뉴스] 바른테크놀로지는 5G 사업투자 및 경영참여를 위해 라이트론에 100억원 규모의 금전대여를 결정했다고 29일 공시했다.

이는 지난해 연결기준 자기자본의 66.36%에 해당하는 규모다. 이자율은 연 6%다.

대여기간은 내년 3월31일까지다.

map@fnnews.com 김정호 기자

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
라이트론,국민일보,2019.12.10. 오후 5:44,"라이트론, 특별관계자 지분변동","라이트론은 (주)상상인플러스저축은행 및 특별관계자의 지분율이 5.28%에서 0.0%로 변동했다고 10일 공시했다. 한편, 라이트론은 거래정지 상태이다.



공시 전문으로 이동

* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
라이트론,머니투데이,2019.12.23. 오전 7:47,"라이트론, 회생절차 종결 신청","[머니투데이 박미주 기자]
라이트론이 대전지방법원에 채무자회사에 대한 회생절차 종결을 신청했다고 23일 공시했다.

라이트론은 지난 6월 회생절차 개시 결정을 받았고 이달 6일 회생계획 인가 결정을 받았다. 채무총액 약 349억8300만원 중 지난 20일까지 약 178억5300원을 변제했다. 변제율은 51.03%다.

라이트론은 향후 종결신청에 대한 법원 결정이 있을 경우 즉시 공시하겠다고 밝혔다.

박미주 기자 beyond@mt.co.kr

▶지창욱 흡연영상, 표현의 자유?
▶장모 명의로 바뀐 집, 이혼하면… ▶네이버 구독하기

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
라이트론,이데일리,2019.12.23. 오전 8:58,"라이트론, 법원에 회생절차 종결 신청","[이데일리 박종오 기자] 라이트론(069540)은 지난 20일 대전지방법원에 회생 절차 종결을 신청했다고 23일 공시했다. 법원은 앞서 지난 6월 7일 라이트론의 회생 절차 개시를, 이달 6일에는 회생 계획 인가를 결정했다. 라이트론은 회생 계획안에 따른 전체 채무 349억8306만원 중 51.03%인 178억5300만원을 갚았다. 아직 변제하지 않은 전환사채, 신주인수권부사채 등 채무는 회생 계획안에 따라 갚을 예정이다. 회사 측은 “지금까지 충실히 회생 계획을 이행했고 앞으로도 회생 계획 수행에 지장이 있다고 인정될 만한 사안이 없다고 판단해 회생 절차 종결을 신청했다”며 “법원 결정이 있을 경우 즉시 공시할 예정”이라고 밝혔다.

박종오 (pjo22@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]
꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
라이트론,아시아경제,2019.12.23. 오전 9:15,"라이트론, 회생절차 종결 신청","[아시아경제 오주연 기자] 라이트론은 지난 20일 대전지방법원에 회생절차 종결을 신청했다고 23일 공시했다. 라이트론은 지난 6월 7일 회생절차 개시결정을 받았고 12월6일 대전지방법원으로부터 회생계획 인가 결정을 받았다.

회생계획안에 따른 채무 총액 349억8306만125원 중 회생절차 종결 신청일까지 178억5299만9180원을 변제했으며 변제율은 51.03%다.

회사 측은 ""미변제 채권 중 회사채(CB,BW) 채무에 대한 변제는 회생계획안의 변제방법에 따라 변제할 예정""이라며 ""지금까지 충실히 회생계획을 이행했고 앞으로도 달리 회생계획의 수행에 지장이 있다고 인정될 만한 사안이 없다고 판단돼 채무자 회생 및 파산에 관한 법률 제283조 제1항 제1호에 따라 채무자 회사에 대한 회생절차 종결 신청했다""고 설명했다.

오주연 기자 moon170@asiae.co.kr

▶ 2020년 경자년(庚子年), 나의 신년운세와 토정비결은?
▶ 즉석당첨! 아시아경제 구독하고 세로TV받자! ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
라이트론,국민일보,2019.12.23. 오후 2:06,"라이트론, 특별관계자 지분변동","라이트론은 한앤파트너스자산운용 및 특별관계자의 지분율이 5.74%에서 0.0%로 변동했다고 23일 공시했다. 한편, 라이트론은 거래정지 상태이다.



공시 전문으로 이동

* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
라이트론,매일경제,2019.12.23. 오후 5:46,[코스닥 공시] 나무가 / 해마로푸드서비스 / 라이트론,"◇나무가=최대주주 지분 21.62%를 드림텍에 매각. 거래 가격은 389억원.

◇해마로푸드서비스=사모펀드(PEF)로 매각된 이후 신규 이사 선임 차 주주총회 소집.

◇라이트론=한앤파트너스자산운용, 투자 목적으로 지분 5.74% 보유 신규 공시.

▶기사공유하고 코인적립하세요 'M코인'
▶네이버 메인에서 '매일경제'를 받아보세요 ▶뉴스레터 '매콤달콤' 구독
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
