종목명,신문사,시간,제목,본문
마이스코,머니투데이,2012.10.16. 오후 5:37,"마이스코, 10억규모 유상증자 실시","[머니투데이 송선옥 기자]마이스코는 운용자금 마련을 위해 9억9900만원 규모의 일반 공모 유상증자를 실시한다고 16일 공시했다. 신주 발행수는 73만8000주로 발행가액은 1355원이다.

[머니투데이 핫뉴스]
☞ 삼성 고졸女사원 132억 로또대박? 사실은...
☞ ""백화점보다 싸고 좋은 옷"" 日 수십만명이…
☞ 97학번 30대 ""집 안사""…강남 집값 더 빠진다
☞ ""악! 내 손"" 비명 지른 박근혜, 무슨 일?
☞ 파격언행 김성주 ""그레이스 언니(朴) 택한 건…""

송선옥기자 oops@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
마이스코,이데일리,2012.10.16. 오후 5:41,"마이스코, 10억원 규모 유증 결정","[이데일리 임성영 기자] 마이스코(088700)는 운영자금 마련을 위해 9억9999만원 규모의 일반공모 유상증자를 결정했다고 16일 공시했다.

신주발행가액은 1355원이며 청약일은 오는 31일부터 내달 1일까지다. 납입일은 11월 1일이고, 신주 상장 예정일은 11월 20일.





임성영 (rosa8341@edaily.co.kr)

[관련기사]
☞이번주 재테크 캘린더"
마이스코,한국경제,2012.10.17. 오전 3:05,[코스닥 증자공시] (16일) 마이스코 등,"▲마이스코=9억9999만원 규모 일반공모 유상증자 결정.

▲오리엔탈정공=총 1246억2000만원 규모 3자배정 유상증자 3건 결정.

▶ 팽현숙 ""나처럼 성경험이 많은 여자는…"" 폭탄 발언

▶ 유명 가수 음란사진 누출? 알고보니 '식스센스급' 반전

▶ '미쓰에이' 수지, 비속어 사용 충격, 알고보니…

▶ 이병헌, ""연애 잘 되가냐"" 질문에 버럭

▶ [포토] 신세경, 밀착 롱드레스 실루엣 '아찔'

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한국경제신문, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
마이스코,머니투데이,2012.10.19. 오후 3:01,"마이스코, SW사업 및 자원무역 사업목적에 추가","[머니투데이 황국상 기자]마이스코는 19일 임시주주총회에서 소프트웨어 자문·개발·공급과 TV 등 방송매체 프로그램 기획·제작·납품 및 자원무역 등 사업을 사업목적에 추가키로 결정했다고 공시했다.

[머니투데이 핫뉴스]
☞ 강남살해범 ""흉기, 1달전부터 전처부부 혼내려""
☞ ""라면 1봉지 1800원이라니…"" 대체 무슨 맛?
☞ [단독]유시민 딸 ""성폭력 2차 가해자 몰려…"" 시끌
☞ ""25년전 '블랙먼데이' 같은 주가폭락 온다""
☞ 강남 살인범 ""칼은 전처 새남편 혼내려고…""(3보)

황국상기자 gshwang@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
마이스코,헤럴드POP,2012.10.23. 오전 11:06,"<생생코스닥>마이스코, BW 행사가 2130→1800원","마이스코는 시가하락에 따라 신주인수권행사가액을 2130원에서 1800원으로 조정한다고 23일 공시했다.

조정후 행사가능 주식수는 273만8211주로 늘어나게 된다.

[오늘의 인기기사]
◆ 오원춘, 수감감옥 ‘5성급 호텔?’…비난 폭발
◆ 하늘이 노했다? ‘악마구름’ 등장에 술렁
◆ 톱여배우들 8년 전 오디션 모습 비교해 봤더니 ‘충격’
◆ 화성인 1억 협찬녀, 옷부터 성형까지 ‘경악’
◆ 로또 2등 당첨금이 79만원 ‘최악의 날’
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
마이스코,매일경제,2012.10.23. 오전 11:20,"[공시] 마이스코, 신주인수권행사가액 하향 조정","마이스코는 시가하락에 따라 신주인수권행사가액을 2130원에서 1800원으로 하향 조정키로 했다고 23일 공시했다.
이로써 행사가능 주식수는 273만8211주로 늘어났다.
[류영상 기자]

▶ ""섹시 란제리 완벽 소화""…아이비, 도발적 화보 공개

▶ 주걱턱 20대女, 3천들여 수술했더니 `경악`

▶ ‘박재상 결승타’ SK, 6년 연속 KS행

▶ 소녀시대 윤아 `태연 언니와 매력 대결`

▶ 한채영 닮은꼴, 인형녀 성인지가 나타났다!

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
마이스코,머니투데이,2012.10.29. 오전 8:58,"마이스코, 유증 발행가 확정","[머니투데이 배준희 기자]마이스코는 90여만주 규모의 유상증자의 최종 발행가액이 1105원으로 확정됐다고 29일 공시했다.

[머니투데이 핫뉴스]

배준희기자 gatsby@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
마이스코,파이낸셜뉴스,2012.10.29. 오전 9:02,마이스코 유상증자 발행가액 1105원으로 확정,"마이스코는 유상증자 최종 발행가액이 1105원으로 확정됐다고 밝혔다. 발행주식은 90만4800주다.



cynical73@fnnews.com 김병덕 기자

■ 오늘의 핫뉴스
▶ ‘진중권 VS 누리꾼’ 맞장토론 결과는?
▶ 줄 서서 기다리는 ‘떡볶이집’..서울 best 6
▶ NYT, “빌보드 순위방식 변경, 싸이 최대수혜” 일침
▶ 점심 후 사무실만 오면 졸린 이유는?
▶ ‘슈스케4’ 투표논란, 심사위원과 대중의 음악적 시선 차이?


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
마이스코,헤럴드POP,2012.10.29. 오전 9:06,"<생생코스닥>마이스코, 유상증자 최종발행가 1105원 확정","마이스코는 유상증자 최종발행가액이 1105원으로 확정됐다고 29일 공시했다.

90만4800주가 발행될 예정이다.

[오늘의 인기기사]
◆ 싸이 말춤 ‘표절’ 증거 나왔다고?
◆ 니콜 다이어트 식단…“알고보니 독종, 저걸 먹고 어떻게 살아”
◆ 여자가 느낄 군대…“시어머니 20명? 여기가 바로 지옥 시월드”
◆ 진중권과 ‘끝장토론’ 벌인 간결, “역부족이었다, 사과한다”
◆ 싸움 잘 할 것 같은 자세…불타는 이글아이 “잡아먹겠네”
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
마이스코,매일경제,2012.10.29. 오전 9:06,"[공시] 마이스코, 유증 최종발행가액 확정","마이스코는 유상증자 최종 발행가액을 1105원으로 확정했다고 29일 공시했다.
이번 유상증자 발행 예정 주식 총수는 90만4800주다.
[김지형 기자]

▶ 박솜, 청순한 그녀의 도발적 매력을 파헤치다!

▶ 20대 女은행원 ""~XX 생각나요?"" 고객 한마디에…

▶ 박하선, `스트레칭 하는 모습도 귀여워~`

▶ 초미니 치어리더 `깜찍 혹은 섹시`

▶ ‘비키니 룩’ 선보인 황인영 스타화보 인기, 그 이유는?

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
