종목명,신문사,시간,제목,본문
화신테크,국민일보,2019.11.12. 오후 5:43,"화신테크, 특별관계자 지분변동","화신테크는 (주)상상인저축은행 및 특별관계자의 지분율이 0%에서 0.00%로 변동했다고 12일 공시했다. 한편, 화신테크는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 1,790원, 거래량은 99,418주로, 직전 거래일 대비 변동이없다.



공시 전문으로 이동

* 주식등의 대량보유상황보고서는 특수관계인을 포함한 개인이나 법인이 상장회사 지분을 5%이상 보유하게 될 경우에 5일 이내 발표하는 지분공시다. 일명 ""5%룰""이라고도 불리며, 주식을 추가로 매입하거나, 매각해 1% 이상의 지분변동이 생겨도 5일 이내에 공시해야 한다.

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
화신테크,조선비즈,2019.11.14. 오전 10:40,"화신테크, +4.86% 상승폭 확대","화신테크(086250)가 상승폭을 확대하고 있다. 전일 대비 4.86% 상승한 1,835원에 거래되고 있다.


화신테크 연관 테마
우리산업(215360), 우리산업홀딩스(072470), 한온시스템(018880), S&T모티브(064960), 우수AMS(066590), 성창오토텍(080470), 자화전자(033240), 한국단자(025540), 만도(204320), 현대모비스(012330), LG전자(066570), 테라셈(182690), 화신테크(086250), 대우부품(009320), 아비코전자(036010), LS(006260), 성문전자(014910), 에스앤씨엔진그룹(900080), 엠에스오토텍(123040), 로스웰(900260), 파버나인(177830), 코다코(046070), 삼화전기(009470), 에코캡(128540), 화승알앤에이(013520), KEC(092220), 디아이씨(092200)

화신테크의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 16,729주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 동일했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com"
화신테크,파이낸셜뉴스,2019.11.21. 오전 10:43,"[fnRASSI]화신테크, 당일 거래량 증가하며 3거래일 하락세 지속","화신테크(086250)의 당일 거래량이 최근 5거래일 거래량의 최고치를 경신하며 투자자들의 관심을 받고 있다. 그리고 현재 전 거래일보다 4.49% 감소하여 3일 연속 하락흐름을 보이고 있다.


지표
항목
값
종합점수
성장성
매출액증가율
-0.11
1.87
자기자본증가율
-0.36
안정성
부채비율
263.44
2.82
유동비율
66.1
이익안정성
4.72
수익성
ROA
-27.23
0.29
ROE
-98.97
영업이익율
-51.18


화신테크의 퀀트 재무 점수는 4.98점으로 지난 분기에 비해 성장성 점수가 하락했다. 이는 매출액 증가율과 자기자본 증가율이 감소하였기 때문이다. 부채비율이 감소하여 안정성 종합 점수는 상승했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 하락하여 이전보다 낮은 점수를 받았다.



매매주체는개인,외국인
최근 한달간 주체별 거래비중을 살펴보면 개인이 82.18%, 외국인이 16.32%를 기록한 것으로 나타났다. 그리고 최근 5일간 거래비중은 개인 비중이 85.13%로 가장 높았고, 외국인이 13.74%로 그 뒤를 이었다. 기관은 거래에 참여하지 않은 것으로 보인다.

'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]
▶ 세상에 이런일이 [fn파스]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
화신테크,조선비즈,2019.11.22. 오전 10:39,"화신테크, +6.65% VI 발동","화신테크(086250)가 VI가 발동했다. 전일 대비 6.65% 상승한 1,685원에 거래되고 있다.


화신테크 연관 테마
우리산업(215360), 우리산업홀딩스(072470), 한온시스템(018880), S&T모티브(064960), 우수AMS(066590), 성창오토텍(080470), 자화전자(033240), 한국단자(025540), 만도(204320), 현대모비스(012330), LG전자(066570), 테라셈(182690), 화신테크(086250), 대우부품(009320), 아비코전자(036010), LS(006260), 성문전자(014910), 에스앤씨엔진그룹(900080), 엠에스오토텍(123040), 로스웰(900260), 파버나인(177830), 코다코(046070), 삼화전기(009470), 에코캡(128540), 화승알앤에이(013520), KEC(092220), 디아이씨(092200), 현대위아(011210)

화신테크의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 31,446주를 순매도했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 10.48% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com

[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]"
화신테크,한국경제TV,2019.11.22. 오전 10:41,"화신테크, 전일대비 14.87% 상승... 이 시각 거래량 15만3673주","[한국경제TV 라이온봇 기자]
화신테크


22일 오전 자동차용 프레스 금형 및 특수금형 제조, 판매업체로 알려진 화신테크(086250)가 큰 폭으로 상승했다.
-2.85% 하락출발한 주가는 꾸준히 상승하여 오전 10시 41분 현재는 전일대비 14.87% 수준인 1815원을 기록하고 있다.
차트를 살펴보면 5일, 20일, 60일 이동평균선이 역배열인 상황에서 반등흐름이 나와 주가가 20일선을 넘어서는 모습이다.

거래량은 전거래일 대비 36.67% 수준인 15만3673주를 넘어서고 있다.
이 종목 전체 주식수의 1.13%에 해당하는 물량이다.

[그래프]화신테크 일봉 차트


[표] 거래원 상위(10:41 기준)
화신테크


이 시각 거래소에서 화신테크 이외에도 스카이문스테크놀로지(29.91%), 씨에스베어링(10.28%), 큐브엔터(13.83%), 초록뱀(11.57%), 캐리소프트(10.65%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
화신테크,조선비즈,2019.11.22. 오전 10:42,"화신테크, +9.18% 상승폭 확대","화신테크(086250)가 상승폭을 확대하고 있다. 전일 대비 9.18% 상승한 1,725원에 거래되고 있다.


화신테크 연관 테마
우리산업(215360), 우리산업홀딩스(072470), 한온시스템(018880), S&T모티브(064960), 우수AMS(066590), 성창오토텍(080470), 자화전자(033240), 한국단자(025540), 만도(204320), 현대모비스(012330), LG전자(066570), 테라셈(182690), 화신테크(086250), 대우부품(009320), 아비코전자(036010), LS(006260), 성문전자(014910), 에스앤씨엔진그룹(900080), 엠에스오토텍(123040), 로스웰(900260), 파버나인(177830), 코다코(046070), 삼화전기(009470), 에코캡(128540), 화승알앤에이(013520), KEC(092220), 디아이씨(092200), 현대위아(011210)

화신테크의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 31,446주를 순매도했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 10.48% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com

[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]"
화신테크,조선비즈,2019.11.25. 오전 11:32,"화신테크, +8.51% 상승폭 확대","화신테크(086250)가 상승폭을 확대하고 있다. 전일 대비 8.51% 상승한 2,040원에 거래되고 있다.


화신테크 연관 테마
우리산업(215360), 우리산업홀딩스(072470), 한온시스템(018880), S&T모티브(064960), 우수AMS(066590), 성창오토텍(080470), 자화전자(033240), 한국단자(025540), 만도(204320), 현대모비스(012330), LG전자(066570), 테라셈(182690), 화신테크(086250), 대우부품(009320), 아비코전자(036010), LS(006260), 성문전자(014910), 에스앤씨엔진그룹(900080), 엠에스오토텍(123040), 로스웰(900260), 파버나인(177830), 코다코(046070), 삼화전기(009470), 에코캡(128540), 화승알앤에이(013520), KEC(092220), 디아이씨(092200), 현대위아(011210)

화신테크의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 71,285주를 순매도했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 5.62% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com

[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]"
화신테크,조선비즈,2019.11.25. 오전 11:33,"화신테크, +9.84% VI 발동","화신테크(086250)가 VI가 발동했다. 전일 대비 9.84% 상승한 2,065원에 거래되고 있다.


화신테크 연관 테마
우리산업(215360), 우리산업홀딩스(072470), 한온시스템(018880), S&T모티브(064960), 우수AMS(066590), 성창오토텍(080470), 자화전자(033240), 한국단자(025540), 만도(204320), 현대모비스(012330), LG전자(066570), 테라셈(182690), 화신테크(086250), 대우부품(009320), 아비코전자(036010), LS(006260), 성문전자(014910), 에스앤씨엔진그룹(900080), 엠에스오토텍(123040), 로스웰(900260), 파버나인(177830), 코다코(046070), 삼화전기(009470), 에코캡(128540), 화승알앤에이(013520), KEC(092220), 디아이씨(092200), 현대위아(011210)

화신테크의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 71,285주를 순매도했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 5.62% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]



chosunbiz.com

[조선비즈 창간 10주년 기획 '다시쓰다 도시3.0' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]"
화신테크,한국경제TV,2019.11.25. 오전 11:34,"화신테크, 전일대비 +10.37%... 이 시각 거래량 107만7183주","[한국경제TV 라이온봇 기자]
화신테크


25일 오전 자동차용 프레스 금형 및 특수금형 제조, 판매업체로 알려진 화신테크(086250)가 큰 폭으로 상승했다.
보합으로 출발한 주가는 장중 한 때, 1810원(-3.72%)까지 밀렸다가 다시 회복하여 현재는 10.37% 상승한 2075원을 기록하고 있다.
차트를 살펴보면 중기 추세상으로는 역배열 구간에 있지만 단기적으로는 정배열 구간에서 상승흐름을 이어왔다.

오늘 화신테크는 전체 주식수의 7.94%에 해당하는 107만7183주가 거래되고 있는데 전일 거래량 대비 39.28% 수준이다.

[그래프]화신테크 일봉 차트


[표] 거래원 상위(11:34 기준)
화신테크


이 시각 거래소에서 화신테크 이외에도 티움바이오(14.5%), 퓨전(11.2%), 코닉글로리(18.88%), 우리바이오(10.76%), 조광ILI(11.42%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
화신테크,한국경제TV,2019.12.02. 오전 9:32,"화신테크, 상승출발 후 현재 +12.68%... 최근 주가 반등 흐름","[한국경제TV 라이온봇 기자]
화신테크


장 시작부터 자동차용 프레스 금형 및 특수금형 제조, 판매업체인 화신테크(086250)가 높은 상승세를 보이고 있다.
2.65% 상승출발한 주가는 장중 한 때, 1695원(0.0%)까지 하락하였지만 다시 회복하여 현재는 12.68% 상승한 1910원을 기록하고 있다.
차트를 살펴보면 중기 추세상으로는 역배열 구간에 있지만 단기적으로는 정배열 구간에서 상승흐름을 이어왔다.

거래량은 17만5138주로 전거래일 대비 91.39% 수준이다.
이는 화신테크 전체 주식수의 1.29%에 해당하는 물량이다.

[그래프]화신테크 일봉 차트


[표] 거래원 상위(09:32 기준)
화신테크


이 시각 거래소에서 화신테크 이외에도 핸디소프트(29.97%), 한국맥널티(12.73%), 에스티큐브(13.37%), KBI메탈(10.12%), 해성산업(10.12%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
