종목명,신문사,시간,제목,본문
UCI,파이낸셜뉴스,2020.03.03. 오후 7:42,"UCI ""바이오엑스 43.81% 지분취득.. 최대주주 지위 확보""","[파이낸셜뉴스] 유씨아이(UCI)는 200억원 규모의 전환사채(CB)를 발행했다고 3일 공시했다.

UCI에 따르면 이번 CB발행으로 바이오 관련 투자기업 바이오엑스(대표이사 이호준)의 지분 30.88%(655,742주)를 취득했다. 지난해 12월 인수했던 지분 12.93%(274,486주)를 합하면 바이오엑스 지분 43.81%(930,228주)로 최대주주 지위를 확보하게 된다.

UCI의 계열사로 편입되는 바이오엑스는 수소 사업부와 바이오 투자 사업부로 구성된 회사다.

바이오엑스의 수소 사업부는 음식물 쓰레기를 활용해 수소를 생산, 판매하는 사업을 추진하고 있다.

UCI에 따르면 이 기술은 미국 바이오업체인 EAT(Electro Active Technologies)로부터 국내 독점 판매권을 취득했고 국내에서 사업을 진행하고 있다. 바이오 투자 사업부는 미국이나 유럽의 저평가된 바이오회사를 인수해 상장시키거나 한국에 필요한 기술을 한국 회사에 매각하는 사업을 하고 있다. 주로 사람을 대상으로하는 '휴먼(humna) 바이오'가 아닌, 임상 절차가 필요없는 '넌휴먼(non human) 바이오' 쪽에 집중을 하고 있다.

UCI는 시간이 오래걸리고 막대한 비용이 투입되는 휴먼 바이오가 아닌 특별한 임상이 필요없는 넌휴먼 바이오 투자에 강한 바이오엑스에 신규 동력원을 투입한 셈이다.

UCI 김병양 대표는 ""교육 사업을 기반으로 사업을 운영하면서 신규사업으로 미래성장산업인 바이오사업을 추진하고 있다""며 ""안정적인 최대주주 지위 확보를 위해 바이오엑스 지분을 추가 취득했다""라고 말했다.

ohcm@fnnews.com 오충만 기자

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
UCI,조선비즈,2020.03.04. 오전 11:27,"UCI, +8.08% 상승폭 확대","UCI(038340)가 상승폭을 확대하고 있다. 전일 대비 8.08% 상승한 3,945원에 거래되고 있다.



UCI의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 24,132주를 순매도했으며, 기관은 3주를 순매도 했다. 같은 기간 주가는 1.67% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
UCI,조선비즈,2020.03.12. 오후 3:01,"UCI, -10.45% VI 발동","UCI(038340)가 VI가 발동했다. 전일 대비 10.45% 하락한 3,385원에 거래되고 있다.



UCI의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 21,939주를 순매도했으며, 기관은 1,824주를 순매도 했다. 같은 기간 주가는 6.20% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
UCI,조선비즈,2020.03.19. 오전 11:12,"UCI, -9.27% VI 발동","UCI(038340)가 VI가 발동했다. 전일 대비 9.27% 하락한 2,985원에 거래되고 있다.



UCI의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 3,484주를 순매수했으며, 기관은 2주를 순매수 했다. 같은 기간 주가는 9.37% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
UCI,이데일리,2020.03.24. 오후 3:23,"UCI, 전진국 사외이사 신규 선임","[이데일리 박태진 기자] UCI(038340)는 최거훈 사외이사가 일신상의 사유로 중도퇴임하고 전진국 씨를 사외이사로 신규선임했다고 24일 공시했다. 전 이사의 임기는 이날부터 2023년 3월 24일까지다.

박태진 (tjpark@edaily.co.kr)

네이버에서 ‘이데일리’ 구독하기▶
청춘뉘우스~ 스냅타임▶


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
UCI,조선비즈,2020.03.25. 오전 9:11,"UCI, +5.76% 상승폭 확대","UCI(038340)가 상승폭을 확대하고 있다. 전일 대비 5.76% 상승한 3,215원에 거래되고 있다.



UCI의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 9,970주를 순매도했으며, 기관은 1주를 순매도 했다. 같은 기간 주가는 7.60% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
UCI,뉴스1,2020.03.28. 오후 12:08,'UCI GFWS 어라운드 삼척2020' 4월11일에서 7월4일로 연기,"지난 2017년 강원 삼척시에서 개최된 UCI GFWS 어라운드 대회 (삼척시 제공) 2020.3.28 © 뉴스1

(삼척=뉴스1) 장시원 인턴기자 = 강원 삼척시에서 4월11일 개최 예정이었던 'UCI GFWS 어라운드 삼척 2020' 대회가 7월4일로 연기됐다.

28일 시는 신종 코로나바이러스 감염증(코로나19) 여파로 행사에 참여한 세계 각국 선수들과 국내 선수들의 감염 우려를 위해 이 같은 결정을 했다고 밝혔다.

이에 시는 'UCI GFWS 어라운드 삼척 2020' 대회 참가자 전원에게 환불조치를 하고 있다.

이번 대회는 지난 2017년부터 삼척에서 개최된 전 세계 단위의 ‘국제 동호인 대회’로 아시아에서 3번째 국내에서는 최초 등재됐다.

시 관계자는 “코로나19의 확산을 막고 시민과 참가자의 건강과 안전을 위해 불가피 대회를 연기했다”며 “대회일정이 연기됨에 따라 더 내실있는 대회가 되도록 최선을 다하겠다”고 밝혔다.

cw1@news1.kr

▶ 네이버 메인에서 [뉴스1] 구독하기!
▶ 4.15총선 관련뉴스 ▶ 크립토허브
© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지"
UCI,프레시안,2020.03.29. 오후 3:59,"삼척시, ‘UCI GFWS 어라운드 삼척 2020’ 대회 연기","코로나19 사태로 4월11→7월 4일

[홍춘봉 기자(=삼척)(casinohong@naver.com)]
삼척시는 오는 4월 11일 개최 예정인 ‘UCI GFWS 어라운드 삼척 2020’ 대회를 7월 4일로 연기한다고 밝혔다.

이번 대회 연기는 상대적인 감염 취약계층으로 분류되는 서울, 경기, 경상도 등 전국 각지에서 참가하고, 세계 각지 외국 선수들이 참여로 감염 위험을 우려해 이와 같은 결정을 내렸다.

▲2019 어라운드 삼척 대회. ⓒ삼척시

삼척시는 ‘UCI GFWS 어라운드 삼척 2020’ 대회 참가자 전원에게 전액 환불 조치를 하고 있다.

삼척시 관계자는 “코로나19 지역 확산을 막고 시민과 참가자의 건강과 안전을 위해 불가피하게 대회를 연기했다”며 “대회 일정이 연기됨에 따라 더 내실 있는 대회를 개최할 수 있도록 최선을 다할 것”이라고 말했다.

한편, ‘AROUND 삼척 2020 대회’는 지난 2017년부터 삼척시에서 개최됐으며, 지난 7월 국제 동호인 대회인 UCI(국제사이클연맹) GFWS(그란폰드 월드시리즈)에 등재해 아시아에서는 3번째, 국내에서는 최초로 등재됐다.

[홍춘봉 기자(=삼척)(casinohong@naver.com)]


▶프레시안 CMS 정기후원
▶네이버 프레시안 채널 구독 ▶프레시안 기사제보

Copyrightsⓒ PRESSian.com 무단전재 및 재배포금지"
UCI,조선비즈,2020.03.30. 오전 9:57,"UCI, 0.00% VI 발동","UCI(038340)가 VI가 발동했다. 현재 3,040원에 거래되고 있다.



UCI의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 10,431주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 1.33% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
UCI,한국경제,2020.03.30. 오전 9:59,"'UCI' 20% 이상 상승, 주가 20일 이평선 상회, 단기·중기 이평선 역배열","◆ 차트 분석
- 주가 20일 이평선 상회, 단기·중기 이평선 역배열
추세선으로 보면 중기적으로 역배열을 보이고 있지만 단기적으로 반등흐름이 나오면서 20일선을 넘어서는 모습이다.

최근 이 종목의 차트에서 최근 5일 매물대 돌파, 캔들패턴(상승반전형), 주가 5MA 상향돌파 등의 특이사항이 발생했다.

[그래프]UCI 차트 분석


◆ Valuation
- 전일 종가 기준 PER 마이너스, PBR 2.3배
당기순이익 적자로 인해 이 종목의 PER는 마이너스이고, PBR은 2.3배이다. PER는 마이너스라서 교육업종의 평균 PER -0.1배 대비 -28.7배 낮은 수준이고, PBR은 교육업종의 평균 PBR 1.9배 대비 +0.4배 높은 수준으로 업종 내에서 상위 29%에 위치한다.

[표]UCI Valuation


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
