종목명,신문사,시간,제목,본문
코스온,매일경제,2020.02.17. 오후 2:39,"220억원에 아우딘퓨쳐스 사들인 코스온, 화장품 사업 경쟁력 확보","코스온은 국내 화장품 전문기업 아우딘퓨쳐스를 220억원에 인수했다고 17일 밝혔다. 이에 따라 아우딘퓨쳐스의 최대주주로 올라섰다.

인수 대상 기업인 아우딘퓨쳐스는 2000년 설립돼 2017년 코스닥에 상장했다. 기초부터 색조, 시트마스크 등 연간 2000억원 생산규모의 충주공장을 운영하고 있다.

이외에 20년간 92개 브랜드의 566개 제품을 디자인하는 제조업자 개발생산 방식(ODM)·주문자 주문생산 방식(OEM)에 주력해 아모레퍼시픽, LG생활건강 등 국내 대표 화장품사의 디자인 공식 협력사이기도 하다.

코스온은 ODM 매출이 전체 90% 이상을 차지해 이번 아우딘퓨처스 인수·합병으로 사업 포트폴리오를 다양화 하고 양사 시너지를 극대화할 수 있을 것으로 기대 중이다. 특히 회사의 제품 R&D 및 제조 역량과 아우딘퓨쳐스의 마케팅 및 디자인 부문을 협업해 새로운 사업 동력을 구상한다는 계획이다. 이에 최근 준공된 코스온의 코스아띠크 공장의 메이크업라인은 아우딘퓨쳐스의 신규제품들의 라인업을 통해 준공초기부터 탄력을 받을 것으로 전망이다.

최영욱 아우딘퓨쳐스 대표는 이번 매각을 통한 자금을 모회사 코스온의 지분 참여에 투입해 마케팅 사업 부문 강화에 힘을 쏟을 것으로 보인다.

코스온 측은 ""이번 인수를 통해 업계 중견 규모 이상의 화장품 회사로 발돋움하며 경쟁력을 확보할 것""이라며 ""한쪽은 최근 공장규모 증설에 따른 영업력이 크게 보강이 되었고, 다른 한쪽은 영업확대에 따른 추가생산 설비 투자 문제를 해결했다""고 말했다.

[디지털뉴스국 김규리 기자]

▶기사공유하고 코인적립하세요 'M코인'
▶네이버 메인에서 '매일경제'를 받아보세요 ▶뉴스레터 '매콤달콤' 구독
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
코스온,아이뉴스24,2020.02.19. 오전 10:37,"코스온, 화장품 제조 신공장 ‘코스아티끄’ 준공","400억 투입…색조-기초화장품·마스크팩 생산
[아이뉴스24 문병언 기자] 코스닥 상장기업 코스온은 19일 오산 가장2산업단지 내에 있는 신축공장 ‘코스아티끄’ 공장을 준공했다고 밝혔다.

코스아티끄 공장은 연면적 1만9천336.70㎡로 기존 제1공장의 3배 규모이며 공장동(지하1~3동)과 사무동(1~4층)으로 구성돼 있다. 사업비로 총 400억원이 투입됐으며 연간 생산규모는 색조 1억개, 기초 5천만개, 마스크팩 4천100만개 등으로 향후 기계설비가 완료되면 현재보다 2~3배 이상 생산능력을 갖추게 된다.

이로서 코스온은 현재 가동중인 제1공장(8천700만개), 광저우 공장(6천만개)과 더불어 연간 3억3800만개의 생산능력을 갖추게 됐다.

코스온은 최근 몇 년간 국내공장의 생산능력 문제로 인해 고객사 확장에 어려움을 겪어 왔다. 최근 화장품업체 아우딘퓨쳐스를 인수해 고객사 및 매출이 크게 늘어날 것으로 전망되고 있어 새 공장에 대한 기대감이 커지고 있다.

코스온은 코스아티끄 공장을 통해 글로벌 시장 공략을 중심으로 ODM·OEM 사업을 강화할 계획이다. 이를 위해 해외수출에 반드시 필요한 글로벌 고객사별 오딧(품질수준 검사)과 우수 화장품 제조 품질관리기준 국내표준 규격(CGMP) 및 국제표준규격(ISO22716) 인증을 상반기내 취득할 예정이다.

코스아티끄는 이달부터 색조제품을 시작으로 본격적인 시험생산을 가동할 예정이다. 각종 허가 승인 후인 하반기부터 글로벌 영업과 유한양행과의 코스메슈티컬 브랜드 론칭에 박차를 가할 계획이다.

코스온 관계자는 “글로벌 기업 및 국내 대형 고객사의 지속적인 발주 증가에 따라 생산능력을 확보하게 됐다”며 “공격적인 외형확장과 경영성과를 확대해 제2의 도약을 이룰 것”이라고 말했다.

한편 코스온은 코스아티끄 준공에 이어 내년 중국 후저우 공장 1기 준공을 앞두고 있다.

문병언기자 moonnuri@inews24.com


▶네이버 채널에서 '아이뉴스24'를 구독해주세요.

▶재밌는 아이뉴스TV 영상보기 ▶아이뉴스24 바로가기

[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
코스온,이데일리,2020.02.19. 오전 10:42,"코스온, 화장품 제조 신공장 ‘코스아티끄’ 준공","400억 투입… 연간 1억9000만개 제품 생산 가능
[이데일리 박태진 기자] 코스온(069110)은 경기도 오산시 가장2산업단지 내에 있는 화장품 제조 신공장인 ‘코스아티끄’를 준공했다고 19일 밝혔다.

코스온이 경기도 오산시 가장2산업단지에 새로 지은 ‘코스아티끄’ 조감도.(사진=코스온)
코스아티끄 공장은 연면적 1만9336.7㎡(약 5850평)으로 기존 제1공장의 3배 규모이며, 공장동(지하 1층~지상 3층)과 사무동(1~4층)으로 구성돼 있다. 지난 2017년 착공돼 사업비로 총 400억원이 투입됐으며 연간 생산규모는 색조 1억개, 기초 5000만개, 마스크팩 4100만개 등 총 1억9000개 이상에 이를 것으로 보인다. 향후 기계설비가 완료되면 현재보다 2~3배 이상 생산능력을 갖출 예정이다.

이로써 코스온은 현재 가동 중인 제1공장(8700만개), 중국 광저우 공장(6000만개)과 더불어 연간 3억3800만개의 생산능력을 갖추게 됐다.

코스온은 코스아티끄 공장을 통해 글로벌 시장 공략을 중심으로 생산자 개발 방식(ODM)·주문자 상표 부착(OEM) 사업을 강화한다는 계획이다. 이를 위해 해외수출에 반드시 필요한 글로벌 고객사별 오딧(품질수준 검사)과 우수 화장품 제조 품질관리기준 국내표준 규격(CGMP) 및 국제표준규격(ISO22716) 인증을 상반기 내 취득할 예정이다.

회사 관계자는 “글로벌 기업 및 국내 대형고객사의 지속적인 발주 증가에 따라 생산능력을 확보하게 됐다”며 “공격적인 외형확장과 경영성과를 확대해 제2의 도약을 이룰 것”이라고 말했다.

박태진 (tjpark@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶] , 청춘뉘우스~ [스냅타임▶]
이데일리 기자들의 비밀공간 [기자뉴스룸▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
코스온,조선비즈,2020.02.25. 오전 11:28,"[강세 토픽] 화장품 OEM·ODM 테마, 토니모리 +5.14%, 코스온 +3.26%","[화장품 OEM·ODM] 테마가 강세다. 전일 대비 2.16% 상승세이다. 토니모리(214420)+5.14%, 코스온(069110)+3.26%, 코스메카코리아(241710)+2.83% 등이 테마 상승을 이끌고 있다.

테마 설명
국내 화장품 기업들이 자체생산보다 외주생산을 담당하는 OEM(주문자상표부착생산), ODM(제조업자개발생산) 기업에게 의존도가 높아지고 있음. 2-3년 전까지만 해도 아모레퍼시픽, LG생활건강 등 대기업 브랜드샵 물량 중심으로 성장했지만, 최근엔 화장품 유통채널과 브랜드의 다양화로 온라인 기반의 신생 뷰티벤처 브랜드가 떠오르는 중.
신생 뷰티벤처 브랜드들은 대부분 자체 생산시설이 없기 때문에 화장품 ODM·OEM업체에 생산을 맡김. 특히 전세계 네트워크가 있는 제조 업체를 선호. 이에 따라 화장품 주요 시장에 생산 능력을 확보하고 있는 국내 화장품 OEM·ODM 기업 수혜 전망.
또한 화장품 OEM·ODM 기업들은 적극적으로 해외시장에 진출해 해외 현지 생산 법인 투자, 인수·합병(M&A) 등 글로벌 화장품 기업에 대한 매출 비율을 높이고 있는 중.
더불어 화장품 유통과 마케팅에 강점이 있는 유통업체, 화장품 기술력에 유리한 제약사, 식음료, 렌털, 패션업체 등 다양한 업종의 기업들도 화장품 사업에 뛰어들고 있는 점도 긍정적.
(마지막 업데이트 2019. 6. 3)

※ 토픽은 종목 추천이 아닌 정보 제공을 목적으로 함. 상기 종목의 투자로 인한 책임은 투자자 본인에게 있음.

관련 종목

화장품 OEM·ODM 테마 차트


3개월 등락률 -3.32%


1개월 등락률 -3.77%


1주 등락률 -6.40%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
코스온,조선비즈,2020.02.26. 오전 10:21,"코스온, +0.67% VI 발동","코스온(069110)이 VI가 발동했다. 전일 대비 0.67% 상승한 6,020원에 거래되고 있다.


코스온 연관 테마
한국콜마(161890), 코스온(069110), 코스맥스(192820), 한국화장품제조(003350), 토니모리(214420), 아우딘퓨쳐스(227610), 코스메카코리아(241710), 제닉(123330), 본느(226340)

코스온의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 32,398주를 순매도했으며, 기관은 2,884주를 순매도 했다. 같은 기간 주가는 6.85% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
코스온,조선비즈,2020.02.26. 오전 10:21,"코스온, +1.84% 상승폭 확대","코스온(069110)이 상승폭을 확대하고 있다. 전일 대비 1.84% 상승한 6,090원에 거래되고 있다.


코스온 연관 테마
한국콜마(161890), 코스온(069110), 코스맥스(192820), 한국화장품제조(003350), 토니모리(214420), 아우딘퓨쳐스(227610), 코스메카코리아(241710), 제닉(123330), 본느(226340)

코스온의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 32,398주를 순매도했으며, 기관은 2,884주를 순매도 했다. 같은 기간 주가는 6.85% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
코스온,조선비즈,2020.03.03. 오전 9:04,"코스온, +7.22% 상승폭 확대","코스온(069110)이 상승폭을 확대하고 있다. 전일 대비 7.22% 상승한 6,090원에 거래되고 있다.


코스온 연관 테마
한국콜마(161890), 코스온(069110), 코스맥스(192820), 한국화장품제조(003350), 토니모리(214420), 아우딘퓨쳐스(227610), 코스메카코리아(241710), 제닉(123330), 본느(226340)

코스온의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 20,007주를 순매도했으며, 기관은 426주를 순매수 했다. 같은 기간 주가는 5.02% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
코스온,조선비즈,2020.03.05. 오후 2:44,"[강세 토픽] 화장품 OEM·ODM 테마, 코스온 +5.72%, 한국화장품제조 +3.24%","[화장품 OEM·ODM] 테마가 강세다. 전일 대비 2.22% 상승세이다. 코스온(069110)+5.72%, 한국화장품제조(003350)+3.24%, 토니모리(214420)+2.74% 등이 테마 상승을 이끌고 있다.

테마 설명
국내 화장품 기업들이 자체생산보다 외주생산을 담당하는 OEM(주문자상표부착생산), ODM(제조업자개발생산) 기업에게 의존도가 높아지고 있음. 2-3년 전까지만 해도 아모레퍼시픽, LG생활건강 등 대기업 브랜드샵 물량 중심으로 성장했지만, 최근엔 화장품 유통채널과 브랜드의 다양화로 온라인 기반의 신생 뷰티벤처 브랜드가 떠오르는 중.
신생 뷰티벤처 브랜드들은 대부분 자체 생산시설이 없기 때문에 화장품 ODM·OEM업체에 생산을 맡김. 특히 전세계 네트워크가 있는 제조 업체를 선호. 이에 따라 화장품 주요 시장에 생산 능력을 확보하고 있는 국내 화장품 OEM·ODM 기업 수혜 전망.
또한 화장품 OEM·ODM 기업들은 적극적으로 해외시장에 진출해 해외 현지 생산 법인 투자, 인수·합병(M&A) 등 글로벌 화장품 기업에 대한 매출 비율을 높이고 있는 중.
더불어 화장품 유통과 마케팅에 강점이 있는 유통업체, 화장품 기술력에 유리한 제약사, 식음료, 렌털, 패션업체 등 다양한 업종의 기업들도 화장품 사업에 뛰어들고 있는 점도 긍정적.
(마지막 업데이트 2019. 6. 3)

※ 토픽은 종목 추천이 아닌 정보 제공을 목적으로 함. 상기 종목의 투자로 인한 책임은 투자자 본인에게 있음.

관련 종목

화장품 OEM·ODM 테마 차트


3개월 등락률 +0.03%


1개월 등락률 -4.06%


1주 등락률 +8.37%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
코스온,파이낸셜뉴스,2020.03.13. 오전 11:18,"[fnRASSI]코스온, 13.49% 내리며 거래량 증가","코스온은 투자자들의 관심으로 당일 거래량이 최근 5거래일 거래량의 최고치를 경신했다. 그리고 코스온은 3일 연속 하락흐름을 보이며, 11시 14분 현재 13.49% 내린 4,200원에 거래중이다.

상장주식수 대비 거래량은 0.22%로 적정수준
최근 한달간 코스온의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 0.22%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 2.65%를 나타내고 있다.

외국인, 기관 모두 보유량 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 22,419주 순매도하였고 마찬가지로 기관은 749주 순매도하였다. 전날 두 주체 각각 18,043주, 749주 순매도하며 보유 비율을 줄였다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ 클릭해, 뉴스 들어간다 [뉴스쿨]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
코스온,조선비즈,2020.03.16. 오후 3:32,"코스온, -2.20% VI 발동","코스온(069110)이 VI가 발동했다. 전일 대비 2.20% 하락한 4,450원에 거래되고 있다.


코스온 연관 테마
한국콜마(161890), 코스온(069110), 코스맥스(192820), 한국화장품제조(003350), 토니모리(214420), 아우딘퓨쳐스(227610), 코스메카코리아(241710), 제닉(123330), 본느(226340)

코스온의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 35,562주를 순매도했으며, 기관은 3,054주를 순매도 했다. 같은 기간 주가는 17.12% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
