종목명,신문사,시간,제목,본문
스킨앤스킨,조선비즈,2020.02.17. 오전 9:05,"스킨앤스킨, +11.78% 상승폭 확대","스킨앤스킨(159910)이 상승폭을 확대하고 있다. 전일 대비 11.78% 상승한 389원에 거래되고 있다.


스킨앤스킨 연관 테마
삼성물산(028260), 솔브레인(036830), 스킨앤스킨(159910), 실리콘웍스(108320), 에스앤에스텍(101490), 원익머트리얼즈(104830), 이녹스(088390), SKC코오롱PI(178920), 코리아써키트(007810), 램테크놀러지(171010), 아바텍(149950), 아이컴포넌트(059100), 아나패스(123860), 와이엠씨(155650), 엘비세미콘(061970), 신화인터텍(056700), 코오롱인더(120110), 덕산네오룩스(213420), 덕산테코피아, 이엔에프테크놀로지(102710), 두산솔루스

스킨앤스킨의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 35,084주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 5.45% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
스킨앤스킨,한국경제TV,2020.02.17. 오전 9:07,"스킨앤스킨, 전일대비 10.92% 상승중... 최근 주가 반등 흐름","[한국경제TV 라이온봇 기자]
스킨앤스킨


17일 개장초, OLED소재 및 화장품 제조업체인 스킨앤스킨(159910)이 크게 상승했다.
11.78% 상승출발한 주가는 장중 한 때, 372원(6.9%)까지 하락하였지만 다시 회복하여 현재는 10.92% 상승한 386원을 기록하고 있다.
차트를 살펴보면 단기간에 골든크로스를 만들고 주가가 60일선까지 뚫고 가는 모습이다.

거래량은 전거래일 대비 56.33% 수준인 39만8340주를 넘어서고 있다.
이 종목 전체 주식수의 0.3%에 해당하는 물량이다.

[그래프]스킨앤스킨 일봉 차트


[표] 거래원 상위(09:06 기준)
스킨앤스킨


이 시각 거래소에서 스킨앤스킨 이외에도 W홀딩컴퍼니(12.84%), 디피씨(17.33%), 모바일어플라이언스(11.2%), 에이아이비트(18.28%), 하나금융11호스팩(29.98%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
스킨앤스킨,한국경제,2020.02.17. 오전 9:08,"'스킨앤스킨' 10% 이상 상승, 최근 3일간 외국인 대량 순매수","◆ 주체별 매매동향
- 최근 3일간 외국인 대량 순매수
지난 한달을 기준으로 보면 외국인이 18.7만주를 순매수한 반면, 기관은 1주를 순매도했고, 개인들도 48.1만주를 순매도한 것으로 집계됐다. 같은 기간 거래 비중은 개인이 84.8% 로 가장 높고, 외국인은 12.1%로 그 뒤를 이었다. 기관은 거래에 거의 참여하지 않은 것으로 보인다.
더욱이 최근 3일간 외국인이 대량 순매수를 하고 있어 투자자들의 관심이 집중되고 있다.

[그래프]스킨앤스킨 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
스킨앤스킨,조선비즈,2020.02.18. 오전 9:02,"스킨앤스킨, -1.10% VI 발동","스킨앤스킨(159910)이 VI가 발동했다. 전일 대비 1.10% 하락한 359원에 거래되고 있다.


스킨앤스킨 연관 테마
삼성물산(028260), 솔브레인(036830), 스킨앤스킨(159910), 실리콘웍스(108320), 에스앤에스텍(101490), 원익머트리얼즈(104830), 이녹스(088390), SKC코오롱PI(178920), 코리아써키트(007810), 램테크놀러지(171010), 아바텍(149950), 아이컴포넌트(059100), 아나패스(123860), 와이엠씨(155650), 엘비세미콘(061970), 신화인터텍(056700), 코오롱인더(120110), 덕산네오룩스(213420), 덕산테코피아, 이엔에프테크놀로지(102710), 두산솔루스

스킨앤스킨의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 272,511주를 순매도했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 7.40% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
스킨앤스킨,조선비즈,2020.03.26. 오후 3:04,"스킨앤스킨, +12.59% 상승폭 확대","스킨앤스킨(159910)이 상승폭을 확대하고 있다. 전일 대비 12.59% 상승한 304원에 거래되고 있다.


스킨앤스킨 연관 테마
삼성물산(028260), 솔브레인(036830), 스킨앤스킨(159910), 실리콘웍스(108320), 에스앤에스텍(101490), 원익머트리얼즈(104830), 이녹스(088390), SKC코오롱PI(178920), 코리아써키트(007810), 램테크놀러지(171010), 아바텍(149950), 아이컴포넌트(059100), 아나패스(123860), 와이엠씨(155650), 엘비세미콘(061970), 신화인터텍(056700), 코오롱인더(120110), 덕산네오룩스(213420), 덕산테코피아, 이엔에프테크놀로지(102710), 두산솔루스

스킨앤스킨의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 98,919주를 순매수했으며, 기관은 1주를 순매도 했다. 같은 기간 주가는 0.37% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
스킨앤스킨,조선비즈,2020.04.09. 오전 11:14,"스킨앤스킨, +8.83% 상승폭 확대","스킨앤스킨(159910)이 상승폭을 확대하고 있다. 전일 대비 8.83% 상승한 308원에 거래되고 있다.


스킨앤스킨 연관 테마
삼성물산(028260), 솔브레인(036830), 스킨앤스킨(159910), 실리콘웍스(108320), 에스앤에스텍(101490), 원익머트리얼즈(104830), 이녹스(088390), SKC코오롱PI(178920), 코리아써키트(007810), 램테크놀러지(171010), 아바텍(149950), 아이컴포넌트(059100), 아나패스(123860), 와이엠씨(155650), 엘비세미콘(061970), 신화인터텍(056700), 코오롱인더(120110), 덕산네오룩스(213420), 덕산테코피아, 이엔에프테크놀로지(102710), 두산솔루스

스킨앤스킨의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 143,007주를 순매수했으며, 기관은 1주를 순매도 했다. 같은 기간 주가는 2.54% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
스킨앤스킨,조선비즈,2020.04.09. 오후 2:58,"스킨앤스킨, +11.31% VI 발동","스킨앤스킨(159910)이 VI가 발동했다. 전일 대비 11.31% 상승한 315원에 거래되고 있다.


스킨앤스킨 연관 테마
삼성물산(028260), 솔브레인(036830), 스킨앤스킨(159910), 실리콘웍스(108320), 에스앤에스텍(101490), 원익머트리얼즈(104830), 이녹스(088390), SKC코오롱PI(178920), 코리아써키트(007810), 램테크놀러지(171010), 아바텍(149950), 아이컴포넌트(059100), 아나패스(123860), 와이엠씨(155650), 엘비세미콘(061970), 신화인터텍(056700), 코오롱인더(120110), 덕산네오룩스(213420), 덕산테코피아, 이엔에프테크놀로지(102710), 두산솔루스

스킨앤스킨의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 143,007주를 순매수했으며, 기관은 1주를 순매도 했다. 같은 기간 주가는 2.54% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
스킨앤스킨,아시아경제,2020.05.07. 오전 7:57,"스킨앤스킨, 80억 규모 제3자 배정 유상증자 결정","[아시아경제 구은모 기자] 스킨앤스킨은 운영자금 조달을 위해 약 80억원 규모의 제3자 배정 방식 유상증자를 결정했다고 7일 공시했다. 이번 유상증자로 발행되는 신주는 보통주 2684만5637주이며, 신주 납입일과 신주 상장 예정일은 각각 다음달 5일, 19일이다.

제3자 배정 대상자는 청주여객터미널과 이피플러스로 각각 2013만4228주, 671만1490주를 배정받는다. 회사 측은 “회사의 경영상 목적 달성 및 신속한 자금조달 등 당사 이사회의 추천과 납입능력 등을 고려해 배정 대상자를 선정했다”고 밝혔다.

구은모 기자 gooeunmo@asiae.co.kr

▶ 소름 쫙! 2020년 내 대운 시기 확인하기
▶ 네이버에서 아시아경제 뉴스를 받아보세요 ▶ 놀 준비 되었다면 드루와! 드링킷!

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
스킨앤스킨,이데일리,2020.05.07. 오전 8:11,"스킨앤스킨, 80억원 규모 유상증자","[이데일리 전재욱 기자] 스킨앤스킨(159910)은 운영자금 80억원을 조달하려고 주식회사 청주여객터미널을 상대로 제3자 유상증자를 한다고 7일 공시했다.

납입일은 6월5일, 신주 상장일은 6월19일이다.

전재욱 (imfew@edaily.co.kr)

네이버에서 ‘이데일리’ 구독하기▶
청춘뉘우스~ 스냅타임▶


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
스킨앤스킨,헤럴드경제,2020.05.07. 오전 8:22,"스킨앤스킨, 80억 규모 제3자배정 유상증자 결정","[헤럴드경제=증권부] 스킨앤스킨은 운영자금 조달을 위해 80억원 규모의 제3자배정 유상증자를 결정했다고 7일 공시했다.

보통주 2684만5637주가 신주 발행되며 신주 발행가액은 298원이다.

신주 상장 예정일은 6월 19일이다.

totoro@heraldcorp.com

▶[디;콘] 우리동네 젠트리피케이션 위험도는?

▶코로나19 현황보기 ▶전국 농수축산물 소비 캠페인



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
