종목명,신문사,시간,제목,본문
세동,조선비즈,2020.03.16. 오후 2:58,"세동, 0.00% VI 발동","세동(053060)이 VI가 발동했다. 현재 659원에 거래되고 있다.



세동의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 69,354주를 순매도했으며, 기관은 30,011주를 순매도 했다. 같은 기간 주가는 11.19% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
세동,조선비즈,2020.03.19. 오전 9:50,"세동, -4.64% VI 발동","세동(053060)이 VI가 발동했다. 전일 대비 4.64% 하락한 534원에 거래되고 있다.



세동의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 61,465주를 순매도했으며, 기관은 21,385주를 순매도 했다. 같은 기간 주가는 15.02% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
세동,연합뉴스,2020.03.19. 오전 10:33,"""암 병력, 심방세동 위험↑""","(서울=연합뉴스) 한성간 기자 = 암 병력이 있으면 흔한 형태의 부정맥인 심방세동(a-fib: atrial fibrillation)이 나타날 위험이 크다는연구결과가 나왔다.

심방세동은 심장의 윗부분인 심방이 이따금 매우 빠른 속도로 수축, 마치 그릇에 담긴 젤라틴처럼 가늘게 떠는 상태가 되면서 심박수가 급상승하는 현상이다. 당장 생명에 위협을 주는 것은 아니지만 이런 일이 잦을수록 뇌경색 위험이 커진다.

미국 세인트 메리 메디컬센터(St. Mary's Medical Center) 내과 전문의 무하마드 칸 교수 연구팀이 2012~2015년 사이에 병원을 찾은 성인 1억4천300만명의 의료기록을 분석한 결과 이 같은 사실이 밝혀졌다고 헬스데이 뉴스(HealthDay News)가 18일 보도했다.

이들 중 10%인 약 1천450만명이 심방세동 진단을 받았다.

전체적으로 암 환자는 다른 사람보다 심방세동 진단율이 2.3배 높은 것으로 나타났다고 연구팀은 밝혔다.

암 종류별로는 전립선암이 심방세동과의 연관성이 가장 높았고 그다음으로 유방암, 폐암, 대장암, 비호지킨 림프종 순이었다.

이 결과는 고혈압, 당뇨병, 관상동맥질환(심장병), 심근병증(cardiomyopathy), 심장판막질환 등 다른 심방세동 위험요인들을 고려한 것이라고 연구팀은 설명했다.

사망위험은 전립선암과 심방세동이 겹친 사람이 3.28%로 심방세동이 없는 전립선암 환자의 2.31%보다 상당히 높았다.

대장암과 심방세동이 겹친 사람은 사망률이 2.46%, 심방세동이 겹치지 않은 대장암 환자는 2.2%였다.

암 환자에게 심방세동이 잘 발생하는 이유를 찾아내기 위해서는 앞으로 연구가 필요하다고 연구팀은 강조했다.

다만 이 연구에서는 암 환자들이 어떤 형태의 암 치료를 받았는지는 살펴보지 않았다. 일부 항암 화학요법은 심장에 손상을 유발하는 것으로 알려지고 있다.

이 연구결과는 미국 심장학회(American College of Cardiology)/세계 심장학회(World Congress of Cardiology) 합동 온라인 학술회의에서 발표됐다.

심방세동[출처: 삼성서울병원]


skhan@yna.co.kr

▶코로나19 속보는 네이버 연합뉴스에서 [구독 클릭]
▶[팩트체크] 코로나19 사실은 이렇습니다▶제보하기"
세동,헬스조선,2020.03.20. 오후 3:27,"단백질 많이 먹는 여성, '심방세동' 위험 낮다","단백질 섭취량이 많은 여성은 심방세동 위험이 낮다는 연구 결과가 나왔다./사진=클립아트코리아

단백질 섭취량이 많은 여성은 심방세동 위험이 낮다는 연구 결과가 나왔다.

미국 스탠퍼드대 연구팀은 폐경 후 여성 9만9000명 이상을 대상으로 연구를 진행했다. 연구팀은 이들의 평소 식습관과 심방세동 발병률 간의 연관성을 조사했다.

그 결과, 하루 58~74g의 단백질을 섭취한 사람은 하루 58g 미만으로 단백질을 섭취한 사람보다 심방세동 위험이 5~8% 낮았다. 74g 이상을 먹었더라도 심방세동 위험이 더 감소하지는 않았다.

연구팀은 적당한 단백질 섭취의 중요성을 강조하면서도 포화지방과 콜레스테롤 함유량이 높은 음식은 오히려 심장건강에 해로울 수 있다고 경고했다. 대표적인 저지방 단백질은 식물성 단백질이 있다. 특히 대두, 호박씨, 땅콩, 아몬드, 두부 등에 식물성 단백질이 풍부하다.

연구를 주도한 다니엘 가버 박사는 ""평균적으로 여성들이 평소에 먹는 단백질 수준에 10~20g 정도만 추가하면 건강상 이점을 얻을 수 있다""며 ""요구르트 한 컵, 계란 2개 정도만 더 먹으면 충분하다""고 말했다.

이번 연구는 '미국심장학회(American College of Cardiology)' 연례회의에서 최근 발표됐다.

/ 전혜영 헬스조선 기자 hyeyoung@chosun.com

▶국내 최고 명의 590명은 누구일까?
▶대표 건강 사이트 헬스조선닷컴 바로가기"
세동,조선비즈,2020.03.25. 오후 1:01,"세동, +7.42% 상승폭 확대","세동(053060)이 상승폭을 확대하고 있다. 전일 대비 7.42% 상승한 507원에 거래되고 있다.



세동의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 46,060주를 순매도했으며, 기관은 21,332주를 순매도 했다. 같은 기간 주가는 15.71% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
세동,조선비즈,2020.04.01. 오후 3:21,"세동, +1.14% 상승폭 확대","세동(053060)이 상승폭을 확대하고 있다. 전일 대비 1.14% 상승한 531원에 거래되고 있다.



세동의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 1,894주를 순매수했으며, 기관은 17,210주를 순매도 했다. 같은 기간 주가는 4.17% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
세동,조선비즈,2020.04.02. 오전 9:10,"세동, -2.97% VI 발동","세동(053060)이 VI가 발동했다. 전일 대비 2.97% 하락한 522원에 거래되고 있다.



세동의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 11,791주를 순매수했으며, 기관은 3,361주를 순매도 했다. 같은 기간 주가는 5.08% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
세동,조선비즈,2020.04.03. 오전 10:04,"세동, +5.71% 상승폭 확대","세동(053060)이 상승폭을 확대하고 있다. 전일 대비 5.71% 상승한 537원에 거래되고 있다.



세동의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 26,112주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 1.60% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
세동,조선비즈,2020.04.03. 오후 2:39,"세동, +9.65% VI 발동","세동(053060)이 VI가 발동했다. 전일 대비 9.65% 상승한 557원에 거래되고 있다.



세동의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 26,112주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 1.60% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
세동,조선비즈,2020.04.06. 오후 2:07,"세동, +1.58% 상승폭 확대","세동(053060)이 상승폭을 확대하고 있다. 전일 대비 1.58% 상승한 580원에 거래되고 있다.



세동의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 70,775주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 13.52% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
세동,헬스조선언론사 선정,2020.04.10. 오후 5:39,“항응고제 바꿔야 하나?”… 심방세동환자들이 고민하는 이유,"심방세동환자는 뇌졸중 예방 효과, 신장기능 보존, 출혈 안정성 등을 의료진과 상담해 약제를 선택해야 한다./클립아트코리아 제공

꾸준히 항응고제를 먹어야 하는 심방세동(심장이 불규칙하게 뜀) 환자는 코로나19 사태가 고민이다. 약을 받으러 병원에 가야하는데, 감염 위험을 감수하면서 선뜻 나가기가 어렵기 때문이다. 특히 항응고제 중 ‘와파린’을 먹는 환자라면 최소 월 1~3회 병원을 방문해 혈액검사를 받아야 하는 ‘과제’도 있다. 약 용량을 결정하고, 적절한 치료가 이뤄지고 있는지 INR(혈액응고시간 국제 표준화단위) 값을 확인하기 위해서다.

코로나19 사태 맞춰 치료옵션 변경 고려를

INR은 혈액 응고시간을 측정하는 검사로 와파린을 사용하는 환자는 안전을 위해 정기적인 INR 관찰이 필수다. 검사 결과를 기반으로 항응고제의효과가 너무 약한지, 강한지를 판단한다. 만일 효과가 약하다면 피가 굳어 혈전이 생기고, 반대로 효과가 너무 강하면 출혈 위험이 따른다.

하지만 코로나19 사태에서 병원방문이 어려워 약을 타는 것은 물론 INR 관찰도 힘들다. 의료진들은 이때 다른 치료옵션을 권장한다. 와파린에서 경구용 항응고제(NOAC. 이하 노악)로 변경하는 게 대안이 될 수 있다.

항응고제 노악은 와파린보다 뇌졸중 예방, 출혈 안전성 등 효과가 좋은 것으로 알려졌다. 또 와파린은 일부 채소 섭취에 제한이 있지만, 노악은 식이습관과 상호작용이 적다. 복용도 간편하고 효과도 일정해 코로나19 사태에서 심혈관질환자들에게 적합하다는 분석이다.

특히 장기적으로 INR을 확인하며 용량을 조절할 필요가 없다는 게 장점이다. 실제로 유럽 및 국내 전문가들은 노악 사용 금기(판막성 심방세동 등 와파린만 사용 가능한 경우) 환자를 제외하면 와파린보다 노악을 우선 고려하라고 권장한다. 실제로 영국 등 다른 나라에서도 코로나로 인해 심방세동환자 중 INR 모니터링에 대한 부담이 크다면 노악 사용을 권고한다.

세브란스병원 순환기내과 홍그루 교수는 “일부 경우를 제외하고 와파린에서 노악으로 변경하는 걸 충분히 고려할 만하다”며 “1일 1회 등 환자의 와파린 복용 주기와 동일한 경구용 항응고제를 사용한다면 복약 순응도에 대한 걱정도 없을 것”이라고 말했다.

심장뿐 아니라 신장건강도 챙겨야

특히 심방세동 환자는 신장기능 감소도 신경 써야 한다. 홍 교수는 “신장 기능은 심방세동 환자가 얼마나 오랫동안 안전하게 항응고치료를 받을 수 있는지 알려주는 요인이기 때문”이라며 “신장기능이 나빠지면 심방세동으로 인한 출혈 위험도 커 주의가 필요하다”고 말했다.

심방세동 환자 중 상당수(64%)는 신장 기능이 떨어지는데, 병 자체도 원인이지만, 와파린도 영향을 준다. 와파린이 혈관 내부를 점차 석회화해, 신장기능을 떨어뜨릴 수 있기 때문. 따라서 신기능 저하가 우려되는 환자라면 저용량 와파린이나 노악으로 대체해 신장기능 상태를 살펴야 한다.

미국심장학회지에서 노악 복용 신기능저하환자를 분석한 결과, 뇌졸중 예방 효과와 함께 신장 기능도 와파린보다 잘 유지된 것으로 나타났다. 이에 미국에서는 다양한 노악 중 신장기능이 감소할 위험이 낮은 제품을 권고한다.

홍그루 교수는 “심방세동환자는 뇌졸중 예방 효과, 신장기능 보존, 출혈 안전성 등을 세심하게 고려해 약제를 선택하는 게 중요하다”며 “특히 노악은 종류마다 효과가 달라 전문의와 상담해 약물을 결정해야 한다”고 말했다.

/ 유대형 헬스조선 기자 ydh@chosun.com

▶국내 최고 명의 590명은 누구일까?
▶대표 건강 사이트 헬스조선닷컴 바로가기"
세동,이데일리,2020.04.28. 오전 10:06,승모판협착증 환자 3명 중 2명은 심방세동 동반해,"서울성모 오용석 교수팀 10년간 4만 2075명 의료빅데이터 분석
승모판협착증 감소하고 있지만 뇌경색 발생 위험은 주의 필요-
고위험군 대상 뇌경색 예방 치료법 제시
[이데일리 이순용 기자]국내 의료진이 심방세동과 뇌경색 발생 위험을 높이는 ‘승모판협착증’ 환자들을 대상으로 10년간 발생률 및 치료 트렌드를 분석한 대규모 연구 결과를 발표해 향후 이 질환의 치료법 확립에 근간이 될 것으로 기대된다.

가톨릭대학교 서울성모병원 심뇌혈관병원 오용석 교수(교신저자), 의정부성모병원 순환기내과 김주연 교수(제1저자) 연구팀이 건강보험심사평가원의 의료빅데이터를 이용해 국내 승모판협착증의 10년간 유병률, 발생률, 치료 및 예후를 분석한 결과, 승모판 협착증 발생률이 급격한 감소 추세를 보이는 반면, 뇌경색 발생률은 감소하지 않고 정체 상태인 것으로 나타났다.

연구팀이 2007년부터 2016년까지 승모판협착증을 진단받은 환자 4만2075명을 분석한 결과 66.1%(2만7824명)가 심방세동을 동반하고 있었다. 10만명당 승모판협착증 발생률은 2008년 10.3명에서 2016년 3.6명으로 급격히 감소했다. [그림1]

[그림1] 승모판협착증 연간 발생률(10만명당)
심방세동을 동반한 환자를 대상으로 한 항응고제 치료는 2008년 58.4%에서 2016년 83.1%로 늘어난 것으로 나타났다. 항응고제는 아직까지는 와파린 등과 같은 비타민K 길항제 경구용 항응고제만 승모판협착증을 동반한 심방세동에서 인정되고 있다. 항응고제나 항혈소판제 등의 치료를 받지 않는 환자는 2008년 23.7%에서 2016년 6.3%로 감소했다. 이는 심방세동을 동반한 승모판협착증 환자에게 항응고제 치료의 필요성에 대한 인식이 늘어나고 있는 것으로 풀이된다. [그림2]

[그림2] 심방세동을 동반한 승모판협착증 환자 대상 항응고제 치료 경향


하지만 뇌경색 발생 위험률은 감소하지 않아 주의가 필요한 것으로 나타났다. 승모판협착증 환자 중 6965명(16.5%)에게 혈전 색전증이 나타났으며, 이중 1606명(3.8%)은 두개내 출혈이 있었다. 허혈성 뇌졸중 및 전신 색전증은 심방세동을 동반한 승모판협착증 환자의 경우 2008년 2.19%에서 2016년 2.26%로, 심방세동을 동반하지 않은 경우(각각 0.26%, 0.31%)보다 유의미하게 높았다. 두개내 출혈은 심방세동을 동반한 승모판협착증 환자의 경우 2008년 0.43%에서 2016년 0.72%로 증가하는 경향을 보여, 고위험군을 대상으로 한 효과적인 뇌경색 예방 치료법을 확립하는 것이 절실히 필요한 상황으로 판단된다.

승모판협착증은 심방세동과 뇌경색 발생 위험을 증가시키는 질환이다. 승모판은 심장의 좌심방과 좌심실 사이의 판막인데, 승모판협착증은 남성보다 여성에게 더 많이 발생하며 청소년기에 류마티스 열을 앓고 이것이 판막에 손상을 주어 나타나는 경우가 많다. 승모판막이 좁아지면 판막이 잘 열리지 않아 좌심방의 혈액이 좌심실로 흐르기 어려워 좌심방의 압력이 높아지고 좌심방의 크기도 증가한다. 심방의 크기가 증가하면 부정맥이 발생하기도 하며 부정맥에 의해 형성된 혈전이 떨어져 나가 뇌혈관을 막는 뇌경색과 같은 합병증을 발생시킬 수 있다.

오용석 교수는 “기존의 와파린 등의 비타민K 길항제만으로는 승모판협착증에서 발생한 심방세동에 의한 뇌졸중과 두개내 출혈을 예방하는 기본적 치료법으로는 부족한 점이 많다”며, “승모판협착증이 없는 심방세동 환자에서 뇌졸중, 두개내 출혈의 감소 효과가 와파린보다 우월한 비-비타민K 길항 항응고제(NOAC)를 이용한 치료법도 적극 활용할 수 있도록 더 많은 연구가 필요할 것으로 생각된다”고 말했다.

이 연구 결과는 영국의학저널 심장학(BMJ Journals Heart) 최근호에 게재됐다.

이순용 (sylee@edaily.co.kr)

네이버에서 ‘이데일리’ 구독하기▶
청춘뉘우스~ 스냅타임▶


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
세동,스포츠조선,2020.04.28. 오후 3:59,"서울성모병원 오용석 교수 ""승모판협착증 환자 3명 중 2명, 심방세동 동반""","국내 의료진이 심방세동과 뇌경색 발생 위험을 높이는 '승모판협착증' 환자들을 대상으로 10년간 발생률 및 치료 트렌드를 분석한 대규모 연구 결과를 발표해 향후 이 질환의 치료법 확립에 근간이 될 것으로 기대된다.

승모판협착증은 심방세동과 뇌경색 발생 위험을 증가시키는 질환이다. 승모판은 심장의 좌심방과 좌심실 사이의 판막인데, 승모판협착증은 남성보다 여성에게 더 많이 발생하며 청소년기에 류마티스 열을 앓고 이것이 판막에 손상을 주어 나타나는 경우가 많다. 승모판막이 좁아지면 판막이 잘 열리지 않아 좌심방의 혈액이 좌심실로 흐르기 어려워 좌심방의 압력이 높아지고 좌심방의 크기도 증가한다. 심방의 크기가 증가하면 부정맥이 발생하기도 하며 부정맥에 의해 형성된 혈전이 떨어져 나가 뇌혈관을 막는 뇌경색과 같은 합병증을 발생시킬 수 있다.

가톨릭대학교 서울성모병원 심뇌혈관병원 오용석 교수(교신저자), 의정부성모병원 순환기내과 김주연 교수(제1저자) 연구팀이 건강보험심사평가원의 의료빅데이터를 이용해 국내 승모판협착증의 10년간 유병률, 발생률, 치료 및 예후를 분석한 결과, 승모판 협착증 발생률이 급격한 감소 추세를 보이는 반면, 뇌경색 발생률은 감소하지 않고 정체 상태인 것으로 나타났다.

연구팀이 2007년부터 2016년까지 승모판협착증을 진단받은 환자 4만2075명을 분석한 결과 66.1%(2만7824명)가 심방세동을 동반하고 있었다. 10만명당 승모판협착증 발생률은 2008년 10.3명에서 2016년 3.6명으로 급격히 감소했다.

심방세동을 동반한 환자를 대상으로 한 항응고제 치료는 2008년 58.4%에서 2016년 83.1%로 늘어난 것으로 나타났다. 항응고제는 아직까지는 와파린 등과 같은 비타민K 길항제 경구용 항응고제만 승모판협착증을 동반한 심방세동에서 인정되고 있다. 항응고제나 항혈소판제 등의 치료를 받지 않는 환자는 2008년 23.7%에서 2016년 6.3%로 감소했다. 이는 심방세동을 동반한 승모판협착증 환자에게 항응고제 치료의 필요성에 대한 인식이 늘어나고 있는 것으로 풀이된다.

하지만 뇌경색 발생 위험률은 감소하지 않아 주의가 필요한 것으로 나타났다. 승모판협착증 환자 중 6965명(16.5%)에게 혈전 색전증이 나타났으며, 이중 1606명(3.8%)은 두개내 출혈이 있었다. 허혈성 뇌졸중 및 전신 색전증은 심방세동을 동반한 승모판협착증 환자의 경우 2008년 2.19%에서 2016년 2.26%로, 심방세동을 동반하지 않은 경우(각각 0.26%, 0.31%)보다 유의미하게 높았다. 두개내 출혈은 심방세동을 동반한 승모판협착증 환자의 경우 2008년 0.43%에서 2016년 0.72%로 증가하는 경향을 보여, 고위험군을 대상으로 한 효과적인 뇌경색 예방 치료법을 확립하는 것이 절실히 필요한 상황으로 판단된다.

오용석 교수는 ""기존의 와파린 등의 비타민K 길항제만으로는 승모판협착증에서 발생한 심방세동에 의한 뇌졸중과 두개내 출혈을 예방하는 기본적 치료법으로는 부족한 점이 많다""며, ""승모판협착증이 없는 심방세동 환자에서 뇌졸중, 두개내 출혈의 감소 효과가 와파린보다 우월한 비-비타민K 길항 항응고제(NOAC)를 이용한 치료법도 적극 활용할 수 있도록 더 많은 연구가 필요할 것으로 생각된다""고 말했다. 이 연구 결과는 영국의학저널 심장학(BMJ Journals Heart) 2월호에 게재됐다.
장종호 기자 bellho@sportschosun.com

오용석 교수

▶무료로 알아보는 나의 운명의 상대

▶눈으로 보는 동영상 뉴스 핫템

- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지"
