종목명,신문사,시간,제목,본문
매직마이크로,조선비즈,2020.03.25. 오전 10:52,"매직마이크로, +10.59% VI 발동","매직마이크로(127160)가 VI가 발동했다. 전일 대비 10.59% 상승한 470원에 거래되고 있다.



매직마이크로의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 500,140주를 순매도했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 3.41% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
매직마이크로,조선비즈,2020.03.30. 오전 9:13,"매직마이크로, -4.41% VI 발동","매직마이크로(127160)가 VI가 발동했다. 전일 대비 4.41% 하락한 455원에 거래되고 있다.



매직마이크로의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 123,106주를 순매도했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 19.00% 상승했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[조선비즈 창간 10주년 기획 '남극은 전쟁 중' 기사 보러가기]
[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
매직마이크로,조선비즈,2020.04.07. 오전 10:39,"매직마이크로, +15.89% VI 발동","매직마이크로(127160)가 VI가 발동했다. 전일 대비 15.89% 상승한 525원에 거래되고 있다.



매직마이크로의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 216,582주를 순매수했으며, 기관은 1주를 순매도 했다. 같은 기간 주가는 0.44% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
매직마이크로,조선비즈,2020.04.07. 오전 10:39,"매직마이크로, +10.82% 상승폭 확대","매직마이크로(127160)가 상승폭을 확대하고 있다. 전일 대비 10.82% 상승한 502원에 거래되고 있다.



매직마이크로의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 216,582주를 순매수했으며, 기관은 1주를 순매도 했다. 같은 기간 주가는 0.44% 하락했다.

[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
매직마이크로,조선비즈,2020.04.17. 오전 9:56,"매직마이크로, +10.30% VI 발동","매직마이크로(127160)가 VI가 발동했다. 전일 대비 10.30% 상승한 557원에 거래되고 있다.

매직마이크로의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 13,118주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 4.54% 하락했다.

(단위: 원)
날짜 주가 등락률
04월 16일 505 -2.51%
04월 14일 518 +0.78%
04월 13일 514 -4.81%
04월 10일 540 +2.08%
04월 09일 529 -1.67%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
매직마이크로,조선비즈,2020.04.17. 오전 11:15,"매직마이크로, +13.47% 상승폭 확대","매직마이크로(127160)가 상승폭을 확대하고 있다. 전일 대비 13.47% 상승한 573원에 거래되고 있다.



매직마이크로의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 13,118주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 4.54% 하락했다.

(단위: 원)
날짜 주가 등락률
04월 16일 505 -2.51%
04월 14일 518 +0.78%
04월 13일 514 -4.81%
04월 10일 540 +2.08%
04월 09일 529 -1.67%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
매직마이크로,조선비즈,2020.04.17. 오후 2:18,"매직마이크로, +29.90% 상한가","매직마이크로(127160)가 상한가를 기록했다. 전일 대비 29.90% 상승한 656원에 거래되고 있다.



매직마이크로의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 13,118주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 4.54% 하락했다.

(단위: 원)
날짜 주가 등락률
04월 16일 505 -2.51%
04월 14일 518 +0.78%
04월 13일 514 -4.81%
04월 10일 540 +2.08%
04월 09일 529 -1.67%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
매직마이크로,파이낸셜뉴스,2020.04.17. 오후 2:47,"[fnRASSI]매직마이크로, 상한가 기록","매직마이크로(127160)는 상한가를 기록하고 있다. 동종목은 현재 656원선에서 이루어지고 있다.

참고로 52주 최고가는 2,230원(19년 07월 19일), 최저가는 338원(20년 03월 20일)원이다. 최근 3일동안 평균 거래량은 460만 주이다. 이는 250일 일 평균 거래량 269만 주와 비교해보면 최근 거래량이 다소 증가했다는 것을 알 수 있다.

개인,외국인 투자자만 매매에 참여
최근 한달간 주체별 거래비중을 살펴보면 개인 비중이 79.62%로 가장 높았고, 외국인이 18.78%로 그 뒤를 이었다. 기관은 거래에 참여하지 않은 것으로 보인다. 그리고 최근 5일간 거래비중은 개인이 78.87%, 외국인이 20.93%를 기록한 것으로 나타났다.

상장주식수 대비 거래량은 2.72%로 적정수준
최근 한달간 매직마이크로의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 2.72%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 5.26%를 나타내고 있다.

'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ '아는 척'하고 싶은 당신을 위한 [두유노우]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
매직마이크로,조선비즈,2020.04.23. 오전 10:09,"매직마이크로, +2.91% 상승폭 확대","매직마이크로(127160)가 상승폭을 확대하고 있다. 전일 대비 2.91% 상승한 637원에 거래되고 있다.



매직마이크로의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 526,584주를 순매도했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 22.57% 상승했다.

(단위: 원)
날짜 주가 등락률
04월 22일 619 +0.81%
04월 21일 614 -3.61%
04월 20일 637 -2.90%
04월 17일 656 +29.90%
04월 16일 505 -2.51%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
매직마이크로,조선비즈,2020.04.23. 오전 11:52,"매직마이크로, +9.69% VI 발동","매직마이크로(127160)가 VI가 발동했다. 전일 대비 9.69% 상승한 679원에 거래되고 있다.



매직마이크로의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 526,584주를 순매도했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 22.57% 상승했다.

(단위: 원)
날짜 주가 등락률
04월 22일 619 +0.81%
04월 21일 614 -3.61%
04월 20일 637 -2.90%
04월 17일 656 +29.90%
04월 16일 505 -2.51%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
