종목명,신문사,시간,제목,본문
디에스,연합뉴스,2012.09.27. 오후 2:42,"디에스, 유동성 확보 위해 155억원 차입","(서울=연합뉴스) 신재우 기자 = 디에스는 유동성 확보를 위해 금융기관이 아닌 곳에서 155억원을 차입한다고 27일 공시했다. 차입 규모는 자기 자본의 62.99%에 해당한다.

withwit@yna.co.kr

[이 시각 많이 본 기사]

☞美 ""한국 공격헬기 구매 의향 의회 보고""(종합)

☞싸이 `강남스타일' 빌보드 메인차트 2위(종합)

☞곽노현 유죄 확정…교육감직 상실(3보)

☞이대호 ""내년에 무조건 홈런 30개 이상 치겠다""

☞이해찬 ""박근혜 유신부정발언, 민주주의의 힘""

<연합뉴스 모바일앱 다운받기> <포토 매거진>

<저작권자(c)연합뉴스. 무단전재-재배포금지.>"
디에스,파이낸셜뉴스,2012.09.27. 오후 2:43,디에스 155억 단기차입,"디에스는 27일 기업 유동성 확보를 통한 운영자금 사용을 위해 155억원을 단기 차입한다고 밝혔다. 자기자본의 62.99% 규모다.



■ 오늘의 핫뉴스
▶ [단독] 새누리당 안랩 표적감사 문건 입수
▶ 싸이，제2의 저스틴 비버 되려면
▶ 대한민국 3대 바보? 신현준, “바보지만 매번 다른 연기했다”
▶ 극동건설 부도, 웅진그룹을 삼키다
▶ 직장 여성이 다이어트에 실패하는 이유?


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
디에스,머니투데이,2012.09.27. 오후 2:44,"디에스, 155억 단기차입금 증가 결정","[머니투데이 김은령 기자]디에스는 운용자금 마련을 위해 금융기관 외에 자로부터 155억원을 차입키로 했다고 27일 공시했다. 이로써 단기차입금 합계는 431억원으로 늘어난다.

[머니투데이 핫뉴스]
☞ '85명 자살' 마포대교 가보니, 난간에 글이…
☞ ""삼성만 애플 따라해?"" 옛날 폰 다 꺼내보니..
☞ 안철수 부인 '다운계약서' 시인, 탈세혐의는?
☞ 강금실, 文캠프 윤여준 영입에 ""분노"" 비판글
☞ 웅진그룹 ""돈 더 없어""…극동건설 1차 부도

김은령기자 taurus@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
디에스,한국경제,2012.09.27. 오후 2:57,"디에스, 155억 단기차입금 증가 결정","디에스는 27일 기업 유동성 확보를 통한 운영자금 사용을 위해 단기차입금을 155억원 증가키로 했다고 공시했다.

한경닷컴 김효진 기자 jinhk@hankyung.com

▶ 진미령 ""냉면 때문에 전유성과 이혼? 사실은…""

▶ 女 톱모델, 실오라기 하나 걸치지 않은 노출사진

▶ 단역배우 자매의 자살…방송 관계자에게 집단 성폭행 '충격'

▶ 女 84% ""피임약 권하는 남친과 헤어지고 싶다"" 충격 고백

▶ [포토] 황정음 '엉덩이 라인은 내가 최고'

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
디에스,아시아경제,2012.09.27. 오후 3:05,"디에스, 단기차입금 150억원 증가 결정","[아시아경제 지선호 기자] 디에스는 단기차입금을 276억원에서 431억원으로 150억원 더 증액하기로 결정했다고 27일 공시했다.

이번에 증액된 단기차입금은 자기자본의 62.99%에 해당한다.

회사측은 기업 유동성 확보를 통한 운영자금에 사용할 예정이라고 밝혔다.

지선호 기자 likemore@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""아내가 부자라던 '조영구' 살고 있는 집이""

▶ ""좀 작아보이는 '손연재' 알고봤더니 키가""

▶ 당황해버린 '싸이' 금발미녀가 뭘 했길래…""충격""

▶ ‘세계최초’ 인삼다당체 발견으로 ‘암 극복’ 새 희망..

▶ ""싸이 '강남스타일' 뜨더니만 아버지 회사가"""
디에스,헤럴드POP,2012.09.27. 오후 3:06,"＜생생코스닥＞디에스, 155억 규모 단기차입 결정","디에스는 기업 유동성 확보를 통한 운영자금 마련을 위해 155억원 규모의 단기차입을 결정했다고 27일 공시했다.

이는 자기자본대비 62.99%에 해당한다.

[오늘의 인기기사]
◆ [속보] 강남스타일, 빌보드 2위…1위 임박
◆［속보］싸이 '강남스타일' 빌보드 2위…1위 임박
◆ '대구 탈옥범' 가족에게 쓴 편지 공개…
◆ 안철수 방명록 글씨 어떻길래…’철수체’ 화제
◆ ‘日은 밉고 아오이 소라는 예쁘고’…中남성들 “어떻게?”
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
디에스,한국경제,2012.09.28. 오전 5:29,[코스닥 기업공시] (27일) 디에스,"▲디에스=단기차입금 155억원 증가.

▲디오텍=한국거래소가 상장폐지실질심사 대상으로 결정.

▲사파이어테크놀로지=김영호 전 대표이사가 제기한 주식반환 소송에서 승소.

▲엔터기술=최대주주 변경 사유로 상장폐지실질심사 대상 해당 여부에 대한 심사 가능성 제기.

▲엠텍비젼=불성실공시법인 지정.

▲오리콤=주당 액면가를 5000원에서 1000원으로 분할하기로 결정.

▲인터파크=자회사 인터파크INT가 자회사 베스트바이어를 흡수합병.

▲티브로드도봉강북방송·한빛방송=자진상장폐지 신청하면서 주권매매거래 정지.

▲파인테크닉스=금융기관으로부터 운전자금 100억원 단기 차입.

▲하림홀딩스=자회사인 농수산홀딩스가 제일홀딩스에 흡수 합병됨.

▶ 진미령 ""냉면 때문에 전유성과 이혼? 사실은…""

▶ 女 톱모델, 실오라기 하나 걸치지 않은 노출사진

▶ 女 84% ""피임약 권하는 남친과 헤어지고 싶다"" 충격 고백

▶ [포토] 황정음 '엉덩이 라인은 내가 최고'

▶ 톱모델, 재벌2세와 찍은 나체사진 '충격'

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한국경제신문, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
디에스,머니투데이,2012.10.02. 오후 4:20,"디에스, 이승규 단독대표 체제로 변경","[머니투데이 황국상 기자]디에스는 이승규, 오인환 대표체제에서 이승규 단독대표 체제로 변경키로 했다고 2일 공시했다. 디에스 지분 17.89%를 보유한 이승규 대표는 삼성전자 부사장을 지낸 바 있다.

[머니투데이 핫뉴스]
☞ '아내폭행'개그맨, 부부동반 방송후 돌변해..
☞ 109만원 '갤노트2' 직접써보니, 비싼값을…
☞ 'D-80'추석민심 방향은? 박근혜 지지율, 또…
☞ 아… '17만원 갤럭시S3' 한번 더?
☞ 추석에 무슨 일? 박근혜 지지율 갑자기…

황국상기자 gshwang@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
디에스,한국경제,2012.10.02. 오후 4:20,"디에스, 이승규 단독 대표 체제로 전환","디에스는 이 회사 오인환 대표의 사임으로 이승규 단독 대표 체제로 전환됐다고 2일 공시했다.

한경닷컴 오정민 기자 blooming@hankyung.com

▶ 유명 女가수 ""아이 생기는대로 수술"" 충격 고백

▶ 유명 방송인, '아동 포르노' 즐기다가 결국…

▶ '파격 19금 드레스' 오인혜 충격 고백 ""부모님이…""

▶ 박지성 떠난 맨유 경기장에 욱일승천기 등장하자 해설자는

▶ 곽현화, 안고 싶은 여자 다? 에로틱한 분위기 '호기심 자극’

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
디에스,아시아경제,2012.10.02. 오후 4:21,"디에스, 이승규 단독 대표 체제로 전환","[아시아경제 배경환 기자] 디에스는 오인환 대표이사의 사임으로 이승규 단독 대표 체제로 전환됐다고 2일 공시했다.

배경환 기자 khbae@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""싸이 결국 '빌보드 1등' 했다"" 소문 돌더니…'충격'

▶ ""아내가 부자라던 '조영구' 살고 있단 집이""

▶ 장윤정-노홍철 '결별 이유' 어쩐지 이상하더니

▶ ‘세계최초’ 인삼다당체 발견으로 ‘암 극복’ 새 희망..

▶ ""좀 작아보이는 '손연재' 알고봤더니 키가"""
