종목명,신문사,시간,제목,본문
자연과환경,머니투데이,2013.11.29. 오후 1:45,"자연과환경, 23.6억 규모 공급 계약 체결","[머니투데이 한보경 기자]자연과환경은 계룡건설산업과 23억6000만원 규모의 KGC 원주공장 리모델링공사 중 폐수처리공사 공급계약을 체결했다고 29일 공시했다. 이는 최근 매출액 대비 5.49%에 해당하며 계약기간은 이달4일부터 2015년6월9일까지다.





[오늘의 HOT포토][스페셜 포토][손안의 경제뉴스 머니투데이 모바일웹]

한보경기자 iamhangija@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
자연과환경,한국경제,2013.11.29. 오후 1:49,"자연과환경, 23억 리모델링공사 수주","[ 이하나 기자 ] 자연과환경은 계룡건설산업으로부터 KGC 원주공장 폐수처리 리모델링 공사를 수주했다고 29일 공시했다. 계약금액은 23억6000만원. 지난해 매출의 5.49% 규모다. 계약기간은 2015년 6월9일까지다.

한경닷컴 이하나 기자 lhn@hankyung.com

▶'박람회장 발칵' 주식 자동매매 프로그램 등장

▶ 별장으로 쓰면서 은행이자 3배 수익 받는곳?

[한경+ 구독신청] [기사구매] [모바일앱]  ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
자연과환경,아시아경제,2013.11.29. 오후 1:50,"자연과환경, 23억원 규모 공급계약 체결","[아시아경제 나석윤 기자] 자연과환경은 계룡건설산업을 상대로 23억원 규모 KGC 원주공장 리모델링공사 중 폐수처리공사 계약을 체결했다고 29일 공시했다.

계약금액은 최근 매출액 대비 5.49%에 해당한다.

나석윤 기자 seokyun1986@asiae.co.kr

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
자연과환경,이데일리,2013.11.29. 오후 1:59,"자연과환경, 계룡건설과 23억 규모 공급 계약","[이데일리 경계영 기자] 자연과환경(043910)은 계룡건설산업과 23억6000만원 규모의 KGC 원주공장 리모델링공사 중 폐수처리공사 계약을 체결했다고 29일 공시했다. 이는 지난해 매출액 대비 5.49%에 해당하며 계약기간은 2015년 6월9일까지다.

경계영 (kyung@edaily.co.kr)


[이데일리 뉴스 앱][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
자연과환경,헤럴드POP,2013.11.29. 오후 2:00,"＜생생코스닥＞자연과환경, 23.6억 규모 폐수처리공사 수주","자연과환경은 계룡건설산업과 23억6000만원 규모의 KGC 원주공장 리모델링공사 중 폐수처리공사를 수주했다고 29일 공시했다.

이는 최근 매출액 대비 5.49%애 해당하며 계약기간은 2015년 6월 9일까지다.

[헤럴드경제 뉴스스탠드] [헤럴드 라이브스탁 바로가기]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱]

- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & biz.heraldcorp.com, 무단 전재 및 재배포 금지 -

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
자연과환경,파이낸셜뉴스,2013.11.29. 오후 2:27,"자연과환경, 계룡건설산업과 23억규모 폐수처리 공사 계약 체결","자연과환경이 계룡건설산업과 23억규모의 KGC 원주공장 리모델링 공사 중 폐수처리 공사 계약을 체결했다고 29일 공시했다. 이는 지난해 매출의 5.49%에 해당한다.
psy@fnnews.com 박소연 기자



※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
자연과환경,아시아경제,2013.12.30. 오후 3:48,"자연과환경, 철강사업부문 물적 분할","[아시아경제 조유진 기자]자연과환경은 철강사업부문을 물적분할한다고 30일 공시했다.

조유진 기자 tint@asiae.co.kr

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
자연과환경,머니투데이,2013.12.30. 오후 3:49,"자연과환경, 물적분할 결정","[머니투데이 김성은 기자]자연과환경은 책임경영체제 마련을 위해 물적분할한다고 30일 공시했다.

회사 측은 ""분할되는 회사가 영위하고 있는 사업 부문 중 철강사업부문을 분할해 신설회사를 설립한다""고 밝혔다. 분할 후 존속회사는 생태블럭제조 등 환경사업에 주력하게 된다.





[오늘의 HOT포토][스페셜 포토][손안의 경제뉴스 머니투데이 모바일웹]

김성은기자 gttsw @
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
자연과환경,한국경제,2013.12.30. 오후 3:49,"자연과환경, 철강사업 부문 단순 물적 분할 결정","[ 이민하 기자 ] 자연과환경은 경영효율성을 높이고 재무구조를 개선하기 위해 사업부문 중 철강사업부문(에코스틸사업부문)을 단순 물적 분할해 신설회사를 설립하기로 결정했다고 30일 공시했다.

한경닷컴 이민하 기자 minari@hankyung.com

▶연예인 김종국 집에서 뭐하나 봤더니...충격

▶ 별장으로 쓰면서 은행이자 3배 수익 받는곳?

▶박람회장 발칵"" 주식 자동 매매 프로그램 인기

[한경+ 구독신청] [기사구매] [모바일앱]  ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
자연과환경,헤럴드POP,2013.12.30. 오후 3:57,"＜생생코스닥＞자연과환경, 철강사업부문 분할 결정","자연과환경은 사업부문의 분리를 통해 경영효율성 및 재무구조개선을 통한 수익성 강화 및 책임경영체제 마련을 위해 철강사업부문을 분할하여 신설회사를 설립한다고 30일 공시했다.

▶ 단열뽁뽁이外…난방비 절약 아이디어 상품 '눈길'

▶ 성인 男, 화장실에 몰래 보는 ‘이것’은?

[헤럴드경제 뉴스스탠드] [헤럴드 라이브스탁 바로가기]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱]

- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & biz.heraldcorp.com, 무단 전재 및 재배포 금지 -

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
