종목명,신문사,시간,제목,본문
케이피엠테크,헤럴드POP,2012.10.30. 오후 2:36,"＜생생코스닥＞케이피엠테크, BW 행사가 2025원→1705원 조정","케이피엠테크는 시가하락에 따라 신주인수권 행사가액을 2025원에서 1705원으로 조정했다고 30일 공시했다.

이로써 조정후 행사가능 주식수는 58만6510주이다.


[오늘의 인기기사]
◆ '이미숙 연하남' 자필편지, 최초 공개
◆ 이특 삭발 현장…‘카리스마 대한남아’, 이특에게 이런 면이?
◆ 송혜명, SS501 박정민과 결별 폭로 ""난 이용당했다"" 파문
◆ 치매아내 살해, 헌신수발하던 남편이 어쩌다…
◆ ‘임신설’ 돌던 北 리설주, 50여일 만에 등장
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
케이피엠테크,아시아경제,2012.11.14. 오후 2:49,"케이피엠테크, 3분기 영업익 27억..전년比 261% ↑","[아시아경제 김소연 기자]케이피엠테크는 올 3분기 영업이익이 27억원을 기록해 전년 동기 대비 261% 증가했다고 14일 밝혔다.

같은 기간 매출액과 당기순이익은 157억원, 21억원으로 특히 당기순이익은 920%로 크게 증가했다.

회사측은 “사업구조 개편과 재고관리 등의 노력으로 이익률이 크게 개선됐다”며, “최근 기계사업부의 수주 증가에 따라 매출이 증가하고 있고 약품사업부 역시 꾸준한 실적을 유지하고 있다”고 말했다.

채병현 케이피엠테크 대표는 “올해는 연결 기준으로 지난해보다 119% 증가한 1655억 원의 매출액을 목표하고 있다”며 “이를 위해 고성장 사업 위주로 사업구조를 개편하고, 사업다각화를 추진하는 등 다각도에서 노력해 목표 매출액을 충분히 달성할 것”이라고 자신했다

김소연 기자 nicksy@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
'연예계 돌연 은퇴' 사강 결혼했다는 남자가
""아이유-은혁 '사진 해명' 이상하더니 결국""
'이용대 여친' 평범한 줄 알았더니만…'충격'
'동영상 파문' 한성주 그 사건의 끝은…'충격'
'황정음-김용준' 정말 오래 사귄다 했더니만"
케이피엠테크,서울경제,2012.11.14. 오후 3:03,"케이피엠테크, 3분기 영업익 27억…전년比 261% ↑","케이피엠테크는 올해 3분기 영업이익이 전년 동기대비 278% 증가한 29억원을 기록했다.

케이피엠테크는 14일 3분기 영업실적 공시를 통해 매출액 157억원, 영업이익 27억원, 당기순이익 21억원을 달성했다고 밝혔다. 전년 동기 대비 매출액은 다소 감소했지만, 영업이익과 당기순이익은 각각 261%, 920%로 크게 증가했다.

케이피엠테크 관계자는 “사업구조 개편과 재고관리 등의 노력으로 이익률이 크게 개선됐다”며 “최근 기계사업부의 수주 증가에 따라 매출이 증가하고 있으며, 약품사업부 역시 꾸준한 실적을 유지하고 있다”고 설명했다.

이 회사는 최근 신진테크놀로지와 33억 원 규모의 도금장치 공급계약을 체결하는 등 꾸준한 매출 신장을 이루고 있다.

채병현 대표는 “올 해에는 연결 기준으로 지난해보다 119% 증가한 1655억 원의 매출 달성을 목표로 하고 있다”며 “이를 위해 고성장 사업 위주로 사업구조를 개편하고, 사업다각화를 추진하는 등 다양한 각도에서의 노력으로 목표 매출액을 충분히 달성할 수 있을 것”이라고 강조했다.

이재유기자 0301@sed.co.kr

[한국아이닷컴 인기기사]
☞ 한국에 이상 조짐… 상상초월 대란 터지나
☞ 도라지 발효시켜 먹었더니… 놀라운 효능
☞ 독도서 당장 전투 벌어지면… 등골 오싹
☞ 경이적이다… 전세계 휩쓴 한국 제품들
☞ '집값 무섭게 더 떨어지면…' 충격 결과


[ⓒ 인터넷한국일보(www.hankooki.com), 무단 전재 및 재배포 금지]"
케이피엠테크,매일경제,2012.11.14. 오후 3:18,"케이피엠테크, 3분기 영업익 27억원…전년比 261%↑","케이피엠테크가 3분기 영업이익 27억원을 기록해 전년 동기 대비 261% 증가했다고 14일 밝혔다.
케이피엠테크는 이날 공시를 통해 매출액과 영업이익이 각각 157억원과 27억3500만원을 기록했다고 전했다. 매출액은 전년동기 대비 소폭 감소했으나 영업이익은 261% 증가했다. 당기순이익도 20억7000만원을 기록해 920% 늘었다.
회사측은 ""사업구조 개편과 재고관리 등의 노력으로 이익률이 크게 개선됐다""며 ""최근 기계사업부의 수주가 늘어나는데다 약품사업부까지 꾸준한 실적을 유지하고 있다""고 말했다.
채병현 케이피엠테크 대표는 ""올해 연결 기준 매출액은 지난해보다 119% 증가한 1655억원을 목표로 하고 있다""며 ""사업구조를 개편하고 사업다각화를 추진하는 등 다양한 각도에서의 노력으로 목표 매출액을 충분히 달성할 수 있을 것""이라고 말했다.
[이용건 기자]

▶ 정글2 `핫 바디` 전혜빈, 무보정 사진도 `예술이네`

▶ 정육점서 고기 다듬는 알바女, 연봉 보니`경악`

▶ 류현진, 다저스서 달게 될 등번호는

▶ 류현진, 얼마나 받을까 연봉협상 `밀당`시작

▶ 윤은혜 `욕조 속 밀애…키스` 도발적 화보 공개

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
케이피엠테크,아시아경제,2012.11.14. 오후 3:25,"케이피엠테크, 3Q영업익 27억..전년比 261%↑","[아시아경제 진희정 기자]케이피엠테크는 3분기 영업이익이 전년동기대비 261% 늘어난 27억원을 기록했다고 14일 공시했다.

매출은 157억원으로 지난해보다 8% 감소한 반면 당기순이익은 21억원으로 920% 급증했다.

진희정 기자 hj_jin@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
'연예계 돌연 은퇴' 사강 결혼했다는 남자가
""아이유-은혁 '사진 해명' 이상하더니 결국""
'이용대 여친' 평범한 줄 알았더니만…'충격'
'동영상 파문' 한성주 그 사건의 끝은…'충격'
'황정음-김용준' 정말 오래 사귄다 했더니만"
케이피엠테크,한국경제,2012.11.14. 오후 3:28,"케이피엠테크, 3분기 영업익 27억…전년비 258%↑","케이피엠테크는 지난 3분기 영업이익이 27억3500만원을 기록해 전년 동기 대비 258% 증가했다고 밝혔다. 매출액은 7.9% 감소한 157억200만원으로 잠정집계됐다.

 

회사 측은 ""매출액은 다소 줄었짐나 사업구조 개편과 재고관리 등의 노력으로 이익률이 크게 개선됐다""며 ""최근 기계사업부의 수주가 증가하고 약품사업부 역시 꾸준한 실적을 유지하고 있다""고 전했다.

채병현 케이피엠테크 대표는 ""올해 목표 연결 매출액은 지난해보다 119% 증가한 1655억원""이라며 ""고성장 사업 위주로 사업구조를 개편하고 사업다각화를 추진하는 등 다양한 노력으로 목표 매출액을 달성할 것""이라고 말했다.

한경닷컴 정인지 기자 injee@hankyung.com

▶ 김미연 비키니 몸매, 구릿빛 피부에 탄탄한 복근 '헉'

▶ 아이돌 출신 女, 10억에 성인 비디오 데뷔 '충격'

▶ 신혼 '첫날밤' 아무 데서나 함부로 치렀다간

▶ 아이유 '셀카 스캔들' 예상 뒤엎은 반전

▶ 김성주 ""살해협박 받고 있다"" 충격 고백

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
케이피엠테크,이데일리,2012.11.14. 오후 4:10,"케이피엠테크, 3Q영업익 27.4억..전년비 261%↑","[이데일리 박형수 기자] 케이피엠테크(042040)는 지난 3분기 영업이익이 27억4000만원으로 전년 동기 대비 261% 증가했다고 14일 공시했다.

3분기 매출액과 순이익은 각각 157억원, 20억7000만원으로 집계됐다. 전년 동기 대비 매출액은 8% 감소했으나 순이익은 920% 증가했다.

채병현 대표는 “올 해에는 연결 기준으로 지난해보다 119% 증가한 1655억원 매출 달성을 목표로 하고 있다”고 말했다.

박형수 (parkhs@edaily.co.kr)"
케이피엠테크,디지털타임스,2012.11.14. 오후 4:12,"케이피엠테크, 3분기 순이익 전년비 9배 증가","표면처리업체 케이피엠테크(대표 채병현)는 3분기 매출액 157억원, 영업이익 27억원, 당기순이익 21억원을 기록해 전년동기 대비 영업익 261%, 순이익 920%가 급증했다고 14일 밝혔다.

업체 관계자는 ""사업구조 개편과 재고관리 등의 노력으로 이익률이 크게 개선됐다""며 ""기계사업부의 수주 증가에 따라 매출이 증가하고 있고 약품사업부도 꾸준한 실적을 유지하고 있어 올해 매출액 달성이 유력하다""고 말했다.

허우영기자 yenny@

▶디지털타임스 추천 주요기사
☞ 김중수 ""韓경제 내년 하반기부터 성장률 호전""
☞ D램 가격 하락세 멈췄다…DDR3 2Gb 0.83달러
☞ 울산 신고리 원자력발전소 3호기 시험운전
☞ SK에너지, 파라자일렌 생산 위해 8000억원 유상증자
☞ 각국 정부 구글에 콘텐츠 제거 요청 급증


< Copyrights ⓒ 디지털타임스 & dt.co.kr, 무단 전재 및 재배포 금지 >

허우영

yenny@"
케이피엠테크,한국경제TV,2012.11.15. 오전 9:50,[특징주] 케이피엠테크 급등‥3분기 실적개선,"케이피엠테크가 3분기 실적 개선 소식에 급등하고 있습니다.

오전 9시42분 현재 케이피엠테크는 어제(14일)보다 13.61% 뛴 1천920원에 거래중입니다.

케이피엠테크는 어제 3분기 영업이익이 27억4천만원으로 지난해 같은 기간보다 261% 증가했다고 공시했습니다.

같은 기간 매출액은 157억원으로 전년 동기대비 8% 줄었지만 당기순이익은 920% 늘어난 20억7천만원으로 집계됐습니다.

케이피엠테크 관계자는 ""매출액은 다소 줄었지만 사업구조 개편과 재고관리 등의 노력으로 이익률이 크게 개선됐다""며 ""최근 기계사업부의 수주가 증가하고 약품사업부 역시 꾸준한 실적을 유지하고 있다""고 설명했습니다.

오상혁기자 osh@wowtv.co.kr

▶ `엄마들 혹하는 애기옷` 걸레 달린 옷

▶ 호주 사상 최다 당첨금 `1200억 로또` 행운의 주인공은?

▶ `두번이나 유산됐다더니…` 멀쩡하게 출산

▶ 하하 별 기습키스, 저돌적인 예비신랑에 결국… “저리가” 버럭!

▶ 박은지 19금 파격 변신? 안영미와 섹시대결까지…"
케이피엠테크,아시아경제,2012.11.15. 오전 9:59,"[특징주]케이피엠테크, 3분기 호실적에 '↑'","[아시아경제 김소연 기자]케이피엠테크가 호실적에 강세다.

15일 오전 9시59분 케이피엠테크는 전일대비 245원(14.50%) 상승한 1935원을 기록 중이다.

케이피엠테크는 전날 올 3분기 영업이익이 27억원을 기록해 전년 동기 대비 261% 증가했다고 14일 밝혔다. 같은 기간 매출액과 당기순이익은 157억원, 21억원으로 특히 당기순이익이 920% 크게 증가했다.

김소연 기자 nicksy@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
'연예계 돌연 은퇴' 사강 결혼했다는 남자가
""아이유-은혁 '사진 해명' 이상하더니 결국""
'이용대 여친' 평범한 줄 알았더니만…'충격'
'동영상 파문' 한성주 그 사건의 끝은…'충격'
'황정음-김용준' 정말 오래 사귄다 했더니만"
