종목명,신문사,시간,제목,본문
에스비엠,머니투데이,2012.10.09. 오후 5:26,"에스비엠 美 소송, 한국까지 '불똥'","[머니투데이 우경희 기자]위폐감별 지폐인식기 제조업체 에스비엠(대표 최종관)은 미국에서의 특허침해 소송에 대한 국내소송(집행판결청구)이 시작됐다고 9일 공시했다.
미국 기업 커민스알리슨(Cummins-Allison)은 에스비엠과 에스비엠의 미국 판매협력사인 암로를 대상으로 특허침해 소송을 제기한 바 있다. 지난 2009년 미국 텍사스법원이 커민스알리슨의 손을 들어줘 1301만달러 배상을 판결했다. 이후 에스비엠이 지속적으로 항소를 진행 중이다.
그러나 커민스알리슨이 국내 법원에까지 소송을 제기하며 미국 소송전이 한국으로 번지게 됐다. 회사 측은 변호사를 선임해 적극 대응한다는 방침이다.
회사 관계자는 ""텍사스법원조차 에스비엠과 암로의 공동 배상을 판결한 사안인데 이번 국내 법원에 전액 에스비엠의 배상을 요구하는 소송을 제기한 것은 어불성설""이라며 ""역량 있는 로펌을 선임해 적극 대응할 것""이라고 말했다.
그는 또 ""우리 법원의 최종판결까지는 상당기간이 필요할 것""이라며 ""법원의 현명한 판단을 기대한다""고 덧붙였다.
한편 에스비엠은 텍사스법원 1심 판결이 있던 2009년 결산 시 '손해배상손실충당금'으로 미리 15억원을 계상한 바 있다. 일부 배상판결이 나더라도 실적에 악영향은 없다는 입장이다.

[머니투데이 핫뉴스]
☞ '인육캡슐' 국내유통 충격, 열면 비린내가…
☞ 부모가 준 3억 신혼집, 5년뒤 7700만원 '稅폭탄' 왜?
☞ [단독]부모가 마련해준 신혼집 증여세 내라
☞ 日애니 봤다 전과자 될판? ""취직 어쩌라고""
☞ 북한군 또 넘어왔었다… 이번엔 동부전선

우경희기자 cheerup@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에스비엠,매일경제,2012.10.09. 오후 5:38,"[공시] 에스비엠, 144억 집행판결청구소 피소","에스비엠은 9일 커민스 알리슨 코포레이션이 회사를 상대로 114억6100만원 규모의 집행판결청구 소송을 서울중앙지방법원에 제기했다고 공시했다.
커민스는 법원에 미합중국 연방 텍사스 동부 지방법원이 2009년 선고한 1301만3255달러를 지급하라는 판결에 대한 강제집행 허가를 요구했다. 에스비엠 측은 ""소송대리인을 선임해 적극적으로 대응할 방침""이라고 전했다.
[한민수 기자]

▶ ""얼마나 야하길래…"" 김시향 세미누드화보, 인터넷 서버 다운

▶ 안철수 `폭탄 발언` ""나와 단일화 하려면…""

▶ 수지 시구 이번에는… ‘오빠들 心 빼앗다’

▶ 김연아 교과서 등장, ‘자랑스런 한국인’으로 선정

▶ 김혜수, 원조 글래머의 이 놀라운 자신감 `와우`

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
에스비엠,머니투데이,2012.10.09. 오후 5:39,"KB자산운용, 에스비엠 주식 추가취득...총 8.5%","[머니투데이 우경희 기자]에스비엠은 KB자산운용이 회사 주식을 추가 취득해 지분이 종전 7.42%(110만919주)에서 8.49%(126만64주)로 1.07%포인트(15만9145주) 늘어났다고 9일 공시했다.

[머니투데이 핫뉴스]
☞ '인육캡슐' 국내유통 충격, 열면 비린내가…
☞ 부모가 준 3억 신혼집, 5년뒤 7700만원 '稅폭탄' 왜?
☞ [단독]부모가 마련해준 신혼집 증여세 내라
☞ 日애니 봤다 전과자 될판? ""취직 어쩌라고""
☞ 북한군 또 넘어왔었다… 이번엔 동부전선

우경희기자 cheerup@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에스비엠,이데일리,2012.10.09. 오후 6:13,"에스비엠, 144억원 규모 집행판결청구 소송 피소","[이데일리 임성영 기자] 에스비엠(037630)은 커민스 알리슨 코포레이션(Cummins-Allison Corporation)이 서울중앙지방법원에 144억6100만원 규모의 집행판결청구 소송을 제기했다고 9일 공시했다.

커민스 알리슨 코포레이션은 지난 2009년 미합중국 연방 텍사스 동부 지방법원 러프킨 지원(United States District Court for the Eastern District of Texas Lufkin Division)이 에스비엠에 커민스 알리슨 코포레이션에 1301만3255달러를 지급하라는 판결에 대해 강제집행 허가를 요구했다.

회사측은 “소송대리인을 선임해 법적절차에 따라 적극적으로 대응할 방침”이라고 밝혔다.

임성영 (rosa8341@edaily.co.kr)"
에스비엠,머니투데이,2012.10.10. 오전 9:17,"[특징주]피소 소식에 에스비엠, 급락","[머니투데이 배준희 기자]144억원대 피소 소식에 에스비엠이 급락세다.
10일 오전 9시13분 현재 전날 대비 6.72% 급락한 4440원에 거래되고 있다.
전날 에스비엠은 커민스 알리슨 코포레이션(Cummins-Allison Corporation)이 서울중앙지방법원에 144억6100만원 규모의 집행판결청구 소송을 제기했다고 공시했다.
커민스 알리슨 코포레이션은 지난 2009년 미합중국 연방 텍사스 동부 지방법원 러프킨 지원(United States District Court for the Eastern District of Texas Lufkin Division)이 에스비엠에 커민스 알리슨 코포레이션에 1301만3255달러를 지급하라는 판결에 대해 강제집행 허가를 요구했다.
회사측은 ""소송대리인을 선임해 법적절차에 따라 적극적으로 대응할 방침""이라고 밝혔다.

[머니투데이 핫뉴스]
☞ 부모가 준 3억 신혼집, 5년뒤 7700만원 '稅폭탄' 왜?
☞ 연수입 12억 女배우의 씁쓸한 '위장취업'
☞ 저렴한 '갤럭시S3 미니' 곧 출시, 디자인은…
☞ 허경영, 뉴스출연 ""安 정치적 사생아, 文…""
☞ 장기매매 '부위별' 가격 충격, 3억짜리는…

배준희기자 gatsby@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에스비엠,조선비즈,2012.10.10. 오전 9:36,"[특징주] 에스비엠, 피소 소식에 급락","에스비엠이 144억원 규모의 피소 소식에 장 초반 급락하고 있다.

에스비엠(037630)은 10일 오전 9시 25분 현재 전날보다 355원(7.46%) 하락한 4405원에 거래되고 있다.

전날 에스비엠은 커미슨 알리슨 코포레이션이 에스비엠을 상대로 144억6000만원 규모의 집행판결청구소송을 제기했다고 공시했다. 회사 측은 “소송대리인을 선임하여 법적 절차에 따라 적극적으로 대응할 방침이다”고 밝혔다.

[김수진 기자 joynhappy@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ주부들, 내가 다우니를 몇 통 썼는데…'충격'
ㆍ""아파트가 늙어간다"" 10년 뒤 서울은…
ㆍ자영업자 들으면 깜짝 놀랄 충격적인 사실
ㆍ언론인 수백명 해직, 방송사 사장들 '해외도피'
ㆍ""돈 없다""는 웅진 회장, 주식담보대출 보니 여력 있었네


chosunbiz.com"
에스비엠,서울경제,2012.10.10. 오후 2:51,"[주담과 Q&A] 에스비엠, ""2009년에 이미 15억 충당금 설정… 패소해도 재무구조 큰 타격 없어""","미국업체서 특허침해 소송 제기했는데…

-이미 충당금 설정해 재무적 부담 없고 소송 리스크 해소로 저평가 탈피 기회될 수도…

위폐 감별 지폐인식기 전문제조업체인 에스비엠이 10일 특허침해 관련 집행판결청구소송 피소 소식에 4.62% 하락했다. 미국 커민스 알리슨 코포레이션이 에스비엠을 상대로 144억6,100만원 규모의 집행판결청구소송을 서울중앙지방법원에 제기했다.

회사 관계자는 ""특허를 침해했다고 보기 어렵기 때문에 소송대리인을 선임해 끝까지 대응할 방침""이라면서 ""이미 지난 2009년 손해배상손실충당금으로 15억원을 설정했기 때문에 재무적인 우려가 적고 기관들도 이미 주가에 반영된 이슈로 보고 있어 부정적 영향은 제한적일 것""이라고 말했다.

Q. 전일 신고점 경신 이후 10일 급락한 이유는.

A. 전일 장 마감 후 나온 미국 커민스 알리슨사의 소송 때문이다.

Q. 지금까지 소송 과정은.

A. 커민스 알리슨사는 2009년 에스비엠과 미국의 판매협력사인 암로(AMRO)사에 대해 1,301만달러 규모의 특허침해 소송을 미국 법원에 제기했고 2009년 10월30일 1심 판결에서 에스비엠은 암로사와 공동배상 판결을 받았다. 이후 에스비엠은 항소를 진행했지만 5월25일 항소심이 기각되면서 1심 판결이 유지됐다. 항소심 판결 이후 90일 안에 미국 내 대법원에 상고를 하지 않아 8월23일 확정 판결을 받았다.

Q. 커민스 알리슨사가 미국에 이어 한국에도 소송을 제기한 까닭은.

A. 에스비엠은 미국 내 자산과 재산이 없기 때문에 실질적으로 손해배상이 진행되지 않는다. 커민스 알리슨사는 이러한 점을 알고 국내에 소송을 제기한 것으로 보고 있다.

Q. 커민스 알리슨사가 주장하는 특허침해는 어떤 내용인가.

A. 지폐 계수 속도 관련 특허다. 분당 800~1,200매를 셀 수 있는 속도가 특허를 침해했다고 주장하고 있다. 하지만 이 기술은 그들만의 특허라고 보기 어렵고 2010년 2월5일자로 소멸됐다. 소멸되기 3개월 전에 판결이 나왔다. 또 위조지폐를 인식하는 알고리즘이 유사하다고 지적했다. 이 기술도 전 세계 모든 위폐 감별기가 사용하는 방식이다.

Q. 대응 방안은.

A. 에스비엠은 비록 미국에서 패소했지만 특허침해를 하지 않았다고 보고 있다. 전문성이 부족한 배심원단의 결정이었고 미국에서 진행된 소송이라 불리한 점이 많았다. 소송대리인을 선임해 법적 절차에 따라 적극적으로 대응할 방침이다. 항소까지 생각하면 1년여가 걸릴 것으로 본다.

Q. 소송에 패소할 경우 회사에 미치는 부정적 영향은.

A. 부정적 영향은 크지 않을 것이다. 이미 2009년 15억원을 충당금으로 설정해놓았기 때문에 국내에서 패소하더라도 파장은 제한적이다. 15억원은 미국 1심 판결 당시 미국 누적 매출인 100억원에서 발생된 이익 규모다. 배상 규모가 15억원을 넘어서더라도 일시적인 손익구조상 문제가 될 수 있지만 현금 보유량이 탄탄해 재무구조에는 큰 영향이 없을 것이다.

Q. 이번 소송으로 주가가 하락했다. 향후 주가 전망은.

A. 이날 일시적으로 하락했지만 곧 회복할 것으로 보고 있다. 이번 소송은 이미 오래전부터 나왔던 이슈라 영향은 오래 가지 않을 것이다. 오히려 그동안 주가의 발목을 잡았던 소송 리스크가 해소된다면 주식 저평가 문제도 해결될 것이다. 실제 전일 소송 공시와 함께 나온 공시를 보면 2대 주주인 KB자산운용은 보유 지분을 확대했다.

노현섭기자 hit8129@sed.co.kr

[한국아이닷컴 인기기사]
☞ 그토록 즐겨먹던 삼겹살마저… 무섭다
☞ ""잡스, 10년 전부터 치밀하게…"" 충격 발언
☞ 창업 꿈꾸는 사람들 등골 오싹할 소식
☞ 싸이와 갈등 일으키던 김장훈, 급기야…
☞ 이럴 수가… 한국 제품에 세계가 '화들짝'


[ⓒ 인터넷한국일보(www.hankooki.com), 무단 전재 및 재배포 금지]"
에스비엠,매일경제,2012.10.10. 오후 5:23,"[종목포커스] 에스비엠, 특허권 침해 소송에 발목","100억원대 특허권 침해 소송이 에스비엠 주가 발목을 잡았다.
10일 코스닥시장에서 에스비엠 주가는 전 거래일 대비 4.62% 하락한 4540원에 거래를 마쳤다. 장중 한때 11% 이상 급락했다가 시간이 지나면서 낙폭이 회복되는 모습을 보였다.
전날 에스비엠은 장 마감 후 공시를 통해 미국 회사인 '커민스 알리슨 코퍼레이션'이 특허권 침해와 관련해 서울중앙지방법원에 144억원 규모의 지급 판결 소송을 제기했다고 밝혔다. 소송 금액은 회사 자기자본의 47.15% 수준에 달한다.
회사 측은 ""소송대리인을 선임해 법적 절차에 따라 적극적으로 대응할 방침""이라고 밝혔다.
[서태욱 기자]

▶ 김시향의 미공개 화보에는 어떤 모습이?

▶ 200억 물려받은 40대女, 한국남성 보자 그만…

▶ 두산-롯데 여신, `섹시복근 대결`

▶ 수지, `핫팬츠로 드러난 매끈 각선미`

▶ 김혜수, 원조 글래머의 이 놀라운 자신감 `와우`

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
에스비엠,머니투데이,2012.10.24. 오전 9:34,"[특징주]소송충격 털었다, 에스비엠 연이틀 강세","[머니투데이 우경희 기자]3분기 실적 개선이 기대되는 에스비엠이 소송 여파를 털고 연이틀 상승세를 이어가고 있다.
에스비엠은 24일 오전 현재 전일 대비 3.47% 오른 5070원에 거래되고 있다. 전날 8.53% 오른 가운데 마감한데 이어 이틀 연속 상승세다.
지난 6월 이후 꾸준히 주가가 상승 곡선을 그려 온 에스비엠은 미국서 벌어졌던 소송이 최근 국내로 번지며 일시 조정국면을 맞았다. 그러나 이내 다시 상승 가닥을 잡았다.
위조지폐 감별 및 정사기 제조업체 에스비엠은 30% 이상의 영업이익률을 자랑한다. 중국과 인도 등 신흥 시장에서 내년 매출비중 확대도 기대된다.

[머니투데이 핫뉴스]
☞ '강제 키스' 성폭행범 혀 깨물어 절단됐다면…
☞ 엘리베이터 바닥 '와장창', 몰카 찍어보니…
☞ [단독]""유시민 딸=성폭력 2차가해자"" 女단체 사과
☞ 김성주 또 설화? ""安·文 너무나 훌륭"" 묘한 평가
☞ '이회창 최측근' 박선영, 박근혜 특보로…왜?

우경희기자 cheerup@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에스비엠,한국경제,2012.11.05. 오전 10:48,"에스비엠, 3분기 영업익 12억…전년比 33%↓","에스비엠은 지난 3분기 영업이익이 12억8700만원으로 전년 동기 대비 33.14% 줄었다고 5일 공시했다.

같은 기간 매출은 전년 동기보다 7.57% 늘어난 69억원을 기록했다. 당기순이익의 경우 39.05% 감소한 12억7200만원으로 잠정 집계됐다.

한경닷컴 오정민 기자 blooming@hankyung.com

▶ 유명 女가수-축구선수, 섹스 비디오 유출 파문

▶ 개그우먼 김지선 ""남편과 각방 쓴다"" 충격 고백

▶ 연락두절된 내 친구…알고 보니 '헉'

▶ 낸시랭 침대 셀카 공개, 노출 '19금' 수준...연극 홍보 무리수?

▶ [화보] 이효리 파격 가슴노출…아찔한 볼륨 '눈길'

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
