종목명,신문사,시간,제목,본문
모린스,머니투데이,2012.10.22. 오후 3:01,"모린스, 단기차입금 100억원 증가결정","[머니투데이 우경희 기자]모린스는 신주인수권부사채 200억원 중 100억원을 상환하기 위해 금융기관으로부터 100억원 규모 담보대출을 결정, 단기 차입금이 늘어난다고 22일 공시했다.

[머니투데이 핫뉴스]
☞ ""다음주에 결혼"" 글 올렸더니, 2만명 동시에…
☞ ""이게 다 싸이 때문이다""라고 왜 말을 못하나
☞ 세운상가를 기억 하시나요? '6년 잔혹사'
☞ 朴후보, 기자회견장서 주진우 기자와 '설전'
☞ [시승기]3천만원대 벤츠 'A클래스' 獨서 타보니…

우경희기자 cheerup@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
모린스,아시아경제,2012.10.22. 오후 3:03,"모린스, 단기차입금 100억 증가 결정","[아시아경제 박혜정 기자]모린스는 담보대출 형태로 단기차입금 100억원을 늘리기로 했다고 22일 공시했다. 이에 따라 단기차입금 총액은 267억원으로 증가했다.

회사 측은 ""신주인수권부사채 200억원 중 100억원을 상환하기 위한 것""이라고 설명했다.

박혜정 기자 parky@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
""싸이와 화해했단 '김장훈' 결심굳혔다더니""
""미모의 승무원과 결혼 '정준하' 5개월만에""
'김태희-하정우' 결혼설 정말 이상하더니만…
""우유주사 걸린 '에이미' 판사한테 한 말이""
""이혼하고 떠난 '조혜련' 중국에서 했단 일이"""
모린스,헤럴드POP,2012.10.22. 오후 3:11,"＜생생코스닥＞모린스, 100억 단기차입 결정","모린스는 신주인수권부사채 200억원 중 일부인 100억원을 상환하기 위해 담보대출 형태로 100억원 규모의 단기차입을 결정했다고 22일 공시했다.

이는 자기자본대비 25.1%에 해당한다.

[오늘의 인기기사]
◆ 로또 2등 당첨금이 79만원 ‘최악의 날’
◆ 여대 도서관에 하이힐 신은 男이…‘경악’
◆ 박근혜-주진우 설전 ‘화제’, 어땠길래…
◆ 구소련 시대 첫 미인대회…수영복 심사도?
◆ 차를 망가뜨리는 ‘잘못된 상식 5가지’ ?
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
모린스,이데일리,2012.10.22. 오후 4:14,"모린스, 단기차입금 100억 증가 결정","[이데일리 김기훈 기자] 모린스(110310)는 신주인수권부사채 200억원 중 일부인 100억원을 상환하기 위해 담보대출 형태로 100억원 규모의 단기 차입을 결정했다고 22일 공시했다. 이는 자기자본 대비 25.1%에 해당한다.

김기훈 (core81@edaily.co.kr)"
모린스,아시아경제,2012.10.23. 오후 5:01,"모린스, 100억 규모 BW 만기전 취득","[아시아경제 정준영 기자]모린스는 23일 100억원 규모 신주인수권부사채를 장외매수로 만기전 취득한다고 공시했다. 주당 신주인수권행사가액은 5775원.

회사측은 사채권자의 조기상환 청구에 따른 것으로 취득 후 소각할 방침이라고 밝혔다.

정준영 기자 foxfury@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
""연예계 떠난 '강원래' 원인 제공한 사람이""
'김성수 전처 살해범' 찍혔단 CCTV…'충격 반전'
""싸이와 화해했단 '김장훈' 결심굳혔다더니""
""미모의 승무원과 결혼 '정준하' 5개월만에""
'김태희-하정우' 결혼설 정말 이상하더니만…"
모린스,아시아경제,2012.12.17. 오전 10:01,"모린스, 주총 위해 주주명부 폐쇄","[아시아경제 김철현 기자]모린스는 정기주주총회를 위한 권리주주 확정을 목적으로 오는 1월 1일부터 1월 7일까지 주주명부를 폐쇄한다고 17일 공시했다.

김철현 기자 kch@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
""18억 집 팔았단 '윤은혜' 받던 월세가 무려""
열애설 터졌던 '김장훈-고은아' 키스 사진이…'충격'
""5살 연하와 결혼했던 '박선주' 6개월만에""
""감옥서 나온 '강성훈' 돈 계속 안갚더니만 끝내…""
노홍철 7년전 '사기행각' 드러나더니 결국"
모린스,아시아경제,2013.03.11. 오후 6:09,"모린스, 35억원 규모 BW발행","[아시아경제 황준호 기자] 모린스는 35억원 규모 무기명식 이권부 무보증 분리형 신주인수권부사채를 발행키로 결정했다고 11일 공시했다.

황준호 기자 rephwang@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
'박시후 사건' A양 임신얘기 나오더니 결국
'성폭행 혐의' 박준 A양 누군가 했더니…
""결혼설 터진 '서지석' 애인 누군가 했는데""
결혼발표 '김준현' 연하 여친 누군가 했더니
""유승준 '입국 금지' 꽤 오래되더니 결국에는"""
모린스,조선비즈,2013.03.11. 오후 6:41,"모린스, 35억원 BW 발행 결정","모린스(110310)는 35억원의 신주인수권부사채권을 발행하기로 결정했다고 11일 공시했다.

[우고운 기자 woon@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ포인트 적립 어렵게… 롯데의 꼼수
ㆍ북한 위협? 외국계 큰손들은 韓 주식 더 산다
ㆍ정몽구 회장보다 18세 어린 수장… 현대차 위협
ㆍ남경필, 게임 셧다운제 놓고 조윤선과 '맞짱'
ㆍ재규어 최고의 스포츠카…서울모터쇼에 공개


chosunbiz.com"
모린스,머니투데이,2013.03.11. 오후 6:46,"모린스, 35억원 BW 발행 결정","[머니투데이 김건우 기자]모린스는 시설자금 목적의 35억원 규모의 무기명식 이권부 무보증 분리형 신주인수권부사채(BW) 발행을 결정했다고 11일 공시했다. 표면이자율은 2.0%, 만기이자율은 5.0%다.



[머니투데이 핫뉴스]
☞ ""바람난 아내 뒷조사"" 300만원 줬더니…
☞ ""잘려도 10억 받으면…"" 양심 고백 회사원들
☞ '박시후·박준' 고소女, 공통점 '이곳'에서..
☞ 과다노출 5만원..""미니스커트 단속 부활?""
☞ 삼성전자 인사팀장이 女직원에 보낸 메일보니…





김건우기자 jai@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
모린스,이데일리,2013.03.11. 오후 7:03,"모린스, 35억 규모 사모 BW 발행","[이데일리 하지나 기자] 모린스(110310)는 35억원 규모의 사모 신주인수권부사채(BW)를 발행한다고 11일 공시했다. 표면이자율은 2%, 만기이자율은 5%이며, 사채만기일은 2017년 9월13일이다.

하지나 (hjina@edaily.co.kr)

[관련기사]
☞ `키 리졸브` 훈련 시작.. 北 포문 개방
☞ `살인 누명` 11년 옥살이한 피해자에 144억 지급
☞ '재형저축 똑바로 팔아라' 금감원, 은행 부행장 '또' 소집
☞ 김부겸 '친노-반노 싸우면 분당' 5·4전대 불출마 선언
☞ '몰락하는 명가들'..의약품 시장 세대교체 가속화



▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
모린스,매일경제,2013.03.12. 오후 4:06,"[공시] 모린스, 자사주 20만주 처분","모린스는 12일 임직원 인센티브 지급을 위해 자사주 20만주를 처분키로 했다고 공시했다.
[한민수 기자]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
모린스,조선비즈,2013.03.12. 오후 4:11,"모린스, 자사주 20만주 처분","모린스(110310)는 12일 자사주 20만주를 11억원에 처분할 예정이라고 공시했다. 처분목적은 임직원 인센티브 지급이다.

[이종현 기자 vitmania@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ유니클로서 산 옷 수선하러 갔다가… '깜짝
ㆍ이건희 회장의 사랑을 독차지하는 개(犬)는…
ㆍ""34평도 크다""… 소형 아파트에만 청약 몰려
ㆍ벤츠 사려는데 따라온 제네시스… ""1:1로 붙자""
ㆍDVD영화 한 편 3.76초만에 TV로… ""50배 빨라""


chosunbiz.com"
모린스,헤럴드POP,2013.03.12. 오후 4:17,"＜생생코스닥＞모린스, 자사주 20만주 장외처분 결정","모린스는 임직원 인센티브 지급을 위해 자사주 20만주를 11억원 규모에 장외처분하기로 결정했다고 12일 공시했다.

처분기간은 오는 13일부터 4월 30일까지이며 위탁중개회사는 우리투자증권이다.

[오늘의 인기기사]
◆'A양 성폭행 동영상 유출' 알고보니?
◆로또 536회 1등 당첨지역, 부산이 무려…
◆“A양, 박시후사건 조사 중에도 다른 남자와…”
◆담비 축구장 난입, 선수 물어뜯고 난동
◆ 달라진 네이버 뉴스? MY뉴스 설정만 하면 걱정 끝!

- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -

[바로가기]
▶ 헤럴드경제 모바일 웹 바로가기
▶ 모바일앱 다운로드
- [아이폰 용] | [안드로이드 폰 용]"
모린스,한국경제,2013.03.12. 오후 4:24,"모린스, 자사주 20만주 처분 결정","모린스는 12일 임직원 인센티브 지급을 위해 자사주 20만주를 11억원 상당에 장외 처분키로 했다고 공시했다.

처분기간은 오는 13일부터 다음달 30일까지다.

한경닷컴 이하나 기자 lhn@hankyung.com

▶급등주 자동 검색기 등장...열광하는 개미들

▶[한경 스타워즈] 대회 개막 1달만에 7000만원 수익! 비결은?

▶ ""이효리 제주도에 신혼집 마련"" 알아보니

▶ 개그우먼 배연정, '국밥' 팔아 하루 버는 돈이

▶ 이경규 딸, 라면 CF서 '폭풍 미모` 뽐내더니

▶ ""야동 못 끊는 남편 어쩌죠"" 女교수 대답이…

▶ '아빠 어디가' 출연 한 번에 2억5천만원 횡재

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
