종목명,신문사,시간,제목,본문
와이즈파워,이데일리,2012.10.10. 오후 3:52,"와이즈파워, 전환가액 1075→1025원으로 조정","[이데일리 임성영 기자] 와이즈파워(040670)는 시가하락으로 제6회차 전환사채의 전환가액을 종전 1075원에서 1025원으로 조정키로 했다고 10일 공시했다. 이에 따라 전환가능 주식수는 이전 281만6093주에서 295만3463주로 늘어나게 된다.

임성영 (rosa8341@edaily.co.kr)"
와이즈파워,헤럴드POP,2012.10.10. 오후 4:00,"＜생생코스닥＞와이즈파워, 전환가 1075원→1025원 조정","와이즈파워는 시가하락에 따라 전환가액을 1075원에서 1025원으로 조정했다고 10일 공시했다.

이로써 조정후 전환가능한 주식수는 295만3463주이다.


[오늘의 인기기사]
◆ 이상호 기자, 김장훈-싸이 전말 공개 “자살 재시도 의사에…”
◆ 김장훈-싸이 공연 스태프 증언글 잇따라…누구 잘못?
◆ 싸이 피소위기“ 김장훈 공연 95%표절”
◆ 머리 거꾸로 달린 양?…충격영상에 경악
◆ 갤럭시S3 젤리빈 업데이트, 뭐가 달라지나?
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
와이즈파워,머니투데이,2012.11.02. 오후 4:03,"와이즈파워 대표, 항암백신 개발사 지분 취득","[머니투데이 우경희 기자]와이즈파워는 박기호 대표가 바이오투자회사 퀘스트아시아(Quest Asia)의 지분 54만1800주를 취득하는 대가로 와이즈파워 주식 300만주(4.92)를 지급키로 결정했다고 2일 공시했다.
퀘스트아시아는 항암백신을 개발 중인 캐나다 소재 항체신약전문회사 퀘스트파마텍(Quest PharmaTech)에 지난 해 12월부터 투자를 진행하고 있다.
투자가 완료되면 퀘스트아시아는 퀘스트파마텍의 1대 주주의 지위를 갖게 된다. 또 특허를 포함한 모든 지적재산을 공유하고 신약개발 성과의 50%를 갖게 될 예정이다.
퀘스트아시아는 셀트리온의 성공신화를 실질적으로 이끈 유석환 전 셀트리온헬스케어 대표가 대표이사를 맡으며 퀘스트파마(Quest Pharma)로 사명을 변경할 예정이다.
퀘스트파마텍이 개발 중인 항암백신은 난소암의 80%에서 발현되는 항원 'CA125'에 대한 항체를 이용한 백신(백신명 Oregovomab)이다.
CA125와 백신의 결합체를 수지상세포가 인식해 살해 T 세포(Killer T cell)의 활성을 유도해 백신역할을 하도록 하는 원리다. 이탈리아와 미국에서 임상 2상을 진행하고 있다.

[머니투데이 핫뉴스]
☞ 뉴K7, 카메라가 무려 4대! ""가격은 얼마?""
☞ ""술집서 담배 못피운다니…"" 흡연자들 멘붕
☞ '농심'삼다수 판매종료 후폭풍… 한라산vs백두산
☞ 기아 뉴K7 '착한가격' 공지, 대체 얼마나 싸?
☞ 이승철 아내 공개, 판박이 딸과 미모의 아내 '눈길'

우경희기자 cheerup@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
와이즈파워,머니투데이,2012.11.05. 오전 8:57,"와이즈파워 대표, 항암백신 개발사 지분 취득(상보)","[머니투데이 최명용 기자][와이즈파워 지분과 주식 교환..셀트리온헬스케어 유석환 전 사장과 바이오산업 공동 투자]
무선충전 시스템 및 LED 조명 부품소재 전문업체인 와이즈파워는 박기호 대표가 바이오 투자 회사 퀘스트 아시아 지분을 취득했다고 5일 밝혔다.
박기호 대표는 퀘스트아시아 유상신주 54만1800주를 취득하는 대가로 보유하고 있는 와이즈파워 주식 300만주를 지급, 주식교환 방식으로 퀘스트아시아에 투자했다.
퀘스트아시아는 항암백신을 개발 중인 항체신약전문 회사 퀘스트파마테크(캐나다)에 내년 6월까지 총 800만 캐나다달러를 투자키로 하고 지난해 12월부터 투자를 진행하고 있다. 퀘스트아시아가 투자를 완료하는 내년에는 퀘스트파마테크의 1대 주주 지위를 갖게 되며 모든 지적재산권과 신약개발 성과의 50%를 나눠 갖게 된다. 퀘스트파마테크는 단일클론 항체(Monoclonal antibody) 기술을 화학요법, 면역 보조요법, 광역동 치료법(Photodynamic therapy)과 접목시켜 암 치료를 목적으로 항암백신을 개발하는 항체신약전문회사이다.
퀘스트아시아는 유석환 전 셀트리온헬스케어 사장이 대표이사를 맡으면서 퀘스트파마로 사명을 변경할 예정이다. 앞으로 퀘스트파마테크는 신약개발과 임상을 책임지고 한국의 퀘스트아시아는 바이오 항암백신의 생산과 판매를 담당할 예정이다.
퀘스트파마테크는 오레고보매브(Oregovomab)란 이름의 항암백신을 개발하고 있다. 난소암의 80%에서 발현되는 항원에 대한 항체를 이용해 개발한 백신으로 현재까지 개발된 암백신 가운데 가장 빠른 속도를 내고 있다.
퀘스트파마테크는 이탈리아와 미국에서 난소암 3,4기 환자 80명을 대상으로 임상2상실험을 진행하고 있으며 내년 말쯤 결과를 얻을 전망이다. 지난 2009년에 시행한 예비시험에선 T세포의 면역반응을 확인했고 성공적인 PFS(Progression Free Survival: 암이 더 이상 진행하지 않는 생존율) 결과를 얻었다.
오레고보매브의 가격은 1인당 연간 3만달러를 예상하고 있다. 미국 FDA가 승인한 최초의 전립선 항암백신인 프로벤지의 경우 연간 9만3000달러 수준에 달하는 점에 비춰 가격 경쟁력도 우수하다. 퀘스트파마테크는 이외에 췌장암 대장암 유방암 등에 활용이 가능한 항암백신 'BrevaRex'도 개발하고 있다. 이외에 적외선 파상을 활용한 광역동치료법 등을 통해 다양한 헬스케어 시장 진출을 준비하고 있다.


[머니투데이 핫뉴스]
☞ [단독]성폭행 여고생 ""모텔 509호"" 문자에...
☞ 홍대앞 '공포택시' 히터틀어 재운뒤...'충격'
☞ ""남편 죽인 가해자가 비웃으며…심한 욕설을""
☞ 한혜진 눈물, 아버지 떠나보내며 멈추지 않아
☞ 국회의원, 세비 또 20%인상 ""국민들만 멘붕""

최명용기자 xpert@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
와이즈파워,머니투데이,2012.11.05. 오전 9:20,"[특징주]와이즈파워, 대표이사 신약개발 투자에 상한","[머니투데이 김희정 기자][박기호 대표, 퀘스트아시아 54만주 취득.. 와이즈파워 300만주와 교환]
무선충전 시스템 및 LED 조명 부품소재 전문업체 와이즈파워가 바이오 투자회사 퀘스트아시아의 지분을 취득했다는 소식에 상한가로 직행했다.
와이즈파워는 5일 오전 9시 18분 현재 전 거래일 대비 132원(14.62%) 급등해 1035원을 기록하고 있다.
와이즈파워는 박기호 대표가 바이오투자회사 퀘스트아시아(Quest Asia)의 지분 54만1800주를 취득하는 대가로 와이즈파워 주식 300만주(4.92%)를 지급키로 결정했다고 지난 2일 공시했다.
퀘스트아시아는 항암백신을 개발 중인 항체신약전문 회사 퀘스트파마테크(캐나다)에 내년 6월까지 총 800만 캐나다 달러를 투자키로 하고 지난해 12월부터 투자를 진행하고 있다.
퀘스트아시아는 투자를 완료하는 내년에 퀘스트파마테크의 1대 주주 지위를 갖게 되며 모든 지적재산권과 신약개발 성과의 50%를 나눠 갖게 된다.
퀘스트파마테크는 난소암의 80%에서 발현되는 항원에 대한 항체를 이용해 항암 백신을 개발하고 있다. 이탈리아와 미국에서 난소암 3,4기 환자 80명을 대상으로 임상2상실험을 진행하고 있으며 내년 말쯤 결과를 얻을 전망이다.

[머니투데이 핫뉴스]
☞ ""월급보다 많이 번다""…장사로 대박난 아저씨
☞ 문재인, 안철수에 ""종교가 뭡니까?"" 물으니..
☞ ""충돌 조심!"" 뉴 SM5, 옆 車 접근하자…
☞ 패싸움 하다 칼 맞은 女중딩, 13년 후…
☞ ""남편 온다""는 말에 성폭행 하려던 男, 깜짝 놀라…

김희정기자 dontsigh@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
와이즈파워,조선비즈,2012.11.09. 오후 3:36,"와이즈파워, 더블유피앤컴퍼니 등 5명으로 최대주주 변경","와이즈파워(040670)는 최대주주가 더블유피앤컴퍼니 등 5명에서 컨벡스 등 5명으로 변경됐다고 9일 공시했다.

최대주주와 계열사간의 합병 때문이다. 최대주주 지분율은 34.91%로 동일하다.

[우고운 기자 woon@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ텅… 텅… 텅… 원룸의 비극 시작되나
ㆍ""사람이야? 인형이야?"" 지스타 빛낸 부스걸
ㆍ열받은 정몽구 회장…현대차그룹 인사폭풍 조짐
ㆍ""옵티머스LTE2 1만원"" 다시 보조금 경쟁
ㆍ'벤츠 유모차' 상륙에… 강남 엄마들 '감격'


chosunbiz.com"
와이즈파워,머니투데이,2012.11.09. 오후 3:43,"와이즈파워, 최대주주 컨벡스 외 4명으로 변경","[머니투데이 최경민 기자]와이즈파워는 9일 최대주주가 더블유피앤컴퍼니 외 4명에서 컨벡스 외 4명으로 변경됐다고 공시했다. 소유비율은 34.91%로 같다.
회사측은 ""최대주주인 더블유피앤컴퍼니와 계열사인 컨벡스와의 합병으로 존속법인은 컨벡스가 됐다""고 설명했다.


[머니투데이 핫뉴스]
☞ '32일 감금' 수능 출제위원들, 받는 돈 무려…
☞ 서진환 엽기 진술 ""여동생 강간은 어렵지만…""
☞ '미장일' 김씨, 실업급여 9400만원 받았다가
☞ 경주서 조폭 두목, 목 매 숨진채 발견…유서 보니
☞ ""충격! 인도야구가 일본야구 깼다""... U-15 대회 3-2승

최경민기자 brown@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
와이즈파워,아시아경제,2012.11.09. 오후 3:52,"와이즈파워, 최대주주 변경","[아시아경제 임혜선 기자]와이즈파워는 최대주주가 더블유피앤컴퍼니 외 4명에서 컨벡스 외 4명으로 변경됐다고 9일 공시했다.

임혜선 기자 lhsro@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
'이용대 여친' 평범한 줄 알았더니만…'충격'
'황정음-김용준' 정말 오래 사귄다 했더니만
'동영상 파문' 한성주 그 사건의 끝은…'충격'
""제대 1개월 남았는데 '현빈-신민아' 소문이""
""미모의 승무원과 결혼 '정준하' 5개월만에"""
와이즈파워,한국경제,2012.11.09. 오후 4:00,"와이즈파워, 컨벡스 외 4명 최대주주 변경","와이즈파워는 9일 당사 최대주주인 더블유피앤컴퍼니와 계열사 컨벡스와의 합병으로 최대주주가 종전 더블유피앤컴퍼니 외 4명에서 컨벡스 외 4명으로 변경됐다고 공시했다.

한경닷컴 노정동 기자 dong2@hankyung.com

▶ 유명 女가수-축구선수, 섹스 비디오 유출 파문

▶ 개그맨 김준현, 홈쇼핑서 '대박' 노렸다가 '퇴출'

▶ 노래방 '女대생 도우미' 알고보니 충격

▶ 절벽가슴女 ""엄마는 남자 같아"" 라는 소리에

▶ [화보] 이효리 파격 가슴노출…아찔한 볼륨 '눈길'

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
와이즈파워,머니투데이,2012.11.09. 오후 4:04,"와이즈파워, 컨벡스로 대주주 변경(상보)","[머니투데이 최명용 기자]와이즈파워는 종전 최대주주인 더블유피앤컴퍼니(WP&Co)가 컨벡스와 합병함에 따라 최대주주가 컨벡스로 변경됐다고 9일 공시했다.
더블유피앤컴퍼니가 와이즈파워, 유니다임, 컨벡스 등 계열사의 지분을 보유한 페이퍼 컴퍼니였다. 컨벡스는 독자적인 정밀모션 기술을 보유해 맞춤형 생산현장 자동화, 모션제어 및 모터드라이버 기술을 보유한 정밀제어기기 제조업체이다. 삼성테크윈, 에스원, 미래산업, 한미반도체 등에 반도체장비 모터 드라이버, 카메라 메인보드, 산업용 로봇부품 등을 공급해오고 있다.
컨벡스는 지난해 4월 삼성테크윈 출신 유명호 대표이사를 영입, 보안카메라 사업에 진출해 고성능 포지셔닝 카메라 시스템으로 사업 영역을 확대한 바 있다.



[머니투데이 핫뉴스]
☞ '32일 감금' 수능 출제위원들, 받는 돈 무려…
☞ 서진환 엽기 진술 ""여동생 강간은 어렵지만…""
☞ '미장일' 김씨, 실업급여 9400만원 받았다가
☞ 경주서 조폭 두목, 목 매 숨진채 발견…유서 보니
☞ ""충격! 인도야구가 일본야구 깼다""... U-15 대회 3-2승

최명용기자 xpert@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
와이즈파워,매일경제,2012.11.09. 오후 4:21,"[공시] 와이즈파워, 컨벡스 외 4명으로 최대주주 변경","와이즈파워는 자사 최대주주와 계열사간의 합병으로 인해 최대주주가 더블유피앤컴퍼니 외 4명에서 컨벡스 외 4명으로 변경됐다고 9일 공시했다.
컨벡스 외 4명의 와이즈파워 주식 소유비율은 34.91%다.
[김지형 기자]

▶ 윤은혜 파격노출 `욕조 속 밀애…키스` 도발적 화보공개

▶ 미모의 재벌회장 부인, 장례식장 광경에 `경악`

▶ 수지 `군살없는 각선미`

▶ 류지혜, `아슬아슬한 부스걸 패션`

▶ 민수연, 아슬아슬해! 귀여운 그녀의 아찔한 매력

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
와이즈파워,이데일리,2012.11.09. 오후 4:34,"와이즈파워, 컨벡스 외 4인으로 최대주주 변경","[이데일리 하지나 기자] 와이즈파워(040670)는 최대주주와 계열사간 합병으로 최대주주가 더블유피앤컴퍼니 외 4명에서 컨벡스 외 4명으로 변경됐다고 9일 공시했다. 최대주주 및 특수관계인의 지분율은 34.91%이다.

하지나 (hjina@edaily.co.kr)"
와이즈파워,헤럴드POP,2012.11.12. 오후 3:41,"＜생생코스닥＞와이즈파워, CB 전환가 1025원→947원 조정","와이즈파워는 시가하락에 따라 제6회차 전환사채의 전환가액을 1025원에서 947원으로 조정했다고 12일 공시했다.

조정후 전환가능한 주식수는 319만6726주로 늘어나게된다.


[오늘의 인기기사]
◆ 日 국민여동생 고토 마키, AV 진출…팬들 ‘충격’
◆ CNN 선정 ‘세계서 가장 소름돋는 7곳’ 곤지암도 포함?
◆ 온라인삼국지 파이널, 신서버 ‘진무’ 오픈 및 대규모 업데이트 실시!
◆ 전세계 학생 불만 표정 ‘공감 되네’
◆ ‘SF영화에서 튀어나온 듯’ 미래 항공기 모습 보니…
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
