종목명,신문사,시간,제목,본문
태창파로스,한국경제,2014.02.28. 오후 2:13,"태창파로스 ""신규 사업 검토 중…결정 사항 없다""","[ 이민하 기자 ] 태창파로스는 최근의 현저한 주가급락에 대한 조회공시 요구에 ""신규 사업에 대해 검토 중이지만 아직 확정된 사항은 없다""고 28일 재답변했다.

태창파로스는 이전 조회공시 답변을 통해 ""프랜차이즈 신규브랜드 론칭을 비롯한 신규사업을 진행하고 있다""며 ""신규 경영진 선임을 위한 임시주주총회 소집 및 신주인수권부사채 발행에 대해서 다양한 방안으로 검토 중""이라고 밝혔다.

한경닷컴 이민하 기자 minari@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱]  ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
태창파로스,헤럴드POP,2014.02.28. 오후 2:34,"＜생생코스닥＞태창파로스, “신규사업 검토중…확정된 사항 없어”","태창파로스는 현저한 주가급락과 관련한 조회공시 답변으로 “이와 관련해 신규사업에 대해 검토중에 있으나, 현재까지 확정된 사항이 없다”고 28일 공시했다.

[헤럴드경제 뉴스스탠드] [헤럴드 라이브스탁] [코리아헤럴드 저널캠프]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱]

- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & biz.heraldcorp.com, 무단 전재 및 재배포 금지 -

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
태창파로스,머니투데이,2014.02.28. 오후 2:39,"태창파로스 ""신규 사업 검토중이나 미확정""","[머니투데이 박진영 기자]태창파로스는 최근 주가급락과 관련한 조회공시에 ""신규사업에 대해 검토 중에 있지만 확정된 사항이 없다""며 ""내용이 확정되는 시점 또는 오는 5월 30일에 재공시하겠다""고 말했다.

[박진영 기자 트위터 계정 @zewapi]





[오늘의 'HOT' 포토]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]

박진영기자 jyp@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
태창파로스,이데일리,2014.02.28. 오후 2:53,"태창파로스, ""신규사업 검토중..확정된 사항 없다""","[이데일리 오희나 기자] 태창파로스(039850)는 현저한 시황변동와 관련 조회공시 답변을 통해 “기공시한 바와 같이 당사는 신규사업을 검토 중에 있으나 확정된 사항은 없다”고 28일 밝혔다.

오희나 (hnoh@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
태창파로스,조선비즈,2014.02.28. 오후 3:04,"[조회답변] 태창파로스 ""신규 사업 검토중, 확정된 사항 없어""","태창파로스(039850)는 최근의 주가 급락과 관련, 한국거래소의 조회공시 요구에 대해 “신규 사업에 대해 검토하고 있으나 아직까지 확정된 사항이 없다”고 28일 답변했다.

[노자운 기자 noja@chosun.com]

chosunbiz.com"
태창파로스,파이낸셜뉴스,2014.02.28. 오후 3:05,"태창파로스, 최근 주가급락 관련 “신규사업 검토중” 답변","태창파로스는 최근 주가급락과 관련한 한국거래소의 조회공시요구에 ""신규사업을 검토중이나 미확정""이라고 답변했다.
psy@fnnews.com 박소연 기자



※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
태창파로스,머니투데이,2014.03.05. 오후 2:28,태창파로스 매출 25% 줄어,"[머니투데이 박준식 기자]태창파로스는 지난해 매출액이 106억원으로 전년에 비해 25% 줄었다고 5일 공시했다. 영업손실은 21억원으로 전년과 같이 적자상태를 지속했다.

회사는 내수경기 하락에 따라 프랜차이즈 영업상 적자가 지속됐다고 밝혔다. 다만 비경상적 손실이 해소돼 당기순손실은 소폭 감소했다고 덧붙였다.





[오늘의 'HOT' 포토]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]

박준식기자 win0479@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
태창파로스,헤럴드POP,2014.03.05. 오후 2:32,"＜생생코스닥＞태창파로스, 작년 영업손 21.2억 전년비 적자지속","태창파로스는 지난해 영업손실이 21억2726만원으로 전년 대비 적자가 지속됐다고 5일 공시했다.

매출액은 105억5946만원으로 25.4% 줄었고 당기순손실은 28억3218만원으로 적자가 지속된 것으로 잠정 집계됐다.

[헤럴드경제 뉴스스탠드] [헤럴드 라이브스탁] [코리아헤럴드 저널캠프]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱]

- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & biz.heraldcorp.com, 무단 전재 및 재배포 금지 -

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
태창파로스,이데일리,2014.03.05. 오후 2:34,"태창파로스, 작년 영업손 21억..적자폭 확대","[이데일리 하지나 기자] 태창파로스(039850)는 개별 재무제표 기준 지난해 영업손실이 21억2700만원으로 전년대비 적자폭이 4.2% 증가했다. 매출액은 25.4% 줄어든 105억5900만원, 당기순손실도 28억3200만원으로 적자를 이어갔다.





하지나 (hjina@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
태창파로스,한국경제,2014.03.05. 오후 2:36,"태창파로스, 지난해 영업손 21억…전년비 4.2%↓","[ 강지연 기자 ] 태창파로스는 지난해 영업손실이 21억2726만 원으로 전년 대비 4.2% 감소했다고 5일 공시했다. 같은 기간 매출액은 25.4% 줄어든 105억5946만 원, 당기순손실은 43.9% 증가한 28억3218만 원으로 집계됐다.

한경닷컴 강지연 기자 alice@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱]  ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
