종목명,신문사,시간,제목,본문
제이웨이,한국경제,2014.03.14. 오전 7:25,"제이웨이, 지난해 영업손 15억…적자지속","[ 정혁현 기자 ] 제이웨이는 지난해 연결 영업손실이 15억4600만원으로 전년에 이어 적자가 지속됐다고 14일 공시했다.

같은 기간 매출액은 130억4700만원으로 전년보다 4.76% 증가한 반면 당기순손실은 43억4700만원으로 적자가 이어졌다.

한경닷컴 정혁현 기자 chh03@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱]  ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
제이웨이,헤럴드POP,2014.03.14. 오전 7:43,"<생생코스닥> 제이웨이, 작년 영업손 15.4억 적자지속","제이웨이는 지난해 연결기준 영업손실이 15억4641만원으로 전년에 이어 적자가 지속됐다고 14일 공시했다.

매출액은 130억4724만원으로 4.76% 증가했고 당기순손실은 43억4715만원으로 적자가 이어졌다.





[헤럴드경제 뉴스스탠드] [헤럴드 라이브스탁] [코리아헤럴드 저널캠프]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [헤럴드 매거진]

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
제이웨이,머니투데이,2014.03.14. 오전 8:24,"제이웨이, 지난해 영업손 15억..전년比 '적자지속'","[머니투데이 한은정 기자]제이웨이는 지난해 연결기준 영업손실이 15억4642만원으로 전년대비 적자가 지속됐다고 14일 공시했다.

같은기간 매출액은 130억4725만원으로 전년보다 4.76% 증가했고, 당기순손실은 43억4716만원으로 적자가 이어졌다.





[딱하나! 머니인사이트 딱TV]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]

한은정기자 rosehans@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
제이웨이,이데일리,2014.03.14. 오전 8:49,"제이웨이, 작년 영업손 15억..전년比 3.87%↑","[이데일리 김도년 기자] 제이웨이(058420)는 지난해 연결 기준 영업손실이 15억 4641만원으로 전년대비 3.87% 증가했다고 14일 공시했다. 같은 기간 매출액은 130억 4724만원으로 4.76% 늘었고 당기순손실은 43억 4715원으로 38.03% 감소했다.

김도년 (kdn82@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
제이웨이,조선비즈,2014.03.14. 오전 9:03,"제이웨이, 지난해 적자폭 줄여","제이웨이(058420)는 지난해 매출액이 전년 대비 4.76% 증가한 130억원을 기록했다고 14일 공시했다. 같은 기간 영업손실은 3.87% 감소한 15억원을 기록했다.

[노자운 기자 noja@chosun.com]

chosunbiz.com"
제이웨이,파이낸셜뉴스,2014.03.14. 오전 11:11,"제이웨이, 작년 영업손실 15억 전년比 3.87% 증가","제이웨이는 지난해 영업손실이 15억원으로 전년 대비 3.87% 증가했다고 14일 공시했다. 같은 기간 매출액은 130억원으로 4.76% 늘었고, 순손실은 43억원으로 38.03% 줄었다.
km@fnnews.com 김경민 기자



※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
제이웨이,조선비즈,2014.03.28. 오전 9:29,"[특징주] 제이웨이, 유상증자 실패로 하락","유상증자에 실패한 제이웨이(058420)가 장 초반 하락하고 있다.

28일 오전 9시 26분 현재 제이웨이는 전날보다 5.13% 내린 1110원에 거래되고 있다.

전날 제이웨이는 30억원 규모로 제3자 배정 방식의 유상증자를 추진했지만, 청약자가 없어 전액 미발행 처리했다고 공시했다. 당초 제이웨이는 김명희, 송광용, 김성준 등 3명을 대상으로 각각 86만2000주씩 유상증자를 실시할 계획이었다.

[손덕호 기자 hueyduck@chosun.com]

chosunbiz.com"
제이웨이,아시아경제,2014.03.28. 오전 10:16,"[특징주]제이웨이, 유상증자 실패로 주가↓","[아시아경제 최서연 기자]유상증자에 실패한 제이웨이의 주가가 계속 하락하고 있다.

28일 오전 10시15분 현재 제이웨이는 전일 대비 8.12%(95원) 하락한 1075에 거래되고 있다.

전날 한국거래소는 제이웨이에 대해 30억원 규모로 제3자 배정 방식의 유상증자를 추진했으나 청약자가 없어 전액 미발행 처리했다고 공시했다.

최서연 기자 christine89@asiae.co.kr

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
제이웨이,이데일리,2014.03.28. 오후 5:10,"제이웨이, 장성준 사외이사 재선임","[이데일리 경계영 기자] 제이웨이(058420)는 장성준 TG에너지연구소 책임연구원은 사외이사에 재선임한다고 28일 공시했다.

경계영 (kyung@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
제이웨이,이데일리,2014.06.03. 오후 5:36,"제이웨이, 송선용 공동대표 추가 선임","[이데일리 김기훈 기자] 제이웨이(058420)는 경영의 효율성 제고와 책임경영 강화를 위해 이인범·백기운 각자대표체제에서 이인범 각자대표와 백기운·송선용 공동대표체제로 변경한다고 3일 공시했다.

김기훈 (core81@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
