종목명,신문사,시간,제목,본문
에듀언스,조선비즈,2012.02.15. 오후 3:26,"[단독] 에듀언스, 담보 뺏긴 최대주주..잔여지분도 묶여","오프라인 학원을 운영하는 에듀언스의 최대주주가 금융권에 담보로 제공했던 주식이 채권자에 의해 강제 처분된 것으로 확인됐다. 최대주주의 잔여 보유 주식도 전량 금융권에 담보로 제공돼 있어 최대주주의 지분이 추가로 줄어들 가능성도 배제할 수 없는 상황이다.

신안상호저축은행은 에듀언스(009010)의 최대주주인 하태윤 대표이사 등이 주식담보대출을 위해 맡겨놓았던 주식 중 606만4807주를 지난 6일부터 10일까지 다섯 차례에 걸쳐서 장내에서 처분했다. 이에 따라 하 대표의 보유지분율은 18.9%에서 12.6%로 줄어들었다.

신안상호저축은행은 “채무자인 젠아이제일학원, 담보제공자인 하 대표 등과 체결한 대출계약 및 질권설정 계약에 따라 대출채권 등을 충당하기 위해 담보권을 행사했다”면서 “주식을 매도해 대출 원금과 대출 이자 등을 충당할 계획”이라고 밝혔다.

젠아이제이학원은 에듀언스의 계열회사다. 하 대표와 특수관계인 3인은 젠아이제이학원과 또 다른 계열회사인 토피아도봉어학원의 채무에 대한 담보로 2009년 본인들의 보유주식을 신안상호저축은행과 아토에셋에게 맡겼다. 이달 담보권이 실행된 주식도 2009년 당시 맡겼던 주식 중 일부다.

이번에 상실한 주식을 제외하고도 하 대표 측 지분 대부분은 여전히 채권자들에게 묶여 있는 상태다.

하 대표의 잔여주식 395만7468주(12.63%)는 전량 담보로 제공돼 있다. 하 대표의 특수관계인 5인 중에서 2인의 지분 역시 전량이 담보로 제공됐다. 즉, 최대주주 외 특수관계인들의 보유지분 18.1% 중에서 3.4%에 해당하는 물량만이 자유로운 셈이다.

이에 대해 에듀언스 관계자는 “최대주주가 담보계약을 이행하지 못해 담보권이 실행됐다”며 “하지만 최대주주가 사적으로 대출을 받은 것일 뿐 회사와는 직접적인 관계가 없다”고 말했다. 이 관계자는 “채권자가 담보 주식에 대해 추가로 담보권을 행사할 가능성도 없진 않다”고 덧붙였다.

한편, 에듀언스는 올해 들어 교육주에 대한 관심이 높아지면서 주가가 고공행진을 기록하기도 했다. 올 들어 이달 15일까지 에듀언스의 주가는 총 여섯 차례에 걸쳐 10% 이상 상승했었다. 15일 종가 기준으로 올 들어 에듀언스의 주가상승률은 25.9%를 기록 중이다.

[하진수 기자 hjs@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ군인 가족? 묻지도 따지지도 않는 군마트
ㆍ죽음의 땅 되살려라…한국, 60조시장 눈독
ㆍ삼성-CJ 해묵은 반목, 다시 수면위로
ㆍ신의 직장? 야근땐 사유서 저녁8시면 불꺼
ㆍ혼자 대학 가 성공한 맏아들, 가족 보상 얼마나


chosunbiz.com"
에듀언스,이데일리,2012.02.22. 오후 6:10,"에듀언스, 최대주주 지티산업으로 변경","[이데일리 정재웅 기자] 에듀언스(009010)는 기존 최대주주인 하태윤외 3명이 지티산업에 보유주식을 양도함에따라 최대주주가 지티산업으로 변경됐다고 22일 공시했다. 지티산업의 지분율은 14.64% 다.

정재웅 (esperanz@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에듀언스,아시아경제,2012.02.22. 오후 6:14,"에듀언스, 지티산업으로 최대주주 변경","[아시아경제 박지성 기자]에듀언스는 22일 기존 최대주주인 하태윤 씨 등의 보유주식 양도함에 따라 최대주주가 지티산업으로 변경됐다고 공시했다. 바뀐 최대주주의 지분 비율은 14.64%다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[증권방송] 2012년 투자 종목의 핵심은 바로...

박지성 기자 jiseong@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""이승기 떠난다더니 은퇴한 '강호동' 결국…""

▶ ""연애하다 임신한 그녀의 선택 이럴 줄은…""

▶ '여신' 보아 친오빠가 이런 사람이었다니…

▶ 인삼다당체 항암면역 증강작용..암극복 '새 희망'

▶ ""임산부 폭행 그 식당에서…"" 신해철의 폭로"
에듀언스,머니투데이,2012.02.22. 오후 6:49,"에듀언스, 최대주주 하태윤외6→지티산업 변경","[머니투데이 김건우 기자]에듀언스는 기존 최대주주인 하태윤 외 6이 지티산업에 보유주식을 양도함에 따라최대주주가 지티산업으로 변경됐다고 22일 공시했다. 지티산업의 지분율은 14.64% 다.지분인수 목적은 경영참여다.
[핫이슈] 다시 코스피 2000시대
[내손안의 스마트한 경제정보 머니투데이 모바일]

[머니투데이 핫뉴스]
☞ '개콘' 보던 공무원, 최효종 말에 당황해서…
☞ 1년 탔는데 반값? 중고차값 '도미노 추락'
☞ ""1300만원 '이영애 가방' 3년간 못팔아"" 왜?
☞ 채선당 ""오히려 임산부가 종업원 폭행, CCTV확인""
☞ 84만7000원 '갤S2'가 공짜? 고지서 받아보니…

김건우기자 jai@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에듀언스,한국경제TV,2012.02.22. 오후 7:20,"에듀언스, 최대주주 지티산업으로 변경","에듀언스가 오늘(22일) 기존 최대주주인 하태윤 외 3인이 보유주식을 양도함에 따라 최대주주가 지티산업으로 변경됐다고 공시했습니다.

지티산업의 지분 비율은 14.64%입니다.

이성민기자 smjlee@wowtv.co.kr

한국경제TV 핫뉴스
ㆍ`공주 가슴을 힐끔?` 대통령 남편 영상에 폭소
ㆍ`한인 사우나서 5명 총에 맞아 사망` 美 경찰 발표
ㆍ`참치캔 열자, 날 바라보는 눈 두 개`
ㆍ정준호 8억원대 횡령혐의 고소당해..
ㆍ""노출 논란"" 스텔라, 수정한다던 의상이…""헉""


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
에듀언스,헤럴드POP,2012.02.23. 오전 10:01,"<생생코스닥> 에듀언스, 최대주주 지티산업으로 변경","에듀언스(009010)는 최대주주가 하태윤씨 외 6인에서 지티산업으로 변경됐다고 지난 22일 공시했다.

변경 후 최대주주의 소유비율은 14.64%(458만6816주)이다.

회사측은 ""하태윤씨 외 3인이 보유주식을 지티산업으로 양도함에 따른 최대주주 변경""이라고 설명했다.


[오늘의 인기기사]
◆ 누리꾼들 ""한방에 훅…킬러 박원순"" 폭소
◆ 짝 결혼 1호 커플 탄생…6개월 연애로 돌싱 탈출
◆ 임산부 폭행 물의 채선당 CCTV 공개, ""배 걷어찬 적 없다""
◆ 만점짜리 국어 답안 ""학생 선생님 둘다 센스쟁이~""
◆ 진짜 빵셔틀? 스타크래프트 셔틀, 빵 운반 '폭소'
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
에듀언스,이데일리,2012.02.23. 오후 6:22,"에듀언스, 66만여주 규모 신주인수권 행사","[이데일리 임성영 기자] 에듀언스(009010)는 총 66만8449주 규모의 신주인수권이 행사됐다고 23일 공시했다. 이는 총 발행주식수의 2.13% 규모이며 신주인수권 행사가는 1496원.





임성영 (rosa8341@edaily.co.kr)
[관련기사]
▶ ☞에듀언스, 최대주주 지티산업으로 변경


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에듀언스,한국경제TV,2012.02.24. 오전 9:32,[특징주] 에듀언스 4거래일 만에 반등,"에듀언스가 4거래일 만에 반등에 나섰습니다.

오전 9시22분 현재 에듀언스 주가는 어제(23일)보다 1.92% 오른 1,060원에 거래중입니다.

에듀언스는 지난 22일 기존 최대주주인 하태윤 외 3인이 보유주식을 양도함에 따라 최대주주가 지티산업으로 변경됐다고 공시했습니다.

이성민기자 smjlee@wowtv.co.kr

한국경제TV 핫뉴스
ㆍ차 창 밖에 나타난 슈퍼맨 ""산호세가 어디요?"" 영상 눈길
ㆍ中 아나, 눈 감아도 눈이 있네?
ㆍ`공주 가슴을 힐끔?` 대통령 남편 영상에 폭소
ㆍ미쓰에이, 보일까 말까 아찔 붕대패션
ㆍ김준호, 스포츠 승부조작 연류 개그맨?..


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
에듀언스,머니투데이,2012.02.24. 오후 2:06,"에듀언스, 33만여주 신주인수권 행사","[머니투데이 배준희 기자]에듀언스는 33만4224주의 신주인수권이 행사됐다고 24일 공시했다. 행사금액은 5억원이며 발생주식 대비 1.04%다.
[핫이슈] 다시 코스피 2000시대
[내손안의 스마트한 경제정보 머니투데이 모바일]
[관련 키워드] 에듀언스

[머니투데이 핫뉴스]
☞ '기인쇼'통아저씨 ""행사뛴 지 15년, 수입은…""
☞ '반으로 접는' 삼성 폰, 올해 나온다
☞ 삼성, 직원들 '딴 짓' 허용했다가 깜짝 놀라…
☞ 현대차 'i40 살룬' 타보니 ""그랜저에도 없는…""
☞ 밤무대 한번서면 1억! '국민OO 스타'는…

배준희기자 gatsby@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에듀언스,아시아경제,2012.03.02. 오전 7:41,"나운기술, 에듀언스 최대주주로","[아시아경제 최대열 기자]에듀언스는 최대주주인 지티산업이 나운기술에 보유주식 458만6816주를 양도한다고 2일 공시했다. 매매금액은 77억9758만원이며 나운기술의 이 회사 지분율은 16.26%로 늘었다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[증권방송] 2012년 투자 종목의 핵심은 바로...

최대열 기자 dychoi@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""한가인 '몸종' 윤승아 '해품달' 뜨더니만…""

▶ ""몰매 맞던 '국물녀' CCTV 충격 반전이…""

▶ ""사업 망한 '옥주현' 연예인 집이라기엔…""

▶ 인삼다당체 항암면역 증강작용.. 암극복 '새 희망'

▶ ""군대 간 '비' 훈련병한테 어떻게 했길래…"""
