종목명,신문사,시간,제목,본문
큐리어스,머니투데이,2011.11.18. 오후 1:17,"큐리어스, 제4이동통신 컨소시엄에 참여","[머니투데이 이동오 기자]큐리어스가 제4이동통신 사업에 참여한다. OLED 부품용 글래스 제조 및 CNC컨트롤러 전문기업 큐리어스는 18일 오전 사업신청서를 제출한 IST(인터넷스페이스타임)컨소시엄에 참여했다고 18일 밝혔다.

[나도 부자가 될 수 있을까? 긴급 추천 스마트정보!]
[내손안의 스마트한 경제정보 머니투데이 모바일]

[머니투데이 핫뉴스]
☞ ""북해의 검은 바다, 그 곳엔 태극기가 있었다""
☞ 삼성전자 ""가장 오래된 TV를 찾습니다""
☞ 국회 '버핏세 신설', 뒤통수 제대로 맞은 정부
☞ 소녀시대 '킬힐' 벗으니 '아쉬운 각선미'
☞ ""최신 LTE폰이 공짜"" 광고 사라진다

이동오기자
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
큐리어스,아시아경제,2011.11.18. 오후 1:52,"큐리어스, 제4이동통신 참여","[아시아경제 송화정 기자]큐리어스가 제4이동통신 사업에 참여한다.

OLED 부품용 Glass 제조 및 CNC컨트롤러 전문기업 큐리어스는 18일 사업신청서를 제출한 IST(인터넷스페이스타임)컨소시엄에 참여했다고 밝혔다.

IST컨소시엄은 양승택 전 정보통신부 장관을 수장으로 설립자본금은 7000억원대 규모로 마련됐다. 중소기업중앙회와 1800여 중소기업이 설립한 특수목적법인(SPC) 'SB모바일'이 2100억원 가량을 출자해 최대주주가 된다.

큐리어스 관계자는 ""정부의 적극적인 지원과 저렴한 통신비를 바탕으로 한 가입자 확대 등 충분히 성공가능성이 있다고 판단, 제4이동통신 참여를 결정했다""며 ""제4이동통신이 회사의 새로운 성장동력으로서의 역할을 충분히 해낼 수 있을 것으로 기대하고 있다""고 설명했다.

제4이동통신은 저가 이동통신이 가능한 차세대 '와이브로 어드밴스드' 기술을 이용하는 사업으로, 정부가 현 3사 위주의 통신시장에서 탈피해 서비스 경쟁을 유도함으로써 통신요금인하를 목적으로 추진하고 있다. 방송통신위원회는 연내에 사업자 선정 및 주파수 할당 심사를 완료한다는 계획이다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[아시아경제 SNS] 부자되는 뉴스~ 친구와 공유하세요!

송화정 기자 yeekin77@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""분식집 사장님 '토니안' 한달 매출 무려…""

▶ ""안철수를 믿었더니…"" 1000억 부자 된 남자

▶ ""이수만 2000억 넘는데 양현석 재산은 과연…""

▶ ""박원순은 '빨갱이' 뒷목 때린 그녀 결국…""

▶ '뱃살'빼려 윗몸일으키기? 진실을 알려주마"
큐리어스,이데일리,2011.11.18. 오후 2:00,"큐리어스, IST 컨소시엄 참가","[이데일리 박형수 기자] 큐리어스(045050)는 제4의 이동통신사 설립을 추진하는 인터넷스페이스타임(IST)컨소시엄에 참여한다고 18일 밝혔다.

IST 최대주주는 중소기업중앙회와 1800여 중소기업이 설립한 특수목적법인 컨소시엄인 'SB모바일'이며 현대그룹과 삼성전자 등도 참여하고 있다.

큐리어스 관계자는 ""정부의 적극적인 지원과 저렴한 통신비를 바탕으로 성공 가능성이 있다고 판단했다""며 ""제4이동통신이 새로운 성장동력이 될 것으로 기대한다""고 설명했다.




[관련기사]
▶ ☞큐리어스, 3Q 영업익 2.7억 `흑전`..라인증설 효과


▶ 당신의 생활 속 Anytime Anywhere 이데일리 모바일 http://m.edaily.co.kr
▶ 경제중심 종합일간지 `이데일리신문` 구독신청 02-3772-9488
▶ 독자와 소통하는 이데일리 SNS 서비스 트위터 / 페이스북
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재&재배포 금지＞
＜스마트 경제방송채널 - 이데일리TV＞"
큐리어스,한국경제,2011.11.18. 오후 2:23,"큐리어스, 제4이동통신 참여","중기중앙회 인터넷스페이스타임(IST) 컨소시엄 참여

큐리어스가 제4이동통신 사업에 참여한다.

큐리어스는 18일 사업신청서를 제출한 IST(인터넷스페이스타임)컨소시엄에 참여했다고 밝혔다. IST컨소시엄은 양승택 전 정보통신부 장관을 수장으로, 설립자본금은 7000억원대다. 중소기업중앙회와 1800여 중소기업이 설립한 특수목적법인(SPC) ‘SB모바일’이 2100억원 가량을 출자해 최대주주가 된다.

회사 관계자는 “정부의 적극적인 지원과 저렴한 통신비를 바탕으로 한 가입자 확대 등 충분히 성공가능성이 있다고 판단해 제 4이동통신 참여를 결정했다”고 설명했다.

제4이동통신은 저가 이동통신이 가능한 차세대 `와이브로 어드밴스드` 기술을 이용하는 사업이다. 정부가 현 3사 위주의 통신시장에서 탈피해 서비스 경쟁을 유도함으로써 통신요금인하를 목적으로 추진하고 있다.

방송통신위원회는 통신요금 인하라는 정부의 강한 의지를 등에 엎고, 연내에 사업자 선정 및 주파수 할당 심사를 완료한다는 계획이다.

한경닷컴 김하나 기자 hana@hankyung.com

기사제보 및 보도자료 open@hankyung.com

▶[무료방송] 사흘 동안 급등주를 쏟아 낸 증권방송 화제!

▶[종목추천] 삼성전자에 납품 폭증! 누구도 예상 못한 성장주가 등장했다!

▶ [포토] 이파니 '스타화보' 수위 어떻길래…

▶ [포토] 아이돌의 '은밀한' 사생활 파티 현장

▶ [포토] 레인보우, '파티걸' 화보 속 과감한 포즈

▶ 서울대 학생회장 출마한 '유시민 딸' 끝내…

▶ ""노스페이스 싸게 샀다고 좋아했는데"" 이럴 수가!"
큐리어스,아시아경제,2011.11.22. 오후 1:40,"큐리어스, 中 대기업과 SEMI-CNC 공동개발 성공","[아시아경제 송화정 기자]OLED 부품용 Glass 제조 및 CNC컨트롤러 전문기업 큐리어스가 중국 시장에서 SEMI-CNC의 공급·판매를 시작한다고 22일 밝혔다.

큐리어스는 올 초부터 중국 한 대기업과 공동으로 SEMI-CNC선반 개발을 진행해 왔으며 지난 달 개발을 완료하고 판매를 위한 계약을 체결했다.

이 기업은 중국 내 선반 생산 1위 업체로 중국정부가 80%의 지분을 보유하고 있는 국영업체다. 연간 대형선반 400대, 중소형 선반 3000대를 생산하고 있으며 올해 약 1조 원의 매출을 달성할 것으로 알려진 업체다.

중국은 현재 범용기계(수동)와 CNC(완전자동)가 약 4:6의 비율을 차지하고 있으며 큐리어스가 개발한 SEMI-CNC는 범용기계는 물론 CNC에도 사용 가능한 수치제어 장치다. 중국 내 선반 시장이 점차 완전 자동인 CNC로 옮겨가고 있어 큐리어스측은 이번 SEMI-CNC 공급이 중국 내 선반시장 선점에 좋은 기회가 될 것으로 기대하고 있다.

큐리어스 관계자는 “그 동안 양사의 개발 인력들이 온라인과 오프라인을 통해 표준화 시스템 구축을 위해 노력해 온 결과물""이라며 ""이번 판매를 시작으로 중국 CNC선반 시장 선점을 위해 거래처 확보에 나설 예정""이라고 설명했다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[아시아경제 SNS] 부자되는 뉴스~ 친구와 공유하세요!

송화정 기자 yeekin77@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""분식집 사장님 '토니안' 한달 매출 무려…""

▶ ""안철수를 믿었더니…"" 1000억 부자 된 남자

▶ ""이수만 2000억 넘는데 양현석 재산은 과연…""

▶ ""박원순은 '빨갱이' 뒷목 때린 그녀 결국…""

▶ '뱃살'빼려 윗몸일으키기? 진실을 알려주마"
큐리어스,머니투데이,2011.11.22. 오후 1:46,"큐리어스, 중국기업과 SEMI-CNC 판매계약","[머니투데이 이동오 기자]OLED 부품용 Glass 제조 및 CNC컨트롤러 전문기업 큐리어스가 중국 시장에 SEMI-CNC를 공급, 판매를 시작한다고 22일 밝혔다.
큐리어스는 올 초부터 중국 내 대기업 S사와 공동으로 SEMI-CNC선반 개발을 진행해 왔으며, 지난 달 개발을 완료하고 판매를 위한 계약을 체결했다고 밝혔다. S사는 중국 내 선반 생산 1위 업체로, 중국 정부가 80%의 지분을 보유하고 있는 국영업체다.

[나도 부자가 될 수 있을까? 긴급 추천 스마트정보!]
[내손안의 스마트한 경제정보 머니투데이 모바일]

[머니투데이 핫뉴스]
☞ ""북해의 검은 바다, 그 곳엔 태극기가 있었다""
☞ 삼성전자 ""가장 오래된 TV를 찾습니다""
☞ 국회 '버핏세 신설', 뒤통수 제대로 맞은 정부
☞ 소녀시대 '킬힐' 벗으니 '아쉬운 각선미'
☞ ""최신 LTE폰이 공짜"" 광고 사라진다

이동오기자
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
큐리어스,이데일리,2011.11.22. 오후 3:22,"큐리어스, 중국 업체에 CNC 선반 공급","[이데일리 박형수 기자] 큐리어스(045050)는 중국 선반업체인 S사에 반자동(SEMI)-컴퓨터 제어(CNC) 선반 공급을 시작한다고 22일 밝혔다.

큐리어스 관계자는 ""S사는 중국 내 선반 생산 1위 업체""라며 ""중국 정부가 80%의 지분을 보유하고 있는 국영업체""라고 소개했다.

그는 이어 ""S사는 연간 대형선반 400대, 중소형 선반 3000대를 생산하고 있다""며 ""올해 약 1조원의 매출을 달성할 것으로 알려진 대규모 업체""라고 덧붙였다.

큐리어스는 이번 공급을 시작으로 중국 내 선반시장 진출이 더욱 활발해질 것으로 기대했다.

관계자는 또 ""S사에 판매를 시작으로 중국 CNC선반 시장 선점을 위해 거래처 확보에 나설 예정""이라고 말했다.




[관련기사]
▶ ☞큐리어스, IST 컨소시엄 참가
▶ ☞큐리어스, 3Q 영업익 2.7억 `흑전`..라인증설 효과


▶ 당신의 생활 속 Anytime Anywhere 이데일리 모바일 http://m.edaily.co.kr
▶ 경제중심 종합일간지 `이데일리신문` 구독신청 02-3772-9488
▶ 독자와 소통하는 이데일리 SNS 서비스 트위터 / 페이스북
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재&재배포 금지＞
＜스마트 경제방송채널 - 이데일리TV＞"
큐리어스,한국경제,2011.11.23. 오전 11:57,"큐리어스, 오지매니지먼트가 보유 BW 전량 소멸","미국 투자자문법인인 오지 매니지먼트(OZ Management, LP)는 23일 보유 중이던 큐리어스의 신주인수권부사채권(BW)의 행사기간이 도과, 전량(주식 보유비율 12.88%) 소멸했다고 금융감독원에 신고했다.

한경닷컴 이민하 기자 minari@hankyung.com

▶[한경이벤트] 투자계획서 읽고 추천하면 24K 미니골드바를 드립니다

▶지수 급락에도 연일 대박친 무료방송 화제! -12/18일까지 공짜!

▶ 이등병 휴가 복귀날 투신해 숨져

▶ [포토] 심은하, '아직 죽지 않은 그녀의 미모'

▶ 김승우 ""아내 김남주랑 싸웠나"" 댓글에 결국…

▶ [포토] 한예슬, 파격 변신 '강렬한 매력' 발산

▶ '의사'와 결혼한 女교사, 며칠 만에 '환상' 깨져

<성공을 부르는 습관>

ⓒ 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
큐리어스,이데일리,2011.12.06. 오전 10:58,"큐리어스 ""제4이통사업 진출로 시너지 기대""","[이데일리 박형수 기자] ""제4이동통신 사업 진출은 기존 사업과 시너지 효과를 낼 수 있다는 판단 아래 내린 전략적 선택입니다.""

조도형 큐리어스 대표는 6일 제4이통사 설립을 준비 중인 인터넷스페이스타임(IST) 컨소시엄 참여를 두고 문어발식 사업이라는 지적이 나오고 있는 것과 관련해 이같이 밝혔다.

유기발광다이오드(OLED) 부품용 글라스와 선반기계 컨트롤러를 생산하고 있는 큐리어스(045050)는 지난달 IST 컨소시엄에 참여했다.

중소기업중앙회와 1800여 중소기업이 설립한 특수목적법인(SPC) SB모바일과 삼성전자 등이 IST컨소시엄 주요 주주로 참여하고 있다.

조 대표는 ""큐리어스는 4대 주주로 IST컨소시엄에 참여한다""며 ""휴대전화에 들어가는 디스플레이 부품 제조 기술이 제4이통사업과 시너지 효과를 낼 것으로 기대한다""고 강조했다.

그는 이어 ""큐리어스 디스플레이 부품 제조 사업 실적이 개선되고 있다""며 ""고객사로부터 기술력을 인정받으면서 주문량이 늘고 있다""고 덧붙였다.

큐리어스는 올해 들어 디스플레이 부품 생산 라인 3개를 증설했다. 생산능력 확대에 힘입어 지난 3분기 큐리어스는 영업이익 흑자를 기록했다.

조 대표는 또 ""플렉서블 디스플레이 신소재 개발 기술도 제4이동통신 전용 단말기에 적용할 수 있다""며 ""플라즈마 코팅 기술을 통해 기존 제품보다 더욱 강한 터치패널을 선보일 것""이라고 강조했다.

큐리어스는 지난 9월 초 플렉서블 신소재 시제품을 생산했다.

그는 또 ""IST가 제4이동통신 사업자로 선정되면 기존 디스플레이 부품 제조 사업과 플렉서블 신소재 사업의 매출 확대에 도움이 될 것""이라고 말했다.

아울러 ""생산설비 증설로 매출액이 점차 증가하고 있다""며 ""3분기에 이어 4분기도 흑자 기조를 이어 갈 것""이라고 자신했다.



▶ 당신의 생활 속 Anytime Anywhere 이데일리 모바일 http://m.edaily.co.kr
▶ 경제중심 종합일간지 `이데일리신문` 구독신청 02-3772-9488
▶ 독자와 소통하는 이데일리 SNS 서비스 트위터 / 페이스북
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재&재배포 금지＞
＜스마트 경제방송채널 - 이데일리TV＞"
큐리어스,매일경제,2012.01.12. 오후 5:15,"[공시] 큐리어스, 신주인수권 행사가 하향조정","큐리어스는 시가 하락에 따라 신주인수권 행사가액을 기존 1650원에서 1535원으로 낮춘다고 12일 공시했다.
행사가능 주식 수는 469만553주다.
[황의영 기자]

▶ [골든디스크 화보] 강지영 `꿀벅지`, 박규리 `가슴골` 카라의 여성미 발산

▶ 안철수연구소 2대주주 계좌추적

▶ `치어리더 향한 은밀한 손길`

▶ 치어리더, `마스코트와 아찔한 안무`

▶ [화보] 세계 최고미녀 얼짱 골퍼 `얼굴이 이뻐~`

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
