종목명,신문사,시간,제목,본문
울트라건설,머니투데이,2014.04.17. 오후 6:05,"울트라건설, 해병대 BTL 우선협상대상자 선정","[머니투데이 유다정 기자]울트라건설이 해병대 포항병영 민간투자시설사업(BTL) 우선협상대상자로 선정됐다고 17일 공시했다. 예정 공사비는 286억원이다.

[딱하나! 머니인사이트 딱TV]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]

유다정기자 jung@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
울트라건설,조선비즈,2014.04.17. 오후 6:55,"울트라건설, 114억원 해병대 포항병영 BTL 사업 우선협상대상자 선정","울트라건설(004320)은 국방부에서 발주한 해병대 포항병영 민간투자시설사업(BTL) 우선협상대상자로 선정됐다고 17일 공시했다.

예정공사비는 총 286억5647만222원이다. 울트라건설 지분은 114억6258만8089원이다. 병영생활관 2동, 복지관 6동, 위병면회소 2동, 교육관 1동 등 총 1만5042㎡ 규모의 공사다.

[강도원 기자 theone@chosun.com]

chosunbiz.com"
울트라건설,머니투데이,2014.04.18. 오전 9:16,"[특징주]울트라건설, 해병대 BTL 우선협상대상자 선정에 ↑","[머니투데이 박진영 기자]울트라건설이 해병대 민자시설사업 우선협상대상자로 선정돼 강세다.

18일 오전 9시12분 현재 울트라건설은 전일 대비 1.91% 오른 6390원을 기록 중이다.

울트라건설은 해병대 포항병영 민간투자시설사업(BTL) 우선협상대상자로 선정됐다고 전일 공시했다. 예정 공사비는 286억원이다.

[박진영 기자 트위터 계정 @zewapi]


[딱하나! 머니인사이트 딱TV]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]

박진영기자 jyp@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
울트라건설,이데일리,2014.05.14. 오후 5:22,"울트라건설, 계열사에 205억 채무보증","[이데일리 김대웅 기자] 울트라건설(004320)은 계열사에 대해 205억원 규모의 채무보증을 결정했다고 14일 공시했다. 이는 자기자본 대비 35% 규모다.

해당 채무는 시행사인 오션뷰가 경남은행, 외환은행, 농협중앙회로부터 차입한 것이다. 채무보증 기간은 오는 11월 14일까지다. 이로써 채무보증 총 잔액이 1916억원으로 늘었다.

김대웅 (daxiong@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
울트라건설,조선비즈,2014.05.14. 오후 5:38,"울트라건설, 오션뷰에 205억원 채무보증","울트라건설(004320)은 계열사 오션뷰에 대해 205억 5000만원의 채무보증을 결정했다고 14일 밝혔다. 이는 자기자본 대비 35.08%이다. 보증 기간은 오는 11월 14일까지다.

[송병우 기자 sono@chosun.com]

chosunbiz.com"
울트라건설,매일경제,2014.05.14. 오후 8:30,[코스닥 공시] 울트라건설 / 씨큐브 / 디엠티 등,"◇울트라건설＝계열사인 오션뷰에 267억원 채무보증.
◇씨큐브＝각형비가 큰 판상 알파알루미나 및 나노 금속 코팅 진주광택 안료 제조방법 특허권 취득.
◇디엠티＝케이티스카이라이프와 122억원 규모 단품 스마트형 HD수신기 추가 공급계약 체결.
◇대신정보통신＝한국가스공사로부터 140억원 규모 신사옥 IT센터 구축 및 이전 관련 공사 수주.

▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
울트라건설,조선비즈,2014.06.30. 오후 5:03,"울트라건설, 계열사 골든이엔씨에 230억원 채무보증","울트라건설(004320)은 계열사인 골든이엔씨에 대해 229억6450만원 규모의 채무보증을 하기로 결정했다고 30일 공시했다. 이는 자기자본대비 30.16%에 해당하는 규모다.

[진상훈 기자 caesar8199@chosun.com]

chosunbiz.com"
울트라건설,머니투데이,2014.07.02. 오전 9:45,"울트라건설, 김해축협 공사 계약 수주","[머니투데이 최민지 기자]울트라건설은 김해축협 하나로마트 장유점 신축공사 계약을 체결했다고 2일 공시했다. 계약금액은 73억4073원이다. 이는 울트라건설 최근 매출액 대비 1.12%에 해당한다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹][2014 브라질 월드컵, 한눈에 보세요]

최민지기자 mj1@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
울트라건설,한국경제,2014.07.02. 오전 9:54,"울트라건설, 73억 신축공사 수주","[ 한민수 기자 ] 울트라건설은 2일 김해축산협동조합으로부터 73억4000만원 규모의 김해축협 하나로마트 장유점 신축공사를 수주했다고 공시했다. 이번 수주금액은 지난해 매출의 1.12%고, 계약기간은 오는 15일부터 내년 9월14일까지다.

한경닷컴 한민수 기자 hms@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
울트라건설,아시아경제,2014.07.02. 오전 9:56,"울트라건설, 김해 하나로마트 신축공사 계약","[아시아경제 오진희 기자] 울트라건설은 김해축협 하나로마트 장유점 신축공사 계약을 체결했다고 2일 공시했다. 계약금액은 73억4073원이다. 이는 울트라건설 최근 매출액 대비 1.12%에 해당한다.

오진희 기자 valere@asiae.co.kr

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>"
울트라건설,조선비즈,2014.07.02. 오전 10:05,"울트라건설, 김해 하나로마트 신축 계약 체결","울트라건설(004320)이 김해축산업협동조합과 73억원 규모의 김해축협 하나로마트 장유점 신축공사 계약을 체결했다고 1일 공시했다. 계약금액은 울트라건설 전체 매출액 대비 1.12%에 해당하는 규모이며, 계약기간은 2015년 9월 14일까지다.

[전효진 기자 olive@chosun.com]

chosunbiz.com"
울트라건설,헤럴드경제,2014.07.02. 오전 10:12,"<생생코스닥> 울트라건설, 73.4억 규모 하나로마트 신축공사 수주","울트라건설은 김해축산업협동조합과 73억4072만원 규모의 김해축협 하나로마트 장유점 신축공사 계약을 체결했다고 2일 공시했다.

이는 2013년 매출액 대비 1.12%에 해당하며 계약기간은 오는 15일부터 2015년 9월 14일까지다.

[헤럴드경제 뉴스스탠드] [헤럴드스탁마켓] [SKEC 영어글쓰기대회]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [HOOC]

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
울트라건설,이데일리,2014.07.02. 오전 10:47,"울트라건설, 73억 규모 김해 하나로마트 신축공사 계약","[이데일리 안혜신 기자] 울트라건설(004320)은 김해축산업협동조합과 약 73억4072만원 규모 김해축협 하나로마트 장유점 신축공사 계약을 체결했다고 2일 공시했다.

안혜신 (ahnhye@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
울트라건설,매일경제,2014.07.02. 오후 5:45,[코스닥 공시] 휘닉스소재 / 대주전자재료 / 울트라건설 등,"◇휘닉스소재＝삼성SDI의 PDP사업 중단에 따라 10월 1일부터 PDP 납품거래 종료. 매출 축소 예상.
◇대주전자재료＝삼성SDI의 PDP사업 중단에 따라 10월 1일 PDP 납품거래 종료. 신제품 개발에 따른 매출 증가로 전체 매출에 큰 변동이 없을 것으로 예상.
◇울트라건설＝김해축산업협동조합과 73억4073만원 규모 김해축협 하나로마트 장유점 신축 공사계약 체결.
◇넥슨지티＝최대주주 넥슨코리아와 온라인게임 '서든어택2' 공동사업 계약 체결.

▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
