종목명,신문사,시간,제목,본문
태산엘시디,이데일리,2013.03.19. 오후 4:09,"태산엘시디, 감사의견 '한정'","[이데일리 박형수 기자] 태산엘시디(036210)는 성도회계법인으로부터 감사의견 ‘한정’평가를 받은 사실을 확인했다고 공시했다.

성도회계법인은 태산엘시디 유동부채가 유동자산을 292억500만원 초과하고 있는 데다 채권금융기관협의회와의 약정에 따라 상환 유예된 유동성 장기차입금 1456억2300만원의 상환기일이 오는 12월31일이라고 설명했다. 계속기업으로 존속능력에 유의적 의문을 불러일으킬 수 있다고 덧붙였다.

박형수 (parkhs@edaily.co.kr)

[관련기사]
☞ [단독]고소득 직장인·자영업자 건강보험료 오른다
☞ 연봉 7000만원 이상 고액연봉자 평균 스펙 살펴보니
☞ BMW, 내년 전기차 i3 출시.. 3시리즈 가격에 판다
☞ 18세 이상 女, 男보다 더 많이 느끼는 것이..
☞ 손주 돌보는 할머니에 월 40만원 지급 검토



▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
태산엘시디,아시아경제,2013.03.19. 오후 4:19,"태산엘시디, 감사의견 '한정' 평가","[아시아경제 박혜정 기자]태산엘시디는 성도회계법인으로부터 감사의견 '한정' 평가를 받은 사실을 확인했다고 19일 공시했다.

박혜정 기자 parky@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
""공개 연인 '이병헌-이민정' 결별 이유가""
'이휘재' 8살 연하 아내와 '결혼' 2년여만에
'신지-유병재' 소문 어쩐지 이상하더니
'정준하 아내' 임신 34주라더니 검사결과가
""김태희 사귀는 '비' 사업내용 이상하더니"""
태산엘시디,한국경제,2013.03.20. 오전 9:09,"[특징주]감사의견 '한정' 태산엘시디, 닷새째↓","태산엘시디가 감사의견 '한정' 판정이 내려졌다는 소식에 하락세다.

20일 오전 9시 7분 현재 태산엘시디는 전날 대비 50원(2.24%) 내린 2180원에 거래되고 있다. 5거래일 연속 주가가 하락하고 있다.

태산엘시디는 전날 장 마감 후, 성도회계법인으로부터 2012 사업연도 감사보고서와 관련해 '한정' 의견을 받았다고 공시했다.

태산엘시디는 유동부채가 유동자산을 크게 초과, 계속기업 존속 불확실성 사유에 해당된 것으로 풀이되고 있다.

한경닷컴 김효진 기자 jinhk@hankyung.com

▶급등주 자동 검색기 등장...열광하는 개미들

▶[한경 스타워즈] 대회 한 달만에 전체 수익 1억원 돌파! 비결은?

▶ 女직장인 ""밤만 되면 자꾸 남편을…"" 고백

▶ 고영욱, '화학적 거세'는 안심했는데 '덜덜'

▶ ""이효리 제주도에 신혼집 마련"" 알아보니

▶ 이경규 '꼬꼬면' 눈물 흘린 이유가…

▶ 개그맨 김학래, 탕수육으로 年 100억 벌더니

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
태산엘시디,아시아경제,2013.03.20. 오전 9:21,"[특징주]태산엘시디, 감사의견 '한정'..급락","[아시아경제 전필수 기자]태산엘시디가 감사의견 '한정'을 받았다는 소식에 급락세다.

20일 오전 9시18분 현재 태산엘시디는 전날보다 160원(7.17%) 내린 2070원을 기록 중이다.

전날 장 종료 후 태산엘시디는 성도회계법인으로부터 감사의견 ‘한정’평가를 받은 사실을 확인했다고 공시했다.

성도회계법인은 태산엘시디 유동부채가 유동자산을 292억500만원 초과하고 있는데다 채권금융기관협의회와의 약정에 따라 상환 유예된 유동성 장기차입금 1456억2300만원의 상환기일이 오는 12월31일이라고 설명했다. 계속기업으로 존속능력에 유의적 의문을 불러일으킬 수 있다는 설명이다.

전필수 기자 philsu@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]
""공개 연인 '이병헌-이민정' 결별 이유가""
'이휘재' 8살 연하 아내와 '결혼' 2년여만에
'신지-유병재' 소문 어쩐지 이상하더니
'정준하 아내' 임신 34주라더니 검사결과가
""김태희 사귀는 '비' 사업내용 이상하더니"""
태산엘시디,매일경제,2013.03.20. 오전 9:36,"[Hot-Line] 태산엘시디, 감사의견 한정…7% 넘게 하락","태산엘시디가 감사의견 한정을 받았다는 소식에 장중 7% 넘게 하락하고 있다.
20일 오전 9시 25분 현재 태산엘시디는 전일 대비 7.85% 내린 2055원을 기록 중이다.
전자공시에 따르면 태산엘시디는 성도회계법인으로부터 감사의견 '한정' 평가를 받았다. 2011년에는 적정 평가를 받았었다.
태산엘시디는 지난 2012년 영업손실이 77억207만원이었고 2011년에는 44억2423만원을 기록해 영업손실이 확대된 상황이다.
[최익호 기자]

▶ ""윤계상은 좋겠네~"" 여친 이하늬, 육감적 몸매의 속옷 화보 공개

▶ 11억 빌라 산 의사, 팔려고 가격보다 `멘붕`

▶ 싸이, `강보경 섹시말춤에 시선집중`

▶ 산다라 박처럼 몽환적인 봄 메이크업 해볼까?

▶ 고소영 대역 오초희, ‘헉! 몸매 이 정도였어?’

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
태산엘시디,서울경제,2013.03.20. 오전 9:45,"[특징주] 태산엘시디, 감사의견 ‘한정’에 하한가","태산엘시디가 감사보고서에서 ‘한정’ 판정을 받으며 하한가를 기록하고 있다.

태산엘시디는 20일 코스닥시장에서 가격제한폭까지 하락한 1,900원에 거래되고 있다.

태산엘시디가 급락한 이유는 외부감사에서 ‘한정’ 판정을 받았기 때문이다. 태산엘시디를 외부감사한 성도회계법인은 “유동부채가 유동자산을 크게 넘어선 데다 차입금 상환기일을 앞두고 있다”며 “기업의 지속성 여부가 불확실한 상황”이라고 평가했다.

강동효기자 kdhyo@sed.co.kr

[한국아이닷컴 인기기사]
☞ ""중국보다 못하다"" 참담한 한국 실상
☞ 굴욕 당한 거물이 복수하려 만든 '엄청난 차'
☞ 北 초토화 가능 '공포의 무기' 한국으로…
☞ 일본, 한국에 얼마나 지기 싫었으면…
☞ 이 정도라니… 무시무시한 北 능력


☞ 요즘 부쩍 스마트해지신 부장님도 알고보니 'M서울경제'

[ⓒ 인터넷한국일보(www.hankooki.com), 무단 전재 및 재배포 금지]"
태산엘시디,조선비즈,2013.03.20. 오전 9:54,"[특징주] 태산엘시디, 감사의견 한정에 하한가","감사의견 '한정'을 받은 태산엘시디(036210)가 급락하고 있다.

태산엘시디는 20일 오전 9시 46분 현재 14.8% 하락하며 하한가를 기록하고 있다. 주로 동양증권 창구를 통해 매도 주문이 들어오고 있다.

태산엘시디는 전날 회계법인이 감사의견 한정 판정을 내렸다고 공시했다. 회계법인은 ""유동부채가 유동자산을 초과하고 있고, 상환 유예된 유동성장기 차입금 1456억원의 상환기일도 올해 말로 예정돼 있다""고 지적했다.

[이종현 기자 vitmania@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ'김연아 주식'도 국가대표급… 시총이 어마어마
ㆍ서울에선 곧… 해물찜 재료 사는데 2시간 반
ㆍ몸값 올리고 임대료 더 받고… 맞춤 리모델링 뜬다
ㆍ2억짜리 황제침대…이보다 호화로울 순 없다
ㆍ청계산 다녀온 독일 아웃도어 경영진 '멘붕'


chosunbiz.com"
태산엘시디,서울경제,2013.03.20. 오후 3:18,"[터치 이 종목] 태산엘시디, 감사의견 '한정' 소식에 하한가","태산엘시디가 20일 감사보고서에서 '한정' 판정을 받으며 가격제한폭까지 하락한 1,900원에 거래를 마쳤다.

태산엘시디가 급락한 것은 '2012 사업연도 감사보고서'와 관련해 한정 판정을 받았기 때문이다. 태산엘시디를 외부감사한 성도회계법인은 ""유동부채가 유동자산을 크게 넘어선데다 차입금 상환기일을 앞두고 있다""며 ""기업의 지속성 여부가 불확실한 상황""이라고 평가했다. 태산엘시디는 올해 말까지 갚아야 하는 차입금이 1,456억여원에 달한다.

태산엘시디는 2008년 환율을 기초로 한 파생상품인 키코 계약으로 인해 상장폐지 위기에도 몰렸지만 채권단의 워크아웃과 경영진의 자구노력 등으로 부활한 업체다. 2010년 862억원의 당기순이익을 거두며 실적을 회복했지만 주력사업인 액정표시장치(LCD)용 백라이트유닛(BLU)의 국내 생산이 중단되며 실적이 다시 악화됐다. 지난해 영업손실과 당기순손실은 각각 77억원, 212억원에 달했다.

강동효기자 kdhyo@sed.co.kr

[한국아이닷컴 인기기사]
☞ ""이런 일은 처음"" 충격에 빠진 대한민국
☞ 음악 즐겨듣던 사람들 난리 났다
☞ 개그맨 김원효, 별장으로 돈번 사연 화제!
☞ 女탤런트까지… '성접대' 파문 확산
☞ 北 초토화 '공포의 무기' 얼마나 두려우면…


☞ 요즘 부쩍 스마트해지신 부장님도 알고보니 'M서울경제'

[ⓒ 인터넷한국일보(www.hankooki.com), 무단 전재 및 재배포 금지]"
태산엘시디,서울경제,2013.03.21. 오전 7:06,[돌직구인터뷰] 태산엘시디 “올해 워크아웃 졸업 불투명… 차입금 상환 부담스러워”,"태산엘시디가 올해 워크아웃 졸업이 불투명할 것으로 전망됐다. 태산엘시디는 이에 따라 외부감사에서 ‘한정’ 의견을 받았다.

손학익 태산엘시디 이사는 20일 서울경제와 통화에서 “올해 12월 31일로 워크아웃 기간이 종료될 예정이지만 졸업 가능성은 불투명하다”며 “부동산 매각 등으로 차입금 상환 노력을 세우고 있지만 차입금 부담이 크다”고 설명했다. 태산엘시디는 12월 31일까지 1,456억원의 차입금을 상환해야 한다. 손 이사는 “외부감사를 담당한 회계법인이 ‘한정’ 의견을 낸 이유도 워크아웃이 종료될 지가 불투명하기 때문”이라고 덧붙였다. 태산엘시디를 외부감사한 성도회계법인은 지난해 사업연도 감사보고서와 관련 ‘한정’ 의견을 제시한 바 있다.

태산엘시디는 LCD용 백라이트유닛(BLU)을 생산하는 우량 기업이었지만 파생상품인 키코 계약으로 인해 부도 위기까지 몰렸었다. 지난 2008년 키코 등 환율에 연동한 파생상품계약에 가입하면서 7,682억원의 순손실을 입었다. 자본전액 잠식으로 인해 상장폐지 위기에 몰렸지만 채권은행의 워크아웃으로 증시에서 살아남았다. 하나은행과 외환은행, 신한은행, 산업은행 등은 출자전환에 나섰고 현재 하나은행이 61.26%를 보유한 최대주주이다. 또 삼성전자에서 납품 물량을 유지할 수 있도록 협력해주며 지난 2010년 862억원의 당기순이익을 거두며 부활의 기미를 보였다.

하지만 삼성전자의 TFT-LCD 물량 생산이 중국으로 이전돼 다시 시련이 찾아 왔다. 태산엘시디는 지난해 국내 생산을 중단하고 중국 공장 위주로 가동하게 되면서 실적이 급감했다. 태산엘시디는 지난해 131억원의 매출과 77억원의 영업손실을 입었다. 당기순손실도 212억원에 달했다. 지난 2011년과 비교하면 매출은 96% 감소했다. 영업손실과 당기순손실 규모도 나란히 63% 가량 증가했다.

손 이사는 “국내의 LCD용 BLU 생산을 중단하게 돼 실적 회복이 여의치 않다”며 “올해 중국공장에서의 생산물량 증가가 이를 만회해줄 수 있을 지 불투명하다”고 설명했다.

태산엘시디는 재무구조를 개선하기 위해 지난해 12월 감자를 단행했지만 자본 확충을 위한 증자 계획은 불투명하다. 지난해 12월 5대1의 감자를 단행하면서 창업자인 최태현 대표의 지분은 22.67%에서 2.93%까지 떨어졌다. 유상 증자를 통해 자본을 추가로 확충해야 하지만 아직 구체적인 계획은 없는 상황이다. 손 이사는 “유상증자의 필요성이 있지만 아직 계획이 잡혀 있지 않다”고 설명했다.

강동효기자 kdhyo@sed.co.kr

[한국아이닷컴 인기기사]
☞ ""이런 일은 처음"" 충격에 빠진 대한민국
☞ 음악 즐겨듣던 사람들 난리 났다
☞ 개그맨 김원효, 별장으로 돈번 사연 화제!
☞ 女탤런트까지… '성접대' 파문 확산
☞ 北 초토화 '공포의 무기' 얼마나 두려우면…


☞ 요즘 부쩍 스마트해지신 부장님도 알고보니 'M서울경제'

[ⓒ 인터넷한국일보(www.hankooki.com), 무단 전재 및 재배포 금지]"
태산엘시디,조선비즈,2013.03.21. 오전 9:30,"[특징주] 태산엘시디, 감사의견 '한정'에 연일 하락","감사의견 ‘한정’을 받았다는 소식에 태산엘시디(036210)가 크게 하락하고 있다. 태산엘시디의 주가는 6거래일째 내리고 있다.

21일 오전 9시 23분 현재 태산엘시디는 전날보다 11.58%(220원) 하락한 1680원을 기록하고 있다. 대우증권과 대신증권, 미래에셋 창구를 통해 매도 주문이 나오고 있다.

지난 19일 태산엘시디는 성도회계법인으로부터 감사를 받은 결과 감사의견 ‘한정’이 나왔다고 공시했다.

[이진혁 기자 kinoeye@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ집주인이 달라졌어요…이제는 월세 시대
ㆍ주식만 하면 마이너스… 3가지를 버려라
ㆍ中정부, 태양광 지원 포기… 한국, 주도권 잡나
ㆍ하반기 야심작 총출동… 국산·수입車 한판 붙는다
ㆍ북한 최고 영재들 모인 해커부대 '상상 초월'


chosunbiz.com"
