종목명,신문사,시간,제목,본문
바른손이앤에이,한국경제,2014.09.18. 오후 12:48,"바른손이앤에이, '배틀리그' 비공개테스트 참가자 모집","바른손이앤에이(대표 박진홍)가 글로벌 판권을 보유하고 소프트네트(대표 김성익)가 개발 중인 모바일 액션 RPG <배틀리그>가 금일부터 비공개테스트(CBT) 참가자를 모집한다.

18일부터 27일까지 테스터를 모집하는 <배틀리그>의 CBT는 오는 26일부터 28일까지 3일간 진행되며 안드로이드 스마트폰 사용자만 참여 가능하다.

CBT에 참여하면 참가자 전원에게 CBT 참가자 전용 무기인 '천공의 검'을 지급하며, CBT 기간에 사용한 닉네임을 런칭 후에도 그대로 사용할 수 있게 된다. 그리고 참가자 중 추첨을 통해 50명에게 문화상품권을 증정한다. 또한 모든 참가자는 <배틀리그>의 사전등록자로 자동 참여되어 사전등록자에게 주어지는 아이템도 추가로 지급받게 된다.

<배틀리그>는 최대 6명이 실시간 멀티플레이 대전을 즐길 수 있는 횡스크롤 액션 RPG로서 세계 게임 아트 공모전인 '도미넨스워 5'의 2D 부문 대상 수상자 안상훈 아티스트가 선사하는 모바일 최강 퀄리티의 2D 그래픽과 극강의 액션 쾌감을 선사하는 화려한 이펙트와 타격감, 그리고 모바일 게임 최초의 스킨 시스템 등 모바일 액션 게임에 목마른 유저들의 욕구를 채워줄 다양한 장점을 가지고 있다.

또한 서로가 적이 되어 그 중 최고의 1인을 가리는 전장 모드, 게임을 진행하며 각 캐릭터의 스토리와 세계를 체험하고 거대 보스와 혈투를 벌이는 스토리 모드, 동료와 전략적인 플레이를 펼쳐 적의 건물을 파괴시켜 승리하는 콜로세움 모드 등 다양한 모드를 즐길 수 있는 게임이다.

<배틀리그>의 CBT에 대한 더 자세한 내용은 <배틀리그> 브랜드 사이트(http://m.barunsonena.com/game/battleleague/w/index.php?m=1021)를 통해 확인할 수 있다.

한경닷컴 게임톡 이광준 기자 junknife@naver.com

바른손이앤에이, '배틀리그' 전 세계에 퍼블리싱하기로 해

바른손이앤에이, 모바일 게임 신작들로 하반기 공습 예고

액션RPG '배틀리그', 브랜드 사이트 열었다

게임톡(http://www.gametoc.co.kr) 무단전재 및 재배포금지

[한경+ 구독신청] [기사구매] [모바일앱]  ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
바른손이앤에이,동아일보,2014.09.19. 오후 6:09,"바른손이앤에이, 모바일 공격행보 시작됐다!","최근 급증하고 있는 스마트폰에서 최고의 콘텐츠인 게임에서도 화제를 불러모으거나 남다른 기대감을 얻고 있는 작품을 소개하는 자리입니다. 소개 자료는 각 모바일게임 개발사를 비롯해 퍼블리셔와 모바일게임 커뮤니티 헝그리앱(http://www.hungryapp.co.kr) 등에 기초하고 있습니다. <편집자주>

한동안 잠잠했던 바른손이앤에이(대표 박진홍)의 모바일 게임 행보가 공격적으로 바뀌고 있다.
지난 1월 색다른 게임성을 선보였던 <롤링플래닛> 이후 8개월간 출시한 게임이 없었던 바른손이앤에이가 하반기를 이끌 모바일 게임 라인업에 대한 서비스 일정을 연달아 확정하면서 공격적인 행보를 보이고 있는 것이다.
사실 바른손이앤에이의 출발은 좋지 않았다. <롤링플래닛>이 '원형 탄막 회피 게임'이라는 새로운 게임성을 선보였으나 사실상 흥행에 실패했고, 그 이전에 공개한 게임들도 마찬가지였다. 그나마 <바둑>이 바둑 마니아층을 공략하며 선방하고 있는 게 바른손이앤에이의 현실이었다.
하지만 하반기들어 달라진 모습을 보이고 있다. 지난 7월 공개한 4개의 하반기 라인업 중 두 개를 연달아 선보이며 한 달 간격의 출시를 추진, 공격적으로 나서고 있는 것이다.

가장 먼저 선보이는 게임은 9월 말 출시될 것으로 알려진 전략 SNG <루팅크라운>이다.
하복의 모바일 엔진 프로젝트 아나키 기반으로 만들어지는 첫 번째 상용화 모바일 게임 <루팅크라운>은 약탈과 방어를 통해 자신의 마을을 성장시키고 활용하는 전략 콘텐츠는 여느 전략 SNG와 비슷하다.
하지만 다양한 형식의 PvP와 보스 레이드를 실시간 멀티 플레이로 즐길 수 있다는 것과 전략 SNG 최초로 시도되는 풀 3D 그래픽이 강점인 게임이다.
이러한 게임성은 지난 달 실시된 CBT에서도 테스터들에게 상당히 좋은 반응을 보인 바 있어 색다른 전략 SNG를 기다리는 유저에게 단비가 될 것으로 보인다.
그 다음에 선보일 게임은 <배틀리그>다. 얼마 전 브랜드 사이트를 공개, 그 모습을 처음으로 드러낸 <배틀리그>는 'noerror'라는 닉네임으로 유명한 개발자 김성익 씨가 창업한 개발사 '소프트네트'에서 개발 중인 게임이다.
이 게임은 2D 횡스크롤 액션 RPG 장르로서 액션 쾌감을 선사하는 고퀄리티 2D 그래픽, 모바일게임 최초의 스킨 시스템, 그리고 방대한 스토리 모드와 최대 6명이 실시간으로 즐기는 개별 전투 및 AOS 모드 등이 강점인 게임이다.
특히 세계 게임 아트 공모전인 '도미넨스워 5'의 2D 부문 대상 수상자 안상훈 아티스트가 제작한 캐릭터들의 일러스트는 모바일 게임의 수준을 뛰어넘었다는 평가다.
<배틀리그>는 금일부터 CBT 테스터를 모집해 오는 26일부터 테스트를 진행, 10월 중 서비스를 진행할 것으로 알려졌다.
이러한 바른손이앤에이의 행보는 주가에도 반영되고 있다. 올해 1월까지 1천원대를 유지했던 주가가 <롤링플래닛>의 반응 저조와 게임 출시 지연으로 지난 6월 400원대까지 하락했지만 <루팅크라운>과 <배틀리그>의 출시가 임박함에 따라 다시 1천원까지 주가가 회복됐다.
이후에는 모바일 바둑 게임 중 이용률 1위를 차지하고 있는 <바둑 for Kakao>의 대형 업데이트 버전인 <바둑 : 신의 한 수>가 출시를 앞두고 있고 슈팅 RPG <마법왕국>의 출시도 조만간 이뤄질 예정이어서 모바일 게임 퍼블리셔로서의 위상이 점차 높아질 전망이다.
자료 출처 : 헝그리앱(http://www.hungryapp.co.kr)
글 / 게임동아 조영준 기자 <june@gamedonga.co.kr>
사용자 중심의 게임 저널 - 게임동아(game.donga.com)"
바른손이앤에이,한국경제TV,2014.09.26. 오후 3:55,"바른손이앤에이, RPG 배틀리그 비공개 테스트","바른손이앤에이(대표 박진홍, 035620)가 글로벌 판권을 보유하고 소프트네트(대표 김성익)가 개발 중인 모바일 액션 RPG <배틀리그>가 26일부터 비공개테스트(CBT)를 실시한다.

<배틀리그>의 CBT는 오는 28일까지 3일간 진행되며 안드로이드 스마트폰 사용자만 참여 가능하다. 그리고 26일과 27일은 오후 12시부터 오후 2시까지, 오후 7시부터 오후 10시까지 5시간이며 28일은 오후 12시부터 자정까지 12시간동안 게임 플레이가 가능하다.

이번 CBT에 참여하면 참가자 전원에게 CBT 참가자 전용 무기인 ‘천공의 검’을 지급하며, CBT 기간에 사용한 닉네임을 런칭 후에도 그대로 사용할 수 있게 된다. 그리고 참가자 중 추첨을 통해 50명에게 문화상품권을 증정한다. 또한 모든 참가자는 <배틀리그>의 사전등록자로 자동 참여되어 사전등록자에게 주어지는 아이템도 추가로 지급받게 된다.

서로가 적이 되어 그 중 최고의 1인을 가리는 전장 모드, 게임을 진행하며 각 캐릭터의 스토리와 세계를 체험하고 거대 보스와 혈투를 벌이는 스토리 모드, 동료와 전략적인 플레이를 펼쳐 적의 타이탄을 파괴시켜 승리하는 3 vs 3 대전 등 다양한 모드를 즐길 수 있는 게임이다.

<배틀리그>의 CBT에 대한 더 자세한 내용은 <배틀리그> 브랜드 사이트(http://m.barunsonena.com/game/battleleague/w/index.php?m=1021)를 통해 확인할 수 있다.

박정윤기자 jypark@wowtv.co.kr

▶ 네이버 뉴스스탠드에서 한국경제TV 뉴스를 바로 만나세요 GO!"
바른손이앤에이,머니투데이,2014.10.01. 오후 3:14,"바른손이앤에이, 박진홍·윤용기 각자대표 체제로","[머니투데이 황국상 기자]바른손이앤에이는 1일 이사회를 열고 종전 문양권·박진홍 각자대표 체제에서 박진홍·운용기 각자대표 체제로 변경키로 했다고 공시했다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ][2014 인천아시안게임 스페셜 페이지]

황국상기자 gshwang@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
바른손이앤에이,연합뉴스,2014.10.01. 오후 3:15,"바른손이앤에이, 박진홍·윤용기 대표이사 체제로","(서울=연합뉴스) 김남권 기자 = 바른손이앤에이는 1일 문양권·박진홍 대표이사에서 박진홍·윤용기 대표이사 체제로 바뀌었다고 공시했다.

회사 측은 문양권 대표가 일신상 사유로 사임해 윤용기 각자 대표를 선임했다고 설명했다.

kong79@yna.co.kr

▶으리으리한 연합뉴스 앱 지금 바로 다운받으리~

▶<인천아시안게임>'한반도 최고는 나' 김승규-리명국 거미손 대결

<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
바른손이앤에이,한국경제,2014.10.01. 오후 3:32,"바른손이앤에이, 박진홍·윤용기 대표 체제로 변경","[ 권민경 기자 ] 바른손이앤에이는 문양권, 박진홍 대표이사 체제에서 박진홍, 윤용기 대표이사 체제로 변경됐다고 1일 공시했다. 문양권 대표이사가 일신상 사유로 사임한 데 따른 것이다.

한경닷컴 권민경 기자 kyoung@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
바른손이앤에이,아시아경제,2014.10.01. 오후 3:49,"바른손이앤에이, 박진홍·윤용기 각자대표로 변경","[아시아경제 권해영 기자] 바른손이앤에이는 문양권 대표이사가 일신상 사유로 사임하면서 기존 문양권, 박진홍 각자대표에서 박진홍, 윤용기 각자대표 체제로 변경됐다고 1일 공시했다.

권해영 기자 roguehy@asiae.co.kr

▶ 아시아경제 기획특집 ""끝나지 않은 전쟁 위안부 보고서""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
바른손이앤에이,매일경제,2014.10.01. 오후 5:31,[코스닥 공시] 금화피에스시 / 바른손이앤에이 / 에프에스티,"◇금화피에스시＝사업다각화를 위해 자동차 부품제조사 안성전기 지분 78%를 35억8800만원에 취득.
◇바른손이앤에이＝문양권ㆍ박진홍 대표이사 체제에서 박진홍ㆍ윤용기 대표이사 체제로 변경.
◇에프에스티＝기존 제품 생산능력 증대와 신규 제품 생산시설 확보 위해 102억6000만원 투자.

▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
바른손이앤에이,이데일리,2014.10.02. 오전 11:29,"바른손이앤에이, 윤용기 대표이사 선임","[이데일리 박형수 기자] 바른손이앤에이(035620)가 이사회에서 윤용기 A스튜디오 총괄대표를 바른손이앤에이 대표이사로 선임했다.

바른손이앤에이는 박진홍·윤용기 각자대표 체제를 유지한다고 2일 밝혔다.

신임 윤용기 대표이사는 ‘패러사이트이브’ ‘이블 데드’ 등 다수의 콘솔 게임과 ‘길드워2’ ‘와일드스타’등 온라인 게임 개발에 참여했다.

앞으로 박진홍 대표가 게임부문의 국내외 영업과 경영 총괄을, 윤용기 대표가 개발을 담당한다.

관계자는 “각자의 전문 분야에서 효율을 극대화할 것”이라며 “바른손이앤에이는 자체 개발 중인 기대작 ‘아스텔리아’를 비롯해 모바일 게임 ‘배틀리그’ ‘루팅크라운’ ‘마법왕국’ 등 다수의 게임 라인업을 준비 중”이라고 말했다.

지난 2012년부터 바른손이앤에이를 이끈 문양권 전 대표이사는 바른손이앤에이 이사회의 의장으로 취임한다.

박형수 (parkhs@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
바른손이앤에이,동아일보,2014.10.02. 오전 11:57,"바른손이앤에이, 윤용기 대표이사 선임","바른손이앤에이는 이사회를 통해 윤용기 A스튜디오 총괄대표를 바른손이앤에이 대표이사로 선임, 박진홍-윤용기 각자대표 체제를 유지한다고 금일(2일) 밝혔다.
신임 윤용기 대표이사는 스퀘어USA의 '패러사이트이브', THQ의 '이블 데드' 등 다수의 대작 콘솔 게임과 엔씨USA의 '길드워2', '와일드스타'등의 게임 개발에 참여한 뒤 한국으로 돌아와 엔씨소프트의 '리니지 이터널'과 엑스엘게임즈의 '아키에이지'등 대작 MMORPG 개발을 진두지휘했고, 지난 2013년부터 바른손이앤에이의 플래그십 MMORPG '아스텔리아'의 개발을 총괄하고 있다.

바른손이앤에이는 이번 인사를 통해 박진홍 대표가 모바일 및 PC게임 국내외 영업과 경영 총괄을, 윤용기 대표가 개발을 총괄해 각자의 전문 분야에서 효율을 극대화함으로써, 1세대 온라인 게임 개발사에서 대작 MMORPG 개발과 다수의 모바일 게임을 퍼블리싱하는 메이저 게임 기업으로 거듭나겠다는 계획이다.

현재 바른손이앤에이는 자체 개발 중인 차세대 플래그쉽 온라인 MMORPG '아스텔리아'를 비롯해 모바일 액션 RPG '배틀리그', 모바일 전략 SNG '루팅크라운', 모바일 슈팅 RPG '마법왕국', 그리고 자체 개발 중인 모바일 RPG '드래곤! 도와줘(가칭)' 등 다수의 게임 라인업을 준비 중에 있다.

한편, 지난 2012년부터 바른손이앤에이를 이끌어온 문양권 전 대표이사는 바른손이앤에이 이사회의 의장으로 취임한다.
윤용기 바른손이앤에이 신임 대표이사 경력
- 1966년생
- 바른손이앤에이 A스튜디오 총괄대표
- 엑스엘게임즈 개발이사
- 엔씨소프트 글로벌 아트 프로덕션 디렉터
- Heavy-Iron (Division of THQ)
- Square USA

글 / 게임동아 조영준 기자 <june@gamedonga.co.kr>
사용자 중심의 게임 저널 - 게임동아(game.donga.com)"
