종목명,신문사,시간,제목,본문
신라섬유,한국경제,2014.10.30. 오후 3:35,"신라섬유, 대구공장 생산 재개","[ 정현영 기자 ] 신라섬유는 30일 공시를 통해 재고량 감소와 경쟁력 강화를 위해 대구공장 섬유 생산라인의 생산을 재개한다고 밝혔다.

한경닷컴 정현영 기자 jhy@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
신라섬유,머니투데이,2014.10.30. 오후 3:36,"신라섬유, 대구공장 생산재개","[머니투데이 김성은 기자]신라섬유는 재고량 감소 및 경쟁력 강화를 위해 대구공장의 생산을 재개한다고 30일 공시했다. 생산재개 분야의 매출액은 지난해 매출액 대비 67.7%에 달하는 34억4200만원이다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

김성은기자 gttsw@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
신라섬유,머니투데이,2014.11.03. 오전 10:24,"신라섬유, 상속으로 최대주주 지분 13.96% 증가","[머니투데이 정인지 기자]박재흥 신라섬유 대표이사는 3일 박성형 회장의 사망으로 故 박 회장의 보유 주식이 분할상속돼 박 대표 등 최대주주 측 지분이 기존 59.58%에서 73.54%로 증가했다고 공시했다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

정인지기자 injee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
신라섬유,머니투데이,2014.12.02. 오전 7:15,"신라섬유, 최대주주 박재흥 외 14명으로 변경","[머니투데이 오정은 기자]신라섬유는 2일 최대주주가 신라교역 외 12명에서 박재흥 외 14명으로 변경됐다고 공시했다.

신라섬유 측은 ""피상속인 박성형의 사망으로 인한 상속절차 진행 중 차명주식(82만491주)이 발견돼 상속인들 중 박재흥이 상속인들을 대표해 차명 명의인들로부터 위 차명주식을 반환받아 박재흥 명의의 계좌에 보관하고 있다""며 ""추후 위 차명주식에 대하여 상속인들 간의 상속재산분할이 완료되면 다시 공시를 진행할 예정이다""고 밝혔다.

최대주주로 등극한 박재흥 외 14명의 소유지분율은 90.44%에 이른다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

오정은기자 agentlittle@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
신라섬유,한국경제,2014.12.02. 오전 7:17,"신라섬유, 최대주주 박재흥 씨로 변경","[ 강지연 기자 ] 신라섬유는 최대주주가 신라교역에서 박재흥 씨로 변경됐다고 2일 공시했다.

회사 측은 ""피상속인 박성형 씨의 사망으로 상속 절차를 진행 중 차명주식(82만491주)이 발견됐다""며 ""상속인들 중 박재흥 씨가 상속인들을 대표해 차명명의인들로부터 차명주식을 반환 받았다""고 설명했다.

한경닷컴 강지연 기자 alice@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
신라섬유,이데일리,2014.12.02. 오전 7:55,"신라섬유, 최대주주 박재흥씨 외 14명으로 변경","[이데일리 정병묵 기자] 신라섬유는 최대주주가 신라교역 외 12명에서 박재흥씨 외 14명으로 변경됐다고 2일 공시했다. 박 씨 외 14명의 지분율은 90.44%이다.

회사 측은 “피상속인 박성형씨의 사망으로 인한 상속 절차 진행 중 차명주식(82만491주)이 발견됐다”며 “박재흥씨가 상속인들을 대표해 차명명의인들로부터 차명주식을 반환받아 본인 명의의 계좌에 보관하고 있으며 추후 차명주식에 대해 상속인들 간의 상속재산 분할이 완료되면 다시 공시하겠다”고 설명했다.

정병묵 (honnezo@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
신라섬유,파이낸셜뉴스,2014.12.02. 오전 8:33,"[공시]신라섬유, 최대주주 박재흥 외 14명으로 변경","신라섬유는 최대주주가 신라교역 외 12명에서 박재흥 외 14명으로 변경됐다고 2일 공시했다. 변경 후 최대주주의 지분율은 90.44%다.

회사 측은 ""피상속인 박성형의 사망으로 인한 상속절차 진행 중 차명주식(82만491주)이 발견돼 상속인들중 박재흥이 상속인들을 대표해 차명명의인들로부터 위 차명주식을 반환 받아, 박재흥 명의의 계좌에 보관하고 있다""며 ""추후 위 차명주식에 대해 상속인들 간의 상속재산분할이 완료되면 다시 공시를 진행할 예정""이라고 밝혔다.
mkchang@fnnews.com 장민권 기자


☞ 공식 SNS계정 [페이스북] [트위터] | ☞ 파이낸셜뉴스 [PC웹] [모바일웹] | ☞ 패밀리사이트 [부산파이낸셜뉴스] [fn아이포커스] [fn아트]


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
신라섬유,헤럴드경제,2014.12.02. 오전 8:50,"<생생코스닥> 신라섬유, 최대주주 박재흥 외 14명으로 변경","신라섬유는 최대주주가 신라교역 외 12명에서 박재흥 외 14명으로 변경됐다고 2일 공시했다.

변경후 최대주주 등의 지분율은 90.44%(439만1346주)이다.

회사측은 “피상속인 박성형의 사망으로 인한 상속절차 진행중 차명주식(82만491주)이 발견돼 박재흥씨가 상속인들을 대표해 차명명의인들로부터 차명주식을 반환받아 보관하고 있다”면서 ”추후 차명주식에 대해 상속인들 간의 상속재산분할이 완료되면 다시 공시를 진행할 예정”이라고 밝혔다.

[헤럴드경제 뉴스스탠드] [헤럴드스탁마켓] [제3회 코리아헤럴드 청소년 외교아카데미]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [SUPERICH] [REAL FOODS]



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
신라섬유,조선비즈,2014.12.02. 오전 9:30,"신라섬유, 최대주주 박재흥 외 14명으로 변경","신라섬유(001000)는 신라교역 외 12명이었던 최대주주가 박재흥 외 14명으로 변경됐다고 공시했다.

회사측은 “피상속인 박성형의 사망으로 인한 상속절차 진행 중 차명주식(82만491주)이 발견돼 상속인들 중 박재흥이 상속인을 대표해 차명주식을 반환 받아, 박재흥 명의의 계좌에 보관하고 있으며, 추후 위 차명주식에 대하여 상속인들 간의 상속재산분할이 완료되면 다시 공시를 진행할 예정이다”라고 밝혔다.

박재흥 외 14명의 소유주식비율은 90.44%가 된다.

[전효진 기자 olive@chosun.com]

chosunbiz.com"
신라섬유,뉴시스,2014.12.02. 오전 11:17,"[2일 오전 공시]신라섬유, 박재흥씨 외 14인으로 최대주주 변경 外","【서울=뉴시스】

▲신라섬유, 최대주주가 신라교역 외 12인(73.54%)에서 박재흥씨 외 14인(90.44%)으로 변경.

▲평산차업, 홍콩증권거래소가 당사의 중요 정보 공개와 관련된 매매거래정지를 요청 승인.

▲성안, 이집트 자회사인 Seng An Textile SAE의 주식 5200주를 5억7902만원에 취득 결정. 이는 자기자본 대비 0.74%이며, 취득 후 지분비율은 52%.

★ 뉴시스 뉴스, 이젠 네이버 뉴스 스탠드에서도 만나세요

★ 손 안에서 보는 세상, 모바일 뉴시스

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
